multiplex	node	score
2	Endometrial_carcinoma	0.2262276317307348
2	Prostate_neoplasm	0.00013849970575273912
2	Breast_carcinoma	0.00010352333848036973
2	Endometriosis	9.520740909243133e-05
2	Uterine_leiomyoma	6.777414720097102e-05
2	Endometrium_neoplasm	6.774317423005007e-05
2	Hyperplasia_of_the_endometrium	5.58165037023313e-05
2	Fatigue	5.203096819195246e-05
2	Epilepsy	4.995147943636382e-05
2	Increased_intracranial_pressure	4.569920284959684e-05
2	Attention_deficit_hyperactivity_disorder	4.217569188885654e-05
2	Rectal_neoplasm	4.2021152737154734e-05
2	Nausea_and_vomiting	3.384997877665013e-05
2	CARDIOMYOPATHY,_FAMILIAL_HYPERTROPHIC,_23,_WITH_OR_WITHOUT_VENTRICULAR_NONCOMPACTION	3.2639123405006134e-05
2	Cardiomyopathy,_familial_restrictive,_3	3.2639123405006134e-05
2	Abdominal_pain	3.0913002428387326e-05
2	Constipation	3.078540272851211e-05
2	Gastrointestinal_hemorrhage	3.0586860694895104e-05
2	Medulloblastoma	3.0468930425912534e-05
2	Seizure	2.9458663931447046e-05
2	Squamous_cell_carcinoma	2.819607404972882e-05
2	Neoplasm_of_stomach	2.669160872334395e-05
2	Bladder_neoplasm	2.5333451970836624e-05
2	Depression	2.4813523361201112e-05
2	Glioblastoma	2.3794599799934376e-05
2	Anxiety	2.3746685674919603e-05
2	Migraine	2.338057910390735e-05
2	Neoplasm_of_the_large_intestine	2.3100317480743493e-05
2	Endocardial_fibroelastosis	2.307513382922561e-05
2	Pericardial_effusion	2.307513382922561e-05
2	Endomyocardial_fibrosis	2.307513382922561e-05
2	Myocarditis	2.307513382922561e-05
2	Colon_cancer	2.305405993949648e-05
2	Malignant_tumor_of_breast	2.2532119704806004e-05
2	Ulcerative_colitis	2.1400015796381955e-05
2	Ovarian_cancer	2.1169353004528454e-05
2	Ovarian_epithelial_cancer	2.103476748155429e-05
2	Neoplasm_of_ovary	2.0928023187385036e-05
2	Adenocarcinoma	2.087808358697764e-05
2	Papillary_thyroid_carcinoma	1.9924849596015835e-05
2	Metastasis	1.9776084761055808e-05
2	Hyperpigmentation_of_the_skin	1.9552917882235623e-05
2	Gastrointestinal_stromal_tumor	1.9334003371985754e-05
2	Leukemia	1.760913288717684e-05
2	Hepatocellular_carcinoma	1.7289558160278664e-05
2	Lymphoma	1.724682182462031e-05
2	Basal_cell_carcinoma	1.5413142828852274e-05
2	Neuroblastoma	1.4778519177407932e-05
2	Rhabdomyosarcoma	1.4433147539974476e-05
2	Hematologic_neoplasm	1.4231558277161547e-05
2	Ependymoma	1.4198345644287858e-05
2	Obesity	1.3832901406555627e-05
2	Thyroiditis	1.2536745982908302e-05
2	Neoplasm_of_esophagus	1.2400642104673748e-05
2	Neoplasm_of_the_pancreas	1.219322366783399e-05
2	Renal_cell_carcinoma	1.1878423820108676e-05
2	Malignant_tumor_of_prostate	1.1807600940534292e-05
2	Thyroid_tumor	1.1689024054033612e-05
2	Female_infertility	1.1650268812980476e-05
2	Palmoplantar_keratosis	1.0948738587914159e-05
2	Abnormal_heart_morphology	1.0840331028747626e-05
2	Breast_neoplasm	1.0731764198034463e-05
2	Hemangioma	1.0657041463367722e-05
2	Goiter	1.0573406842719824e-05
2	Disorder_of_orbital_region	1.0040568473038733e-05
2	Follicular_thyroid_carcinoma	1.0030335428068544e-05
2	Familial_meningioma	9.990177141786288e-06
2	Thyroid_cancer_nonmedullary_2	9.967340554897936e-06
2	Proteus_like_syndrome	9.878508232871892e-06
2	Vater_association_with_macrocephaly_and_ventriculomegaly	9.86676095848319e-06
2	Vater_Association_With_Hydrocephalus	9.85572555282369e-06
2	Mesothelioma	9.837061835865952e-06
2	Schizophrenia	9.610867321447795e-06
2	Endocarditis	9.52571530571836e-06
2	Colorectal_carcinoma	9.25154822464986e-06
2	Breast_cancer_familial_male	9.043265454861492e-06
2	Gastric_carcinoma	8.774770310479523e-06
2	Hereditary_diffuse_gastric_adenocarcinoma	8.55282829560464e-06
2	Diffuse_gastric_and_lobular_breast_cancer_syndrome_with_cleft_lip_and_with_or_without_cleft_palate	8.526314914262208e-06
2	Infiltrating_duct_carcinoma_of_breast	8.48714628194264e-06
2	Heart_failure	8.172297804533704e-06
2	Congestive_heart_failure	7.891719316289803e-06
2	Pheochromocytoma	7.846028243633058e-06
2	Hypercalcemia	7.764027745205953e-06
2	Sarcoma	7.75781916092629e-06
2	Urticaria	7.665945128549942e-06
2	Cardiomyopathy	6.285758547717018e-06
2	Hypertrophic_cardiomyopathy_8	6.278968565297652e-06
2	Anorexia	6.048035357381869e-06
2	Dilated_cardiomyopathy_1AA	5.705228757129807e-06
2	Strabismus	5.560608516463326e-06
