multiplex	node	score
2	Essential_tremor	0.2263487374316067
2	Schizophrenia	0.00013191617315683576
2	Bipolar_affective_disorder	0.00011066464705367923
2	Alcohol_dependence	0.00010796520613579498
2	Tremor	0.00010717816491975034
2	Autism	0.00010489499108510513
2	Status_epilepticus	0.00010084462474544061
2	Ovarian_cyst	0.00010075899117807921
2	Febrile_seizure_within_the_age_range_of_3_months_to_6_years	0.0001006021996100134
2	myoclonic_epilepsy	0.00010056320483746269
2	Atonic_seizure	0.00010037197529470977
2	Severe_myoclonic_epilepsy_in_infancy	0.00010026493919469947
2	Hepatic_encephalopathy	9.988913877407999e-05
2	Absence_seizure	5.3494434635223353e-05
2	Postural_tremor	2.06132199330121e-05
2	Tremor,_hereditary_essential,_4	2.06132199330121e-05
2	Adductor_spastic_dysphonia_of_organic_voice_tremor	2.06132199330121e-05
2	Action_tremor	2.06132199330121e-05
2	Limb_tremor	2.06132199330121e-05
2	Rubral_tremor	2.06132199330121e-05
2	Resting_tremor	2.06132199330121e-05
2	Neurologic_voice_disorder	1.615943101927243e-05
2	Parkinson_disease	1.6049622158520688e-05
2	Ventricular_tachycardia	1.1894430032254445e-05
2	Seizure	1.1232121397337448e-05
2	Hypertensive_disorder	8.042111624244228e-06
2	abnormal_involuntary_movement	7.84800736255455e-06
2	Depression	6.97515251664917e-06
2	Myocardial_infarction	5.847985436053525e-06
2	Neoplasm_of_the_pancreas	5.809378631936673e-06
2	Prostate_neoplasm	5.709784281766766e-06
2	Parkinsonian_disorder	5.094417670109091e-06
2	Angelman_syndrome	3.907443023811118e-06
2	ANCR_disease	3.835388589750806e-06
2	Hypertrophic_cardiomyopathy	3.638725153622553e-06
2	Atrial_fibrillation	3.5962701421146985e-06
2	Ventricular_fibrillation	3.5164393715485903e-06
2	Breast_neoplasm	3.4473756196236106e-06
2	Epilepsy	3.3243669065422107e-06
2	Psychotic_disorder	3.3037500678298626e-06
2	Amyotrophic_lateral_sclerosis	3.1750135885798345e-06
2	Cardiac_arrhythmia	3.1453914162153282e-06
2	Pheochromocytoma	3.0359045408536982e-06
2	Dementia	2.956973516123401e-06
2	Congestive_heart_failure	2.6747150672492163e-06
2	Hemangioma	2.5073333950642756e-06
2	Asthma	2.3955165159926884e-06
2	Decreased_circulating_vitamin_D_concentration	2.0934843306606307e-06
2	Major_depressive_disorder	2.056817384352122e-06
2	Arrhythmogenic_right_ventricular_dysplasia_13	2.0513648058103747e-06
2	Endometriosis	1.9799370580633804e-06
2	Neoplasm_of_stomach	1.9481511428800984e-06
2	Anxiety	1.8658636602500718e-06
2	Supraventricular_tachycardia	1.7854670405093863e-06
2	Renal_cell_carcinoma	1.6717088853267622e-06
2	Spasticity	1.592857425620661e-06
2	Migraine	1.4793401130347717e-06
2	Chronic_pain	1.4725974902461345e-06
2	Hereditary_spastic_paraplegia_26	1.3578331446697217e-06
2	Azorean_disease	1.3529249137520503e-06
2	Dyspnea	1.315840107457284e-06
2	Fatigue	1.286411486269695e-06
2	Pain	1.2737260894385605e-06
2	Metastasis	1.2261175259176293e-06
2	Xerostomia	1.207223420673801e-06
2	Cirrhosis_of_liver	1.2011597065395498e-06
2	Acute_coronary_syndrome	1.1296680000351361e-06
2	Melanoma	1.1208041282995073e-06
2	Heart_failure	1.1129841531236801e-06
2	Polycystic_ovaries	1.0944502377994097e-06
2	Osteoarthritis	1.0902334745834772e-06
2	Myocardial_ischemia	1.0451872956977613e-06
2	Dystonic_disorder	1.0036305951697657e-06
2	Neoplasm_of_lung	9.792699957293007e-07
2	Non_small_cell_lung_carcinoma	9.525108890152019e-07
2	Cachexia	9.506532781930767e-07
2	Rheumatoid_arthritis	9.472414241673056e-07
2	Autosomal_dominant_Parkinson_disease_8	9.23973780198893e-07
2	Chorea	9.17038750141065e-07
2	Attention_deficit_hyperactivity_disorder	9.12354071159658e-07
2	Constipation	8.708496356277208e-07
2	Colonic_neoplasm	8.362346777176594e-07
2	Tourette_syndrome	8.130622313924816e-07
2	Drug_induced_dyskinesia	8.008505566371926e-07
2	Neoplasm_of_the_large_intestine	7.981265126203098e-07
2	Cataract_30	7.915718172347565e-07
2	Bilateral_tonic_clonic_seizure	7.911374069159418e-07
2	Tremor_hereditary_essential_1	7.881363038933651e-07
2	Coronary_artery_disorder	7.8364903724454e-07
2	Obesity	7.83336390135251e-07
2	Gastroesophageal_reflux_disease	7.48379034846966e-07
2	Dyskinesia	7.359638424479386e-07
2	Strabismus	7.260971376541258e-07
2	Alzheimer_disease	7.032773524934802e-07
2	Hepatocellular_carcinoma	6.977793747197748e-07
2	Nystagmus	6.847274259712537e-07
2	Type_2_diabetes_mellitus	6.734699777402862e-07
2	Heartburn	6.651583788537507e-07
2	Glioma	6.640028755534458e-07
2	Anxiety_disorder	6.529758784178491e-07
2	Respiratory_insufficiency	6.183796771515781e-07
2	Peripheral_neuropathy	6.062861367837557e-07
2	Abductor_spastic_dysphonia	5.918692115264534e-07
2	Adductor_spastic_dysphonia	5.918692115264534e-07
2	Mixed_flaccid-spastic_pseudobulbar_dysphonia	5.918692115264534e-07
2	Spastic_syndrome	5.918692115264534e-07
2	Extrapyramidal_disease	5.786421180319115e-07
2	Bladder_neoplasm	5.656815125449633e-07
2	Amyotrophic_lateral_sclerosis_type_6	5.47148299501473e-07
2	Tremor_hereditary_essential_4	5.47148299501473e-07
2	Pulmonary_hypertension	5.435608539429112e-07
2	Glioblastoma	5.350091793212337e-07
2	Wilson_disease	5.338344543131709e-07
2	Lennox_Gastaut_syndrome	5.243237979090138e-07
2	Movement_disorder	5.234436935056934e-07
2	Patent_ductus_arteriosus	5.16303096000626e-07
2	Atypical_absence_seizure	5.064415485747372e-07
2	Thrombotic_disease	5.038202755135486e-07
2	Severe_major_depression_with_psychotic_features	4.994565727078461e-07
2	Stroke_disorder	4.664870246687214e-07
2	Squamous_cell_carcinoma	4.5942446385571235e-07
2	Parkinson_disease_late_onset	4.471577109252259e-07
2	Erectile_dysfunction	4.4385309285115804e-07
2	Cryptorchidism	4.386790792131164e-07
2	Urinary_urgency	4.3378729152678693e-07
2	Pick_Complex	4.2724791720004116e-07
2	Frontotemporal_dementia	4.2709275270831984e-07
2	Pick_disease	4.270056485689834e-07
2	Supranuclear_palsy_progressive_1	4.2629697049263994e-07
2	Lewy_body_dementia	4.117630724191125e-07
2	Orthostatic_hypotension	4.093015276482843e-07
2	Diffuse_Lewy_Body_Disease_with_Gaze_Palsy	4.0177910374693035e-07
2	Ovarian_epithelial_cancer	3.9661196487563824e-07
2	Lewy_Body_Variant_of_Alzheimer_Disease	3.9432720112757774e-07
2	Juvenile_idiopathic_arthritis	3.9385399539494005e-07
2	Contact_dermatitis	3.882366316754638e-07
2	Gaucher_disease	3.873429386536518e-07
2	Hypotension	3.87199389881777e-07
2	Spontaneous_Abortion	3.8435334253609755e-07
2	Atypical_Parkinson_Disease	3.8160061315484284e-07
2	Lung_adenocarcinoma	3.781921799305722e-07
2	Autosomal_dominant_Parkinson_disease_1	3.70136008543549e-07
2	Autosomal_dominant_Parkinson_disease_4	3.700556108634048e-07
2	Ovarian_cancer	3.66877887967967e-07
2	Head_and_neck_neoplasm	3.649542138811418e-07
2	Breast_carcinoma	3.557756941862306e-07
2	Acute_myeloid_leukemia	3.5434772203549273e-07
2	Autosomal_recessive_juvenile_Parkinson_disease_2	3.522221257733152e-07
2	Secondary_Parkinson_disease	3.469925347057013e-07
2	Lung_cancer_protection_against	3.464711175889592e-07
2	Minimally_invasive_lung_adenocarcinoma	3.455657286171167e-07
2	Lung_cancer	3.4551654410915893e-07
2	Pulmonary_arterial_hypertension	3.4008687146586066e-07
2	West_syndrome	3.2124104889945844e-07
2	Allergic_contact_dermatitis	3.110561317415802e-07
2	T_cell_acute_lymphoblastic_leukemia	3.109438710722498e-07
2	Osteoporosis	3.081741019845381e-07
2	Drug_allergy	3.0621428948392097e-07
2	Primary_dilated_cardiomyopathy	2.9741409567244717e-07
2	Adenocarcinoma	2.9398854743314324e-07
2	Osteosarcoma	2.919854989715006e-07
2	Focal_dystonia	2.763317745338587e-07
2	Glaucoma	2.750714834902742e-07
2	Neoplasm_of_ovary	2.6535318606336367e-07
2	Classic_Hodgkin_lymphoma	2.624455272844572e-07
2	Cardiomyopathy	2.579886447926928e-07
2	Tetralogy_of_Fallot	2.55165103699494e-07
2	Female_infertility	2.510956074706786e-07
2	Pseudobulbar_paralysis	2.5081910114963873e-07
2	Adenoma	2.497808403119955e-07
2	Sarcoma	2.497158727913457e-07
2	Epilepsy_with_generalized_tonic_clonic_seizures	2.465578278686469e-07
2	Adult_acute_respiratory_distress_syndrome	2.460333378755504e-07
2	Coarctation_of_aorta	2.452348299705445e-07
2	Ischemic_encephalopathy	2.3429443019260348e-07
2	Diabetes_mellitus	2.3074162280710717e-07
2	Paroxysmal_atrial_fibrillation	2.2683053757894907e-07
2	Excessive_salivation	2.2517719528700494e-07
2	Fever	2.1279918307662207e-07
