multiplex	node	score
2	Facial_paralysis	0.2261211645058386
2	Tremor	0.00011551155740175179
2	Otitis_media	0.00011513722933623257
2	Nystagmus	9.953341364016766e-05
2	Growth_failure	9.656304329588146e-05
2	Growth_retardation	9.63939238389171e-05
2	Anemia	9.634186510914153e-05
2	Autosomal_dominant_osteopetrosis_2	7.302307968441537e-05
2	Carious_teeth	5.731470364174714e-05
2	Autosomal_recessive_osteopetrosis_1	5.6751786524638224e-05
2	Osteomyelitis	5.6508365028574264e-05
2	Osteoarthritis	5.529367915229297e-05
2	Autosomal_recessive_osteopetrosis_4	5.506541537364943e-05
2	Arthritis	5.467632266039091e-05
2	Epilepsy	4.599686002392294e-05
2	Seizure	4.589147679196794e-05
2	Blindness	4.156800541600944e-05
2	Tetany	4.000896791405014e-05
2	Infection_of_bone	3.989354653072431e-05
2	Cough	1.6558880466265553e-05
2	Peptic_ulcer	1.5896496184583457e-05
2	Strabismus	1.5019174183826572e-05
2	Vocal_cord_paresis	1.2853241545872517e-05
2	Unilateral_vocal_cord_paralysis	1.2853241545872517e-05
2	Abducens_nerve_disorder	1.2853241545872517e-05
2	Bilateral_vocal_cord_paresis	1.2853241545872517e-05
2	Hypokalemic_periodic_paralysis,_type_1	1.2853241545872517e-05
2	Vocal_cord_paralysis_(caused_by_tumor_impingement)	1.2853241545872517e-05
2	Fourth_cranial_nerve_palsy	1.2853241545872517e-05
2	Other_Specified_Paralytic_Syndromes	1.2853241545872517e-05
2	Unilateral_vocal_cord_paresis	1.2853241545872517e-05
2	Weakness_of_vocal_cord	1.2853241545872517e-05
2	Respiratory_paralysis	1.2853241545872517e-05
2	Vocal_cord_paralysis	1.2853241545872517e-05
2	Oculomotor_nerve_palsy	1.243690887660232e-05
2	Schizophrenia	1.1534035295521365e-05
2	Neoplasm_of_stomach	1.0029539988821088e-05
2	Pseudobulbar_paralysis	9.895028799351443e-06
2	Cryptorchidism	8.455428272567652e-06
2	Cardiac_arrhythmia	6.8472492058440725e-06
2	Alcohol_dependence	6.756786541800593e-06
2	Vomiting	6.749947073682533e-06
2	Spasticity	6.708845391026169e-06
2	Weakness_of_facial_musculature	6.3281401437078985e-06
2	Facial_palsy	6.3281401437078985e-06
2	Osteoporosis	5.883241387181819e-06
