multiplex	node	score
2	Fibrosarcoma	0.22622486439848732
2	Rhabdomyosarcoma	0.00025428723926892435
2	Melanoma	0.00011157568389424736
2	Schizophrenia	7.401043218074001e-05
2	Papillary_thyroid_carcinoma	6.981041448282549e-05
2	Acute_myeloid_leukemia	6.942530171784572e-05
2	Sarcoma	6.80727609389084e-05
2	Chronic_myelomonocytic_leukemia	6.584588159193702e-05
2	Juvenile_idiopathic_arthritis	5.473916781307912e-05
2	Hematologic_neoplasm	5.135680630017884e-05
2	Glioma	5.060139542041186e-05
2	Thrombocytopenia	4.368046210902394e-05
2	Hypertensive_disorder	4.105045158394969e-05
2	Major_depressive_disorder	4.0457264800056735e-05
2	Endometriosis	3.8782833064201026e-05
2	Status_epilepticus	3.800018764149512e-05
2	Skin_ulcer	3.458846236086853e-05
2	Leukemia_acute_myeloid_susceptibility_to	3.20486203479234e-05
2	Autism	3.0202946810488095e-05
2	Astrocytoma	2.811555154300558e-05
2	Cryptorchidism	2.7633119355776366e-05
2	Seizure	2.689611465943384e-05
2	Neurofibromatosis_familial_spinal	2.600099712115992e-05
2	Neurofibromatosis_type_1	2.599953425223546e-05
2	Psychotic_disorder	2.5697511732345383e-05
2	Essential_thrombocythemia	2.483263900138252e-05
2	Spontaneous_Abortion	2.4607338192689094e-05
2	Migraine	2.4269334981613636e-05
2	Anxiety	2.4003473121792856e-05
2	Urinary_incontinence	2.390048240994723e-05
2	Vertigo	2.387172170758527e-05
2	Chorea	2.3787551328401475e-05
2	Basal_ganglia_calcification_idiopathic_5	2.3623804892292628e-05
2	Osteopenia	2.0879194571188118e-05
2	Cholangitis	1.993194936485083e-05
2	Gastroesophageal_reflux_disease	1.9574514850807433e-05
2	Heartburn	1.952550308119126e-05
2	Neoplasm_of_the_skin	1.9514029062273966e-05
2	Premature_birth_of_newborn	1.946532354270581e-05
2	Keloid	1.9405719166478574e-05
2	Pulmonary_arterial_hypertension	1.9197427994145122e-05
2	Ehlers_Danlos_syndrome_classic_type_1	1.8926116918124706e-05
2	Osteogenesis_imperfecta_type_III	1.889232173499903e-05
2	Osteogenesis_imperfecta_with_normal_sclerae_dominant_form	1.8879757446704774e-05
2	Osteogenesis_imperfecta_type_I	1.8828287283783297e-05
2	Infantile_cortical_hyperostosis	1.880403322084327e-05
2	Dermatofibrosarcoma_Protuberans	1.8644768844995752e-05
2	Glioblastoma	1.425571774259394e-05
2	Hepatocellular_carcinoma	1.3312332456190507e-05
2	Depression	1.3260981766687544e-05
2	Epilepsy	1.3026150428752617e-05
2	Hypertrophic_cardiomyopathy	1.2812474185061897e-05
2	Pulmonary_fibrosis	1.25923641963071e-05
2	Adenoma	1.2513792823298188e-05
2	Juvenile_myelomonocytic_leukemia	1.2509966644059537e-05
2	Pheochromocytoma	1.2476742105822735e-05
2	Liposarcoma	1.2453613939797246e-05
2	Spinal_cord_tumor	1.2350460797625406e-05
2	Breast_neoplasm	1.1877285351341478e-05
2	Dystonic_disorder	1.1306519366303941e-05
2	Tremor	1.1068777135621373e-05
2	Parkinsonian_disorder	1.1004728490685898e-05
2	Dementia	1.0996268641633154e-05
2	Dizziness	1.0972384555494769e-05
2	Familial_meningioma	1.0873374769760043e-05
2	Dyskinesia	1.0783446650593845e-05
2	Nephrotic_syndrome	1.0548651327961837e-05
2	Osteoporosis	9.884471852806341e-06
2	Heart_failure	9.687437017670633e-06
2	Cirrhosis_of_liver	9.596265315056033e-06
2	Prostate_neoplasm	9.176874901261971e-06
2	Osteoarthritis	8.96472134399048e-06
2	Varicose_disease	8.91214723924195e-06
2	Autoimmune_disease	8.79291904747876e-06
2	Medullary_Carcinoma_Not_Otherwise_Specified	8.714544655447738e-06
2	Premature_birth	8.42248684534778e-06
2	Respiratory_insufficiency	8.34084452954642e-06
2	Fever	8.296064445027033e-06
2	Osteogenesis_imperfecta	8.252369171784083e-06
2	Neuroblastoma	8.227000992704074e-06
2	Congestive_heart_failure	8.096956642212012e-06
2	Osteogenesis_imperfecta_perinatal_lethal	7.958099411015907e-06
2	Bacterial_infection_of_skin	7.917882825566405e-06
2	Cellulitis	7.898919910826909e-06
2	Malignant_peripheral_nerve_sheath_tumor	7.886149010668393e-06
2	Neurofibromatosis,_type_1	7.886149010668393e-06
2	Neurofibrosarcoma	7.886149010668393e-06
2	Leiomyosarcoma	7.886149010668393e-06
2	Angiosarcoma	7.886149010668393e-06
2	Fracture_hip_susceptibility_to	7.865881788548299e-06
2	Fibroma	7.674834414363401e-06
2	Classic_Hodgkin_lymphoma	7.2727610273184855e-06
2	Embryonal_rhabdomyosarcoma	6.047068469053366e-06
2	Osteosarcoma	5.867181459268855e-06
2	Neoplasm_of_stomach	5.782706834016035e-06
