multiplex	node	score
2	Focal_aware_seizure	0.18714177822687547
2	Complex_Partial_Seizure	0.0004448487449687311
2	Depression	0.0003858536203567776
2	Glioma	0.0002894383646172157
2	Bipolar_affective_disorder	0.00021553801903893998
2	Schizophrenia	0.0001623170973839839
2	Autism	0.00014990605572354432
2	Major_depressive_disorder	0.00014874854243830912
2	Norman_Roberts_syndrome	0.00014582753067596163
2	Alzheimer_disease	0.00014554330591163588
2	Status_epilepticus	1.816475599569888e-05
2	Complex_partial_epilepsy	1.5273310175853668e-05
2	West_syndrome	1.4887306886019423e-05
2	Seizure	1.2218016417811291e-05
2	Benign_Neonatal_Epilepsy	1.1243864776219735e-05
2	Epilepsy	9.699900491114694e-06
2	Temporal_lobe_epilepsy	7.723722619428186e-06
2	Bilateral_tonic_clonic_seizure	4.629063433483939e-06
2	Febrile_seizure_within_the_age_range_of_3_months_to_6_years	4.415586688716651e-06
2	Migraine	3.679427976172024e-06
2	Prostate_neoplasm	3.002416864269349e-06
2	Breast_neoplasm	2.6462027109645753e-06
2	Absence_seizure	2.61113876553002e-06
2	Lennox_Gastaut_syndrome	2.591264469618143e-06
2	Generalized_onset_seizure	2.508040638322058e-06
2	Alcohol_dependence	2.4065502740522664e-06
2	Epilepsy_with_generalized_tonic_clonic_seizures	2.249103488784959e-06
2	Juvenile_idiopathic_arthritis	2.0563944056000647e-06
2	Restless_legs	2.0457322510804266e-06
2	Atypical_absence_seizure	2.0320128845385727e-06
2	Liver_failure	2.004250167373527e-06
2	Metastasis	1.9726861937176143e-06
2	Obesity	1.8775343688931998e-06
2	Type_2_diabetes_mellitus	1.841951682801611e-06
2	Aplastic_anemia	1.8375844845670261e-06
2	Rheumatoid_arthritis	1.8190276322103909e-06
2	Renal_cell_carcinoma	1.8145522590677966e-06
2	Atonic_seizure	1.8080126086174594e-06
2	Brugada_syndrome_7	1.7221644087601526e-06
2	Atrial_fibrillation_familial_16	1.7221644087601526e-06
2	Polycystic_ovaries	1.713720223417806e-06
2	Trigeminal_neuralgia	1.6661215119695112e-06
2	Severe_myoclonic_epilepsy_in_infancy	1.5865036165000954e-06
2	myoclonic_epilepsy	1.5555653237437518e-06
2	Hepatocellular_carcinoma	1.5215310190731323e-06
2	Cryptorchidism	1.463859347086336e-06
2	Melanoma	1.3075237230608262e-06
2	Neoplasm_of_the_large_intestine	1.2998988232068722e-06
2	Endometriosis	1.2653520584328253e-06
2	Nystagmus	1.1598817689279778e-06
2	Neoplasm_of_stomach	1.1354875282725e-06
2	Non_small_cell_lung_carcinoma	1.0377593289446877e-06
2	Psychotic_disorder	1.0026199000495264e-06
2	Hypertensive_disorder	1.002521920369032e-06
2	Lafora_disease	9.977070678130933e-07
2	Myocardial_ischemia	9.671171983753901e-07
2	Strabismus	9.500280600678716e-07
2	Small_cell_lung_carcinoma	9.476446177538776e-07
2	Delayed_puberty	8.997986986236604e-07
2	Acute_myeloid_leukemia	8.262514522127664e-07
2	Spasticity	8.168783080027684e-07
2	Neoplasm_of_lung	8.125235289590808e-07
2	Colonic_neoplasm	7.826783243116642e-07
2	Ochoa_syndrome	7.446913408328992e-07
2	Osteoarthritis	6.67764810965637e-07
2	Tremor	6.605761730083699e-07
2	Attention_deficit_hyperactivity_disorder	6.061984109358988e-07
2	Osteoporosis	6.031479053473506e-07
2	Anxiety	6.015079089471058e-07
2	Dementia	5.984173771458787e-07
2	Peripheral_neuropathy	5.920663928691037e-07
2	Stevens_Johnson_syndrome	5.756563347761985e-07
2	Cirrhosis_of_liver	5.663039399392733e-07
2	Asthma	5.38595519288376e-07
2	Respiratory_insufficiency	5.178813517654957e-07
2	Heart_failure	5.051612005416096e-07
2	Obsessive_compulsive_disorder	4.977522424687183e-07
2	Spontaneous_Abortion	4.908941263741894e-07
2	Dystonic_disorder	4.819139096507373e-07
2	Crohn_disease	4.798622310695837e-07
2	Neoplasm_of_ovary	4.794323666382287e-07
2	Ulcerative_colitis	4.5915699544856207e-07
2	Glioblastoma	4.3676027408630444e-07
2	Urinary_incontinence	4.0498164113107394e-07
2	Somatosensory_epilepsy	4.04720669326678e-07
2	Glaucoma	4.044562571006929e-07
2	Epilepsy,_juvenile_absence_2	3.959480521041939e-07
2	Seizures_complicating_infection_in_the_newborn	3.9548177254007886e-07
2	Parkinson_disease	3.949753476876494e-07
2	Ideational_partial_seizure	3.9473748784631036e-07
2	Cryptogenic_Lennox-Gastaut_syndrome	3.943512516997428e-07
2	Pattern_sensitive_seizure	3.9431248266606806e-07
2	Developmental_and_epileptic_encephalopathy,_9	3.9359015065277074e-07
2	Epilepsy,_idiopathic_generalized,_susceptibility_to,_11	3.9331020440365415e-07
2	Stress_seizure	3.9295341427297413e-07
2	Bladder_neoplasm	3.9261338798921073e-07
2	Musicogenic_seizure	3.9147066937161367e-07
2	Afebrile_seizure	3.910179941573051e-07
2	Complex_partial_status_epilepticus	3.905551213814896e-07
2	Seizures,_benign_familial_infantile,_3	3.9030137393876047e-07
2	Frontal_lobe_epilepsy	3.895966849725957e-07
2	Supplementary_motor_epilepsy	3.886619173480473e-07
2	Patent_ductus_arteriosus	3.8821770747628177e-07
2	Generalized_Epilepsy,_Symptomatic	3.88138355020616e-07
2	Absence_seizure_with_eyelid_myoclonia	3.8784880643065525e-07
2	Localization-related_symptomatic_epilepsy	3.8740203967436885e-07
2	Epilepsia_partialis_continua	3.870968311256588e-07
2	Focal_sensory_seizure_with_visual_features	3.8699751542895215e-07
2	Menstrual_epilepsy	3.8654784264729663e-07
2	Epilepsy,_progressive_myoclonic,_1B	3.858280969982871e-07
2	Toothbrushing_epilepsy	3.8529587130104906e-07
2	Postseizure_delirium	3.85223254763763e-07
2	Benign_focal_epilepsy_of_childhood	3.848900075824701e-07
2	Early_infantile_epileptic_encephalopathy_with_suppression_bursts	3.8461153998920306e-07
2	Primary_inherited_reading_epilepsy	3.844639170003034e-07
2	Psychosensory_epilepsy	3.844280820946909e-07
2	Refractory_epilepsia_partialis_continua	3.8421884966727635e-07
2	Simple_partial_status_epilepticus	3.837796878392079e-07
2	Behavioral_arrest_epileptic_seizure	3.835620500656564e-07
2	Myoclonic_epilepsy_of_infancy	3.835404182001116e-07
2	Nephrotic_syndrome	3.834628229203453e-07
2	Coronary_artery_disorder	3.8342820180973816e-07
2	Localization-related_idiopathic_epilepsy	3.8338556550465667e-07
2	Gustatory_hallucinations	3.831474715187544e-07
