multiplex	node	score
2	Gangrene	0.22626338073306645
2	Fatigue	0.00016429973426885068
2	Intermittent_claudication	0.00015847496232532384
2	Peripheral_arterial_occlusive_disease	0.0001508485779429897
2	Vasculitis	0.00013216517088220997
2	Pulmonary_fibrosis	8.217222845609672e-05
2	Peripheral_neuropathy	7.803483935160125e-05
2	Atrioventricular_block	7.803411890344658e-05
2	Myalgia	6.230505783236927e-05
2	Migraine	6.219275576246284e-05
2	Anemia	6.130280543183226e-05
2	Skin_ulcer	6.0980381199133513e-05
2	Renal_insufficiency	5.598847898804773e-05
2	Kidney_failure	5.5892553954851906e-05
2	Recurrent_singultus	5.40556169605512e-05
2	Sudden_death	5.40556169605512e-05
2	Hiccoughs	5.40556169605512e-05
2	Ankylosing_spondylitis	4.0712156591240835e-05
2	Fever	4.0548165115062904e-05
2	Seizure	4.051672717931822e-05
2	Epilepsy	4.045139426483919e-05
2	Arthritis	3.962629657490925e-05
2	Myocardial_infarction	3.915722450044942e-05
2	Hypertensive_crisis	3.851032584822714e-05
2	Pulmonary_hypertension	3.842230370972955e-05
2	Anorexia	3.839410342574952e-05
2	Hypertrophic_cardiomyopathy	3.836309788290827e-05
2	Pulmonary_arterial_hypertension	3.8320712315636216e-05
2	Behcet_disease	3.2342530461884145e-05
2	Immunodeficiency	2.739708422946488e-05
2	Systemic_lupus_erythematosus	2.7324362895615496e-05
2	Biliary_cirrhosis	2.6904464303893867e-05
2	Spontaneous_Abortion	2.6883009876475922e-05
2	Asthma_diminished_response_to_antileukotriene_treatment_in	2.6525490749876972e-05
2	Asthma_protection_against	2.6515079396760843e-05
2	Inherited_susceptibility_to_asthma	2.6453834723390207e-05
2	Nephritis	2.642831145451325e-05
2	Schizophrenia	2.6163835081621566e-05
2	Arthralgia	2.4252523821488204e-05
2	Nausea_and_vomiting	2.392532875540222e-05
2	Halitosis	2.316357952672231e-05
2	Aphthous_stomatitis	2.2684585231458023e-05
2	Oral_ulcer	2.2629053260619974e-05
2	Stevens_Johnson_syndrome	2.162334285549824e-05
2	Psychotic_disorder	2.1496607824130548e-05
2	Drug_allergy	2.138478627590408e-05
2	Diarrhea	2.1236292874838715e-05
2	Excessive_salivation	2.095916538613516e-05
2	Myasthenia_gravis	2.095599164472687e-05
2	Dermatitis	2.095085131992927e-05
2	Spondyloarthropathy_susceptibility_to_1	2.0890361954106564e-05
2	Acute_promyelocytic_leukemia	2.088964662587652e-05
2	Psoriasis	1.4145875148792475e-05
2	Crohn_disease	1.3779266619564976e-05
2	Ulcerative_colitis	1.3640978516642923e-05
2	Asthma	1.2687517493250894e-05
2	Prostate_neoplasm	1.2414701000343698e-05
2	Psoriatic_arthritis	1.209455406135753e-05
2	Abdominal_pain	1.053595276009764e-05
2	Venous_thrombosis	1.0358382828373485e-05
2	Respiratory_insufficiency	1.0085700783579145e-05
2	Allergy	9.915250549782292e-06
2	Gastrointestinal_hemorrhage	9.800299345219544e-06
2	Exanthem	9.76072440721318e-06
2	Acne	9.734739211832012e-06
2	Meningitis	9.696017374060388e-06
2	Orchitis	9.682373551436535e-06
2	Pain	9.57323357483412e-06
2	Ischemic_encephalopathy	9.16946460058417e-06
2	Glioma	8.859426401403635e-06
2	Dermatomyositis	8.664286456966741e-06
2	Synovitis	8.595471368810351e-06
2	Thrombotic_disease	7.764025705445594e-06
2	Diabetic_Vascular_Disorder	4.175960609966334e-06
2	Diabetic_neuropathy	3.627414589969819e-06
2	Bipolar_affective_disorder	3.4283359408576164e-06
2	Stroke_disorder	3.21007938749177e-06
2	Endometrium_neoplasm	2.821955169520388e-06
2	Primary_cutaneous_T_cell_lymphoma	2.675182102235144e-06
2	Peripheral_vascular_disease	2.4759102465881284e-06
2	Breast_neoplasm	2.4443763737533274e-06
2	Hepatocellular_carcinoma	2.2952187483515393e-06
2	Major_depressive_disorder	2.091994761714061e-06
2	Cryptorchidism	1.919357874467608e-06
2	Hypertensive_disorder	1.852858635021196e-06
2	Pruritus	1.7867320773130034e-06
2	Inflammatory_bowel_disease	1.7209684559545142e-06
2	Alopecia	1.6998576616201773e-06
2	Hypereosinophilic_syndrome	1.63547135787715e-06
2	Chronic_eosinophilic_leukemia	1.619667931501037e-06
2	Strabismus	1.5564003175254461e-06
2	Neoplasm_of_stomach	1.5130912079498767e-06
2	Rheumatoid_arthritis	1.5096711031348032e-06
2	Palmoplantar_keratosis	1.5044035770971059e-06
2	Erythroderma	1.4348104163804975e-06
2	Depression	1.3400534524624904e-06
2	Ichthyosis	1.253382211652449e-06
2	Hyperkeratosis	1.2499248403158302e-06
2	Pulmonary_embolism	1.1915270384142518e-06
2	Myocardial_ischemia	1.1718367691887736e-06
2	Keratitis	1.16708040313843e-06
2	Thromboembolism	1.1631694456558482e-06
2	Juvenile_idiopathic_arthritis	1.1579085972688782e-06
2	Neoplasm_of_the_large_intestine	1.1518004650303719e-06
2	Autoimmune_disease	1.1088038769297465e-06
2	Melanoma	1.1063900670166817e-06
2	Pneumonia	1.0600749631359343e-06
2	Nephrotic_syndrome	1.026279975089128e-06
2	Blindness	9.93936512980116e-07
2	Purpura	9.918513797843412e-07
2	Alcohol_dependence	9.86856764228489e-07
2	Cough	9.795810365209402e-07
2	Autism	9.617487630615516e-07
2	Thrombophilia	9.497830543855929e-07
2	Cirrhosis_of_liver	9.371357212872662e-07
2	Deep_venous_thrombosis	9.330396821934945e-07
2	Cerebral_ischemia	9.299326310411505e-07
2	Disseminated_intravascular_coagulation	9.037906553635487e-07
2	Obesity	8.982344979424333e-07
2	Glaucoma	8.756672361911706e-07
2	Chronic_obstructive_pulmonary_disease	7.9597410984545e-07
2	Type_2_diabetes_mellitus	7.925779969955356e-07
2	Urolithiasis	7.868150997393415e-07
2	Premature_birth	7.743651718939002e-07
2	Growth_failure	7.624965152752379e-07
2	Sinusitis	7.556931435206716e-07
2	Growth_retardation	7.461543707138598e-07
2	Premature_birth_of_newborn	7.359088140282967e-07
2	Spasticity	7.170317391384797e-07
2	Acute_myeloid_leukemia	7.011981936778083e-07
2	Adult_acute_respiratory_distress_syndrome	6.953298056903761e-07
2	Neoplasm_of_ovary	6.91435591250294e-07
2	Colonic_neoplasm	6.777465234486135e-07
2	Multiple_sclerosis	6.758540539067966e-07
2	Iridocyclitis	6.692699895996726e-07
2	Patent_ductus_arteriosus	6.54722698448591e-07
2	Neoplasm_of_lung	6.419478015919073e-07
2	Osteosarcoma	6.304949348551857e-07
2	Nystagmus	6.257123056780153e-07
2	Dry_eye_syndrome	6.127454017505679e-07
2	Renal_cell_carcinoma	6.019164223883788e-07
2	Endometriosis	6.002704488662485e-07
2	Reduced_circulating_vitamin_A_concentration	5.960630257605076e-07
2	Non_small_cell_lung_carcinoma	5.876780562817243e-07
2	Renal_neoplasm	5.776765874894015e-07
2	Metastasis	5.753217907513253e-07
2	Osteoarthritis	5.39838148255488e-07
2	Autosomal_recessive_congenital_ichthyosis_1	5.371473610578393e-07
2	Atherosclerosis	5.354139781334626e-07
