multiplex	node	score
2	Gingivostomatitis	0.11681589233044143
2	Periodontitis	0.00018730591658647856
2	Schizophrenia	0.00013169100711503702
2	Hypertensive_disorder	0.00012108121315008869
2	Bipolar_affective_disorder	0.00011571249153391927
2	Colonic_neoplasm	0.00010076696714029423
2	Prostate_neoplasm	9.888004549680384e-05
2	Alcohol_dependence	9.426493798584994e-05
2	Asthma	9.402984617827497e-05
2	Breast_neoplasm	8.804326808645666e-05
2	Myocardial_infarction	8.57992898273899e-05
2	Ulcerative_colitis	8.458140851301586e-05
2	Metastasis	8.441151829091632e-05
2	Hepatocellular_carcinoma	8.425311840950817e-05
2	Non_small_cell_lung_carcinoma	8.366105711384327e-05
2	Glioblastoma	8.333647505421392e-05
2	Lupus_nephritis	8.311782418383421e-05
2	Obesity	8.280336305927242e-05
2	Chronic_obstructive_pulmonary_disease	8.262117166089578e-05
2	Astrocytoma	8.24852650367118e-05
2	Neoplasm_of_the_pancreas	8.24706611855518e-05
2	Ischemic_encephalopathy	8.237047422123785e-05
2	Pulmonary_fibrosis	8.236456743142891e-05
2	Emphysema	8.235613225469187e-05
2	Hyperplasia	8.229088805918734e-05
2	Bone_Neoplasm	8.220734110056342e-05
2	Diabetic_neuropathy	8.219730968380013e-05
2	Squamous_cell_carcinoma	8.219567956935068e-05
2	Acute_coronary_syndrome	8.214729769810927e-05
2	Premature_birth	8.211746752982872e-05
2	Gastric_ulcer	8.207904069805319e-05
2	Neoplasm_of_the_skin	8.183019859091342e-05
2	Pneumonia	6.835856638057417e-05
2	Stomatitis	6.779851090556162e-05
2	Conjunctivitis	6.564736351645379e-05
2	Gingivitis	5.773755169257501e-05
2	Gingival_disorder	4.807342860523665e-05
2	Skin_disorder	4.567063030749272e-05
2	Infection_of_bone	3.979996431918731e-05
2	Myositis_disease	3.935870611708423e-05
2	Osteomyelitis	3.9160759029596314e-05
2	Immunodeficiency	3.88184128198129e-05
2	Diarrhea	3.80578816165524e-05
2	Thrombocytopenia	3.769604183713521e-05
2	Coronary_artery_disorder	3.764363255615698e-05
2	Autoimmune_disease	3.749311782404519e-05
2	Pulmonary_hypertension	3.725998999942093e-05
2	Neoplasm_of_stomach	3.441197818100804e-05
2	Major_depressive_disorder	3.3122024380588334e-05
2	Infectious_disease_of_lung	3.109328032345313e-05
2	Blindness	3.107091629535519e-05
2	Juvenile_idiopathic_arthritis	3.0746903661002195e-05
2	Keratoconjunctivitis	3.0656234257756875e-05
2	Allergy	2.4172169601961624e-05
2	Stroke_disorder	2.333802526631799e-05
2	Hyperkeratosis	2.2554352367470188e-05
2	Diffuse_gastric_and_lobular_breast_cancer_syndrome_with_cleft_lip_and_with_or_without_cleft_palate	2.254780066665266e-05
2	Dysthymic_disorder	2.2490840130737595e-05
2	Duodenal_ulcer	1.8060992128598724e-05
2	Sinusitis	1.671789721346495e-05
2	Arthralgia	1.3070727791551829e-05
2	Autism	1.2630979817197402e-05
2	Hereditary_diffuse_gastric_adenocarcinoma	1.176158130494983e-05
2	Keloid	7.996407443961763e-06
2	Spontaneous_Abortion	7.860549953065314e-06
2	Rheumatoid_arthritis	6.941865390139382e-06
2	Acute_myeloid_leukemia	6.456924203097104e-06
2	Atopic_eczema	6.184883770825581e-06
2	Contact_dermatitis	5.87876189469e-06
2	Acute_promyelocytic_leukemia	5.628411943333695e-06
2	Fever	4.990320684845259e-06
2	Systemic_lupus_erythematosus	3.1965151292080062e-06
2	Adult_acute_respiratory_distress_syndrome	3.1213167356056463e-06
2	Ovarian_cyst	2.8822678201365875e-06
2	Otitis_media	2.8482490553321164e-06
2	Neoplasm_of_esophagus	2.7913745169145507e-06
2	Meningococcal_meningitis	2.5383761225123403e-06
2	Abnormal_salivary_gland_morphology	2.4322413524387837e-06
2	Isolated_Pierre-Robin_syndrome	2.4322413524387837e-06
2	Arrhinencephaly	2.4322413524387837e-06
2	Corneal_opacity	2.4322413524387837e-06
2	Holoprosencephaly_sequence	2.4322413524387837e-06
2	Bilirubin_encephalopathy	2.4322413524387837e-06
2	Clouding_of_corneal_stroma	2.4322413524387837e-06
2	Corneal_perforation	2.4322413524387837e-06
2	Meningitis	2.409545024835607e-06
2	Pituitary_gland_disorder	2.3609062455947376e-06
2	Corneal_neovascularization	2.3609062455947376e-06
2	Disorder_of_salivary_gland	2.3559315921110414e-06
2	Neoplasm_of_brain	2.284258685182982e-06
2	Neoplasm_of_the_oral_cavity	2.2228749921698033e-06
2	Oral_lesion	2.2228749921698033e-06
2	Allergic_contact_dermatitis	2.2179380186287556e-06
2	Cholangitis	2.1096192490100394e-06
2	Carious_teeth	2.0351763857803463e-06
2	Erysipelas	2.033506149510658e-06
2	Abnormal_dental_morphology	2.0207699417047343e-06
2	Abnormality_of_the_dentition	2.0207699417047343e-06
2	Depression	1.9375007714551295e-06
2	Acne	1.8516171603608114e-06
2	Ankyloglossia	1.7909270077410434e-06
2	Streptococcal_pneumonia	1.740913692258119e-06
2	Cirrhosis_of_liver	1.6580955134845966e-06
2	Panniculitis	1.6486237704527546e-06
2	Lymphadenitis	1.6486237704527546e-06
2	Disorder_of_nasal_sinus	1.6126876793687735e-06
2	Renal_cell_carcinoma	1.5679760051235744e-06
2	Neoplasm_of_lung	1.5026900288900426e-06
2	Osteoporosis	1.4982234619484293e-06
2	Inflammatory_abnormality_of_the_skin	1.4783900266437268e-06
2	Psychotic_disorder	1.4718525277502784e-06
2	Prostatitis	1.4584773870965102e-06
2	Osteoarthritis	1.450405494114734e-06
2	Nephritis	1.4447052178698326e-06
2	Endocarditis	1.4228076569582088e-06
2	Melanoma	1.4202554404342697e-06
2	Biliary_cirrhosis	1.4174916376986406e-06
2	Crohn_disease	1.3357010788249488e-06
2	Periodontal_disorder	1.3236544049015847e-06
2	Myocardial_ischemia	1.3080160719885476e-06
2	Epididymitis	1.3032047648571052e-06
2	Disorder_of_lung	1.2857005788509401e-06
2	Atherosclerosis	1.2451228357715884e-06
2	Spondyloepimetaphyseal_dysplasia_Missouri_type	1.1826039115014943e-06
2	MANDP1_disease	1.1826039115014943e-06
2	Urinary_bladder_inflammation	1.1735816187938443e-06
2	Urinary_tract_infectious_disease	1.1408701970580297e-06
2	Polycystic_ovaries	1.1300429796786283e-06
2	Dermatitis	1.1294880219349334e-06
2	Epilepsy	1.1274945742349718e-06
2	Seizure	1.112177710982286e-06
2	Exanthem	1.1097315512734548e-06
2	Bacterial_endocarditis	1.0846132497717663e-06
2	Endometriosis	1.0752630110010131e-06
2	Alzheimer_disease	1.0211858440986621e-06
2	Pancreatitis	9.765509823854918e-07
2	Nasal_polyposis	9.76101640111432e-07
2	Vaginitis	9.750007103748756e-07
2	Myopathy	8.690329915253271e-07
2	Neoplasm_of_the_large_intestine	8.64502912565512e-07
2	Psoriasis	8.387179940571053e-07
2	Thyroiditis	8.345182112990772e-07
2	Leukocytosis	8.248498719877658e-07
2	Thrombotic_disease	8.071884171883084e-07
2	Duchenne_muscular_dystrophy	8.025648812259453e-07
2	Nephrotic_syndrome	8.024394718531062e-07
2	Chronic_renal_failure_syndrome	8.02237862514589e-07
2	Myelodysplastic_syndrome	7.856301611670502e-07
2	Adenocarcinoma	7.123122307750844e-07
