multiplex	node	score
2	Glioma	0.2264591866393617
2	Glioblastoma	0.00012053181005330196
2	Schizophrenia	8.352517835661981e-05
2	Melanoma	7.448372899249147e-05
2	Medulloblastoma	5.2769416952989566e-05
2	Astrocytoma	4.674291875253618e-05
2	Gliosis	4.4350407053282825e-05
2	Breast_neoplasm	3.3253123087594914e-05
2	Neoplasm_of_brain	2.582988400223505e-05
2	Bipolar_affective_disorder	2.522669440802103e-05
2	Prostate_neoplasm	2.3642885859285752e-05
2	Osteosarcoma	2.3496738012045055e-05
2	Retinoblastoma	2.330918364923351e-05
2	Spinal_cord_tumor	2.2354495711102872e-05
2	Depression	2.1019117435055763e-05
2	Neoplasm_of_stomach	2.0281860116455023e-05
2	Primitive_neuroectodermal_tumor	1.9443136614422096e-05
2	Carcinoma	1.9443136614422096e-05
2	Neurocytoma	1.9443136614422096e-05
2	Glioblastoma_multiforme	1.920515833537506e-05
2	Leukemia	1.8599049657418642e-05
2	Pinealoma	1.812545872981346e-05
2	Major_depressive_disorder	1.7447510237375535e-05
2	Polycystic_ovaries	1.703112691279492e-05
2	Hemangioblastoma	1.593615261520152e-05
2	Neurofibromatosis,_familial_spinal	1.593615261520152e-05
2	PALLISTER-HALL-LIKE_SYNDROME	1.593615261520152e-05
2	Non_small_cell_lung_carcinoma	1.482792579529075e-05
2	Choroid_plexus_papilloma	1.4664461800909931e-05
2	Respiratory_insufficiency	1.2891917685908904e-05
2	Neoplasm_of_lung	1.2887807739344065e-05
2	Squamous_cell_carcinoma_of_the_head_and_neck	1.2074721453893483e-05
2	Stevens_Johnson_syndrome	1.1952263563681849e-05
2	Headache	1.1758369153427456e-05
2	Breast_carcinoma	1.1674711433349232e-05
2	Colonic_neoplasm	1.1390070173015811e-05
2	Celiac_disease	1.0992529417236093e-05
2	Autism	1.0731314833900654e-05
2	Focal_aware_seizure	1.0527450602889407e-05
2	Neuroblastoma	1.043132765222155e-05
2	Acute_basophilic_leukemia	1.0310063769076646e-05
2	Psoriasis	9.537021523346077e-06
2	T_cell_acute_lymphoblastic_leukemia	9.431812430742242e-06
2	Astrocytoma_anaplastic	9.080058727170582e-06
2	Thrombocytopenia	8.700157540578886e-06
2	Mesothelioma	8.41871809345887e-06
2	Progressive_myositis_ossificans	8.384391252197766e-06
2	Iron_Overload	8.380553338250392e-06
2	Osteoarthritis	8.376651504513191e-06
2	Endometrium_neoplasm	8.340781318362235e-06
2	Leukemia_myeloid_accelerated_phase	8.31696805023539e-06
2	Sezary_syndrome	8.121966197675514e-06
2	Strabismus	8.016627161504649e-06
2	Abdominal_pain	8.016284087769477e-06
2	Status_epilepticus	7.892184713923256e-06
2	Ischemic_encephalopathy	7.881200839889622e-06
2	Non_Hodgkin_lymphoma	7.767350787323758e-06
