multiplex	node	score
2	Gout	0.2263178950984888
2	Gouty_arthropathy	0.00025941943530451383
2	Hyperuricemia	0.00017847177476276513
2	Rheumatoid_arthritis	6.772368828469995e-05
2	Hypertensive_disorder	6.25478942604653e-05
2	Osteoarthritis	5.294729136656418e-05
2	Renal_insufficiency	4.91494925738956e-05
2	Kidney_failure	4.91200109949596e-05
2	Anemia	4.865027920741116e-05
2	Schizophrenia	3.765491160376159e-05
2	Fever	3.254918132056463e-05
2	Asthma	3.102556221759237e-05
2	Hepatocellular_carcinoma	3.0344905751395743e-05
2	Juvenile_idiopathic_arthritis	2.959197540705506e-05
2	Infective_arthritis	2.8288185465898265e-05
2	Osteoarthritis,_hip	2.8288185465898265e-05
2	Diarrhea	2.788204811649688e-05
2	Familial_juvenile_hyperuricemic_nephropathy_type_1	2.6889731015364872e-05
2	Glycogen_storage_disease_type_VII	2.538906067064283e-05
2	Cholelithiasis	2.535129582603243e-05
2	Glycogen_storage_disease_due_to_glucose_6_phosphatase_deficiency_type_IA	2.1436145371531357e-05
2	Stage_5_chronic_kidney_disease	1.934400603206773e-05
2	Renal_cell_carcinoma	1.8377100678112738e-05
2	Hypoglycemia	1.8304122896986194e-05
2	Myocardial_ischemia	1.7362987916483663e-05
2	Epilepsy	1.708411542539465e-05
2	Clear_cell_carcinoma_of_kidney	1.6955705318922112e-05
2	NONPAPILLARY_RENAL_CARCINOMA_1_LOCUS	1.6947419600098044e-05
2	Osteoporosis	1.6895503417699474e-05
2	Renal_cysts_and_diabetes_syndrome	1.6862774113772462e-05
2	Dystonic_disorder	1.672655264249513e-05
2	Neoplasm_of_stomach	1.66714799547566e-05
2	Extrapyramidal_disease	1.614078696184034e-05
2	Lesch_nyhan_syndrome_neurologic_variant	1.6049750934588622e-05
2	Megaloblastic_anemia	1.6047523318271706e-05
2	Lesch_Nyhan_syndrome	1.604027893197391e-05
2	Pancreatitis	1.5989089668926905e-05
2	Focal_segmental_glomerulosclerosis	1.5948191310157007e-05
2	Hyperlipidemia	1.5726740043225358e-05
2	Delayed_puberty	1.5705710644696402e-05
2	Cirrhosis_of_liver	1.5315355454399027e-05
2	Osteoarthritis,_knee	1.5225572817774836e-05
2	Eczematoid_dermatitis	1.4800910468963735e-05
2	Kidney_damage	1.4629226211918597e-05
2	Hypotension	1.4585053517691831e-05
2	Excessive_salivation	1.4400665750752821e-05
2	Charcot_Marie_Tooth_disease_X_linked_recessive_5	1.4166866878993532e-05
2	Hearing_loss_X_linked_1	1.4165653922507817e-05
2	Prostate_neoplasm	1.2831376009650253e-05
2	Seizure	1.2824708419603005e-05
2	Ketosis	1.2700987040164043e-05
2	Oral_ulcer	1.268545060101132e-05
2	Phosphate_transport_defect	1.265271076912928e-05
2	Glucose_6_phosphate_transport_defect	1.2649704384708544e-05
2	Glycogen_storage_disease_Id	1.2649628838464045e-05
2	Mesothelioma	1.17883433150827e-05
2	Multiple_myeloma	1.1698850879066841e-05
2	Myocardial_infarction	1.093247729116417e-05
2	Arthritis,_sacroiliac	1.0597679218745369e-05
2	Breast_neoplasm	1.0283213666409038e-05
2	Depression	1.0169147750227502e-05
2	Myopathy	9.765675459015352e-06
2	Spasticity	9.302064512515101e-06
2	Cardiomyopathy	9.172858389567032e-06
2	Spontaneous_Abortion	8.960999799049181e-06
2	Ulcerative_colitis	8.885503248211878e-06
2	Osteoarthritis_susceptibility_3	8.51853839522641e-06
2	Allergy	8.468825563444198e-06
2	Nystagmus	8.35978202047418e-06
2	Hereditary_diffuse_gastric_adenocarcinoma	8.299235026623593e-06
2	Diffuse_gastric_and_lobular_breast_cancer_syndrome_with_cleft_lip_and_with_or_without_cleft_palate	8.298572428796881e-06
2	Type_2_diabetes_mellitus	8.270951691850733e-06
2	Dermatomyositis	8.098146173512111e-06
2	Urticaria	8.07342189604801e-06
2	Glucose_intolerance	8.027052655501481e-06
2	Insulin_resistance	7.892162160894396e-06
2	Diabetes_mellitus	7.858904559865306e-06
2	Colitis	7.842342976871657e-06
2	HIV_wasting_syndrome	7.81795268354168e-06
2	Trigeminal_neuralgia	7.760655823649968e-06
2	Leukocytosis	7.725567679778219e-06
2	TYPE_2_DIABETES_MELLITUS_PROTECTION_AGAINST	7.704146569441689e-06
2	Peptic_ulcer	7.67934899960952e-06
2	Insulin_resistance_susceptibility_to	7.675722081760601e-06
2	Bronchopulmonary_dysplasia_of_newborn	7.672839124057215e-06
2	Gastric_ulcer	7.657129460890023e-06
2	Disorder_of_biliary_tract	7.591804878036389e-06
2	Vomiting	7.557215444946476e-06
2	Movement_disorder	7.186959270587117e-06
2	Immunodeficiency	6.423646691712566e-06
2	Osteoarthritis_susceptibility_1	6.404855354791897e-06
2	Peripheral_neuropathy	6.373561332788308e-06
2	Respiratory_insufficiency	6.361910895698835e-06
2	Growth_failure	6.326975135350243e-06
2	Leukemia	6.324442901207791e-06
2	Growth_retardation	6.2578741453181765e-06
2	Arts_syndrome	5.901772263229626e-06
2	Arthritis	5.467036298814465e-06
2	Bipolar_affective_disorder	5.273455370715766e-06
2	Pulmonary_hypertension	5.230367216276486e-06
2	Pulmonary_arterial_hypertension	5.1341024249362094e-06
2	Neoplasm_of_lung	4.965567410577634e-06
2	Autism	4.86851624393241e-06
2	Arthralgia	4.259337871090624e-06
2	Major_depressive_disorder	4.22712727462162e-06
2	Alcohol_dependence	4.223808182944967e-06
2	Systemic_lupus_erythematosus	3.9164788389681004e-06
2	Heart_failure	3.85512289780346e-06
2	Skin_disorder	3.4882243684398056e-06
2	Colonic_neoplasm	3.442832049291363e-06
2	Stroke_disorder	3.0766997772355997e-06
2	Patent_ductus_arteriosus	2.988610285252698e-06
2	Alzheimer_disease	2.953339457515727e-06
2	Psoriasis	2.894481630604126e-06
2	Ischemic_encephalopathy	2.788982200953845e-06
2	Adenocarcinoma	2.756941896216e-06
2	Pneumonia	2.734600014337277e-06
2	Premature_birth_of_newborn	2.6492512432833334e-06
2	Pulmonary_fibrosis	2.6346105185643226e-06
2	Glioblastoma	2.6180590834493377e-06
2	Atopic_eczema	2.4711053446405304e-06
2	Thyroid_tumor	2.468428210172374e-06
2	Anorexia	2.4611501127919543e-06
2	Postmenopausal_osteoporosis	2.412430885694091e-06
2	Hyperemia	2.411704697251046e-06
2	Migraine	2.3121510347621087e-06
2	Myalgia	2.252819270837441e-06
2	Thrombotic_disease	2.087665146500419e-06
2	Ankylosing_spondylitis	2.0636670921994893e-06
2	Pain	2.0595930210372006e-06
2	Parietal_foramina_2	1.9312797077582667e-06
2	Craniosynostosis_5_susceptibility_to	1.9312797077582667e-06
2	Tremor	1.8547195729161052e-06
2	Neoplasm_of_the_large_intestine	1.7828383291414762e-06
2	Psoriatic_arthritis	1.7615074670007732e-06
2	Obesity	1.7214383301019127e-06
2	Familial_Mediterranean_fever	1.6752919586194086e-06
2	Menorrhagia	1.6418132728735074e-06
2	Back_pain	1.4649224052856492e-06
2	Melanoma	1.3185056022112618e-06
2	Strabismus	1.3099054284680718e-06
2	Thrombocytopenia	1.2725046826781226e-06
2	Intermediate_coronary_syndrome	1.271024516939696e-06
2	Metastasis	1.212113480540067e-06
2	Polycystic_ovaries	1.038908049966925e-06
2	Acute_myeloid_leukemia	1.017495114069856e-06
2	Cryptorchidism	1.0095859262733407e-06
2	Allergic_contact_dermatitis	9.8881802820263e-07
2	Infarct	9.841677545570222e-07
2	Synovitis	9.796236202768987e-07
2	Malignant_lymphoma_large_B_cell_diffuse	9.715593408602029e-07
2	T_cell_acute_lymphoblastic_leukemia	9.387712310657646e-07
2	Endometriosis	9.362754665850942e-07
2	Dysmenorrhea	9.080363283377295e-07
2	Biliary_cirrhosis	8.744511712001651e-07
2	Adenoma	8.233131406951729e-07
2	Attention_deficit_hyperactivity_disorder	8.228601277370691e-07
2	Osteopenia	8.20675026705124e-07
2	Squamous_cell_carcinoma_of_the_head_and_neck	7.821441648588464e-07
2	Constipation	7.59793917199121e-07
2	Ischemic_disease	7.390083899267275e-07
2	Non_small_cell_lung_carcinoma	7.211857948432173e-07
2	Pulmonary_embolism	6.827170118102833e-07
2	Pyelonephritis	6.56175023696201e-07
2	Bladder_neoplasm	6.4313014906287e-07
2	Chronic_renal_failure_syndrome	6.4312902708107e-07
2	Edema	6.138430970889215e-07
2	Hereditary_xanthinuria_type_1	6.122164430205018e-07
2	Ovarian_cyst	6.120268638000894e-07
2	Contact_dermatitis	5.94648910261574e-07
2	Hypertrophic_cardiomyopathy	5.944739988544414e-07
2	Nephrotic_syndrome	5.801378725045756e-07
2	Psychotic_disorder	5.698315253598482e-07
2	Gastroesophageal_reflux_disease	5.665581026813707e-07
2	Heartburn	5.394911470961294e-07
2	Hyperkeratosis	5.38794462914919e-07
2	Congestive_heart_failure	5.145066097716198e-07
2	Coronary_artery_disorder	4.98074794092465e-07
2	Acute_coronary_syndrome	4.976840563095265e-07
2	Fatigue	4.81188180953921e-07
2	Neoplasm_of_ovary	4.6142521469066683e-07
2	Premature_ovarian_insufficiency	4.331272315153717e-07
2	Sarcoidosis	4.3216323985951093e-07
2	Blepharitis	4.25753809212646e-07
2	Infection_of_bone	4.119537031845825e-07
2	Myositis_disease	4.11733822221025e-07
2	Squamous_cell_carcinoma	4.11139650013106e-07
2	Ascites	4.0316278971558526e-07
2	Atrial_fibrillation	3.966221914847973e-07
2	Osteomyelitis	3.9133918023159204e-07
2	Adult_acute_respiratory_distress_syndrome	3.853283517619224e-07
2	Neoplasm_of_the_pancreas	3.8173346413551345e-07
2	Crohn_disease	3.635111997118308e-07
2	Gingivostomatitis	3.5723210914834665e-07
2	Autoimmune_disease	3.4687139181658407e-07
2	Medulloblastoma	3.4558526855583027e-07
2	Hematologic_neoplasm	3.4395134341172006e-07
2	Stomatitis	3.4373700641749314e-07
2	Dysthymic_disorder	3.4252386656957584e-07
2	Diabetic_kidney_disease	3.415522827454063e-07
2	Premature_ovarian_failure	3.3848427311600194e-07
2	Papillary_thyroid_carcinoma	3.3579665576490354e-07
2	Nephroblastoma	3.3484308687092655e-07
2	Abdominal_pain	3.3444099898187947e-07
2	Apnea	3.328318244419032e-07
2	Status_epilepticus	3.3213165564577614e-07
2	Glaucoma	3.151255169909345e-07
2	Primary_dilated_cardiomyopathy	3.10263887060535e-07
2	Atrioventricular_block	3.075676127791186e-07
2	Wolff_Parkinson_White_pattern	3.0687529272251034e-07
2	Exanthem	3.06139737667034e-07
2	Paroxysmal_supraventricular_tachycardia	3.0194819451550943e-07
2	Neoplasm_of_the_skin	3.01022093777386e-07
2	Pulmonary_edema	3.006494932785817e-07
2	Premature_birth	2.971191733917559e-07
2	Small_cell_lung_carcinoma	2.934282173049155e-07
2	Inflammatory_bowel_disease	2.9325279090505276e-07
2	Palmoplantar_keratosis	2.9025004835241347e-07
2	Sinus_bradycardia	2.896849247082594e-07
2	Headache	2.879688698748439e-07
2	Paroxysmal_atrial_fibrillation	2.839291888864984e-07
2	Reticulocytosis	2.8191621003495153e-07
2	Telecanthus	2.8191621003495153e-07
2	Trichiasis	2.8191621003495153e-07
2	Entropion	2.8191621003495053e-07
2	Genu_valgum	2.8191621003495053e-07
2	Ankyloblepharon	2.8191621003495053e-07
2	Isolated_ankyloblepharon_filiforme_adnatum	2.8191621003495053e-07
2	Ectropion	2.8191621003495053e-07
2	Pre_Excitation_Syndrome	2.7924099671721484e-07
2	Hypertrophic_cardiomyopathy_6	2.792136781631962e-07
2	Accelerated_atrioventricular_conduction	2.786173217985997e-07
2	Ventricular_preexcitation	2.775307068556885e-07
2	Hyperpigmentation_of_eyelid	2.7228160650772796e-07
2	Parkinson_disease	2.722337083951227e-07
2	Cardiac_arrhythmia	2.7189866324898704e-07
2	Stevens_Johnson_syndrome	2.715097092141682e-07
2	Nausea_and_vomiting	2.7003586031957247e-07
2	Hypogonadism	2.6350825589281225e-07
2	Liver_failure	2.6233926079911536e-07
2	Multiple_sclerosis	2.5755808032305896e-07
2	Joint_hemorrhage	2.5503352369465505e-07
2	Methylmalonic_acidemia	2.5456296110535286e-07
2	Sezary_syndrome	2.5371938740237154e-07
2	Ichthyosis	2.5327760907758135e-07
2	Anxiety	2.524838892958218e-07
2	Blindness	2.505736629645331e-07
2	Keloid	2.4855304508461125e-07
2	Pruritus	2.4744280162055645e-07
2	Lymphoma	2.47216164885262e-07
2	Chronic_diarrhea	2.466498799268802e-07
2	Neoplasm_of_esophagus	2.4314446427915674e-07
2	Alopecia	2.417975791843294e-07
2	Drug_allergy	2.413595877184717e-07
2	Endometrium_neoplasm	2.4102275727132373e-07
2	Parkinsonian_disorder	2.3941036421676007e-07
2	Disorder_of_lung	2.3588742345554165e-07
2	Male_infertility	2.272718425051818e-07
2	Glioma	2.267056704485396e-07
2	Dyslipidemia	2.246521882017722e-07
2	Growth_Disorders	2.1898178900242992e-07
2	Osteosarcoma	2.1474635639846625e-07
2	B_cell_chronic_lymphocytic_leukemia	2.1228303208381386e-07
2	Diabetes_mellitus_type_1	2.1199907120135623e-07
2	Myelodysplastic_syndrome	2.1108163122332563e-07
2	Dementia	2.1091779825664542e-07
2	Acne	2.066038179906369e-07
2	Acute_promyelocytic_leukemia	2.0301340446593176e-07
2	Atherosclerosis	2.020760786130486e-07
