multiplex	node	score
2	Headache	0.22600224681588277
2	Seizure	7.429892278423748e-05
2	Epilepsy	6.90127526873831e-05
2	Arthralgia	3.7017985169119346e-05
2	Bronchiectasis	3.35702067809994e-05
2	Fatigue	3.333732432531859e-05
2	Abdominal_pain	3.154160624494355e-05
2	Nystagmus	2.9040106964655462e-05
2	Movement_disorder	2.8987998765397984e-05
2	Isaac_syndrome	2.8351437966470517e-05
2	Episodic_ataxia_type_1	2.834386945276257e-05
2	Myokymia_1	2.829199321461867e-05
2	Hereditary_continuous_muscle_fiber_activity	2.8258074717575134e-05
2	Fever	2.7530596675349417e-05
2	Schizophrenia	2.4312162653998957e-05
2	Migraine	2.3573331659382496e-05
2	Depression	2.0361240840509886e-05
2	Dizziness	2.03563359476716e-05
2	Vertigo	2.0319305310109042e-05
2	Tremor	1.949360433380616e-05
2	Glioma	1.9190376295770654e-05
2	Skin_disorder	1.866839968219619e-05
2	Cerebral_Ischemias_Transient	1.801879824336862e-05
2	Asthma	1.6927291674567144e-05
2	Parietal_foramina_1	1.646546130454753e-05
2	Craniosynostosis_2	1.642930140405258e-05
2	Diarrhea	1.5526052389341153e-05
2	Myalgia	1.5512434884991503e-05
2	Pain	1.5159760810161541e-05
2	Hypertensive_disorder	1.4844591584125627e-05
2	Peripheral_neuropathy	1.4695931814703008e-05
2	Thrombocytopenia	1.4336240914745814e-05
2	Growth_failure	1.4032480689224575e-05
2	Growth_retardation	1.4027234915897712e-05
2	Craniodiaphyseal_dysplasia_autosomal_dominant	1.3477827942595427e-05
2	Sclerosteosis_1	1.3441576399499303e-05
2	Venous_thrombosis	1.3256901797790193e-05
2	Strabismus	1.3169531732324852e-05
2	Hepatocellular_carcinoma	1.3049842551920017e-05
2	Methemoglobinemia	1.288732587762315e-05
2	Urticaria	1.2714156253412446e-05
2	Dysmenorrhea	1.2576430745783082e-05
2	Peripheral_arterial_occlusive_disease	1.2313088395307774e-05
2	Renal_cell_carcinoma	1.2216791472732944e-05
2	Nasal_polyposis	1.1779827716733212e-05
2	Kartagener_syndrome	1.1771970833768496e-05
2	Epilepsy_idiopathic_generalized_susceptibility_to_11	1.1663023813505177e-05
2	Epilepsy_juvenile_myoclonic_8	1.1663023813505177e-05
2	Epilepsy_juvenile_absence_2	1.1663023813505177e-05
2	Myelofibrosis	1.1658053133011392e-05
2	Ischemic_encephalopathy	1.1314433595399425e-05
2	Thrombocythemia_1	1.127478765752815e-05
2	Stomatitis	1.1184598092998194e-05
2	Essential_thrombocythemia	1.1123414938911442e-05
2	Pruritus	1.0917250636026265e-05
2	Systemic_lupus_erythematosus	1.0841478442556498e-05
2	Myocardial_infarction	1.0838632210548283e-05
2	Osteopenia	1.037367202515146e-05
2	Dementia	1.0239815648125533e-05
2	Arterial_thrombosis	1.0163361380545474e-05
2	Rheumatoid_arthritis	9.900951039531681e-06
2	Edema	9.860384530060248e-06
2	Prostate_neoplasm	9.784101264577263e-06
2	Acute_leukemia	9.549389540310376e-06
2	Arthritis	9.138410865806514e-06
2	Vitiligo	9.09576024281876e-06
2	Vomiting	9.079898339916845e-06
2	Synovitis	9.072479698161207e-06
2	Cardiac_arrhythmia	9.017367332634281e-06
2	Sinusitis	9.012306251520413e-06
2	Autosomal_dominant_osteopetrosis_1	8.851804391883476e-06
2	Exudative_vitreoretinopathy_4	8.851804391883476e-06
2	Fracture_hip_susceptibility_to	8.840697122086216e-06
2	Osteoporosis	8.642006586783727e-06
2	Breast_neoplasm	8.603969517007386e-06
2	Myeloproliferative_disorder	8.407962840915468e-06
2	Thrombocytosis	8.334649308970601e-06
2	Pneumonia	8.221614659390092e-06
2	Disseminated_intravascular_coagulation	8.141590495793583e-06
2	Anemia	8.093246216903482e-06
2	Increased_intracranial_pressure	7.996765317817443e-06
2	Anorexia	7.93113398884566e-06
2	Varicose_disease	7.845737418376388e-06
2	Male_infertility	7.707436090125997e-06
2	Glaucoma	7.574976756952512e-06
2	Diabetes_mellitus_type_1	7.546706826244717e-06
2	Esotropia	7.352299924790646e-06
2	Hepatic_veno_occlusive_disease	7.3377295042198605e-06
2	Ulcerative_colitis	7.140229084249171e-06
2	Nephroblastoma	6.87260517138771e-06
2	Neoplasm_of_lung	6.686349439851905e-06
2	Hypotension	6.6602998288958045e-06
2	Allergy	6.519011702221449e-06
2	Pulmonary_fibrosis	6.4643726043594135e-06
2	Paroxysmal_nocturnal_hemoglobinuria	6.231789533460408e-06
2	Bipolar_affective_disorder	6.19202414226662e-06
2	Respiratory_insufficiency	6.161489500183811e-06
2	Metastasis	6.118593865071229e-06
2	Absence_seizure	6.082446252652054e-06
2	Melanoma	6.081984698419365e-06
2	Spontaneous_Abortion	6.076936584630858e-06
2	Paroxysmal_nocturnal_hemoglobinuria_2	6.055274915665338e-06
2	Adenocarcinoma	5.927380267087051e-06
2	Alcohol_dependence	5.905941469471923e-06
