multiplex	node	score
2	Hereditary_antithrombin_deficiency	0.22490271469565465
2	Seizure	0.0001540512359076831
2	Deep_venous_thrombosis	0.0001448316261504493
2	Epilepsy	0.00011918628564286192
2	Liver_failure	9.385275026410611e-05
2	Strabismus	9.00178023024835e-05
2	Osteopenia	8.508183630194207e-05
2	Nephrotic_syndrome	7.317322174902282e-05
2	Diarrhea	7.250800274807396e-05
2	Vomiting	6.962531860531525e-05
2	MGAT2_congenital_disorder_of_glycosylation	6.942720775403111e-05
2	Nystagmus	6.243150095379193e-05
2	Venous_thrombosis	6.100332968581866e-05
2	Adult_acute_respiratory_distress_syndrome	6.058717748841923e-05
2	Pulmonary_embolism	5.861687300763448e-05
2	ALG6_congenital_disorder_of_glycosylation_1C	5.855822722832961e-05
2	Abnormality_of_the_coagulation_cascade	5.778895060049465e-05
2	Venous_thromboembolism	5.7070577941077856e-05
2	Hypoglycemia	5.496430547075966e-05
2	MPI_congenital_disorder_of_glycosylation	5.287935998111046e-05
2	Patent_ductus_arteriosus	4.436395843829731e-05
2	Tremor	4.405646371819114e-05
2	Hemangioma	4.389648839996682e-05
2	Congenital_disorder_of_glycosylation_type_1E	4.3847632600264756e-05
2	Spontaneous_Abortion	4.3090822480678707e-05
2	Reduced_factor_VII_activity	3.9476878497559575e-05
2	High_molecular_weight_kininogen_deficiency	3.9476878497559575e-05
2	Cirrhosis_of_liver	3.171100219056313e-05
2	Peripheral_neuropathy	3.0176638572087454e-05
2	Esotropia	3.0118329965757732e-05
2	Hypergonadotropic_hypogonadism	2.9566439131785664e-05
2	PMM2_congenital_disorder_of_glycosylation	2.954460264360006e-05
2	Thrombocytosis	2.9525904627508095e-05
2	Disseminated_intravascular_coagulation	2.0234153054219255e-05
2	Thrombotic_disease	1.903305950934246e-05
2	Cardiomyopathy	1.5505289001188762e-05
2	Growth_failure	1.4403455655558504e-05
2	Hypothyroidism	1.3368259855539257e-05
2	Premature_ovarian_failure	1.2981055464572796e-05
2	Thrombophlebitis	1.2363355369431586e-05
2	Renal_insufficiency	9.91468988089002e-06
2	Hepatic_veno_occlusive_disease	9.337268535758927e-06
2	Hereditary_factor_XI_deficiency_disease	7.0576149735565066e-06
2	Factor_VII_deficiency	7.013805207828774e-06
2	Hereditary_factor_IX_deficiency_disease	6.757990316858852e-06
2	Schizophrenia	6.048449048589616e-06
2	Refractory_anemia	5.204628889847176e-06
2	Factor_XII_deficiency_disease	4.555534323032774e-06
2	Breast_neoplasm	4.183411268812598e-06
2	Prostate_neoplasm	4.062433380711848e-06
2	SRD5A3_congenital_disorder_of_glycosylation	3.898103331122903e-06
2	Kahrizi_syndrome	3.898103331122903e-06
2	Thromboembolism	3.7660972869910353e-06
2	Thrombophilia	3.4477206773909324e-06
2	Skin_disorder	3.2981367053166614e-06
2	Neoplasm_of_stomach	3.28965590831012e-06
2	Depression	3.25088657179822e-06
2	Breast_carcinoma	3.109358323769801e-06
2	Lactose_intolerance	2.8326153194063327e-06
2	Bipolar_affective_disorder	2.7977871759378873e-06
2	Hypertensive_disorder	2.6984286345187066e-06
2	Stroke_disorder	2.583735897395821e-06
2	Major_depressive_disorder	2.3841306056652784e-06
2	Myocardial_ischemia	2.373742033367625e-06
2	Growth_retardation	2.36088663542319e-06
2	Wilson_disease	2.354901806956839e-06
2	Hypermethioninemia_with_deficiency_of_S_adenosylhomocysteine_hydrolase	2.2524607390444807e-06
2	Dementia	1.8551622460307118e-06
2	Obesity	1.8414095349692688e-06
2	Coronary_artery_disorder	1.7860476135272824e-06
2	Melanoma	1.7001923470198986e-06
2	Chronic_pain	1.6970188015196964e-06
2	Azorean_disease	1.694109043933239e-06
2	Tyrosinemia	1.6679016159498432e-06
2	Rheumatoid_arthritis	1.6527033595432747e-06
2	Coronary_heart_disease	1.6452823883494576e-06
2	Tyrosinemia_type_II	1.6329475293201488e-06
2	Burkitt_lymphoma	1.5350143452376312e-06
2	Atherosclerosis	1.5321694313905316e-06
2	Purpura	1.5256747997023949e-06
2	Hepatocellular_carcinoma	1.5116742450750096e-06
2	Blindness	1.5025329821973021e-06
2	Pyruvate_carboxylase_deficiency	1.440380791444242e-06
2	Hypercholesterolemia	1.3793774647083578e-06
2	Ischemic_encephalopathy	1.3432010414037687e-06
2	Alcohol_dependence	1.3057228226738228e-06
2	Osteoarthritis	1.2278656861022608e-06
2	Acute_promyelocytic_leukemia	1.2035629747142738e-06
2	Polycystic_ovaries	1.18934140513631e-06
2	Juvenile_idiopathic_arthritis	1.1878300924409213e-06
2	Autism	1.176864681453436e-06
2	Myocardial_infarction	1.1669412079034772e-06
2	Menorrhagia	1.1453459601290634e-06
2	Endometriosis	1.1452530804068328e-06
2	Neoplasm_of_lung	1.1375435135268775e-06
2	Metastasis	1.1001852431190748e-06
2	Colonic_neoplasm	1.0865902377436337e-06
2	Alzheimer_disease	1.0685917116788513e-06
2	Cryptorchidism	1.0352183279940215e-06
2	Anemia	1.0009471689905278e-06
2	Myopathy	9.942730675768785e-07
2	Joint_hemorrhage	9.797756642550015e-07
2	Renal_cell_carcinoma	9.78281134203811e-07
2	Acute_myeloid_leukemia	9.129306942562466e-07
2	Neoplasm_of_ovary	9.094958358512941e-07
2	Respiratory_insufficiency	8.692638261950855e-07
2	Neoplasm_of_the_large_intestine	8.653734706507166e-07
2	Osteoporosis	8.437117447202859e-07
2	Disorder_of_orbital_region	8.430334778334204e-07
2	Cerebral_infarction	8.390604269634953e-07
2	Ischemic_stroke	8.349922573631284e-07
2	Immunodeficiency	8.09564072274633e-07
2	Spasticity	8.076201084222604e-07
2	Primary_dilated_cardiomyopathy	8.064992123084625e-07
2	Arterial_thrombosis	7.879935785705495e-07
2	Vitreous_hemorrhage	7.804430257437075e-07
2	Bladder_neoplasm	7.706606909896935e-07
2	Heart_failure	7.661699875565411e-07
2	Congenital_factor_V_deficiency	7.306001537880887e-07
2	Psychotic_disorder	7.276147675573566e-07
2	Gastrointestinal_hemorrhage	7.160273676364979e-07
2	Thrombocytopenia	7.121378696698051e-07
2	Conjunctivitis	6.850562304036588e-07
2	Periodontitis	6.587011013887647e-07
2	Non_small_cell_lung_carcinoma	6.542080827086123e-07
2	Gingival_disorder	6.532498102798258e-07
2	Stomatitis	6.416126633351111e-07
2	Infectious_disease_of_lung	6.408969206487731e-07
2	Gingivitis	6.398376270796194e-07
2	Preeclampsia	6.258445311331931e-07
2	Keratoconjunctivitis	6.225087228711366e-07
2	Male_infertility	6.198059719145902e-07
2	Cardiac_arrhythmia	6.164304692900247e-07
2	Type_2_diabetes_mellitus	6.056697543283868e-07
2	Thrombophilia_due_to_thrombin_defect	5.980752207767207e-07
2	Fever	5.964764639819122e-07
2	Constipation	5.959586060062686e-07
2	Gingivostomatitis	5.95068764614967e-07
2	Duodenal_ulcer	5.930041080044592e-07
2	Abdominal_pain	5.916257934287193e-07
2	Hypertrophic_cardiomyopathy	5.78355976775809e-07
2	Dystonic_disorder	5.674736036649743e-07
2	Hemorrhage	5.647296440547298e-07
