multiplex	node	score
2	Hyperglycemia	0.2263737210289588
2	Diabetes_mellitus_type_1	0.0001615998261777894
2	Type_2_diabetes_mellitus	9.773131622438698e-05
2	Hypoglycemia	7.678746743448394e-05
2	Type_1_diabetes_mellitus_1	6.641206629865222e-05
2	Obesity	5.6026920260415325e-05
2	Schizophrenia	5.247469445025231e-05
2	Insulin_resistance	4.1174825905987944e-05
2	Neoplasm_of_stomach	4.059449992940312e-05
2	TYPE_2_DIABETES_MELLITUS_PROTECTION_AGAINST	3.707058746454413e-05
2	Glucose_intolerance	3.090587900241943e-05
2	Hyperinsulinemia	2.9430148459323605e-05
2	Hypertensive_disorder	2.768755823593338e-05
2	Peripheral_neuropathy	2.6751168760268772e-05
2	Insulin_resistance_susceptibility_to	2.595170344334057e-05
2	Diabetes_mellitus	2.5489825379525536e-05
2	Epilepsy	2.0854273107038985e-05
2	Decreased_circulating_vitamin_B1_concentration	2.051078994575584e-05
2	Breast_neoplasm	2.0481854915362535e-05
2	Seizure	1.9065540755757004e-05
2	Rheumatoid_arthritis	1.8924645587210966e-05
2	Strabismus	1.882843431277013e-05
2	Abnormal_heart_morphology	1.789622327888986e-05
2	Diabetic_Vascular_Disorder	1.763078871757885e-05
2	Keratosis	1.622462277589793e-05
2	Patent_ductus_arteriosus	1.6147670876431027e-05
2	Congenital_lactic_acidosis_Saguenay_Lac_Saint_Jean_type	1.610279245690729e-05
2	Heart_failure	1.549312776471694e-05
2	Attention_deficit_hyperactivity_disorder	1.5146566754508356e-05
2	Emphysema	1.4538240911297537e-05
2	Allergic_contact_dermatitis	1.451857475010806e-05
2	Neoplasm_of_the_large_intestine	1.4362595102491078e-05
2	Autism	1.4055019011274946e-05
2	Depression	1.3972360996310455e-05
2	Bilateral_tonic_clonic_seizure	1.3577873998037667e-05
2	Microalbuminuria	1.3490183068384714e-05
2	myoclonic_epilepsy	1.3463179879301614e-05
2	Coronary_artery_disorder	1.3280354943380531e-05
2	Immunodeficiency	1.32209217619275e-05
2	Neoplasm_of_the_skin	1.3136248488362151e-05
2	Hepatocellular_carcinoma	1.2521047257855202e-05
2	Delayed_puberty	1.2390444620358079e-05
2	Respiratory_insufficiency	1.1909623242851303e-05
2	Prostate_neoplasm	1.1840566010115325e-05
2	Dry_eye_syndrome	1.1747141470360113e-05
2	Cirrhosis_of_liver	1.1546402088386647e-05
2	Tremor	1.1339517623159199e-05
2	Major_depressive_disorder	1.1216797296157924e-05
