multiplex	node	score
2	Hypertrophic_cardiomyopathy	0.22616539127308302
2	Cardiac_arrhythmia	7.430459895332934e-05
2	Primary_dilated_cardiomyopathy	7.137966209412269e-05
2	Ventricular_tachycardia	4.978286660237411e-05
2	Seizure	4.649439169952708e-05
2	Epilepsy	4.637332813321612e-05
2	Atrial_fibrillation	3.738221862447557e-05
2	Heart_failure	3.6737942796974135e-05
2	Myocardial_infarction	3.476140199498664e-05
2	Strabismus	3.281584612979462e-05
2	Congestive_heart_failure	3.0132543850834493e-05
2	Nystagmus	2.9147973015259657e-05
2	Dilated_cardiomyopathy_1Z	2.656177169761329e-05
2	Hypertrophic_cardiomyopathy_13	2.656177169761329e-05
2	Hypoglycemia	2.581219294067328e-05
2	Hypertrophic_cardiomyopathy_4	2.4460596362992835e-05
2	Hypertensive_disorder	2.2908249678180388e-05
2	Vomiting	2.1299624599321073e-05
2	Hypertrophic_cardiomyopathy_14	2.067911026573325e-05
2	Dilated_cardiomyopathy_1EE	2.067911026573325e-05
2	Dilated_cardiomyopathy_1W	2.000057162969916e-05
2	Spasticity	1.9708852770668067e-05
2	Growth_retardation	1.9024963938198196e-05
2	Growth_failure	1.9021856671487684e-05
2	Liver_failure	1.899620835719595e-05
2	Cardiomyopathy	1.883880569257683e-05
2	Myopathy	1.8572937313862862e-05
2	Dilated_cardiomyopathy_1HH	1.8289204716330483e-05
2	Prostate_neoplasm	1.817674575465402e-05
2	Respiratory_insufficiency	1.776950619068342e-05
2	Anemia	1.7372321974976227e-05
2	Hypertrophic_cardiomyopathy_3	1.7238837875493308e-05
2	Noonan_syndrome	1.7087617492208547e-05
2	Hypertrophic_cardiomyopathy_2	1.6595587704245248e-05
2	Hypertrophic_cardiomyopathy_8	1.6145937934936107e-05
2	Mitochondrial_complex_IV_deficiency_nuclear_type_1	1.4914944873624036e-05
2	Intracranial_swelling	1.370604015325312e-05
2	Cerebral_edema	1.36777495365997e-05
2	Neoplasm_of_stomach	1.3265766510053562e-05
2	Schizophrenia	1.2918191834546026e-05
2	Blindness	1.2631393407530988e-05
2	Dilated_cardiomyopathy_1GG	1.2340483012610249e-05
2	Melanoma	1.1998240692407587e-05
2	Cryptorchidism	1.0508948448415603e-05
2	Dyspnea	1.0408390655355605e-05
2	Dystonic_disorder	1.02163320689587e-05
2	Pheochromocytoma	9.951255803602039e-06
2	Leigh_syndrome	9.898460271368647e-06
2	Peripheral_neuropathy	9.808693221039686e-06
2	Hypertrophic_cardiomyopathy_10	9.693550623892913e-06
2	Myopia_6	8.812536436181952e-06
2	Cardioencephalomyopathy_fatal_infantile_due_to_cytochrome_c_oxidase_deficiency_1	8.812536436181952e-06
2	Bipolar_affective_disorder	8.73269885379728e-06
2	Breast_neoplasm	8.435862698455297e-06
2	Cardiomyopathy_familial_hypertrophic_4_susceptibility_to	8.38612865159173e-06
2	Combined_oxidative_phosphorylation_defect_type_9	8.364561330774582e-06
2	Hemangioma	8.022625212730382e-06
2	Acute_coronary_syndrome	7.75764658014857e-06
2	Hepatocellular_carcinoma	7.753454347974964e-06
2	Solar_lentigo	7.617827780810958e-06
2	Hypertrophic_cardiomyopathy_25	7.530358985472068e-06
2	Obesity	7.4635661621046965e-06
2	Adenocarcinoma	7.363405440645139e-06
2	Abnormality_of_the_coagulation_cascade	7.029678487367437e-06
2	Mitochondrial_hypertrophic_cardiomyopathy_with_lactic_acidosis_due_to_MTO1_deficiency	6.947995901215233e-06
2	Wolff_Parkinson_White_pattern	6.944494343961797e-06
2	Decreased_circulating_carnitine_concentration	6.493666286183216e-06
2	Myalgia	6.424408057945644e-06
2	Fever	6.423819773737521e-06
2	Danon_disease	6.36686634916839e-06
2	Constipation	6.281788768132796e-06
2	Renal_cell_carcinoma	6.1859061452083355e-06
2	Hemorrhagic_disease	6.1735147604826305e-06
2	Atrial_septal_defect_3	6.14611534721102e-06
2	Hypertrichosis	6.029048799105831e-06
2	Glycogen_storage_disease_type_II	5.900904676573305e-06
2	Diabetes_mellitus	5.842058694856051e-06
2	Psychotic_disorder	5.77905627906555e-06
2	Hypertrophic_cardiomyopathy_15	5.775820840685289e-06
2	Fatigue	5.583313838355511e-06
2	Diarrhea	5.21951963889786e-06
2	Ventricular_fibrillation	5.217059857144751e-06
2	Hypogonadotropic_hypogonadism	5.206182453860245e-06
2	Ascites	5.2018549189217746e-06
2	Refractive_error	5.20125710027507e-06
2	Osteoporosis	5.200446282506836e-06
2	Premature_birth	5.197139685154388e-06
2	Premature_birth_of_newborn	5.195176717353281e-06
2	Dilated_cardiomyopathy_1R	5.178035518525038e-06
2	Left_ventricular_noncompaction_4	5.174512781255585e-06
2	Atrial_septal_defect_5	5.174512781255585e-06
2	Hypertrophic_cardiomyopathy_11	5.174512781255585e-06
2	Status_epilepticus	5.13062597571036e-06
2	Arthritis	5.0868224909014745e-06
2	Pyruvate_dehydrogenase_E3_deficiency	5.083818048128518e-06
2	Dizziness	5.08050027799445e-06
2	Squamous_cell_carcinoma	5.002476336416105e-06
2	Edema	4.941781049031083e-06
2	Cirrhosis_of_liver	4.909052066156504e-06
2	Apnea	4.825388390248092e-06
2	Back_pain	4.793158103667364e-06
2	Synovitis	4.7910356209391296e-06
2	Hypotension	4.782301347444853e-06
2	Essential_tremor	4.778653280417907e-06
2	Emery_Dreifuss_muscular_dystrophy_6	4.753929363270658e-06
2	X_linked_myopathy_with_postural_muscle_atrophy	4.753929363270658e-06
2	X_linked_scapuloperoneal_muscular_dystrophy	4.753929363270658e-06
2	Dilated_cardiomyopathy_1G	4.710848605891247e-06
2	Hypertrophic_cardiomyopathy_9	4.710848605891247e-06
2	Hyperinsulinemia	4.501410046946882e-06
2	Renal_carnitine_transport_defect	4.467997717531182e-06
2	Friedreich_ataxia	4.387635647016897e-06
2	Friedreich_ataxia_with_retained_reflexes	4.387635647016897e-06
2	Vasculitis	4.357214131908712e-06
2	Left_ventricular_noncompaction_9	4.34512783651662e-06
2	Dilated_cardiomyopathy_1Y	4.34512783651662e-06
2	Ketosis	4.323987218295171e-06
2	Myocardial_ischemia	4.322102729089496e-06
2	Major_depressive_disorder	4.282410114921367e-06
2	Dilated_cardiomyopathy_1I	4.24208725339615e-06
2	Sarcoma	4.081224042814284e-06
2	Insulin_resistance	4.070942530650673e-06
2	Alcohol_dependence	4.038489126876223e-06
2	Congenital_alveolar_dysplasia	4.036041442178458e-06
2	Cardiomyopathy_familial_restrictive_3	4.035602855359841e-06
2	Dilated_cardiomyopathy_1D	4.035602855359841e-06
2	Hemorrhage	3.988141574252561e-06
2	Polycystic_ovaries	3.978671408065416e-06
2	Abdominal_pain	3.961631675120084e-06
2	3_Methylglutaconic_aciduria_type_2	3.922978704420859e-06
2	Noonan_syndrome_4	3.919923971202274e-06
2	Cataract_16_multiple_types	3.896358047162245e-06
2	Dilated_cardiomyopathy_1II	3.896358047162245e-06
2	Autism	3.8366461732330335e-06
2	Chronic_myelomonocytic_leukemia	3.809382364714382e-06
2	Neoplasm_of_lung	3.806039391976441e-06
2	Coenzyme_Q10_deficiency_primary_1	3.762957077994286e-06
2	Multiple_system_atrophy_1_susceptibility_to	3.759991677394478e-06
2	Pure_autonomic_failure	3.7502872215154975e-06
2	Acromegaly	3.725882913543793e-06
2	Precocious_puberty	3.7247636511184816e-06
2	Hypertrophic_cardiomyopathy_1	3.686055970645208e-06
2	Neoplasm_of_esophagus	3.6789424985088066e-06
2	Paroxysmal_supraventricular_tachycardia	3.6343222345234495e-06
2	Colonic_neoplasm	3.615485504770845e-06
2	Dilated_cardiomyopathy_1FF	3.595315322224798e-06
2	Pain	3.562656767229057e-06
2	Dilated_cardiomyopathy_1S	3.5571275770217677e-06
2	Left_ventricular_noncompaction_5	3.5550567830986146e-06
2	MYH7_related_skeletal_myopathy	3.5522297528143976e-06
2	Ventricular_preexcitation	3.537794262065663e-06
2	Congenital_generalized_lipodystrophy_type_1	3.488531610109634e-06
2	Gastroesophageal_reflux_disease	3.4797003744822334e-06
2	Atrioventricular_block	3.4666394306525034e-06
2	Acute_myeloid_leukemia	3.4481094695640757e-06
2	Autosomal_dominant_polycystic_kidney_disease	3.381317451339774e-06
2	Hyperplasia	3.3358119677467606e-06
2	Depression	3.3287573188821664e-06
2	Glioma	3.321287886531087e-06
2	Neuroblastoma_susceptibility_to	3.2913681186370024e-06
2	Patent_ductus_arteriosus	3.2913082086970245e-06
2	Neuroblastoma_susceptibility_to_1	3.286929703629537e-06
2	Pulmonary_edema	3.259539309390675e-06
2	Leanness_inherited	3.1857427269950935e-06
2	Metastasis	3.1829230317492505e-06
2	Hyperkeratosis	3.169987233121423e-06
2	Hereditary_spastic_paraplegia_13	3.1543830812926746e-06
2	Dilated_cardiomyopathy_1NN	3.152912104291795e-06
2	LEOPARD_syndrome_2	3.151363053620821e-06
2	Noonan_syndrome_5	3.1466886784079464e-06
2	Osteoarthritis	3.146427858086749e-06
2	Hypertrophic_cardiomyopathy_6	3.1459767317906278e-06
2	Pre_Excitation_Syndrome	3.1447255277488988e-06
2	Neuroblastoma	3.1290684239729784e-06
2	Tyrosinemia	3.115257063041989e-06
2	Neoplasm_of_the_large_intestine	3.108448365413446e-06
2	Charcot_Marie_Tooth_disease_axonal_type_2F	3.0952563766060516e-06
2	Neuronopathy_distal_hereditary_motor_type_2B	3.09503541859764e-06
2	Tyrosinemia_type_I	3.0912830618526397e-06
2	Palmoplantar_keratosis	3.0280009243892265e-06
2	Non_small_cell_lung_carcinoma	2.985792440668695e-06
2	Arthralgia	2.955388024827968e-06
2	Gastrointestinal_hemorrhage	2.873103030085648e-06
2	Histiocytoid_cardiomyopathy	2.8445434482209804e-06
2	Takotsubo_cardiomyopathy	2.8445434482209804e-06
2	Arrhythmogenic_right_ventricular_dysplasia,_familial,_11,_and_mild_palmoplantar_keratoderma_with_or_without_woolly_hair	2.8445434482209804e-06
2	Restrictive_cardiomyopathy	2.8445434482209804e-06
2	Cardiomyopathy,_right_ventricular_dilated	2.8445434482209804e-06
2	Congenital_multicore_myopathy_with_external_ophthalmoplegia	2.8445434482209804e-06
2	Myofibrillar_myopathy	2.8445434482209804e-06
2	Cardiomyopathy,_familial_hypertrophic,_4,_susceptibility_to	2.8445434482209804e-06
2	Lethal_infantile_mitochondrial_myopathy	2.8445434482209804e-06
2	Ventricular_Dysfunction	2.75375555089207e-06
2	Stroke_disorder	2.725641461057639e-06
2	Neoplasm_of_ovary	2.675347713784257e-06
2	Bilateral_tonic_clonic_seizure	2.639994957983606e-06
2	Congenital_generalized_lipodystrophy_type_2	2.6259526957673745e-06
2	Hereditary_spastic_paraplegia_17	2.623292914091865e-06
2	Ichthyosis	2.6206886864819838e-06
2	Tremor	2.603299645026098e-06
2	Gangliosidosis_generalized_gm1_late_infantile_type	2.5932693444488525e-06
2	GM1_gangliosidosis_type_2	2.593157469036489e-06
2	Mucopolysaccharidosis_MPS_IV_B	2.5931449345533035e-06
2	GM1_gangliosidosis_type_I_with_cardiac_involvement	2.591309579645591e-06
2	Burkitt_lymphoma	2.586099248973202e-06
2	Cholangitis	2.5837308444322155e-06
2	Infantile_GM1_gangliosidosis	2.5827341248830293e-06
2	Pili_torti_deafness_syndrome	2.5437647133777016e-06
2	Abnormal_heart_morphology	2.500980542510728e-06
2	Autosomal_recessive_multiple_pterygium_syndrome	2.447600044707427e-06
2	LEOPARD_syndrome_1	2.4457286394287697e-06
2	Contact_dermatitis	2.332998796676123e-06
2	Spinal_cord_tumor	2.3178840224069063e-06
2	Neurofibromatosis_familial_spinal	2.3178271585637933e-06
2	Liposarcoma	2.3158399133751824e-06
2	Basal_cell_carcinoma	2.315031994507727e-06
2	Neurofibromatosis_type_1	2.314958796918515e-06
2	Skin_ulcer	2.2778321788177774e-06
2	Paragangliomas_5	2.241763488282019e-06
2	Pulmonary_arterial_hypertension	2.2416846582849848e-06
2	Keloid	2.229686255801355e-06
