multiplex	node	score
2	Hypogonadism	0.2262788776507834
2	Obesity	0.00013273635883233418
2	Delayed_puberty	0.00012858385482035937
2	Erectile_dysfunction	0.0001019166846684701
2	Nystagmus	9.489077456255137e-05
2	Endometriosis	7.709680965924854e-05
2	Blindness	7.473798565182471e-05
2	Hyperinsulinemia	7.139085676854837e-05
2	Glaucoma	6.965146812044974e-05
2	Cryptorchidism	5.7595112737994585e-05
2	Osteoporosis	3.610997992971048e-05
2	Hypertensive_disorder	3.088353931057257e-05
2	Hypogonadotropic_hypogonadism	2.7465894862943053e-05
2	Prostate_neoplasm	2.623774124291028e-05
2	Adrenogenital_syndrome	2.4594693024117265e-05
2	Seizure	2.4415890214828752e-05
2	Epilepsy	2.436015129149835e-05
2	Gynecomastia	2.275145944087491e-05
2	Secondary_amenorrhea	1.699099162224443e-05
2	Male_hypogonadism	1.679208144084016e-05
2	Diabetes_mellitus	1.6787971598369573e-05
2	Female_hypogonadism	1.669384544715821e-05
2	Osteopenia	1.523872003247648e-05
2	Prolactin_producing_pituitary_gland_adenoma	1.5059300164160294e-05
2	Strabismus	1.5023997880052928e-05
2	Hypergonadotropic_hypogonadism	1.4403450492302681e-05
2	Infertility_disorder	1.40892850084196e-05
2	Fatigue	1.4001723590222171e-05
2	Hyperplasia_of_the_endometrium	1.390598549848921e-05
2	Schizophrenia	1.380278085242303e-05
2	Depression	1.336555018366114e-05
2	Growth_failure	1.177733836924356e-05
2	Amenorrhea	1.075545151538047e-05
2	Alopecia	9.768776051146283e-06
2	Asthma	9.447675147698161e-06
2	Polycystic_ovaries	9.429981270432344e-06
2	Hypopituitarism	9.341665225403899e-06
2	Autism	9.10426176788161e-06
2	Baldness_male_pattern	8.746131252690446e-06
2	Edema	8.716326658680795e-06
2	Premature_ovarian_insufficiency	8.501617582124606e-06
2	Hypocalcemia	8.443046029077145e-06
2	Hyperprolactinemia	8.438015296818365e-06
2	Neoplasm_of_the_large_intestine	8.10707716432604e-06
2	Growth_retardation	7.827193448600048e-06
2	X_linked_chondrodysplasia_punctata_1	7.653420769486981e-06
2	Melanoma	7.572914802356085e-06
2	Neoplasm_of_stomach	7.561061550368864e-06
2	Fever	7.502712638797535e-06
2	Disorder_of_biliary_tract	7.460738157770476e-06
2	Anemia	7.330205126375369e-06
2	Anxiety	7.30008426784609e-06
2	Breast_neoplasm	7.15453446679738e-06
2	Severe_congenital_hypochromic_anemia_with_ringed_sideroblasts	7.102239926799921e-06
2	Peripheral_neuropathy	7.015192081385296e-06
2	Congenital_adrenal_hyperplasia	6.895223408248431e-06
2	Spasticity	6.699478640508128e-06
2	Cystinuria	6.6640871393857146e-06
2	Retinitis_punctata_albescens	6.3981476319727465e-06
2	Insulin_resistance	6.364460129147934e-06
2	Palmoplantar_keratosis	6.356893378242379e-06
2	Hyperkeratosis	6.338662469581836e-06
2	Acromegaly	6.29604338426949e-06
2	Macular_degeneration	6.283897279065762e-06
2	Carious_teeth	6.171215012463493e-06
2	Hypogonadotropic_hypogonadism_7_with_or_without_anosmia	5.9827430319349595e-06
2	Female_infertility	5.79415214529822e-06
2	Acne	5.7361198147767336e-06
2	Coarctation_of_aorta	5.657759122649207e-06
2	Bipolar_affective_disorder	5.5099298273255345e-06
2	Neoplasm_of_lung	5.439858198948671e-06
2	Renal_insufficiency	5.3302242442134e-06
2	Steinert_myotonic_dystrophy_syndrome	5.322465250734266e-06
2	Basal_cell_carcinoma	5.292899309872915e-06
2	Parkinson_disease	5.221197461518735e-06
2	Abdominal_obesity	5.216714279269947e-06
2	Ichthyosis	5.1555352190069e-06
2	Kidney_failure	5.123292332921379e-06
2	Arthralgia	5.121244359288358e-06
2	Hyperpigmentation_of_the_skin	5.099288203136059e-06
2	Attention_deficit_hyperactivity_disorder	4.853685729234506e-06
2	Keratitis	4.8408348476877715e-06
2	Precocious_puberty	4.760970856042415e-06
2	Alcohol_dependence	4.7370225703221114e-06
2	Leber_congenital_amaurosis_18	4.594100977239333e-06
2	Retinitis_pigmentosa_7	4.593341359386627e-06
2	Retinitis_pigmentosa_7_digenic	4.592166691015605e-06
2	Endometrium_neoplasm	4.491487817009605e-06
2	Arteriosclerosis_disorder	4.484186153567358e-06
2	Stage_5_chronic_kidney_disease	4.459971469940205e-06
2	Myopathy	4.3621361972859634e-06
2	Retinitis_pigmentosa_37	4.271425332054793e-06
2	Hyperlipidemia	4.26079330838872e-06
2	Retinitis_pigmentosa_48	4.247177701909688e-06
2	Retinitis_pigmentosa_44	4.228544741464104e-06
2	Male_infertility	4.21335340109441e-06
2	Retinitis_pigmentosa_45	4.1942653869098e-06
2	Retinitis_pigmentosa_57	4.192667202747403e-06
2	Retinitis_pigmentosa_49	4.15949104274281e-06
2	Usher_syndrome_type_2A	4.15891187680581e-06
2	Retinitis_pigmentosa_62	4.147518665580092e-06
2	Conjunctivitis	4.143589992601269e-06
2	Colorectal_cancer_susceptibility_to_10	4.129908038630501e-06
2	Retinitis_pigmentosa_43	4.1021715997824715e-06
2	Androgen_insufficiency	4.087461788424102e-06
2	Alcohol_withdrawal	4.0761235000201305e-06
2	Tremor	4.062302131928856e-06
2	Sarcotubular_myopathy	4.041369884388e-06
2	Retinitis_pigmentosa_with_or_without_situs_inversus	4.007633639889611e-06
2	Retinitis_pigmentosa_17	3.991806900593681e-06
2	Retinitis_pigmentosa_67	3.976205899546809e-06
2	Retinal_degeneration_autosomal_recessive_clumped_pigment_type	3.859449168487238e-06
2	Retinitis_pigmentosa_1	3.851006727039974e-06
2	Retinitis_pigmentosa_27	3.8487482552740485e-06
2	Hyperlipoproteinemia_type_IV	3.845689494781343e-06
2	Retinitis_pigmentosa_30	3.837834454828825e-06
2	Testicular_neoplasm	3.807598823087787e-06
2	Metastasis	3.8053860903867e-06
2	Constipation	3.7743022190961926e-06
2	Retinitis_pigmentosa_9	3.7317805447223304e-06
2	Thrombotic_disease	3.6802887200361216e-06
2	Retinitis_pigmentosa_13	3.6444246550505255e-06
2	Major_depressive_disorder	3.643397406931652e-06
2	Retinitis_pigmentosa_70	3.637346720960862e-06
2	Retinitis_pigmentosa_11	3.6300031217013113e-06
2	Retinitis_pigmentosa_40	3.6225747397863424e-06
2	Retinitis_pigmentosa_33	3.6208502939751542e-06
2	Congenital_stationary_night_blindness_autosomal_dominant_2	3.6155665346123363e-06
2	Retinitis_pigmentosa_60	3.613390690741162e-06
2	Oguchi_disease_1	3.5704382820329076e-06
2	Retinitis_pigmentosa_14	3.568234164135456e-06
2	Retinitis_pigmentosa_47	3.563504764424651e-06
2	Retinitis_pigmentosa_20	3.5569095139060287e-06
2	Leber_congenital_amaurosis_2	3.5529842027226125e-06
2	Retinitis_pigmentosa_66	3.551708379627299e-06
2	Vomiting	3.5445464985522227e-06
2	Type_2_diabetes_mellitus	3.530317665845188e-06
2	Pigmented_nodular_adrenocortical_disease_primary_3	3.494765725245006e-06
2	Autosomal_dominant_striatal_neurodegeneration_type_1	3.494765725245006e-06
2	Retinitis_pigmentosa_38	3.4649165152154546e-06
2	Pigmentary_retinal_dystrophy	3.448204265193083e-06
2	Bardet_Biedl_syndrome_1	3.4083080333934263e-06
2	Leber_congenital_amaurosis_7	3.3679519306647096e-06
2	Retinitis_pigmentosa_31	3.343045370649095e-06
2	Retinitis_pigmentosa_4	3.331309719065361e-06
2	Congenital_stationary_night_blindness_autosomal_dominant_1	3.331309719065361e-06
2	Cone_rod_dystrophy_2	3.328910466185045e-06
2	Retinitis_pigmentosa_2	3.314416819816661e-06
2	Heart_failure	3.3040717061495576e-06
2	Retinitis_pigmentosa_46	3.3013464030100826e-06
2	Myalgia	3.2637536747860253e-06
2	Myocardial_ischemia	3.2618085877723515e-06
2	Premature_ovarian_failure	3.255398951622719e-06
2	Cachexia	3.244370824703951e-06
2	Patent_ductus_arteriosus	3.2428432078391947e-06
2	Malignant_hyperthermia_of_anesthesia	3.1604597801883728e-06
2	Histiocytosis	3.13298401272403e-06
2	Pituitary_hormone_deficiency_combined_2	3.1313642358289236e-06
2	Leber_congenital_amaurosis_8	3.0914872864496426e-06
2	Newfoundland_cone_rod_dystrophy	3.075836981991347e-06
2	Bothnia_retinal_dystrophy	3.075836981991347e-06
2	Meckel_syndrome_type_1	3.070805649072662e-06
2	Retinitis_pigmentosa_12	3.053946417937951e-06
2	Episcleritis	3.0507218817943097e-06
2	Osteosarcoma	3.0404619913840293e-06
2	Abdominal_pain	3.007421764274126e-06
2	Psychotic_disorder	3.004927339159095e-06
2	Hyperglycemia	2.999486191744966e-06
2	Malignant_tumor_of_prostate	2.999367952132042e-06
2	Glucose_intolerance	2.9940478445002555e-06
2	Uveitis	2.988573721339793e-06
2	Growth_Disorders	2.982708398882264e-06
2	Reduced_circulating_vitamin_A_concentration	2.9259182415084906e-06
2	Leber_congenital_amaurosis_11	2.8554498589888547e-06
2	Trichothiodystrophy_1_photosensitive	2.8417484681765775e-06
2	Pigmented_nodular_adrenocortical_disease_primary_4	2.8316391553106705e-06
2	Hyperplasia_of_prostate	2.828205007398827e-06
2	RETINAL_DYSTROPHY_EARLY_ONSET_SEVERE_LRAT_RELATED	2.8237846344539935e-06
2	Leber_congenital_amaurosis_14	2.823417633674548e-06
2	RETINITIS_PIGMENTOSA_JUVENILE_LRAT_RELATED	2.8218390245049633e-06
2	Retinitis_pigmentosa_10	2.814990925114976e-06
2	Airway_hyperresponsiveness	2.767418020989774e-06
2	Vitreous_hemorrhage	2.759803818614723e-06
2	Cystinuria_type_A	2.748881993802091e-06
2	Vitelliform_macular_dystrophy_2	2.7487928949874415e-06
2	Cystinuria_type_a/b	2.7448672419602544e-06
2	Cystinuria_type_B	2.7424108209321298e-06
2	Autosomal_recessive_bestrophinopathy	2.73899762111092e-06
2	Retinitis_pigmentosa_50	2.738974946966771e-06
2	Adenocarcinoma	2.7105213852687315e-06
