multiplex	node	score
2	Keratoconjunctivitis	0.2202249446098679
2	Allergic_conjunctivitis	0.00024105857190045025
2	Alopecia	0.00011937381182304305
2	Seizure	0.00011240797957043339
2	Epilepsy	8.649440109148923e-05
2	Conjunctivitis	8.155045983968074e-05
2	Vomiting	8.088375629194533e-05
2	Schizophrenia	6.341541899334528e-05
2	Anemia	6.028378609675112e-05
2	Cholelithiasis	6.017986662646559e-05
2	Diabetes_mellitus_type_1	5.894077515864878e-05
2	Diarrhea	5.821691513184842e-05
2	Vitiligo	5.795790504104034e-05
2	Neoplasm_of_the_skin	5.791600921179505e-05
2	Female_hypogonadism	5.7873509124491806e-05
2	Thrombocytopenia	5.372220011115416e-05
2	Exanthem	5.163308678268984e-05
2	Skin_disorder	5.1631784696180586e-05
2	Blindness	5.1446106322493766e-05
2	Hypertensive_disorder	5.0907545334989506e-05
2	Growth_failure	4.9641554040433724e-05
2	Periodontitis	4.949568074791921e-05
2	Gingival_disorder	4.94725067931739e-05
2	Duodenal_ulcer	4.943025813096164e-05
2	Gingivostomatitis	4.9393966895544335e-05
2	Holocarboxylase_synthetase_deficiency	4.8949324034818924e-05
2	Anorexia	4.8877797985347546e-05
2	Autism	4.8848554300313234e-05
2	Seborrheic_dermatitis	4.59652952599471e-05
2	Biotinidase_deficiency	4.594166865477861e-05
2	Autoimmune_disease	3.4401901305497174e-05
2	Hypoparathyroidism	3.3350438653954025e-05
2	Major_depressive_disorder	2.8654699647629607e-05
2	Growth_retardation	2.7019398251687433e-05
2	Infectious_disease_of_lung	2.697332521310307e-05
2	Gingivitis	2.69598554219498e-05
2	Stomatitis	2.677113608694698e-05
2	Nausea_and_vomiting	2.6703397267438877e-05
2	Apnea	2.4524269082160224e-05
2	myoclonic_epilepsy	2.4386967180931084e-05
2	Colon_cancer	1.377529225366125e-05
2	Drug_allergy	1.071902339995522e-05
2	IgE_mediated_allergic_disorder	1.0613413976710688e-05
2	Prostate_neoplasm	8.414880572930497e-06
2	Asthma	4.901552545413662e-06
2	Immunodeficiency	4.696091930297153e-06
2	Asthma_protection_against	4.638702596731429e-06
2	Asthma_diminished_response_to_antileukotriene_treatment_in	4.633390997187864e-06
2	Cirrhosis_of_liver	4.624433770480513e-06
2	Inherited_susceptibility_to_asthma	4.615800786338608e-06
2	Juvenile_idiopathic_arthritis	4.594360066843448e-06
2	Bipolar_affective_disorder	4.428470607169601e-06
2	Nystagmus	4.100971798606577e-06
2	Diabetic_Vascular_Disorder	3.9714953596660455e-06
2	Diabetic_retinopathy	3.916260966638465e-06
2	Patent_ductus_arteriosus	3.8924078153051075e-06
2	Breast_neoplasm	3.6228666587581894e-06
2	Seasonal_allergy	3.559648046606722e-06
2	Osteopenia	3.3014050573422893e-06
2	Psychotic_disorder	3.2928014558330534e-06
2	Neoplasm_of_stomach	3.2151118017401694e-06
2	Anxiety	3.1913741508437787e-06
2	Hypertrichosis	3.068206565276678e-06
2	Excessive_salivation	2.954151429246538e-06
2	Agitation	2.9403703178222975e-06
2	Intellectual_disability_X_linked_30	2.8452510473890224e-06
2	Glaucoma	2.80267417459497e-06
2	Tetralogy_of_Fallot	2.6484098560507247e-06
2	Hypoglycemia	2.584553299941752e-06
2	Heart_failure	2.5494587004282463e-06
2	Spinocerebellar_atrophy	2.5035636768132e-06
2	Axenfeld_Rieger_syndrome_type_3	2.4656662414547756e-06
2	Iris_hypoplasia_with_glaucoma	2.465598163009719e-06
2	Hepatocellular_carcinoma	2.4641070669049876e-06
2	Myocardial_ischemia	2.362385535201507e-06
2	Renal_insufficiency	2.270709174635271e-06
2	Allergic_rhinitis	2.2663064198730897e-06
2	Dystonic_disorder	2.122677449652223e-06
2	Melanoma	2.1006392694077675e-06
2	Neoplasm_of_the_large_intestine	1.9910342181025925e-06
2	Osteoarthritis	1.947196078947373e-06
2	Cryptorchidism	1.933308457973437e-06
2	Hyperpigmentation_of_the_skin	1.918297458926349e-06
2	Obesity	1.8831358941983198e-06
2	Cutaneous_porphyria	1.8537766630361396e-06
2	Scleroderma	1.8483837830871778e-06
2	Acute_myeloid_leukemia	1.8336730710680144e-06
2	Neoplasm_of_lung	1.8219269810307664e-06
2	Fatigue	1.5708710856417667e-06
2	Renal_cell_carcinoma	1.5498291132777233e-06
2	Alzheimer_disease	1.5302892219680796e-06
2	Cardiac_arrhythmia	1.4920753811929304e-06
2	Gastrointestinal_hemorrhage	1.4710771494655308e-06
2	Rheumatoid_arthritis	1.449526893974791e-06
2	Kidney_failure	1.447940382676998e-06
2	Congestive_heart_failure	1.443215527728719e-06
2	Neoplasm_of_esophagus	1.416263626699359e-06
2	Stroke_disorder	1.4033853304759426e-06
2	Migraine	1.3789895047212715e-06
2	Delayed_puberty	1.3307783569825846e-06
2	Macular_degeneration	1.2986956044950712e-06
2	Depression	1.2926623125384766e-06
2	Angina_pectoris	1.2859095850575067e-06
2	Pseudoxanthoma_elasticum_modifier_of_severity_of	1.2829342452543139e-06
2	Pseudoxanthoma_elasticum	1.277782398836919e-06
2	Pseudoxanthoma_elasticum_forme_fruste	1.2715455130409365e-06
2	Arterial_calcification_generalized_of_infancy_2	1.2715455130409365e-06
2	Pseudoxanthoma_Elasticum_Heterozygous	1.2714448772913597e-06
2	Intermittent_claudication	1.2712323771848315e-06
2	Alcohol_dependence	1.2510625562623637e-06
2	Atopic_eczema	1.2358296332324895e-06
2	Baraitser_Winter_syndrome_1	1.2355687017346547e-06
2	Hypothyroidism	1.230891468545587e-06
2	Myeloproliferative_disorder	1.1781698758652517e-06
2	Allergic_contact_dermatitis	1.1735818923864235e-06
2	Diamond_Blackfan_anemia	1.1720688064899818e-06
2	Pneumonia	1.1340919784138817e-06
2	Hypotension	1.1233997803990204e-06
2	Stevens_Johnson_syndrome	1.1155723177065553e-06
2	LEUKEMIA_MEGAKARYOBLASTIC_OF_DOWN_SYNDROME_SOMATIC	1.1050781912471797e-06
2	Thrombocytopenia_X_linked_with_or_without_dyserythropoietic_anemia	1.1046299246541374e-06
2	Down_Syndrome_Critical_Region	1.103221961685725e-06
2	Complete_trisomy_21_syndrome	1.1029682012332822e-06
2	DCR	1.1029411648986946e-06
2	Transient_myeloproliferative_disorder_of_Down_syndrome	1.0984256588806585e-06
2	Acute_basophilic_leukemia	1.0981496908507825e-06
2	Crohn_disease	1.0507862551240698e-06
