multiplex	node	score
2	Myalgia	0.226041688381261
2	Fever	6.22499598316428e-05
2	Arthralgia	5.228888099158484e-05
2	Abdominal_pain	5.215763838266308e-05
2	Peripheral_neuropathy	4.840934829067989e-05
2	Migraine	4.840461253051725e-05
2	Myocardial_infarction	3.838782816689581e-05
2	Myopathy	3.0547186523684184e-05
2	Primary_dilated_cardiomyopathy	3.023633819390412e-05
2	Acne	2.7047882157156528e-05
2	Fatigue	2.514224316198852e-05
2	Heart_failure	2.4060219285097713e-05
2	Insomnia	2.301423487392159e-05
2	Schizophrenia	2.2692809022445714e-05
2	Bipolar_affective_disorder	2.21131311401819e-05
2	Constipation	2.1962541944028805e-05
2	Pericarditis	2.1197574044557634e-05
2	Nausea_and_vomiting	2.070657426779819e-05
2	Cardiac_arrhythmia	2.0551923599867786e-05
2	Seborrheic_dermatitis	2.0397612548034656e-05
2	Tetany	2.0246810255615734e-05
2	Seckel_syndrome_8	1.9776398542570126e-05
2	Diarrhea	1.9337307778300653e-05
2	Aphthous_stomatitis	1.8876638893954218e-05
2	Behcet_disease	1.8094582861500292e-05
2	Oral_ulcer	1.7839837271193498e-05
2	Arthritis	1.7838926640581122e-05
2	Seizure	1.7703125864776256e-05
2	Epilepsy	1.7638654675664652e-05
2	Immunodeficiency	1.6687495757742643e-05
2	Congestive_heart_failure	1.5550152888692763e-05
2	Breast_neoplasm	1.54620206287251e-05
2	Gastrointestinal_hemorrhage	1.4854467373524851e-05
2	Cardiomyopathy	1.4784103247480326e-05
2	Hypocalcemia	1.4611176359609287e-05
2	Vasculitis	1.4483652684075386e-05
2	Attention_deficit_hyperactivity_disorder	1.4452670085734008e-05
2	Carious_teeth	1.3950201939793638e-05
2	Tetralogy_of_Fallot	1.3485443811491576e-05
2	Hypoparathyroidism	1.338463025017429e-05
2	Osteoporosis	1.2933565921551354e-05
2	Venous_thrombosis	1.2886523732247508e-05
2	Anxiety	1.2856853861985976e-05
2	Headache	1.2352983339524677e-05
2	Orchitis	1.2342580607384905e-05
2	Hypertensive_disorder	1.1923788508186986e-05
2	Crohn_disease	1.1793561958469649e-05
2	Hyperkalemia	1.1749836135191838e-05
2	Growth_retardation	1.1500954621507172e-05
2	Meningitis	1.1392643587443586e-05
2	Rheumatoid_arthritis	1.1183389966699353e-05
2	Baldness_male_pattern	1.086624289044716e-05
