multiplex	node	score
2	Narcolepsy	0.22659473171930186
2	Cataplexy_and_narcolepsy	0.0004325764765366782
2	Schizophrenia	6.635463566801521e-05
2	Depression	5.7084696555360115e-05
2	Alcohol_dependence	5.106886173349152e-05
2	Allergic_contact_dermatitis	4.789410415556431e-05
2	Obesity	4.53600921396444e-05
2	Persistent_hypersomnia	4.5273051433916654e-05
2	Idiopathic_hypersomnia_without_long_sleep_time	4.5273051433916654e-05
2	Hypersomnia_disorder_related_to_menstruation	4.5273051433916654e-05
2	Recurrent_hypersomnia	4.5273051433916654e-05
2	Myocardial_ischemia	4.25412400369719e-05
2	Insomnia	4.0293477616881404e-05
2	Disorder_of_blood_gas	3.5153619247543014e-05
2	Asthma	3.50017081466452e-05
2	Cataplexy	3.18019845635823e-05
2	Narcolepsy_1	3.17973172714284e-05
2	Narcolepsy_7	3.1423736154031865e-05
2	Acute_myeloid_leukemia	3.1315951597618196e-05
2	Diabetes_mellitus_type_1	2.7260739668776867e-05
2	Prostate_neoplasm	2.7203305408155637e-05
2	Allergy	2.6768608709158116e-05
2	Systemic_lupus_erythematosus	2.675120988992216e-05
2	Megaconial_type_congenital_muscular_dystrophy	2.667605488809348e-05
2	Ichthyosis	2.65489320501438e-05
2	Breast_neoplasm	2.501992223988899e-05
2	Endometriosis	2.4422516592512194e-05
2	Seizure	2.4022491952905684e-05
2	Myocardial_infarction	2.3772360321613254e-05
2	Cardiac_arrhythmia	2.3431886219292077e-05
2	Hypotension	2.1739533434580616e-05
2	Rheumatoid_arthritis	2.1247041960823615e-05
2	Drug_allergy	1.837104580866211e-05
2	Atopic_eczema	1.8290106499186266e-05
2	Drug_induced_dyskinesia	1.8242055770892488e-05
2	Autoimmune_disease	1.6556129271246816e-05
2	Multiple_sclerosis	1.6351623244751743e-05
2	Neoplasm_of_stomach	1.5859079753389038e-05
2	Angioedema	1.5835595549943833e-05
2	Multiple_sclerosis_susceptibility_to	1.570148855526774e-05
2	Bipolar_affective_disorder	1.5367828402614965e-05
2	Bradycardia	1.5242298721932848e-05
2	Edema	1.5173040321815963e-05
2	Celiac_disease_susceptibility_to_1	1.3979619867872114e-05
2	Epilepsy	1.3767456996551516e-05
2	Colonic_neoplasm	1.3652134764527453e-05
2	Dementia	1.354726963949994e-05
2	Adenocarcinoma	1.3328915683186768e-05
2	Medulloblastoma	1.3215599976565157e-05
2	Anxiety_disorder	1.3164291835166355e-05
2	Systemic_sclerosis	1.2982959996289467e-05
2	Hereditary_sensory_neuropathy_deafness_dementia_syndrome	1.292359771441826e-05
2	Myopathy	1.2816905113721852e-05
2	Creutzfeldt_Jakob_Disease_Heidenhain_Variant	1.2357027878829886e-05
2	Constipation	1.1159887690975627e-05
2	Hypertensive_disorder	1.088410810852487e-05
2	Pancreatitis	9.096337866998187e-06
2	Obstructive_sleep_apnea_syndrome	8.422130135559262e-06
2	Fever	8.162986176160684e-06
2	Follicular_lymphoma	7.989529257384669e-06
2	Gastroesophageal_reflux_disease	7.971667661185457e-06
2	Ulcerative_colitis	7.89197977478639e-06
2	Crohn_disease	7.807309902462535e-06
2	Exanthem	7.530625307356239e-06
2	Uveitis	7.303850634354259e-06
2	Erythema_nodosum	6.977966128032993e-06
2	Major_depressive_disorder	6.6514147185244775e-06
2	Excessive_salivation	6.238839564889445e-06
2	Eczematoid_dermatitis	6.211632485198974e-06
2	Psoriasis	6.200184081958176e-06
2	Urticaria	6.115226655724469e-06
2	Diabetes_mellitus	6.049154954135294e-06
2	Multiple_sclerosis_susceptibility_to_1	6.0456093140716114e-06
2	Febrile_seizure_within_the_age_range_of_3_months_to_6_years	5.798528439800182e-06
2	Pruritus	5.724974357743319e-06
2	Pain	5.709059146982825e-06
2	Bronchial_hyperreactivity	5.479101006248751e-06
2	Neuralgia	5.4479941489128446e-06
2	Celiac_disease	5.1178712146313865e-06
2	Spasticity	4.895900098366406e-06
2	Acute_promyelocytic_leukemia	4.756037095727191e-06
2	Dyssomnia	4.659924205489e-06
2	Attention_deficit_hyperactivity_disorder	4.636034200372419e-06
2	Osteomyelitis	4.43381984103576e-06
2	Infection_of_bone	4.384788689101291e-06
2	Creutzfeldt_Jakob_disease	4.2860908843543925e-06
2	Variant_Creutzfeldt_Jakob_disease	4.267625138205647e-06
2	Creutzfeldt_Jakob_disease_sporadic	4.2032219261048305e-06
2	Obsessive_compulsive_disorder	4.118528063382316e-06
2	Autism	3.4058831119450818e-06
2	Chronic_pain	3.3436193190734373e-06
2	Seasonal_allergy	2.9393783846766465e-06
2	Allergic_rhinitis	2.7781578698158616e-06
2	Heartburn	2.5659552121966923e-06
2	Rhinitis	2.5199937022748315e-06
2	Disorder_of_orbital_region	2.3668194312416617e-06
2	Fatigue	2.191130031332472e-06
2	Thrombocytopenia	2.178042591714798e-06
2	Arthralgia	2.1476124084667716e-06
2	Cough	2.0407074737655214e-06
2	Nausea_and_vomiting	2.0215405091332543e-06
2	Carious_teeth	2.019971840231824e-06
2	Pulmonary_fibrosis	1.9907776014205565e-06
2	Dyspnea	1.9734794332905192e-06
2	Chronic_hypercapnia	1.9463221225746736e-06
2	Hypercapnia_with_mixed_acid-base_disorder	1.9463221225746736e-06
2	Chronic_hypercapnic_respiratory_failure	1.9463221225746736e-06
2	Disorder_of_acid-base_balance	1.9463221225746736e-06
2	Arthritis	1.9359093918171287e-06
2	Lymphoma	1.932373673186556e-06
2	Nephrotic_syndrome	1.9010738178940864e-06
2	Xerostomia	1.8753278187188127e-06
2	Non_Hodgkin_lymphoma	1.8601654343705752e-06
2	Sarcoidosis	1.859390970728078e-06
2	Skin_ulcer	1.8542246743429627e-06
2	Systemic_onset_juvenile_chronic_arthritis	1.8300123400267145e-06
2	Sarcoidosis_susceptibility_to_1	1.8208128537127921e-06
2	Dyspareunia	1.8191390533579478e-06
