multiplex	node	score
2	Neoplasm_of_stomach	0.22645951283589336
2	Neoplasm_of_the_large_intestine	0.00010015247838275237
2	Neoplasm_of_esophagus	6.375955216683835e-05
2	Breast_neoplasm	5.4096856162785096e-05
2	Prostate_neoplasm	5.317237958392305e-05
2	Colonic_neoplasm	4.0274533844608176e-05
2	Gastric_varix	3.683766500339667e-05
2	Gastric_diverticulum	3.683766500339667e-05
2	Schizophrenia	3.2296920564206966e-05
2	Bladder_neoplasm	3.1860222187713123e-05
2	Adenocarcinoma	3.0574140309199225e-05
2	Hepatocellular_carcinoma	2.9405607772204794e-05
2	Metastasis	2.9040672510386422e-05
2	Melanoma	2.7917249311319555e-05
2	Renal_cell_carcinoma	2.5231199516919234e-05
2	Squamous_cell_carcinoma	2.1765495295140072e-05
2	Leukemia	2.0350601254235954e-05
2	Neoplasm_of_ovary	2.0157044574608165e-05
2	Neoplasm_of_the_pancreas	1.8668749389690942e-05
2	Colorectal_carcinoma	1.8640206144902243e-05
2	Hiatus_hernia	1.8553324545351236e-05
2	Small_Cell_Neuroendocrine_Carcinoma	1.6937706594243806e-05
2	Malignant_gastrointestinal_tract_tumors	1.692051302547558e-05
2	Zollinger-Ellison_syndrome	1.692051302547558e-05
2	Bipolar_affective_disorder	1.6591441521986534e-05
2	Gastric_carcinoma	1.5951601146103613e-05
2	Neoplasm_of_lung	1.584126971657551e-05
2	Seizure	1.5077382971525135e-05
2	Epilepsy	1.4839757781752717e-05
2	Acute_myeloid_leukemia	1.4493755742132188e-05
2	Osteosarcoma	1.2785524170391184e-05
2	Autism	1.2709334564727058e-05
2	Non_small_cell_lung_carcinoma	1.265338448617321e-05
2	Biliary_tract_neoplasm	1.2574658158695368e-05
2	Testicular_neoplasm	1.2384638542793828e-05
2	Head_and_neck_neoplasm	1.1139072516597776e-05
2	Burkitt_lymphoma	1.1040529759573709e-05
2	Sarcoma	1.0697207902570547e-05
2	Depression	1.0037274912594355e-05
2	Squamous_cell_carcinoma_of_the_head_and_neck	9.943743376174603e-06
2	Alcohol_dependence	9.803118127617882e-06
2	Basal_cell_carcinoma	9.662592202284091e-06
2	Intestinal_polyp	9.538768045691224e-06
2	Malignant_tumor_of_prostate	9.254271965780513e-06
2	Spontaneous_Abortion	9.13615227604053e-06
2	Pancreatic_adenocarcinoma	9.046328025740791e-06
2	Myocardial_ischemia	8.71037654474545e-06
2	Lymphoma	8.610574059313757e-06
2	Gastrointestinal_stromal_tumor	8.270269538383489e-06
2	Carcinoid_tumor	8.14840661000844e-06
2	Small_cell_lung_carcinoma	7.849340850101635e-06
2	Non_Hodgkin_lymphoma	7.839350101094165e-06
2	Osteoarthritis	7.775151538485684e-06
2	Desmoid_tumor	7.349907031853097e-06
2	Cryptorchidism	7.3249676973823975e-06
2	Major_depressive_disorder	7.167079463831036e-06
2	Polycystic_ovaries	7.068794247113147e-06
2	Juvenile_idiopathic_arthritis	7.0648638526741015e-06
2	Nystagmus	6.950912119005796e-06
2	Endometriosis	6.879822513942393e-06
2	Obesity	6.768035182516418e-06
2	Endometrium_neoplasm	6.690607032167177e-06
2	Contact_dermatitis	6.629054943232503e-06
2	Hypertensive_disorder	6.602079445774508e-06
2	Colon_cancer	6.24117473593172e-06
2	Spasticity	6.127086828061501e-06
2	Ovarian_cyst	6.018378116004947e-06
2	B_cell_chronic_lymphocytic_leukemia	5.98201595347789e-06
2	Breast_carcinoma	5.955446754141239e-06
2	Strabismus	5.770142345151712e-06
2	Anemia	5.687736310442445e-06
2	Cardiac_arrhythmia	5.667102680216078e-06
2	Mesothelioma	5.387503739719212e-06
2	Acute_coronary_syndrome	5.2755063864965026e-06
2	Delayed_puberty	5.166431337072015e-06
2	Gastric_cancer	5.06057828599712e-06
2	GASTRIC_CANCER_INTESTINAL	5.048759680621621e-06
2	Celiac_disease	5.0383832581241555e-06
2	Neoplasm_of_brain	5.000134471888621e-06
2	Rectal_neoplasm	4.901765641837817e-06
2	Nausea_and_vomiting	4.713380048007571e-06
2	Myocardial_infarction	4.7025677580056826e-06
2	Peripheral_neuropathy	4.6780444587680565e-06
2	Glioma	4.634455715753683e-06
2	Urticaria	4.590083420267949e-06
2	Fatigue	4.580573805808309e-06
2	Ovarian_cancer	4.506165852007603e-06
2	Asthma	4.501009275005431e-06
2	Renal_neoplasm	4.500086282856332e-06
2	Extraskeletal_myxoid_chondrosarcoma	4.490071794661371e-06
2	Primary_dilated_cardiomyopathy	4.479797514116393e-06
2	Status_epilepticus	4.375112753267092e-06
2	Ectopic_ossification	4.3748407973885515e-06
2	Colitis	4.344612493295332e-06
2	Rheumatoid_arthritis	4.323262682240644e-06
2	Peripheral_T_cell_lymphoma	4.295063268237403e-06
2	Diabetes_mellitus	4.2451054498084455e-06
2	Peptic_ulcer	4.231510033679044e-06
2	Skin_disorder	4.213802080192214e-06
2	Osteoporosis	4.187562888973245e-06
2	Cirrhosis_of_liver	4.183848498614972e-06
2	Liver_cancer	4.166926941449347e-06
2	Heart_failure	4.137799726216341e-06
2	Dystonic_disorder	3.9972502086734645e-06
2	Inflammatory_bowel_disease	3.93049992086011e-06
2	Neoplasm_of_the_liver	3.890613212024269e-06
2	Insulin_resistance	3.883288155452768e-06
2	Hyperglycemia	3.858518389384347e-06
2	Seasonal_allergy	3.832309594086395e-06
2	Melanoma_cutaneous_malignant_susceptibility_to_3	3.780064038559408e-06
2	Growth_failure	3.764295812212313e-06
2	Blindness	3.699086688653211e-06
2	Diamond_Blackfan_anemia	3.68341735314124e-06
2	Constipation	3.623275819345186e-06
2	Increased_intracranial_pressure	3.6184520426770225e-06
2	Transitional_cell_carcinoma	3.584414117848965e-06
2	Multiple_myeloma	3.5123152784276114e-06
2	Hypertrophic_cardiomyopathy	3.4193987925001413e-06
2	Congenital_afibrinogenemia	3.3251843252700186e-06
2	Germ_cell_tumor_of_testis	3.2997786411453043e-06
2	Duodenal_ulcer	3.2688985250155996e-06
2	Glioblastoma	3.250995694867155e-06
2	Amyotrophic_lateral_sclerosis	3.216162962914186e-06
2	Gastrointestinal_hemorrhage	3.198764736394928e-06
2	Familial_multiple_polyposis_syndrome	3.1247712266913684e-06
2	Medulloblastoma	3.111904740270108e-06
2	Hypogonadotropic_hypogonadism_7_with_or_without_anosmia	3.083765284683355e-06
2	Central_precocious_puberty	3.0822530942031363e-06
2	Type_2_diabetes_mellitus	3.0348560560615024e-06
2	Sezary_syndrome	3.030978192753681e-06
2	Thrombotic_disease	2.9830417777651332e-06
2	Cardiomyopathy	2.9515391937532183e-06
2	Stroke_disorder	2.9370680453249195e-06
2	Pilomatrixoma	2.9213412779773168e-06
2	Ischemic_encephalopathy	2.8852932045154793e-06
2	Hypoglycemia	2.8826850538118576e-06
2	Malignant_tumor_of_urinary_bladder	2.863501545430026e-06
2	Malignant_tumor_of_breast	2.852998421721692e-06
2	Retinoblastoma	2.801281873373336e-06
2	Leukemia_acute_myeloid_susceptibility_to	2.7661827242419443e-06
2	Abdominal_pain	2.746768187372758e-06
2	Adenoma	2.736631384729391e-06
2	Migraine	2.73072883053209e-06
2	Familial_adenomatous_polyposis_2	2.7262957767929884e-06
2	myoclonic_epilepsy	2.7125449879895836e-06
2	Van_Maldergem_syndrome_2	2.706792254406061e-06
2	Lung_cancer_protection_against	2.695150173199719e-06
2	Psychotic_disorder	2.6930126835905664e-06
2	Minimally_invasive_lung_adenocarcinoma	2.6915455451892195e-06
2	Lung_cancer	2.691539165254204e-06
2	Lung_adenocarcinoma	2.6890024279892058e-06
2	Decreased_circulating_carnitine_concentration	2.6705507026924338e-06
2	Pruritus	2.645814350950745e-06
2	Nephrotic_syndrome	2.568836292966429e-06
2	Breast_cancer_familial_male	2.5622745720256813e-06
2	Secondary_Parkinson_disease	2.4184364620419768e-06
2	Pulmonary_fibrosis	2.3812194240018837e-06
2	Psoriasis	2.3704170134514935e-06
2	Renal_hypodysplasia/aplasia_1	2.361575393917182e-06
2	Acute_myeloblastic_leukemia_without_maturation	2.3530976491744526e-06
2	Allergic_contact_dermatitis	2.3215061889652577e-06
2	Neoplasm_of_the_skin	2.305082733568975e-06
2	Tooth_agenesis_selective_1	2.297571746165859e-06
2	Tooth_agenesis_selective_with_orofacial_cleft	2.297571746165859e-06
2	Orofacial_cleft_5	2.297571746165859e-06
2	Hypodontia/oligodontia_with_orofacial_cleft	2.297571746165859e-06
2	Hypoplastic_enamel_onycholysis_hypohidrosis_syndrome	2.297571746165859e-06
2	Hydatidiform_mole	2.286253773532275e-06
2	DPAGT1_congenital_disorder_of_glycosylation	2.2828049800335055e-06
2	Coarctation_of_aorta	2.2751546471180092e-06
2	Age_related_macular_degeneration	2.265870814455439e-06
2	Preeclampsia	2.261368226341434e-06
2	Premature_birth_of_newborn	2.2561545728517218e-06
2	Carcinogenesis	2.249023835535226e-06
2	Neuroblastoma	2.2457098351612155e-06
2	Ovarian_epithelial_cancer	2.2374369833035833e-06
2	Prolactin_producing_pituitary_gland_adenoma	2.224875242544051e-06
2	Hepatoblastoma	2.2068999949944635e-06
2	Alopecia	2.2051757402479754e-06
2	Pancreatic_insulinoma	2.2045376813907867e-06
2	Leigh_syndrome	2.1987581686202144e-06
2	Fever	2.1897008547197615e-06
2	Hepatoblastoma_Caused_By_Somatic_Mutation	2.1858209524954208e-06
2	Infection_of_bone	2.1816240154319173e-06
2	Diarrhea	2.178997228725124e-06
2	Uremia	2.1773759254372993e-06
2	Primary_cutaneous_T_cell_lymphoma	2.175094880417117e-06
2	Alzheimer_disease	2.167247426341488e-06
2	Saethre_Chotzen_syndrome_with_eyelid_anomalies	2.1611409558169493e-06
2	Vasculitis	2.156872890588271e-06
2	Gingivitis	2.1528331612598907e-06
2	Patent_ductus_arteriosus	2.1177005425149174e-06
2	Alopecia_areata	2.117516664556499e-06
2	Carcinoma_of_pancreas	2.112760005503395e-06
2	Adult_acute_respiratory_distress_syndrome	2.1046583768301136e-06
2	Diamond_Blackfan_anemia_10	2.098459943420596e-06
2	GASTRIC_CARDIA_ADENOCARCINOMA_SUSCEPTIBILITY_TO	2.09638488051054e-06
2	AERODIGESTIVE_TRACT_CANCER_SUSCEPTIBILITY_TO	2.09637167585213e-06
2	ESCC_SUSCEPTIBILITY_TO	2.0952587314459243e-06
2	Carcinoma_of_esophagus	2.091546916248704e-06
2	Edema	2.0884382153252717e-06
2	Acute_promyelocytic_leukemia	2.069167058008406e-06
2	Glaucoma	2.0424800458338725e-06
2	Pyridoxine_dependent_epilepsy	2.0346331159781074e-06
2	Hyperuricemia	2.032743355199894e-06
2	Hypertrichosis	2.0308343486095903e-06
2	Thrombocytopenia	2.028660444410777e-06
