multiplex	node	score
2	Nephritis	0.22614707204923473
2	Stage_5_chronic_kidney_disease	0.0001071112401077176
2	Nephrotic_syndrome	8.874594196419655e-05
2	Epilepsy	7.289005200464616e-05
2	Hypertensive_disorder	6.652049353516944e-05
2	Schizophrenia	6.384542238231281e-05
2	Atopic_eczema	5.890830048973919e-05
2	Autosomal_recessive_Alport_syndrome	5.7299949828976045e-05
2	Periodontitis	5.0817641300514156e-05
2	Kidney_damage	4.3156436275896545e-05
2	Nail_dystrophy	4.1089190684338056e-05
2	Arthralgia	3.301452598250556e-05
2	Arthritis	3.264645914049876e-05
2	Dermatitis	3.096444316813493e-05
2	Otitis_media	3.0477310685896663e-05
2	Autosomal_dominant_Alport_syndrome	3.0068838443658348e-05
2	Thrombocytopenia	2.8236114968583836e-05
2	Urticaria	2.7353642970484073e-05
2	Gingival_disorder	2.6395773420444843e-05
2	X_linked_Alport_syndrome	2.5969584779381733e-05
2	Chronic_discoid_lupus_erythematosus	2.4707506285234164e-05
2	Autoimmune_thrombocytopenic_purpura	1.9093555887036782e-05
2	Cirrhosis_of_liver	1.8065289807873694e-05
2	Renal_hypertension	1.709421860085644e-05
2	COCHLEOSACCULAR_DEGENERATION	1.7090420942178982e-05
2	Autosomal_dominant_nonsyndromic_hearing_loss_17	1.7090303362907332e-05
2	Hypophosphatemia	1.6761617182672103e-05
2	Autoimmune_disease	1.6120264291254248e-05
2	Primary_dilated_cardiomyopathy	1.5336855102646453e-05
2	Hyperlipidemia	1.5217086406518537e-05
2	Neoplasm_of_stomach	1.5027803292294023e-05
2	Lymphoma	1.5011340372113094e-05
2	Pancreatitis	1.4982528453617134e-05
2	Autoimmune_lymphoproliferative_syndrome_type_2A	1.4761482996129306e-05
2	Gastric_cancer	1.4740311475903237e-05
2	Uveitis	1.4346230340936333e-05
2	Meningitis	1.4321203778934464e-05
2	Seizure	1.4239188890623739e-05
2	Aphthous_stomatitis	1.4205789874267298e-05
2	Endometriosis	1.4123387616779592e-05
2	Hypoparathyroidism	1.3659853209886725e-05
2	Gastrointestinal_hemorrhage	1.3642019766245255e-05
2	Ichthyosis	1.359285874554141e-05
2	Chronic_renal_failure_syndrome	1.3478492701048196e-05
2	Fatigue	1.2322892021609847e-05
2	Atherosclerosis	1.2294442259406317e-05
2	Renal_insufficiency	1.226845177498647e-05
2	Allergy	1.212969943801753e-05
2	Vasculitis	1.1756226081522326e-05
2	Kidney_failure	1.1722161470126223e-05
2	Respiratory_insufficiency	1.1688706852152055e-05
2	Gingivitis	1.161220606691498e-05
2	Myocardial_infarction	1.1149303718376056e-05
2	Congestive_heart_failure	1.1048006630881763e-05
2	Hypergonadotropic_hypogonadism	1.0467418592506753e-05
2	Gangrene	1.042337118790764e-05
2	Bladder_neoplasm	1.023994724286782e-05
2	Hyperuricemia	1.0028559260112573e-05
2	Heart_failure	9.99601938152741e-06
2	Diabetes_insipidus	9.97445887776965e-06
2	Ankylosing_spondylitis	9.935785085844158e-06
2	Diarrhea	9.924818740948956e-06
2	Hypoalphalipoproteinemia	9.862753687892924e-06
2	Alstrom_syndrome	9.812209347168675e-06
2	Melanoma	9.79920661051773e-06
2	Hypertensive_crisis	9.474837664980482e-06
2	Dermatomyositis	9.230950660539859e-06
2	Spondyloarthropathy_susceptibility_to_1	9.140496576494394e-06
2	Behcet_disease	9.006985344739956e-06
2	Pneumonia	8.827518642844712e-06
2	Autoimmune_hemolytic_anemia	8.778690875470793e-06
2	Vitiligo	8.768847912849808e-06
2	Iron_deficiency_anemia	8.738967681319274e-06
2	Iridocyclitis	8.684430164822316e-06
2	Type_2_diabetes_mellitus	8.540369149213821e-06
2	Autoimmune_lymphoproliferative_syndrome_type_1a	8.446530500966576e-06
2	Focal_segmental_glomerulosclerosis	8.413468700516133e-06
2	Menorrhagia	7.926505872269943e-06
2	Neoplasm_of_the_skin	7.601285476556871e-06
2	Disorder_of_orbital_region	7.545894037076911e-06
2	Keloid	7.505968551381058e-06
2	Depression	7.012359724834423e-06
2	Pulmonary_hypertension	7.005650751104577e-06
2	Osteoporosis	6.944171963675319e-06
2	Hypotension	6.615505931601101e-06
2	Pulmonary_arterial_hypertension	6.567302486840878e-06
2	Fever	6.257827089520073e-06
2	Non_Hodgkin_lymphoma	6.146867643642822e-06
2	Palmoplantar_keratosis	6.142898231747919e-06
2	Lymphoma_non_Hodgkin_familial	6.110503165725255e-06
2	Gastric_carcinoma	6.0848240701057944e-06
2	GASTRIC_CANCER_INTESTINAL	6.065366185792955e-06
2	Migraine	6.060197242984989e-06
2	Venous_thrombosis	6.052941405687177e-06
2	Abdominal_pain	6.031755705014936e-06
2	Nausea_and_vomiting	6.009646764591205e-06
2	Myalgia	5.9864636517024814e-06
2	Acne	5.882353680132519e-06
2	Diabetic_Vascular_Disorder	5.806819970650016e-06
2	Oral_ulcer	5.7493994325881475e-06
2	Myasthenia_gravis	5.704783399125978e-06
2	Orchitis	5.697089940745806e-06
2	Angioedema	5.694641637214169e-06
2	Perennial_allergic_rhinitis	5.66209230527898e-06
2	Serum_sickness	5.658862214931699e-06
2	Cardiac_arrhythmia	5.3526671327543195e-06
2	Constipation	5.219094908375178e-06
2	Prostate_neoplasm	5.160666823976687e-06
2	Preeclampsia	5.0175514998954955e-06
2	Ventricular_fibrillation	4.989315863665412e-06
2	Asthma	4.973185241395983e-06
2	Hypomagnesemia	4.714314912538929e-06
2	Autism	4.666582654278112e-06
2	Acute_myeloid_leukemia	4.542343311108067e-06
2	Pseudoxanthoma_elasticum,_modifier_of_severity_of	4.237937278301996e-06
2	Immunoglobulin-mediated_membranoproliferative_glomerulonephritis	4.237937278301996e-06
2	Galactorrhea	4.237937278301996e-06
2	Hemolytic_uremic_syndrome,_atypical,_susceptibility_to,_7	4.237937278301996e-06
2	Hemolytic-uremic_syndrome	4.237937278301996e-06
2	Raynaud_phenomenon	4.237937278301996e-06
2	Oral_bleeding	4.237937278301996e-06
2	Nystagmus	4.228260206051966e-06
2	Magnesium_deficiency	4.182845589936337e-06
2	Neoplasm_of_lung	4.150313894156579e-06
2	Rheumatoid_arthritis	4.132065020120005e-06
2	Hepatocellular_carcinoma	4.116212666307563e-06
2	Hematuria	4.113642991397893e-06
2	Kidney_disorder	4.113642991397893e-06
2	Neoplasm_of_the_large_intestine	4.108413096760061e-06
2	Torsades_de_pointes	4.0419784339204305e-06
2	Cardiomyopathy	4.016547841491812e-06
2	Insulin_resistance	3.886432174885607e-06
2	Gynecomastia	3.8604208172981e-06
2	Myocardial_ischemia	3.845778892201795e-06
2	Anemia	3.843172472080816e-06
2	Hyperinsulinemia	3.782362567009025e-06
2	Psychotic_disorder	3.7717815280684567e-06
2	Skin_ulcer	3.676461491968668e-06
2	Blindness	3.6657187191008098e-06
2	Breast_neoplasm	3.6597793722450227e-06
2	Alopecia	3.6488109506134397e-06
2	Drug_allergy	3.644264016326171e-06
2	Infectious_disease_of_lung	3.5904845277652397e-06
2	Halitosis	3.5756498815914604e-06
2	Hypothyroidism	3.5206503294079003e-06
2	Abdominal_obesity	3.4110411731071694e-06
2	Stevens_Johnson_syndrome	3.4096841457833426e-06
2	Glioma	3.3993825811083463e-06
2	Irregular_menstruation	3.3939414452719083e-06
2	Exanthem	3.3532823568658575e-06
2	Hypertrophic_cardiomyopathy	3.275389318587384e-06
2	Spontaneous_Abortion	3.2642398964204116e-06
2	B_cell_chronic_lymphocytic_leukemia	3.200937688310796e-06
2	Acute_promyelocytic_leukemia	3.1988985491212135e-06
2	Excessive_salivation	3.1487834864472286e-06
2	Glaucoma	3.1343809052026574e-06
2	Synovitis	3.1210074834596827e-06
2	Panniculitis	3.114922351490711e-06
2	Lymphadenitis	3.114922351490711e-06
2	Anorexia	3.0488358782136203e-06
2	Tetany	3.0473579471455214e-06
2	Disorder_of_nasal_sinus	3.047023149843101e-06
2	Metastasis	2.966725256921701e-06
2	Alcohol_dependence	2.929284545886226e-06
2	Malignant_lymphoma_large_B_cell_diffuse	2.8753870039965766e-06
2	Primary_cutaneous_T_cell_lymphoma	2.8581211845948255e-06
2	Coarctation_of_aorta	2.833549763693948e-06
2	Juvenile_idiopathic_arthritis	2.8010829384564164e-06
2	Bipolar_affective_disorder	2.7940423910739557e-06
2	Inflammatory_abnormality_of_the_skin	2.793254853953349e-06
2	Abnormal_left_ventricular_function	2.738251106878185e-06
2	Aortic_valve_disease_2	2.731014058876212e-06
2	Autoimmune_lymphoproliferative_syndrome_type_1	2.7301501082153628e-06
2	Autoimmune_lymphoproliferative_syndrome_type_1b	2.7085397760420144e-06
2	Endocarditis	2.6885156150050277e-06
2	Autoimmune_lymphoproliferative_syndrome_type_1_autosomal_recessive	2.682709000113492e-06
2	Colorectal_cancer_susceptibility_to_3	2.6618946346485004e-06
2	Status_epilepticus	2.620511599716145e-06
2	Ulcerative_colitis	2.4996040297481692e-06
2	Periodontal_disorder	2.425438444893226e-06
2	Non_small_cell_lung_carcinoma	2.3920569652266774e-06
2	Sinusitis	2.2728601025199116e-06
2	Premature_labor	2.020908075251835e-06
2	Glioblastoma	1.95242867885827e-06
2	Vaginitis	1.8422853714639925e-06
2	Systemic_lupus_erythematosus	1.8326757576226015e-06
2	Obesity	1.8010821149494447e-06
2	Major_depressive_disorder	1.71008931730004e-06
2	Colonic_neoplasm	1.6158470010829982e-06
2	Immunodeficiency	1.5860818048745198e-06
2	Ischemic_encephalopathy	1.5351740006137398e-06
2	Neoplasm_of_esophagus	1.519701898103752e-06
2	Pulmonary_fibrosis	1.5083041527610285e-06
2	Neoplasm_of_ovary	1.492057059724241e-06
2	Myositis_disease	1.3809014498795387e-06
2	Allergic_contact_dermatitis	1.349301232426654e-06
2	Polycystic_ovaries	1.2615072775717997e-06
2	Focal_segmental_glomerulosclerosis_5	1.2214497065234415e-06
2	Pseudoxanthoma_elasticum	1.2124009097180487e-06
2	Infection_of_bone	1.1841905013318747e-06
2	Osteomyelitis	1.1777829077319075e-06
2	Hepatitis	1.161997501969877e-06
2	Fasciitis	1.1615428826865163e-06
2	Intermittent_claudication	1.130169926703539e-06
2	Mastitis	1.111039613657462e-06
2	Osteoarthritis	1.0786656347768186e-06
2	Ear_pain	1.0761262124205664e-06
2	Strabismus	1.0628244859037892e-06
2	Gingivostomatitis	1.0220850151406988e-06
2	Renovascular_hypertension	9.451652488876186e-07
2	Patent_ductus_arteriosus	9.433216850092362e-07
2	Stomatitis	9.411640071434005e-07
2	Epididymitis	9.373592922351333e-07
2	Premature_birth	9.141952228242432e-07
2	Psoriasis	9.127581602630682e-07
