multiplex	node	score
2	Peripheral_neuropathy	0.22621445812818766
2	Seizure	0.00010691648552736697
2	Epilepsy	0.00010393637718368422
2	Myalgia	4.893816461634545e-05
2	Schizophrenia	4.099109127416371e-05
2	Nystagmus	3.265393878117645e-05
2	Major_depressive_disorder	2.8388732375930843e-05
2	Spasticity	2.720669298164955e-05
2	Myopathy	2.5962303311254632e-05
2	Dystonic_disorder	2.2532861507107742e-05
2	Bipolar_affective_disorder	2.1740795179655732e-05
2	Cardiomyopathy	1.9540751985696615e-05
2	Prostate_neoplasm	1.9304418027436834e-05
2	Depression	1.894251032574226e-05
2	Breast_neoplasm	1.870351354995024e-05
2	Neoplasm_of_the_large_intestine	1.8111289611477554e-05
2	Postherpetic_neuralgia	1.6543575010513966e-05
2	Movement_disorder	1.5955130700145967e-05
2	Myocardial_ischemia	1.4792174199899904e-05
2	Cardiac_arrhythmia	1.4328600633464432e-05
2	Congestive_heart_failure	1.3754772959995285e-05
2	Type_2_diabetes_mellitus	1.2909389709970379e-05
2	Hepatocellular_carcinoma	1.2658561018468502e-05
2	Hypertensive_disorder	1.2411193436684412e-05
2	Neoplasm_of_stomach	1.2166155905186356e-05
2	Psychotic_disorder	1.1834799623718617e-05
2	Colonic_neoplasm	1.1351318973989205e-05
2	Respiratory_insufficiency	1.1289098843392289e-05
2	Heart_failure	1.1085855846604176e-05
2	Diabetes_mellitus	1.1032508651879487e-05
2	Chronic_inflammatory_demyelinating_polyradiculoneuropathy	1.0701269201796811e-05
2	Cryptorchidism	1.0357912530158061e-05
2	Abdominal_pain	1.0244119708899584e-05
2	Strabismus	1.0229663683522907e-05
2	Melanoma	1.0079986329351179e-05
2	Non_small_cell_lung_carcinoma	9.902692080388101e-06
2	Renal_insufficiency	9.581873720249469e-06
2	Tremor	9.223986694231658e-06
2	Adenocarcinoma	8.850536367747641e-06
2	Obesity	8.364188138832038e-06
2	Acute_coronary_syndrome	8.222150165814483e-06
2	Congenital_sensory_neuropathy_with_selective_loss_of_small_myelinated_fibers	8.137585025137507e-06
2	Orthostatic_hypotension	8.117818665028413e-06
2	Disorder_of_orbital_region	8.011842067098779e-06
2	Arthralgia	8.002946029623385e-06
2	Bilateral_tonic_clonic_seizure	7.903758769299376e-06
2	Dejerine_Sottas_disease	7.867362850371061e-06
2	Hypogonadism	7.694472936789048e-06
2	Fatigue	7.626047085086171e-06
2	Hypertrophic_cardiomyopathy	7.441077666042324e-06
2	Anemia	7.2931378799513e-06
2	Hyperglycemia	7.204121769998272e-06
2	Ischemic_encephalopathy	7.187561059147039e-06
2	Drug_allergy	7.150461234674527e-06
2	Neuronopathy_distal_hereditary_motor_type_2C	7.059524557519698e-06
2	Diarrhea	6.950344431534136e-06
2	Decreased_circulating_carnitine_concentration	6.918536042589523e-06
2	Constipation	6.9135218916853274e-06
2	Hyperkeratosis	6.848255409478958e-06
2	Premature_birth	6.791289791395192e-06
2	Vomiting	6.765690460930059e-06
2	Dementia	6.744076251945361e-06
2	Osteoporosis	6.629868004882986e-06
2	Juvenile_idiopathic_arthritis	6.622103964488064e-06
2	Osteoarthritis	6.607975792622437e-06
2	Migraine	6.443697802345696e-06
2	Gastroesophageal_reflux_disease	6.423668473827539e-06
2	Osteopenia	6.251145301173732e-06
2	Microalbuminuria	6.2490994944236944e-06
2	Anxiety	6.21467186064131e-06
2	Cholelithiasis	6.188482464493504e-06
2	myoclonic_epilepsy	6.142042870971325e-06
2	Amyotrophic_neuralgia	6.081002550018071e-06
2	Acute_myeloid_leukemia	6.066242910397488e-06
2	Neoplasm_of_lung	5.995086073293699e-06
2	Squamous_cell_carcinoma_of_the_head_and_neck	5.913239642555201e-06
2	Renal_cell_carcinoma	5.841274507678225e-06
2	Skin_disorder	5.771338057133954e-06
2	Thrombocytopenia	5.758319633985124e-06
2	Ichthyosis	5.705252431265125e-06
2	Primary_adrenocortical_insufficiency	5.667033902830551e-06
2	Cachexia	5.6470154379463275e-06
2	Autism	5.558316019561147e-06
2	Kidney_failure	5.491385577349637e-06
2	Astrocytoma	5.440369103044383e-06
2	Infertility_disorder	5.399054917725976e-06
2	Nausea_and_vomiting	5.369961961202265e-06
2	Parkinson_disease	5.348397658759631e-06
2	Metastasis	5.322408679465734e-06
2	Primary_dilated_cardiomyopathy	5.293686054721611e-06
2	Edema	5.241384196588694e-06
2	Charcot_Marie_Tooth_disease_axonal_type_2N	5.131233982548094e-06
2	Hereditary_spastic_paraplegia_57	5.121599123396833e-06
2	Spinocerebellar_ataxia_autosomal_recessive_with_axonal_neuropathy_2	5.09202568051779e-06
2	Amyotrophic_lateral_sclerosis_type_4	5.0827102626913235e-06
2	Amyotrophic_lateral_sclerosis	5.0495692306712985e-06
2	Charcot_Marie_Tooth_disease_type_4E	4.944522008842316e-06
2	Vertigo	4.858428923866682e-06
2	Dizziness	4.836884136264219e-06
2	Hypergonadotropic_hypogonadism	4.815867569518351e-06
2	Deafness_encephaloneuropathy_obesity_valvulopathy_syndrome	4.709101932885484e-06
2	Hypoglycemia	4.6939057128118654e-06
2	Hyperlipidemia	4.644522745986517e-06
2	Charcot_Marie_Tooth_disease_type_IA	4.616509054500524e-06
2	Guillain_Barre_syndrome_familial	4.616509054500524e-06
2	Abnormal_heart_morphology	4.517008566137033e-06
2	Psoriasis	4.507108490384146e-06
2	Status_epilepticus	4.4987894745472305e-06
2	Headache	4.490083263508344e-06
2	Hypercholesterolemia	4.44895409069082e-06
2	Anorexia	4.405589477842178e-06
2	Fucosidosis	4.368289761535231e-06
2	46XY_sex_reversal_7	4.3626717867703524e-06
2	Bladder_neoplasm	4.347252338866733e-06
2	Insulin_resistance	4.340458418556662e-06
2	Microcephaly_seizures_and_developmental_delay	4.332395978551393e-06
2	Attention_deficit_hyperactivity_disorder	4.214830760346306e-06
2	Liver_failure	4.151017894932483e-06
2	Hypogonadotropic_hypogonadism	4.141144340520874e-06
2	Ovarian_cyst	4.140284633474267e-06
2	Pulmonary_hypertension	4.129120038469808e-06
2	Multiple_myeloma	4.081337329023059e-06
2	Malignant_lymphoma_large_B_cell_diffuse	4.079949676483356e-06
2	Alopecia	4.0747111553638515e-06
2	Neoplasm_of_esophagus	4.0605128340019085e-06
2	Methylmalonic_acidemia	4.05672506956821e-06
2	Atrioventricular_block	4.0420859988090885e-06
2	Charcot_Marie_Tooth_disease_axonal_type_2K	4.037959976427248e-06
2	Autosomal_dominant_Charcot_Marie_Tooth_disease_type_2K	4.037959976427248e-06
2	Charcot_Marie_Tooth_disease_type_4A	4.037959976427248e-06
2	Charcot_Marie_Tooth_disease_axonal_with_vocal_cord_paresis_autosomal_recessive	4.037959976427248e-06
2	Charcot_Marie_Tooth_disease_recessive_intermediate_A	4.037959976427248e-06
2	Dilated_cardiomyopathy_1C	4.019058288669162e-06
2	Left_ventricular_noncompaction_3	4.019058288669162e-06
2	CARDIOMYOPATHY_FAMILIAL_HYPERTROPHIC_24	4.019058288669162e-06
2	Distal_myopathy_with_posterior_leg_and_anterior_hand_involvement	4.00277243270766e-06
2	Gangrene	3.9501638919752656e-06
2	Alcohol_dependence	3.928258971585882e-06
2	Peripheral_arterial_occlusive_disease	3.8954176916367756e-06
2	Bronchial_hyperreactivity	3.831024465404156e-06
2	Growth_failure	3.821053184920877e-06
2	Growth_retardation	3.8101908608587972e-06
2	Trigeminal_neuralgia	3.7910514355155696e-06
2	Polycystic_ovaries	3.7822462778986427e-06
2	Asthma	3.662781540304702e-06
2	Alzheimer_disease	3.642882117537953e-06
2	Urinary_incontinence	3.495718452338338e-06
2	Endometrium_neoplasm	3.476707059179132e-06
2	Keratitis	3.465562143008882e-06
2	Squamous_cell_carcinoma	3.4547057041362004e-06
2	VARIEGATE_PORPHYRIA_HOMOZYGOUS_VARIANT	3.411675519828008e-06
2	Variegate_porphyria	3.40960944100431e-06
2	Heartburn	3.39178351999002e-06
2	Chorea	3.343453725591729e-06
2	Peripheral_edema	3.3399342996981796e-06
2	Endometriosis	3.336089416592752e-06
2	Transgrediens_et_progrediens_palmoplantar_keratoderma	3.2894257447875505e-06
2	Keratosis_palmoplantaris_transgrediens_et_progrediens	3.28772248731791e-06
2	Erythrokeratodermia_variabilis_et_progressiva_1	3.2854079999343606e-06
2	Spontaneous_Abortion	3.2652742640613575e-06
2	Deafness_digenic_GJB2/GJB3	3.245187574356123e-06
2	Deafness_digenic_GJB2/GJB6	3.244845711464588e-06
2	Autosomal_dominant_nonsyndromic_hearing_loss_2B	3.2329726529354747e-06
2	Decreased_circulating_copper_concentration	3.161256973333087e-06
2	Neuropathy_hereditary_sensory_type_2C	3.160561658476898e-06
2	Spastic_Paraplegia_30_Autosomal_Recessive	3.1569894588032156e-06
2	Intellectual_disability_autosomal_dominant_9	3.1569894588032156e-06
2	Charcot_Marie_Tooth_disease_dominant_intermediate_D	3.1512828603436915e-06
2	Charcot_Marie_Tooth_disease_type_2I	3.1509301222793184e-06
2	Charcot_Marie_Tooth_disease_type_2J	3.1509301222793184e-06
2	Charcot_Marie_Tooth_disease_type_1B	3.1509301222793184e-06
2	Hereditary_spastic_paraplegia_30	3.1497343663941562e-06
2	Pain	3.142078697304754e-06
2	Hyperplasia	3.1235170888045936e-06
2	Autosomal_dominant_optic_atrophy_classic_form	3.1173306686505743e-06
2	Osteopetrosis_with_renal_tubular_acidosis	3.113134942720474e-06
2	Phytanic_acid_storage_disease	3.1085834131509684e-06
2	Palmoplantar_keratosis	3.0572918690280707e-06
2	Myocardial_infarction	3.0409087313840955e-06
2	Ewing_sarcoma	3.0407513720848883e-06
2	Fever	3.0285283399870702e-06
2	Contact_dermatitis	3.007783988801456e-06
2	Pancreatitis	3.0062322259279276e-06
2	Charcot_Marie_Tooth_disease_type_1D	2.9939182102115524e-06
2	Papillary_thyroid_carcinoma	2.979429337021877e-06
2	Charcot_Marie_Tooth_disease_axonal_type_2F	2.9643258814391518e-06
2	Neuronopathy_distal_hereditary_motor_type_2B	2.964130420590924e-06
2	Wolff_Parkinson_White_pattern	2.9022674586646617e-06
2	Cirrhosis_of_liver	2.900886574150584e-06
2	Urinary_bladder_inflammation	2.8761432273439924e-06
2	Angina_pectoris	2.871159835250399e-06
2	Hypothyroidism	2.8665565640722847e-06
2	Cerebral_ischemia	2.859785612505667e-06
2	Decreased_circulating_vitamin_B1_concentration	2.858445251123393e-06
2	Generalized_onset_seizure	2.856700177804374e-06
2	Adrenal_cortical_hypofunction	2.8512931933107665e-06
2	Neoplasm_of_the_pancreas	2.8509294969457173e-06
2	Triosephosphate_isomerase_deficiency	2.7742540873001015e-06
2	Pyruvate_dehydrogenase_E3_binding_protein_deficiency	2.7559888527456733e-06
2	Agitation	2.7516294777616335e-06
2	Muscle_spasm	2.7292984940577246e-06
2	Premature_birth_of_newborn	2.7255197778205467e-06
2	Delayed_puberty	2.662576802008051e-06
2	Cholecystitis	2.6526917998111997e-06
2	Acute_promyelocytic_leukemia	2.6495648948715943e-06
2	Schwannomatosis_1	2.6267055746274904e-06
2	TYPE_2_DIABETES_MELLITUS_PROTECTION_AGAINST	2.625572426425776e-06
2	Insulin_resistance_susceptibility_to	2.6236858421910263e-06
2	Hypoalphalipoproteinemia	2.6131326145578855e-06
2	Waardenburg_syndrome_type_4A	2.5986244795894193e-06
2	Hirschsprung_disease_susceptibility_to_2	2.5986244795894193e-06
2	AMYOTROPHIC_LATERAL_SCLEROSIS_1_AUTOSOMAL_RECESSIVE	2.593067987911276e-06
2	ABCD_syndrome	2.5921796277083273e-06
2	Herpes_simplex_encephalitis	2.5804521243540726e-06
2	Alexander_disease	2.553823734333006e-06
2	Sarcoma	2.5360440787225796e-06
2	Congenital_hypothyroidism	2.525394665054833e-06
2	Pseudohypoparathyroidism	2.5008517491110675e-06
2	Neurofibromatosis_type_2	2.499578792644678e-06
2	Waardenburg_syndrome_type_4C	2.4957508349726814e-06
2	Waardenburg_syndrome_type_2E	2.4939646371084754e-06
2	Hereditary_spastic_paraplegia_39	2.487902342802173e-06
2	Immunodeficiency	2.4849978599249357e-06
2	Spinal_cord_tumor	2.4821625622417954e-06
2	Neoplasm_of_ovary	2.451023165727572e-06
2	Paronychia	2.4406490912878674e-06
2	Reduced_circulating_vitamin_B6_circulating	2.4351828958680325e-06
2	Mesothelioma	2.4265939077688495e-06
2	NEUROPATHY_CONGENITAL_HYPOMYELINATING_1_AUTOSOMAL_DOMINANT	2.420506977022949e-06
2	Cerebral_Amyloid_Angiopathy_Gsn_Related	2.406584867590152e-06
2	Carious_teeth	2.402259578817098e-06
2	Meretoja_syndrome	2.4002648917605e-06
2	AGel_amyloidosis	2.4002648917605e-06
2	Temporal_lobe_epilepsy	2.3879267088453198e-06
2	Thrombocytosis	2.385962001761217e-06
2	Diabetic_kidney_disease	2.3767046499345796e-06
2	Chronic_renal_failure_syndrome	2.361671340334238e-06
2	Follicular_lymphoma	2.3505726375301593e-06
2	Rhizomelic_chondrodysplasia_punctata_type_1	2.3278314971353556e-06
2	Maturity_onset_diabetes_of_the_young_type_2	2.3168830543524258e-06
2	Hyperinsulinism_due_to_glucokinase_deficiency	2.3145887566043247e-06
2	Glucose_intolerance	2.3090652030253925e-06
2	Hypercholesterolemia_familial_1	2.3065055884181766e-06
2	Congenital_bile_acid_synthesis_defect_4	2.3034540686116106e-06
2	Coronary_artery_disorder	2.303402165178111e-06
2	Panic_disorder	2.2982490446378127e-06
2	Pulmonary_arterial_hypertension	2.2862808520777085e-06
2	Chronic_diarrhea	2.281976982835153e-06
2	Gaucher_disease_due_to_saposin_C_deficiency	2.2802939709725445e-06
2	Sphingolipid_activator_protein_1_deficiency	2.275543131023771e-06
2	LDLCQ2_disease	2.2705068648374526e-06
2	Neuroblastoma	2.2654868860460687e-06
2	Hereditary_coproporphyria	2.25369744171308e-06
2	Precocious_puberty	2.236283310765087e-06
2	Amyloid_Cardiomyopathy_Transthyretin_related	2.233115586960427e-06
2	Zellweger_spectrum_disorders	2.230648497018931e-06
2	AMYLOIDOSIS_LEPTOMENINGEAL_TRANSTHYRETIN_RELATED	2.229985970052093e-06
2	Familial_amyloid_neuropathy	2.2293345119030616e-06
2	Carpal_tunnel_syndrome_1	2.2278543608124273e-06
2	Familial_amyloid_polyneuropathy	2.227802519109977e-06
2	Carpal_tunnel_syndrome	2.226994529140106e-06
2	Renal_neoplasm	2.2104150918890558e-06
2	Intermittent_claudication	2.2042150794272313e-06
2	Tangier_disease	2.20220392715874e-06
2	Charcot_Marie_Tooth_disease_type_1E	2.1809275044868165e-06
2	Atherosclerosis	2.167058752110093e-06
2	Systemic_lupus_erythematosus	2.1541236389502048e-06
2	Peroxisome_biogenesis_disorder_2B	2.135481442490132e-06
2	Porphobilinogen_synthase_deficiency	2.1306538513687856e-06
2	Bronchiectasis	2.122784000335259e-06
2	LEAD_POISONING_SUSCEPTIBILITY_TO	2.117296056053168e-06
2	Autoimmune_disease	2.1000020920729157e-06
2	Glaucoma	2.0982967414857846e-06
2	Hemorrhagic_disease	2.078381299096721e-06
2	Adrenomyeloneuropathy	2.073750300653862e-06
2	Adrenoleukodystrophy	2.070678443358923e-06
2	Menkes_kinky_hair_syndrome	2.0518725341600146e-06
2	UV_sensitive_syndrome_2	2.04773845451767e-06
2	Cockayne_syndrome_type_1	2.047733916489205e-06
2	Exanthem	2.044207718545227e-06
2	Waldenstrom_macroglobulinemia	2.028952402982054e-06
2	Hereditary_antithrombin_deficiency	2.013390383480611e-06
2	Macroglobulinemia_Waldenstrom_1	2.0092405129386313e-06
2	Male_hypogonadism	1.987791249072091e-06
2	Blindness	1.9770319897371425e-06
2	Hearing_loss_X_linked_1	1.97197226605091e-06
2	Charcot_Marie_Tooth_disease_X_linked_recessive_5	1.9719535175259797e-06
2	Acrodysostosis_2_with_or_without_hormone_resistance	1.969455017056791e-06
2	Arts_syndrome	1.9692740173354827e-06
2	PMM2_congenital_disorder_of_glycosylation	1.9556668403459886e-06
2	Gynecomastia	1.928491221126106e-06
2	Hyperinsulinemic_hypoglycemia_familial_2	1.913188080472309e-06
2	Rheumatoid_arthritis	1.9118040103266684e-06
2	Peroxisome_biogenesis_disorder_type_3B	1.9026053360567752e-06
