multiplex	node	score
2	Pityriasis_rubra_pilaris	0.22698043902512072
2	Psoriasis	0.0011358971811485977
2	Hypotrichosis_2	1.985364947485926e-05
2	Peeling_skin_syndrome_1	1.9803092692152758e-05
2	Rheumatoid_arthritis	1.904781815837891e-05
2	Schizophrenia	1.483760359942441e-05
2	Psoriasis_1,_susceptibility_to	1.3935647627582162e-05
2	Fever	1.2711545622255648e-05
2	Pimple	1.0708591024024915e-05
2	Cellulitis_of_eyelid	8.871836603767176e-06
2	Eczematoid_dermatitis	7.4525374662199655e-06
2	Prostate_neoplasm	6.356458631749386e-06
2	Ichthyosis	5.981959841795575e-06
2	Autism	5.608211181650167e-06
2	Bipolar_affective_disorder	5.242385829576081e-06
2	Hyperkeratosis	5.2302085543072695e-06
2	Malignant_lymphoma_large_B_cell_diffuse	4.7272060762892396e-06
2	Osteoarthritis	4.555899671122663e-06
2	Hypertensive_disorder	4.417789668541643e-06
2	Arthralgia	4.2708570018819835e-06
2	Myocardial_infarction	4.263362710669197e-06
2	Major_depressive_disorder	4.181278133650838e-06
2	Exanthem	4.003129497701536e-06
2	Conjunctivitis	3.989002444162454e-06
2	Keratitis	3.78100209646717e-06
2	Migraine	3.741772511339357e-06
2	Scleritis	3.5772394994141725e-06
2	Asthma	3.378024371701846e-06
2	Erythroderma	3.3335645565295607e-06
2	Blepharitis	3.3316608125850066e-06
2	Allergic_contact_dermatitis	2.9887923248208543e-06
2	Pruritus	2.9585730878106607e-06
2	Alcohol_dependence	2.9584522035077464e-06
2	Uveitis	2.937843834412123e-06
2	Depression	2.7829262633275957e-06
2	Pain	2.727650808623174e-06
2	Allergic_rhinitis	2.719748142929063e-06
2	Erythema_nodosum	2.5487566979881393e-06
2	Breast_neoplasm	2.504174035548699e-06
2	Polycystic_ovaries	2.391314478986223e-06
2	Neuropathy_hereditary_sensory_and_autonomic_type_2A	2.3296741812780226e-06
2	Hepatocellular_carcinoma	2.1926863477657194e-06
2	Seizure	2.0978338505157743e-06
2	Erysipelas	2.0636734611214095e-06
2	Heart_failure	1.9734372466203896e-06
2	Metastasis	1.969593559622345e-06
2	Ischemic_encephalopathy	1.9466969525801586e-06
2	Neoplasm_of_stomach	1.8942079449554115e-06
2	Epilepsy	1.8329582259327368e-06
2	Neoplasm_of_the_large_intestine	1.8236715567724133e-06
2	Renal_cell_carcinoma	1.737071669229288e-06
2	Back_pain	1.7041104612599183e-06
2	Palmoplantar_keratosis	1.702111361612989e-06
2	Squamous_cell_carcinoma	1.5655387080537217e-06
2	Melanoma	1.5568976328144213e-06
2	Crohn_disease	1.5181778806493561e-06
2	Medulloblastoma	1.5115165884394188e-06
2	Allergy	1.479585667009326e-06
2	Contact_dermatitis	1.437983398648265e-06
2	Pneumonia	1.4282390916175401e-06
2	Colitis	1.401654945332389e-06
2	Episcleritis	1.3681857863812605e-06
2	Immunodeficiency	1.3289958445724654e-06
2	Neoplasm_of_lung	1.3065491820617671e-06
2	Keratosis	1.292756303981492e-06
2	Bronchiectasis	1.2085520853825964e-06
2	Seborrheic_dermatitis	1.200200827049469e-06
2	Angle_closure_glaucoma	1.1607436570514024e-06
2	Neoplasm_of_the_skin	1.1486886158234812e-06
2	Type_2_diabetes_mellitus	1.1350431138231031e-06
2	Alzheimer_disease	1.1303577046538418e-06
2	Synovitis	1.1302084715518112e-06
2	Osteosarcoma	1.119078890384916e-06
2	Juvenile_idiopathic_arthritis	1.1075576184600185e-06
2	Pulmonary_fibrosis	1.0864804209038056e-06
2	Glioblastoma	1.0614078032618462e-06
2	Neoplasm_of_esophagus	1.0424613886655823e-06
2	Autoimmune_disease	1.0298395316916975e-06
2	Stroke_disorder	1.0258078873584225e-06
2	Adenocarcinoma	1.0225360666905238e-06
2	Hyperkalemia	1.011849729222612e-06
2	Systemic_lupus_erythematosus	1.0019091751143158e-06
2	Keloid	9.70626234078592e-07
2	Dyschromatosis_universalis_hereditaria_3	9.692483021233622e-07
