multiplex	node	score
2	Precocious_puberty	0.22604776368918164
2	Breast_neoplasm	6.356299813768764e-05
2	Seizure	5.497076000231068e-05
2	Epilepsy	5.3937070336007725e-05
2	Obesity	4.2210066369370026e-05
2	Delayed_puberty	4.15338997523095e-05
2	Prostate_neoplasm	4.1159272340943075e-05
2	Strabismus	3.448727740602333e-05
2	Gynecomastia	3.1849923191530105e-05
2	Cryptorchidism	3.172576385532039e-05
2	Nystagmus	3.172562618369032e-05
2	Neoplasm_of_the_pituitary_gland	3.125030278806067e-05
2	Gastroesophageal_reflux_disease	3.0851699088980315e-05
2	Heartburn	2.993019464246986e-05
2	Infertility_disorder	2.7819565576904865e-05
2	Schizophrenia	2.5884028582156168e-05
2	Hemangioma	2.5639444261888995e-05
2	Male_infertility	2.2687062505801677e-05
2	Endometriosis	2.254527256131425e-05
2	Liver_failure	2.2100654688020774e-05
2	Hypoglycemia	1.9771444136325178e-05
2	Acromegaly	1.8944889846996246e-05
2	Polycystic_ovaries	1.8562027594480892e-05
2	Neoplasm_of_the_large_intestine	1.8359051330331016e-05
2	Intellectual_disability_X_linked_1	1.7514338291180542e-05
2	Hypergonadotropic_hypogonadism	1.741683912910292e-05
2	Hyperinsulinemia	1.698219657075454e-05
2	Cachexia	1.6955604987914067e-05
2	RAB23_related_Carpenter_syndrome	1.6872323234273024e-05
2	Patent_ductus_arteriosus	1.6497761945472528e-05
2	Depression	1.617772191919472e-05
2	Acne	1.6154317972378843e-05
2	Hypertensive_disorder	1.6105164308895095e-05
2	Diabetes_mellitus	1.607435411178406e-05
2	Insulin_resistance	1.5840070174518463e-05
2	Bipolar_affective_disorder	1.5629329715682605e-05
2	Congenital_generalized_lipodystrophy	1.5358141121712275e-05
2	Osteopenia	1.5148920594837084e-05
2	Alzheimer_disease	1.4340672956149702e-05
2	Neoplasm_of_the_pancreas	1.3919292743229465e-05
2	Osteoporosis	1.3279734024157502e-05
2	Ovarian_cyst	1.303504634227097e-05
2	Hypertrophic_cardiomyopathy	1.2994411279183039e-05
2	Neoplasm_of_stomach	1.2825811936584703e-05
2	Vomiting	1.2509773133912898e-05
2	Hypogonadism	1.2114851450203015e-05
2	Cirrhosis_of_liver	1.210421841810455e-05
2	Psychotic_disorder	1.195799031293604e-05
2	Secondary_amenorrhea	1.1282404258645996e-05
2	Central_precocious_puberty	1.1009971823555358e-05
2	Status_epilepticus	1.0874560092467066e-05
2	Major_depressive_disorder	1.0572868255134387e-05
2	Autism	1.045288397116927e-05
2	Congenital_generalized_lipodystrophy_type_1	1.0203162126257857e-05
2	Inflammatory_bowel_disease	9.891944778556516e-06
2	Renal_cell_carcinoma	9.766835362632708e-06
2	Hyperprolactinemia	9.726514401043801e-06
2	Crossed_polydactyly_type_I	9.275129244617684e-06
