multiplex	node	score
2	Rheumatoid_arthritis	0.2263649313528534
2	Schizophrenia	3.9142887208706315e-05
2	Multiple_sclerosis	3.630101742905643e-05
2	Neoplasm_of_the_large_intestine	3.426191221601121e-05
2	Osteoarthritis	2.9225446307752998e-05
2	Systemic_lupus_erythematosus	2.771604063608027e-05
2	Breast_neoplasm	2.389404356312655e-05
2	Bipolar_affective_disorder	2.3259533663232842e-05
2	Arthralgia	1.9762226257191962e-05
2	Prostate_neoplasm	1.9528642493910563e-05
2	Pneumonia	1.9016312666475866e-05
2	Metastasis	1.8959306923374305e-05
2	Major_depressive_disorder	1.8219836810187248e-05
2	Obesity	1.8165051723594595e-05
2	Hypertensive_disorder	1.750396324348449e-05
2	Juvenile_idiopathic_arthritis	1.7430541382122296e-05
2	Alcohol_dependence	1.730260812152891e-05
2	Immunodeficiency	1.6840358744708176e-05
2	Colitis	1.6826608178667473e-05
2	Ulcerative_colitis	1.6243792054527922e-05
2	Psoriasis	1.576106362353034e-05
2	Endometriosis	1.5195767472971665e-05
2	Hepatocellular_carcinoma	1.5112089622696702e-05
2	Fever	1.5102126935792544e-05
2	Crohn_disease	1.3908664854751604e-05
2	Graves_disease	1.3710860603930246e-05
2	Arthritis	1.3263794349943907e-05
2	Gout	1.305097571616648e-05
2	Iridocyclitis	1.253294132185247e-05
2	Pulmonary_fibrosis	1.198168585644292e-05
2	Sjogren_syndrome	1.162818160908397e-05
2	Autoimmune_disease	1.1392663002213276e-05
2	Neoplasm_of_ovary	1.1347046787245214e-05
2	Alopecia_areata	1.0983628000551875e-05
2	Coronary_artery_disorder	1.097257858825086e-05
2	Atherosclerosis	1.095251558688081e-05
2	Thrombotic_disease	1.0809046161905788e-05
2	Nephrotic_syndrome	1.0631701555914289e-05
2	Osteoporosis	1.0534214202150948e-05
2	Neoplasm_of_esophagus	1.0365929096303522e-05
2	Systemic_onset_juvenile_chronic_arthritis	1.0164294796966436e-05
2	Depression	9.65611485714692e-06
2	Allergy	9.584820088266894e-06
2	Contact_dermatitis	9.355981324632368e-06
2	Myocardial_ischemia	9.21112321452322e-06
2	Patent_ductus_arteriosus	9.203468033313425e-06
2	Acute_febrile_mucocutaneous_lymph_node_syndrome	9.178920407933235e-06
2	Malignant_lymphoma_large_B_cell_diffuse	8.961661620951557e-06
2	Spontaneous_Abortion	8.945506438827234e-06
2	Diabetes_mellitus	8.811024825547023e-06
2	Bladder_neoplasm	8.715023281278061e-06
2	Autism	8.678214899014618e-06
2	Short_stature_and_advanced_bone_age_with_or_without_early_onset_osteoarthritis_and/or_osteochondritis_dissecans	8.657472568510843e-06
2	Neuralgia	8.625749595389554e-06
2	Allergic_contact_dermatitis	8.543250218398824e-06
2	Inflammatory_bowel_disease	8.476331794656553e-06
2	Diabetic_kidney_disease	8.390825755688817e-06
2	Nausea_and_vomiting	8.235003077302608e-06
2	B_cell_chronic_lymphocytic_leukemia	7.999751410520303e-06
2	Seizure	7.868886626477655e-06
2	Menorrhagia	7.825647097505866e-06
2	Diabetes_mellitus_type_1	7.81734277693061e-06
2	Alopecia	7.670142276964533e-06
2	Neoplasm_of_stomach	7.5915200378586684e-06
2	Osteoarthritis,_hip	7.457458336004361e-06
2	Infective_arthritis	7.457458336004361e-06
2	Familial_multiple_polyposis_syndrome	7.451746702914821e-06
