multiplex	node	score
2	Small_cell_lung_carcinoma	0.2265232602113781
2	Schizophrenia	9.784077893812331e-05
2	Alcohol_dependence	6.3366789203645e-05
2	Breast_neoplasm	5.154210753679746e-05
2	Non_small_cell_lung_carcinoma	4.434339114915947e-05
2	Seizure	4.072240796544118e-05
2	Epilepsy	4.050442424057576e-05
2	Prostate_neoplasm	3.66851029294717e-05
2	Acute_myeloid_leukemia	3.275336350741657e-05
2	Hepatocellular_carcinoma	3.165833671640847e-05
2	Neoplasm_of_stomach	3.0205872729697632e-05
2	Obesity	2.9671745694278374e-05
2	Bladder_neoplasm	2.309823861552774e-05
2	Breast_carcinoma	2.219890592241915e-05
2	Neoplasm_of_lung	2.1916949856363494e-05
2	Sarcoma	2.0751731361156395e-05
2	Strabismus	2.0685696534854296e-05
2	Major_depressive_disorder	1.959708768514381e-05
2	Bipolar_affective_disorder	1.8584970323444346e-05
2	Autism	1.8440501272578076e-05
2	Disorder_of_orbital_region	1.7938744274066697e-05
2	Esotropia	1.639127671615334e-05
2	Neoplasm_of_ovary	1.620335885930823e-05
2	Metastasis	1.4752834958192198e-05
2	Alcohol_withdrawal_delirium	1.3877485314428674e-05
2	Patent_ductus_arteriosus	1.3781628823995408e-05
2	Skin_disorder	1.3082870522446518e-05
2	Nephrotic_syndrome	1.271927772476085e-05
2	Temporal_lobe_epilepsy	1.2345553905800582e-05
2	Cryptorchidism	1.2335465311698008e-05
2	Porencephaly_2	1.2268478446570633e-05
2	Small_Cell_Neuroendocrine_Carcinoma	1.193570664277434e-05
2	Osteosarcoma	1.187607294347086e-05
2	Neoplasm_of_the_pancreas	1.1449216340487569e-05
2	Burkitt_lymphoma	1.1246572726816622e-05
2	Adenocarcinoma	1.1160775276522488e-05
2	Glioblastoma	1.0779547752296257e-05
2	Constipation	1.0516297017433425e-05
2	Colonic_neoplasm	9.940868427800933e-06
2	Squamous_cell_carcinoma	9.855068948811598e-06
2	Depression	8.779528012017232e-06
2	Anophthalmia/microphthalmia_esophageal_atresia_syndrome	8.70089389642542e-06
2	Optic_nerve_hypoplasia_and_abnormalities_of_the_central_nervous_system	8.669334034215076e-06
2	Pulmonary_lymphangiomyomatosis	8.546243760559366e-06
2	Colorectal_cancer,_susceptibility_to,_3	8.546243760559366e-06
2	Colorectal_cancer,_hereditary_nonpolyposis,_type_2	8.546243760559366e-06
2	Psychotic_disorder	8.497338208726048e-06
2	Myeloid_leukemia	8.38082429544836e-06
2	Nystagmus	8.23777114305866e-06
2	Intellectual_disability_autosomal_dominant_16	8.237555020723448e-06
2	Keloid	8.161227188954564e-06
2	Charcot_Marie_Tooth_disease_type_4D	7.93180691682835e-06
2	Sezary_syndrome	7.655610613821537e-06
2	Malignant_tumor_of_urinary_bladder	7.647497281496e-06
2	Lymphoid_leukemia	7.63321991368448e-06
2	Fever	7.396330867187653e-06
2	Ischemic_disease	7.251249051882713e-06
2	Myocardial_infarction	7.103848838653479e-06
2	Neoplasm_of_esophagus	6.798627590828489e-06
2	Melanoma	6.778087445426622e-06
2	Attention_deficit_hyperactivity_disorder	6.704148360694752e-06
2	Gastroesophageal_reflux_disease	6.559728906679544e-06
2	Heartburn	6.532572755324955e-06
2	Germ_cell_tumor_of_testis	6.5000724703503465e-06
2	Anxiety_disorder	6.4655885492021294e-06
2	Acute_coronary_syndrome	6.459211965271601e-06
2	Ewing_sarcoma	6.406405246785245e-06
2	Renal_cell_carcinoma	6.359016153571187e-06
2	Lung_adenocarcinoma	6.25720526891078e-06
2	Diabetes_insipidus	6.2383159842585666e-06
