multiplex	node	score
2	Spinal_cord_tumor	0.2251073283228405
2	Glioma	0.00012652665359617272
2	Peripheral_neuropathy	8.825384458328431e-05
2	Renal_cell_carcinoma	8.766981048239037e-05
2	Familial_meningioma	8.704766604054765e-05
2	Dizziness	8.679039798432802e-05
2	Vertigo	8.666721450647269e-05
2	Migraine	8.659383283505552e-05
2	Schwannomatosis_1	8.633029353320203e-05
2	Neurofibromatosis_type_2	8.613895809109482e-05
2	Mesothelioma	8.609396103662638e-05
2	Cryptorchidism	6.0910894789080576e-05
2	Glioblastoma	6.0369426518808076e-05
2	Autism	5.980796431973855e-05
2	Acute_myeloid_leukemia	5.929165340812121e-05
2	Melanoma	5.9052044702338134e-05
2	Hypertrophic_cardiomyopathy	5.66995357494932e-05
2	Pheochromocytoma	5.6477774061101954e-05
2	Adenoma	5.633818464399609e-05
2	Juvenile_myelomonocytic_leukemia	5.629216281137145e-05
2	Neurofibromatosis_familial_spinal	5.621995126762485e-05
2	Neurofibromatosis_type_1	5.6216215818656456e-05
2	Chronic_myelomonocytic_leukemia	5.615246583164182e-05
2	Rhabdomyosarcoma	5.610029808359108e-05
2	Skin_disorder	5.493527413294619e-05
2	Hypertensive_disorder	3.288732061345998e-05
2	Spinal_cord_compression	3.2151146497272136e-05
2	Astrocytoma	3.089375797472867e-05
2	Liposarcoma	3.059500948212182e-05
2	Fibrosarcoma	3.0543508878087206e-05
2	Sarcoma	3.0353659334544402e-05
2	Myelitis	2.870458311505116e-05
2	Neurofibromatosis,_familial_spinal	2.0356846871963665e-05
2	PALLISTER-HALL-LIKE_SYNDROME	2.0356846871963665e-05
2	Hemangioblastoma	2.0356846871963665e-05
2	Schizophrenia	1.5065567477871338e-05
2	Medulloblastoma	1.1835473887095766e-05
2	Breast_neoplasm	8.915278943993443e-06
2	Trigeminal_neuralgia	8.309470905252422e-06
2	Diarrhea	7.87641507836219e-06
2	Prostate_neoplasm	7.865330677132742e-06
2	Spondylolysis	6.203622990004642e-06
2	Neoplasm_of_brain	6.142902560736904e-06
2	Myelopathy	5.863080767048168e-06
2	Seizure	5.780876219934373e-06
2	Epilepsy	5.524000465499621e-06
2	Huntington_disease	5.4988597234932405e-06
2	Cerebral_palsy	5.20499221676106e-06
2	Psychotic_disorder	5.109451335221223e-06
2	Muscle_spasm	4.861284093025679e-06
2	Major_depressive_disorder	4.488967001440212e-06
2	Neural_tube_defect	4.310892740870321e-06
2	Meningioma	4.152194350230156e-06
2	Multiple_sclerosis	4.082507441291599e-06
2	Neurogenic_bladder	3.941588294684037e-06
2	Bipolar_affective_disorder	3.8107240486320384e-06
2	Strabismus	3.772037198246269e-06
2	Neoplasm_of_stomach	3.702536258357206e-06
