multiplex	node	score
2	Stomatitis	0.2261545310961321
2	Duodenal_ulcer	9.989050653003003e-05
2	Diarrhea	7.816298957548105e-05
2	Schizophrenia	7.644751893935333e-05
2	Gingivostomatitis	6.885164955925105e-05
2	Periodontitis	6.038818340058901e-05
2	Skin_disorder	6.0105970309459586e-05
2	Thrombocytopenia	5.48883588302234e-05
2	Prostate_neoplasm	5.326069786967309e-05
2	Myositis_disease	5.088262729655192e-05
2	Osteomyelitis	5.0283972214980186e-05
2	Depression	4.653677087933519e-05
2	Anemia	4.631602602021601e-05
2	Fever	4.5389023442818564e-05
2	Headache	4.4384406201560785e-05
2	Infectious_disease_of_lung	4.245380726780091e-05
2	Arthralgia	4.227362721212894e-05
2	Neoplasm_of_stomach	4.1873347337437855e-05
2	Autoimmune_disease	3.9102829211794666e-05
2	Pneumonia	3.8281629205815124e-05
2	Glioma	3.817995478600489e-05
2	Major_depressive_disorder	3.797066419506999e-05
2	Gingivitis	3.5420014748069265e-05
2	Gingival_disorder	2.9821897964437665e-05
2	Mesothelioma	2.9793108122780634e-05
2	Heart_failure	2.9414042132731572e-05
2	Myopathy	2.8967162684095754e-05
2	Pulmonary_fibrosis	2.8897949763309108e-05
2	Hepatic_veno_occlusive_disease	2.860627121332213e-05
2	Bipolar_affective_disorder	2.7596240864510183e-05
2	Stevens_Johnson_syndrome	2.750637476759728e-05
2	Vomiting	2.624143175439134e-05
2	Nausea	2.6128138955762855e-05
2	Pain	2.5361019780813096e-05
2	Acute_promyelocytic_leukemia	2.5308568789653363e-05
2	Autism	2.5157700066173437e-05
2	Colonic_neoplasm	2.4612204658697156e-05
2	Dysthymic_disorder	2.3151991793520282e-05
2	Hyperkeratosis	2.3010265484470723e-05
2	Lymphoma	2.2471025546234343e-05
2	Infection_of_bone	2.2293236359401687e-05
2	Allergy	2.1491241635227274e-05
2	Medulloblastoma	2.119423797907909e-05
2	Hypertensive_disorder	2.1112922690228466e-05
2	Premature_ovarian_failure	2.0926883077659296e-05
2	Immunodeficiency	2.0873697641041702e-05
2	Bronchiectasis	2.0852189809783874e-05
2	Acute_lymphoid_leukemia	2.0836727328582695e-05
2	Chronic_diarrhea	2.0796849261433837e-05
2	Pollakisuria	2.0423838700220707e-05
2	Sinusitis	2.025606049851546e-05
2	Coronary_artery_disorder	2.005261418038477e-05
2	Otitis_media	1.9904698698198386e-05
2	Pulmonary_hypertension	1.9770374376926973e-05
2	Blindness	1.5866330640910003e-05
2	Conjunctivitis	1.55906597414215e-05
2	Keratoconjunctivitis	1.5288276717879096e-05
2	Spontaneous_Abortion	1.4518649984531036e-05
2	Peripheral_neuropathy	1.424436567147937e-05
2	Fatigue	1.2218795710806089e-05
2	Juvenile_idiopathic_arthritis	1.2096923989388048e-05
2	Myocardial_infarction	1.2035739914474651e-05
2	Anxiety_disorder	1.198583360556458e-05
2	Asthma	1.1951623279402565e-05
2	Abdominal_pain	1.1833369263871339e-05
2	Renal_insufficiency	1.1780744590062571e-05
2	Anorexia	1.1777321221511529e-05
