multiplex	node	score
2	Tetralogy_of_Fallot	0.22670334751111496
2	Double_outlet_right_ventricle	0.000101455115698015
2	Abnormal_heart_morphology	8.201177090312981e-05
2	Coarctation_of_aorta	6.896899698786177e-05
2	Schizophrenia	6.217706412371633e-05
2	Patent_ductus_arteriosus	5.514344563409278e-05
2	Hypocalcemia	5.388468560692832e-05
2	Cryptorchidism	5.237103379447669e-05
2	Erectile_dysfunction	4.0969740855387285e-05
2	Seizure	3.189571313147557e-05
2	Strabismus	2.773997159204171e-05
2	Pulmonary_hypertension	2.7577820152442126e-05
2	Seborrheic_dermatitis	2.5906834131856826e-05
2	Conotruncal_anomaly_face_syndrome	2.575580235521726e-05
2	Conotruncal_heart_malformations	2.5754336280984065e-05
2	Persistent_truncus_arteriosus	2.5749717408251356e-05
2	Aortic_arch_interruption	2.5745417405017168e-05
2	Neoplasm_of_the_large_intestine	2.296266544040461e-05
2	Attention_deficit_hyperactivity_disorder	2.2552559648051006e-05
2	3MC_syndrome_1	2.2391783763822716e-05
2	Craniosynostosis_2	2.2004573155795118e-05
2	Epilepsy	2.1652587324097836e-05
2	Constipation	2.04690376921121e-05
2	Atrial_fibrillation	1.8354133012019887e-05
2	Ventricular_septal_defect_2	1.6975443745750346e-05
2	Atrial_septal_defect_8	1.6975443745750346e-05
2	Immunodeficiency	1.6893806796451908e-05
2	Breast_neoplasm	1.6869093121653394e-05
2	Carious_teeth	1.6785096834878284e-05
2	Acne	1.655051940590456e-05
2	Myalgia	1.653056242377189e-05
2	Hypoparathyroidism	1.6522499257322518e-05
2	Tetany	1.652058587177951e-05
2	Nystagmus	1.6232492120840457e-05
2	Endometriosis	1.5470166195772052e-05
2	Hypothyroidism	1.4382970662570326e-05
2	Conjunctivitis	1.2640149652439232e-05
2	Adams_Oliver_syndrome_3	1.1855961848302502e-05
2	Autism	1.1316941446316787e-05
2	Prostate_neoplasm	1.1217661059699442e-05
2	Pulmonary_arterial_hypertension	1.0980394702884583e-05
2	Depression	1.0767834792721662e-05
2	RAB23_related_Carpenter_syndrome	1.0688526722033895e-05
2	Delayed_puberty	1.0659267672052188e-05
2	Nager_syndrome	1.047362193852787e-05
2	Atrial_fibrillation_familial_11	1.0436499125165975e-05
2	Gynecomastia	1.0381906692910572e-05
2	Spinocerebellar_atrophy	1.0214232756171029e-05
2	Iris_hypoplasia_with_glaucoma	1.0086983281693753e-05
2	Axenfeld_Rieger_syndrome_type_3	1.0075630180514042e-05
2	Premature_birth	9.838611658648606e-06
2	Premature_birth_of_newborn	9.820725734333424e-06
2	Diaphragmatic_hernia_3	9.699981278033969e-06
2	Rheumatoid_arthritis	9.588129888875184e-06
2	Ventricular_septal_defect_3	9.585991867788403e-06
2	Atrial_septal_defect_7	9.585991867788403e-06
2	Hypothyroidism_congenital_nongoitrous_5	9.585991867788403e-06
2	Hypoplastic_left_heart_syndrome_2	9.585991867788403e-06
2	Heartburn	9.556998873312413e-06
2	Gastroesophageal_reflux_disease	9.55318707191734e-06
2	Osteoporosis	8.870477161382875e-06
2	Bipolar_affective_disorder	8.211161888633034e-06
2	Obesity	8.099452686492968e-06
2	Townes_Brocks_syndrome_1	8.07931268202582e-06
2	Townes_Brocks_branchiootorenal_like_syndrome	8.07156277945516e-06
2	Brachydactyly_syndactyly_syndrome	7.64126142854213e-06
2	Brachydactyly_type_E1	7.635795589626394e-06
2	Brachydactyly_type_D	7.635795589626394e-06
2	Synpolydactyly_type_1	7.635795589626394e-06
2	Syndactyly_type_5	7.635795589626394e-06
2	Brachydactyly_syndactyly_oligodactyly_syndrome	7.635795589626394e-06
2	VATER_association	7.6129201419989175e-06
2	CHARGE_association	7.585933346325601e-06
2	Male_infertility	7.563195546112949e-06
2	Nail_dystrophy	7.476039366625004e-06
2	Aortic_valve_disease_1	7.36300258045376e-06
2	Renpenning_syndrome	7.313761835463904e-06
2	Psychotic_disorder	7.264728389325164e-06
2	Diabetes_mellitus	7.241477937403223e-06
2	Female_infertility	7.173375287169556e-06
2	Hypertensive_disorder	7.154461442298853e-06
2	Papillary_thyroid_carcinoma	7.067811069693039e-06
2	Ventricular_septal_defect_1	7.0514203721597535e-06
2	Atrial_septal_defect_2	7.047298607535236e-06
2	Atrioventricular_septal_defect_4	7.043823896716031e-06
2	Hypergonadotropic_hypogonadism	7.036892791726431e-06
2	Cardiac_arrhythmia	7.021077992982659e-06
2	Atrioventricular_septal_defect_5	7.001391779839736e-06
2	Atrial_septal_defect_9	6.9943219027284265e-06
2	Carcinoma_Pancreatic_Ductal	6.619335014872137e-06
2	Thrombocytopenia	6.389502407652636e-06
2	Palmoplantar_keratosis	6.304971297568807e-06
2	Skin_ulcer	6.200240197077958e-06
2	Varicose_disease	6.119631661767516e-06
2	Corneal_ulceration	6.0875457042469266e-06
2	Anxiety	5.9569437150379386e-06
2	Polycystic_ovaries	5.940101206103357e-06
2	Purpura	5.9023621982096744e-06
2	Renal_tubular_acidosis	5.876446959979135e-06
2	Alagille_syndrome_due_to_a_JAG1_point_mutation	5.790293519714541e-06
2	Neoplasm_of_lung	5.753179850956786e-06
2	Acute_lymphoid_leukemia	5.646412701622806e-06
2	Major_depressive_disorder	5.45589614310123e-06
2	Fatigue	5.418824624968493e-06
2	Glaucoma	5.37812212733743e-06
2	Alcohol_dependence	5.345827069616131e-06
2	Bernard_Soulier_syndrome	5.2771995136565965e-06
2	Bernard_Soulier_syndrome_type_C	5.276422720486602e-06
2	Bernard_Soulier_syndrome_type_A1	5.271657844265095e-06
2	Astrocytoma	5.200951567424478e-06
2	Glioblastoma	5.086212511104573e-06
2	Dyspnea	5.0684097757568155e-06
2	Respiratory_insufficiency	5.025799457850914e-06
2	Hepatocellular_carcinoma	4.937598766585629e-06
2	Spasticity	4.897908400453258e-06
2	Precocious_puberty	4.888976292165388e-06
2	Complex_Partial_Seizure	4.8388159333811236e-06
2	Amyotrophic_lateral_sclerosis_type_11	4.7922284056568606e-06
2	Charcot_Marie_Tooth_disease_type_4J	4.7803614914108925e-06
2	Urticaria	4.6193061740714546e-06
2	Osteoarthritis	4.609421355211437e-06
2	Panic_disorder	4.44631912127115e-06
2	Panic_disorder_1	4.373273026902073e-06
2	Dystonic_disorder	4.355004376589978e-06
2	Hypogonadotropic_hypogonadism	4.1678450631625e-06
2	DGCR_disease	4.057304353424192e-06
2	DiGeorge_syndrome	4.043189887397239e-06
2	Amblyopia	4.0317794388145215e-06
2	Colonic_neoplasm	3.6295760330582523e-06
2	Hypogonadotropic_hypogonadism_7_with_or_without_anosmia	3.4989516068541187e-06
2	Renal_insufficiency	3.4931303310810954e-06
2	Kidney_failure	3.4667788689173786e-06
2	Erythroderma	3.4661825622456718e-06
2	Asthma	3.2583659941003786e-06
2	Blindness	3.0814441550384346e-06
2	Obsessive_compulsive_disorder	3.074616620676277e-06
2	Vomiting	3.06090640222577e-06
2	Tremor	3.0225573577418343e-06
2	T_cell_acute_lymphoblastic_leukemia	2.98680811989111e-06
2	Growth_Disorders	2.9621950664249754e-06
2	Pain	2.8935030058810148e-06
2	Lymphoma	2.885909977717684e-06
2	Juvenile_idiopathic_arthritis	2.847396012250635e-06
2	Nausea_and_vomiting	2.8060016383990018e-06
2	Primary_ciliary_dyskinesia_3	2.7647047724074003e-06
2	Hyperglycemia	2.6960507718718685e-06
2	Status_epilepticus	2.686344611606836e-06
2	Osteopenia	2.4402547540905323e-06
2	Cirrhosis_of_liver	2.4298665537690648e-06
2	Hypercholesterolemia	2.4108707972581552e-06
2	Lung_cancer	2.299522195132866e-06
2	Neoplasm_of_stomach	2.1653376200979284e-06
2	Stroke_disorder	2.124952623798399e-06
2	Thrombotic_disease	2.0886538425887235e-06
2	Congestive_heart_failure	2.0339935440083045e-06
2	Melanoma	1.963034746096548e-06
2	Neoplasm_of_the_pancreas	1.9496381981715854e-06
2	Ischemic_encephalopathy	1.9190624012390702e-06
2	Cardiomyopathy	1.8457020934751273e-06
2	Hypoglycemia	1.8377856594838902e-06
2	Menorrhagia	1.7985747600062038e-06
2	Hemangioma	1.79357124338477e-06
2	Bernard_Soulier_syndrome_type_B	1.7609145867681087e-06
2	Hereditary_lymphedema_type_I	1.6536987159607893e-06
2	Amyotrophic_lateral_sclerosis	1.6451877535660335e-06
2	Male_hypogonadism	1.6249705918174137e-06
2	Xerostomia	1.589789124889668e-06
2	Pheochromocytoma	1.543669466328203e-06
2	Female_hypogonadism	1.4593841778234027e-06
2	Secondary_amenorrhea	1.4520582780101535e-06
2	Bipolar_depression	1.3564923166407215e-06
2	Velocardiofacial_syndrome	1.3532104718188583e-06
2	Growth_retardation	1.3338413524190726e-06
2	Basal_cell_carcinoma	1.3324276215749004e-06
2	Growth_failure	1.3245662771354985e-06
2	Esotropia	1.2807787505895954e-06
2	Cholelithiasis	1.2774811477639839e-06
2	TAKAO_VCF_SYNDROME	1.2481227654917277e-06
2	Alopecia	1.1768526179227154e-06
2	Acute_myeloid_leukemia	1.1590816603124296e-06
2	Myocardial_ischemia	1.1282823258523748e-06
2	Fever	1.0975130729244427e-06
2	Edema	1.0953497764872342e-06
2	Parkinsonian_disorder	1.076411383349975e-06
2	Premature_ovarian_insufficiency	1.063959161147913e-06
2	Pneumonia	1.057005528114149e-06
2	Stage_5_chronic_kidney_disease	1.0516366685769553e-06
2	Hypogonadism	1.0435031411208827e-06
2	Pruritus	1.016780596822948e-06
2	Hyperkalemia	1.0050609611314158e-06
2	Chronic_diarrhea	1.0041509444301858e-06
2	Headache	1.0004023770282247e-06
2	Epilepsy_with_generalized_tonic_clonic_seizures	9.969584720007328e-07
2	Non_small_cell_lung_carcinoma	9.767577509442346e-07
2	Infantile_nephronophthisis	9.368571908150353e-07
2	Renal_cell_carcinoma	9.314711455672292e-07
2	Hypogonadotropic_hypogonadism_5_with_or_without_anosmia	9.158142334521444e-07
2	Ependymoma	8.481751076697483e-07
2	Metastasis	8.412568408020716e-07
2	Apnea	8.226155470244994e-07
2	Coronary_artery_disorder	7.835488967360442e-07
