multiplex	node	score
2	Vitiligo	0.22661197636668226
2	Celiac_disease	7.000009262036581e-05
2	Psoriasis	5.696808824932289e-05
2	Pontocerebellar_hypoplasia_type_2D	5.334729025603514e-05
2	Acute_myeloid_leukemia	5.213168129902767e-05
2	Diabetes_mellitus_type_1	4.6341817614464206e-05
2	Biliary_cirrhosis	4.474891736680436e-05
2	Breast_neoplasm	4.378861093746916e-05
2	Systemic_lupus_erythematosus	3.691581607071102e-05
2	Alopecia_areata	3.5816751484491304e-05
2	Arthralgia	3.152348484814112e-05
2	Neoplasm_of_the_pancreas	3.14337153989857e-05
2	Aicardi_Goutieres_syndrome_7	2.6592792116338873e-05
2	Depression	2.6137147814233923e-05
2	Melanoma	2.390081132941805e-05
2	Strabismus	2.2985613341504634e-05
2	Graves_disease	2.1567608733477225e-05
2	Autoimmune_thrombocytopenic_purpura	2.1514754892870613e-05
2	Urticaria	2.1088292008473376e-05
2	Alopecia	2.0996861139157575e-05
2	Tyrosinase_positive_oculocutaneous_albinism	2.064637048281589e-05
2	Brown_oculocutaneous_albinism	2.0600325068534583e-05
2	Bacterial_infection_of_skin	1.8158476552963704e-05
2	Cellulitis	1.8112739688912838e-05
2	Rheumatoid_arthritis	1.798821702025775e-05
2	Nausea_and_vomiting	1.727976477240632e-05
2	Autoimmune_disease	1.6870048579647035e-05
2	Cholelithiasis	1.6759907301282824e-05
2	Keratoconjunctivitis	1.6617101845888602e-05
2	Fatigue	1.6349362372039218e-05
2	Primary_cutaneous_T_cell_lymphoma	1.6314371157430626e-05
2	Crohn_disease	1.604970645876616e-05
2	Allergy	1.6023421540023356e-05
2	Anemia	1.5746213064591877e-05
2	Headache	1.4940317555218728e-05
2	Pneumonia	1.4321113139979934e-05
2	Venous_thrombosis	1.3928607489870793e-05
2	Carious_teeth	1.3482404154892528e-05
2	Dyspnea	1.342015224658591e-05
2	Heartburn	1.3407130803637252e-05
2	Glaucoma	1.3349688408208776e-05
2	Fever	1.3313188817827892e-05
2	Dyspareunia	1.317091090550608e-05
2	Nystagmus	1.2136687482658958e-05
2	Hypertensive_disorder	1.2117002389095253e-05
2	Iridocyclitis	1.2082047974111819e-05
2	Freckling	1.1750013992534644e-05
2	UV-sensitive_syndrome_1	1.1750013992534644e-05
2	Skin_disorder	1.1677237244342898e-05
2	Neoplasm_of_stomach	1.154601314260828e-05
2	Coronary_artery_disorder	1.1299563697836462e-05
2	Metastasis	1.0909072107767311e-05
2	Contact_dermatitis	1.0898493303432914e-05
2	Vertigo	1.0648009156869855e-05
2	Dizziness	1.0632069002015747e-05
2	Hypopigmentation_of_the_skin	1.059745956677011e-05
2	Schizophrenia	1.05790513554947e-05
