multiplex	node	score
1	PROP1	0.0006195817029788086
1	POMC	0.0005934371206617932
1	NR5A1	0.0005888435056658748
1	CYP11A1	0.0005763621315811674
1	GK	0.0005011701356495334
1	MCM4	0.0004900601979820575
1	PEX5	0.00048731345703440594
1	AAAS	0.00047610041942920423
1	GMPPA	0.00046438899267082254
1	SNORD115-1	2.1822251694024213e-05
1	PWRN1	2.1822251694024213e-05
1	MKRN3-AS1	2.1822251694024213e-05
1	DMRT3	2.1306201627784543e-05
1	SRY	2.13036686047796e-05
1	NPAP1	2.075557342280624e-05
1	NR0B1	2.0717959379497837e-05
1	WT1	1.9715797958326927e-05
1	SAA1	1.8989314202036643e-05
1	PLA2G2A	1.898111288039579e-05
1	PEX6	1.8413609135630104e-05
1	SOX9	1.827050208962405e-05
1	ZFPM2	1.7271887736338993e-05
1	NDN	1.690760716037481e-05
1	SGPL1	1.67531587866794e-05
1	BCL2	1.673476815863311e-05
1	SAMD9	1.669922074938442e-05
1	HERC2	1.6675915953365864e-05
1	VAMP7	1.659970686085803e-05
1	ABCD1	1.650030429147854e-05
1	SNRPN	1.644471709951729e-05
1	BAX	1.6276753024244873e-05
1	KCNJ5	2.170691449374538e-06
1	PRPS1	2.1384899438932263e-06
1	SF1	1.43693458739526e-06
1	ALB	1.3498442338098516e-06
1	AVP	7.146921524887675e-07
1	CYP11B1	6.84258732493339e-07
1	HBB	6.658050969529758e-07
1	SOD2	6.545797993312085e-07
1	CAPN1	6.490814031594381e-07
1	CST1	6.26934421741877e-07
1	CYP17A1	5.482385278668527e-07
1	HSD3B2	5.404538643169286e-07
1	SERPING1	5.377736946092804e-07
1	HLA-B	4.3490978039332067e-07
1	SNURF	4.086977587681281e-07
1	CYP11B2	3.745330676085082e-07
1	PTEN	3.686212316861181e-07
1	CRH	3.5412752373369403e-07
1	AKT1	3.377818996289533e-07
1	PRKAR1A	3.280285337692863e-07
1	MTHFR	3.211774354734142e-07
1	PDK1	3.08369697310208e-07
1	RELA	3.012841227404986e-07
1	SLC9A4	2.9073679157075343e-07
1	TNF	2.7723855599751816e-07
1	PEX14	2.720718675206299e-07
1	IFNG	2.708665235443839e-07
1	NGF	2.6680077288051206e-07
1	PEX26	2.6202203579160325e-07
1	PIK3CA	2.6152230359987664e-07
1	SLC37A4	2.573404877194264e-07
1	BRAF	2.5566458121274995e-07
1	PEX10	2.4317404521587316e-07
1	PEX19	2.313866485453009e-07
1	LMNA	2.3082831764314703e-07
1	IL12A	2.292104956070251e-07
1	PEX3	2.280379859419262e-07
1	PEX12	2.2664806841269215e-07
1	PEX1	2.1930830622004044e-07
1	IL1B	2.1911347415907674e-07
1	HLA-DRB1	2.1721504246501052e-07
1	PEX13	2.1526808317747516e-07
1	HESX1	2.121577882047995e-07
1	PEX16	2.1200214172760776e-07
1	HSD17B4	2.1036485291515627e-07
1	PEX2	2.0862841412683085e-07
1	GBA	2.053897225076237e-07
1	PEX5L	2.0385580491915423e-07
1	PEX11B	2.0271924858927002e-07
1	AIP	2.0174565835178685e-07
1	C1R	2.006854611949207e-07
1	DKC1	1.9366453126212668e-07
1	NDC1	1.9038991496999935e-07
1	MAP2K1	1.867050617580466e-07
1	STAT1	1.8268209852664293e-07
1	NCF2	1.7655022558046675e-07
1	IL6	1.7555044185634331e-07
1	IL17A	1.755112716743573e-07
1	G6PC	1.7514958653480502e-07
1	PWWP3A	1.7468190053427464e-07
1	POU1F1	1.7350346463823973e-07
1	TF	1.6946060465807827e-07
1	LANCL2	1.6930708337991596e-07
1	PMM2	1.6882861916643232e-07
1	CHD7	1.6798110906921482e-07
1	CYBB	1.6503906442522057e-07
1	KRAS	1.6483859183965808e-07
1	STAT4	1.6472272480490673e-07
1	MEFV	1.6380798133591153e-07
1	ERAP1	1.6374063762578518e-07
1	NOS2	1.6261440228070553e-07
1	PTPN11	1.6168428913643993e-07
1	SOX3	1.605785413457043e-07
1	MYD88	1.5944999021395616e-07
1	CYBA	1.5914666345460881e-07
1	MAGEL2	1.5810456478085183e-07
1	UGT2B17	1.5802131495864278e-07
1	INS	1.5711538631532992e-07
1	FGFR2	1.5617659540470707e-07
1	MEIS1	1.5375124317739701e-07
1	DPP9	1.530550680700535e-07
1	HRAS	1.530321812628051e-07
1	GK2	1.5278396586179258e-07
1	PTPRD	1.5228073370425686e-07
1	GK3P	1.5220340298301e-07
1	PTGS2	1.5070331574078013e-07
1	IL10	1.4862436794696616e-07
1	PCCB	1.4818380661986433e-07
1	PNPLA6	1.4733003486628995e-07
1	IL1A	1.4713681648043965e-07
1	ATM	1.470386569830908e-07
1	CYP19A1	1.4655292392368335e-07
1	OTX2	1.4366436318434534e-07
1	CLCNKA	1.434507329562814e-07
1	HLA-DQA1	1.433593465946644e-07
1	CAT	1.425227858382351e-07
1	BTBD9	1.418949081495149e-07
1	IFT172	1.3979990498785108e-07
1	KLRC4	1.3884167287222272e-07
1	CLPTM1L	1.387080817653231e-07
1	SCNN1G	1.3825663593790946e-07
1	ITGAX	1.378687240267896e-07
1	STAT3	1.3643247916330944e-07
1	BSND	1.3631496755539977e-07
1	HSD17B3	1.3555039066653637e-07
1	FAS	1.3464308996086415e-07
1	C4A	1.3432883131951584e-07
1	LPIN2	1.3350529130529394e-07
1	PCCA	1.330923777435542e-07
1	TLR4	1.3266025881567047e-07
1	CCR1	1.3090234238781654e-07
1	GLI2	1.299280241552385e-07
1	COL2A1	1.298886716596826e-07
1	AR	1.2795182925238352e-07
1	SLC26A3	1.277857606611892e-07
1	ELP1	1.2723764311012402e-07
1	TP53	1.254478300557977e-07
1	C19orf48	1.2500331207520648e-07
1	CAV1	1.2483048513606782e-07
1	FOXRED1	1.2222479622242182e-07
1	OPRM1	1.206842236470777e-07
1	CYP21A2	1.2062305025051746e-07
1	OXT	1.193550384247068e-07
1	CASR	1.1802996147850184e-07
1	IL12B	1.1689570214106836e-07
1	FGFR3	1.1615779957539266e-07
1	GNAS	1.161442861807334e-07
1	NDUFS2	1.160680728684237e-07
1	PRF1	1.1574692146798721e-07
1	CCND1	1.139711730056789e-07
1	MPV17	1.1374862881367209e-07
1	KCNJ1	1.1366117680376979e-07
1	SLC12A1	1.1356830974260986e-07
1	NDUFS1	1.1312841385753364e-07
1	RNASEH2C	1.1312465552329916e-07
1	GJB2	1.1234606319963041e-07
1	FGFR1	1.1201448363386745e-07
1	PRL	1.1151449758755103e-07
1	TBX1	1.1118633495864544e-07
1	GNRHR	1.11169202361154e-07
1	GK5	1.1099277569404581e-07
1	C2	1.1066728452971326e-07
1	MBTPS2	1.0925107072142363e-07
1	BCKDHA	1.0907884752633801e-07
1	COL1A1	1.0870507957725419e-07
1	COL3A1	1.0797694986071027e-07
1	MSH2	1.0725786417386905e-07
1	FMR1	1.0720293546932461e-07
1	C9	1.0716086147524132e-07
1	NDUFV1	1.0686933520026949e-07
1	DBT	1.0663608123937312e-07
1	P4HB	1.0662798769999879e-07
1	ERCC2	1.0622505084830306e-07
1	IGH	1.0602213129393206e-07
1	HFE	1.0548709834488115e-07
1	ADRB2	1.0543644950893407e-07
1	OCRL	1.0542752311714262e-07
1	MT-ND5	1.05213908562301e-07
1	CLN3	1.0518799555001622e-07
1	GALT	1.0483807256354184e-07
1	NRAS	1.0452208594899015e-07
1	NCL	1.0446347805133022e-07
1	CBS	1.042627329633297e-07
1	ZMPSTE24	1.0414927912348978e-07
1	PMS2	1.0414123252055716e-07
1	DUSP6	1.0413083194749945e-07
1	EZH2	1.0401019333346475e-07
1	TACR3	1.0393942695733327e-07
1	SEMA3E	1.0374991761247453e-07
1	KMT2A	1.0324389035981932e-07
1	PFKM	1.0317218329557984e-07
1	GATA4	1.0272235034881754e-07
1	TNFAIP3	1.0241811612448856e-07
1	BCL6	1.0214588240794158e-07
1	VKORC1	1.0184528093342276e-07
1	MAP2K2	1.0149233344223022e-07
1	TAC3	1.0105396516984622e-07
1	POT1	1.009973878947146e-07
1	NSMF	1.0068548471320606e-07
1	NPPB	1.0062641518326675e-07
1	SDHB	1.0045718389488345e-07
1	TBX19	1.0028195387166586e-07
1	POLD1	1.0002028486571729e-07
1	HPRT1	1.0001477758034747e-07
1	BCKDHB	9.969914975422047e-08
1	WFS1	9.964985356198897e-08
1	B3GAT3	9.940753308713891e-08
1	LRBA	9.924659000145246e-08
1	KISS1	9.924094022971495e-08
1	REN	9.9193111249158e-08
1	HNF1B	9.917365841864061e-08
1	CTLA4	9.891564951528283e-08
1	EP300	9.854489670374354e-08
1	NUP35	9.833913269740142e-08
1	FGF17	9.73405478207809e-08
1	FGF8	9.65063503635165e-08
1	MUC1	9.58567328329888e-08
1	AICDA	9.534679422589935e-08
1	NDUFS3	9.462282240945242e-08
1	ALMS1	9.451869300204557e-08
1	TP63	9.443022507747316e-08
1	LEPR	9.417040421634722e-08
1	FSHB	9.398081750478399e-08
1	SERPINA1	9.393385265987417e-08
1	RECQL4	9.336671140936248e-08
1	APOE	9.31416463863642e-08
1	AKT2	9.304487659819935e-08
1	FDX1	9.302386094049454e-08
1	GNRH1	9.286144425549801e-08
1	TSPYL1	9.284608905615335e-08
1	MECOM	9.274485137187624e-08
1	PPARG	9.270684650331276e-08
1	CREBBP	9.266075143373989e-08
1	CNR1	9.255903196346306e-08
1	RUNX3	9.23499504182872e-08
1	TMEM216	9.230557557469143e-08
1	GTF2I	9.19148009466354e-08
1	PSMB8	9.150620225132715e-08
1	SLC25A13	9.149680920467744e-08
1	TYMS	9.122197739937846e-08
1	FOS	9.091876889668795e-08
1	MT-ND1	9.089348466569194e-08
1	RPGRIP1L	9.052932679403297e-08
1	RNF216	9.026223678808459e-08
1	MKRN3	8.996127064577144e-08
1	SLC7A7	8.962177912095196e-08
1	MT-CO1	8.961327396197906e-08
1	SARS2	8.953982100574412e-08
1	ANOS1	8.936378432778246e-08
1	MT-CO3	8.927659224320743e-08
1	TAC1	8.917489406807722e-08
1	MT-ND6	8.916124463181275e-08
1	MAP3K1	8.915810851569565e-08
1	ELANE	8.90959095459766e-08
1	NQO1	8.908455957861798e-08
1	MVK	8.845803507624051e-08
1	SLC35C1	8.841233783739669e-08
1	MT-CO2	8.817211672878093e-08
1	HS6ST1	8.799510076381318e-08
1	TNIP1	8.795571642256019e-08
1	CFTR	8.767555417028439e-08
1	ACOX1	8.755291848324596e-08
1	POLR3B	8.728431965091436e-08
1	KCNJ10	8.702089481027693e-08
1	GSR	8.693975220408414e-08
1	CHEK2	8.664642958757303e-08
1	IPCEF1	8.607339466312893e-08
1	BMP15	8.544971771772006e-08
1	SDHD	8.497504824105251e-08
1	CLEC16A	8.468490095182806e-08
1	TINF2	8.455784392809212e-08
1	TSC2	8.441909824396715e-08
1	LYL1	8.440512125142035e-08
