multiplex	node	score
1	KCNQ2	0.004823776304985654
1	MC3R	0.00046570505739177066
1	KCNQ5	0.0004498112112276421
1	KCNA1	0.0004350678470907148
1	KCNQ3	0.00043435819038000384
1	PRRT2	0.00038132255823846513
1	CPLX2	3.3599861351049684e-06
1	LGI1	1.6182182945868298e-06
1	RELN	1.4596069523575423e-06
1	SCN1A	1.3207939302312482e-06
1	SCN2A	1.046844408552194e-06
1	GABRB3	1.0256102818140587e-06
1	DNM1	1.0092206450610449e-06
1	CHD2	9.892298365660647e-07
1	SCN8A	9.359269643187031e-07
1	MAPK10	7.943214568189366e-07
1	CNTN2	5.884176974693677e-07
1	ADRA2B	5.54533838573805e-07
1	STXBP1	4.987166339349235e-07
1	SCN1B	4.915346052239161e-07
1	DRD2	4.77827148294851e-07
1	HTR2A	4.690137348369494e-07
1	FOXG1	4.667570023066851e-07
1	PDGFB	4.4483944229189845e-07
1	OPRM1	4.3720020735618755e-07
1	GABRA1	4.3230201700242615e-07
1	SLC6A3	4.190090928900443e-07
1	ADCY5	3.9768980318559083e-07
1	PDYN	3.9335574114802756e-07
1	ASPA	3.7225231964839187e-07
1	PLCB1	3.6975230897175616e-07
1	POMC	3.65727342160074e-07
1	FGFR3	3.630229177706894e-07
1	CYP2D6	3.4947286078895784e-07
1	CP	3.4211158360912575e-07
1	BDNF	3.393485110984279e-07
1	KCNN3	3.369825594888153e-07
1	OXT	3.315569940846995e-07
1	AGA	3.301603206547702e-07
1	XK	3.2874080713053935e-07
1	GCDH	3.2186612166904593e-07
1	NTF3	3.2009930306208844e-07
1	STX1B	3.1887651358111496e-07
1	GCK	3.1040315460494456e-07
1	NGF	3.088066159654304e-07
1	APP	3.080598027149872e-07
1	ATP1A2	3.0790265168204594e-07
1	SLC9A6	3.0746947929915923e-07
1	MT-ND5	3.0498147854569053e-07
1	MT-CO3	3.033298331047147e-07
1	BCHE	3.019930801090761e-07
1	MT-ND1	3.003239302053804e-07
1	MT-ND4	2.943664007389658e-07
1	ANO3	2.911935839751436e-07
1	MT-CYB	2.8954540231325554e-07
1	MT-ND6	2.8877177459023907e-07
1	ABCC8	2.848949626175001e-07
1	INS	2.809062312079072e-07
1	SCARB2	2.7331939073504076e-07
1	RUNDC3A	2.7033160651079386e-07
1	NES	2.6516615243480695e-07
1	FGF2	2.6475088291862603e-07
1	HBEGF	2.634726873384081e-07
1	AUH	2.588212915725568e-07
1	KCNJ11	2.533148290609143e-07
1	MT-CO2	2.473886801542546e-07
1	MT-CO1	2.472834760557648e-07
1	POLG	2.459103474297083e-07
1	GOSR2	2.4516112341204035e-07
1	PSAP	2.390390124866645e-07
1	PDX1	2.3754807844666233e-07
1	IMPA2	2.370254644201675e-07
1	EFHC1	2.3110181627602254e-07
1	KCNMA1	2.3043101386147782e-07
1	AFG3L2	2.223131454588084e-07
1	ME2	2.1747286668093185e-07
1	CACNA1D	2.1482892353002953e-07
1	DYRK1A	2.1408877808964673e-07
1	CERS1	2.1186691742259389e-07
1	CACNA1A	2.0881091538197066e-07
1	CLN8	2.0732906887998967e-07
1	ALDH5A1	2.0486568489097124e-07
1	COL4A3BP	2.0319409838947236e-07
1	BUB1B	1.992659073099128e-07
1	ATP1A3	1.9718665591905274e-07
1	ST3GAL5	1.9710834450075238e-07
1	GPHN	1.896328699136082e-07
1	CSTB	1.8867547525564862e-07
1	CAMK2B	1.8302772839926693e-07
1	ALDH7A1	1.807413858946531e-07
1	ATP6AP2	1.7453205531080228e-07
1	GYS1	1.623102306622948e-07
1	GRIK1	1.5500232999293594e-07
1	NHLRC1	1.3978434364269538e-07
1	EPM2A	1.282135616663222e-07
1	CALY	1.1984626827284593e-07
1	TREX1	1.1656459368099149e-07
1	RALGPS1	1.1499619517092147e-07
1	PTPRN	1.0978320493048115e-07
1	DISP3	1.0681365999538504e-07
1	CHRNA4	1.0353090675057406e-07
1	TAGLN3	1.015618583908684e-07
1	PLA2G6	1.006913518751677e-07
1	GRIN2B	9.81968808617574e-08
1	NSG2	9.65449931453661e-08
1	GCH1	9.34383048063464e-08
1	TH	9.177538457790103e-08
1	DNAJC6	9.13738139221955e-08
1	ESR1	8.934773390427395e-08
1	SCG3	8.803605606631293e-08
1	CELF3	8.734784025157948e-08
1	SLC6A1	8.725949921472617e-08
1	GNAL	8.713523634531242e-08
1	CHGB	8.538789480817736e-08
1	SCN3A	8.516532989687895e-08
1	MVK	8.348239778747658e-08
1	KIF1A	8.30250996930941e-08
1	PDGFRB	8.270174320947771e-08
1	CYP27A1	8.054726785813619e-08
