multiplex	node	score
1	GDF2	0.0004683490029283671
1	PKLR	0.0004456715481112799
1	ABCB4	0.0004395367149713937
1	BPGM	0.00038904309463810236
1	ENG	0.00038445808610435456
1	ACVRL1	0.00037900856140453637
1	ARSA	0.00037747352579299386
1	GPI	0.00037243022319213213
1	SMAD4	0.00036953116788299015
1	ALDOA	0.0003674358073872914
1	TPI1	0.0003655880326355518
1	HK1	0.00036163637645985833
1	BTBD8	2.3321432101012946e-05
1	GOLGA6A	2.2739546587038014e-05
1	ABCG8	2.187678954173404e-05
1	GCG	2.1615768527173374e-05
1	WIF1	2.1215502298571046e-05
1	MUC16	2.11769988719377e-05
1	F5	2.0745576777247835e-05
1	CHDH	1.9268913774582814e-05
1	IL33	1.8864325455588854e-05
1	JAK2	1.8482045428533755e-05
1	CXCL16	1.83235106057903e-05
1	RCBTB1	1.8133191209818104e-05
1	PSAP	1.800582946408979e-05
1	SSBP2	1.7985753027702014e-05
1	PNPLA2	1.7779347336089348e-05
1	TP53	1.7764250331259297e-05
1	EHMT1	1.7735480492389344e-05
1	XDH	4.689654864040861e-06
1	CFI	4.363096361271828e-06
1	PIM1	4.316948061788532e-06
1	POMC	1.5423982439931727e-06
1	NGF	1.507465184609446e-06
1	RELA	1.337118745137066e-06
1	BMPR1A	8.929853923623025e-07
1	FECH	5.240510643389144e-07
1	ABCB11	5.157671550454745e-07
1	BLVRA	5.127480722252565e-07
1	CYP27A1	4.97080691362434e-07
1	HBB	4.857251779516553e-07
1	PFKM	4.790328259278523e-07
1	AIRE	4.4241347594830024e-07
1	ANK1	4.4103926310930834e-07
1	TBX1	4.4098374845279603e-07
1	PEX19	4.2702145859286585e-07
1	DMPK	4.1709903294139494e-07
1	SEC23B	4.1527298159469214e-07
1	ASPG	3.953411574344014e-07
1	KRAS	3.711547317094874e-07
1	UROS	3.629835854737205e-07
1	STK11	3.125172169330913e-07
1	GCK	2.8654906078473607e-07
1	PGAM4	2.741222807089306e-07
1	SCN1B	2.713842433147224e-07
1	PGK1	2.554238061344935e-07
1	NOS3	2.543620729236897e-07
1	SOD2	2.464095171194337e-07
1	VHL	2.3187464977314023e-07
1	PRKCH	2.2443753012373116e-07
1	GAPDH	2.238379629783435e-07
1	F2	2.144161402107698e-07
1	COL4A1	2.055765417937347e-07
1	ENO1	2.0313884534316393e-07
1	DCTN6	2.002020665403419e-07
1	PKM	1.9562318333564073e-07
1	TGFB1	1.8119015176037207e-07
1	SNAI2	1.811076061756488e-07
1	PDGFB	1.7680028484002716e-07
1	ALDOC	1.739544424236092e-07
1	KHK	1.674064591804404e-07
1	ANXA1	1.6580329609248547e-07
1	PGAM1	1.6479387169837329e-07
1	AK4	1.6082404632377071e-07
1	NS	1.5852455806504147e-07
1	PDGFRB	1.4687815943791815e-07
1	ARPC1B	1.445294586479771e-07
1	UCKL1	1.4384725807803782e-07
1	ALOX5AP	1.433418788109607e-07
1	TNPO1	1.4146580250576814e-07
1	ATP5F1A	1.38598376886287e-07
1	AKT1	1.3125435089776944e-07
1	ADAMTSL2	1.3097693806595801e-07
1	TALDO1	1.2969284052907835e-07
1	SLC43A3	1.2948520285054765e-07
1	MDM2	1.2159156125941225e-07
1	AK1	1.2148548613721166e-07
1	PPME1	1.2049291354963504e-07
1	TAGLN2	1.193061426417006e-07
1	CHEK2	1.170433847305958e-07
1	STAT3	1.1586523455523457e-07
1	ANXA2	1.1534379533087046e-07
1	HK3	1.1394372965924441e-07
1	FLT4	1.1285529470212118e-07
1	IFITM1	1.1276347623430094e-07
1	NOTCH3	1.1091708581929643e-07
1	GOT1	1.0967960662616756e-07
1	SPINK1	1.082259736755955e-07
1	FH	1.0784626115965378e-07
1	EDNRB	1.0780888389623412e-07
1	SH3GL1	1.0719434246620326e-07
1	MAGEH1	1.0594529630540956e-07
1	SLC6A8	1.0523536006600726e-07
1	TGFBR2	1.0384521854011007e-07
1	SND1	1.0199859230988493e-07
1	TBP	1.0117887813081758e-07
1	COL14A1	1.0102934491230118e-07
1	FTL	1.0007325955395121e-07
1	SDHB	9.9858409883839e-08
1	HKDC1	9.929858978036627e-08
1	MAP2K1	9.865053716340875e-08
1	MLX	9.759043675767335e-08
1	SH2B3	9.604704201544347e-08
1	IL12B	9.50124085985378e-08
1	ABCB1	9.495489958365479e-08
1	G6PC3	9.441531621128877e-08
1	SLC20A2	9.427189269013561e-08
1	PIK3CA	9.399032557961515e-08
1	TREM2	9.385724864507287e-08
1	PRDX2	9.375073420715863e-08
1	PTDSS1	9.298054123146822e-08
1	EDN1	9.280559570669743e-08
1	MPI	9.13979368808114e-08
1	TNFRSF1A	9.134530273813401e-08
1	PFN1	9.114424035046038e-08
1	GBA	9.067923899083947e-08
1	BMPR2	9.037572481112801e-08
1	MECP2	9.009015677940902e-08
1	HLA-B	8.964347550900009e-08
1	PHB	8.950093967001924e-08
1	SLC37A4	8.943150861418023e-08
1	VCP	8.941755086403185e-08
1	PTEN	8.836643177358676e-08
1	FBN1	8.802946001037118e-08
1	GPX1	8.735843214309111e-08
1	HTRA1	8.72514545722802e-08
1	HK2	8.698156723564731e-08
1	RABAC1	8.658934428501204e-08
1	CTDP1	8.601770600605772e-08
1	GARS1	8.57443615846585e-08
1	NOS2	8.54998756139259e-08
1	GSTP1	8.523245269189913e-08
1	GLA	8.436047197715399e-08
1	ACTA2	8.391773616257354e-08
1	SMAD7	8.349569973860247e-08
1	GPBP1	8.325211358965795e-08
1	P4HB	8.318783433517549e-08
1	HIF1A	8.263816841226355e-08
1	CDH5	8.263285770834265e-08
1	MYD88	8.253649256465731e-08
1	CHST3	8.237650876627309e-08
1	TNPO3	8.209610195835169e-08
1	LMNA	8.203414413931826e-08
1	TUBG1	8.178198717305811e-08
