multiplex	node	score
1	CYP27A1	0.0042427948148826364
1	MIR98	2.175562831898431e-05
1	INSL6	2.1220818238275238e-05
1	NR1H4	2.108222059835491e-05
1	SLC10A1	2.106837470234129e-05
1	IL2	2.0835734544174488e-05
1	CFB	2.0801679177516588e-05
1	SLC22A2	2.075096135469223e-05
1	CYP27B1	2.069854642347201e-05
1	TNF	2.068805734788589e-05
1	SLC6A3	2.0629105444574474e-05
1	CYP2B6	2.0494587778071224e-05
1	B4GALNT2	2.047326959017366e-05
1	CYP3A4	2.043934960305114e-05
1	HNF4A	2.006337335721551e-05
1	BGLAP	1.985312964665726e-05
1	HSD11B2	1.9422446838151832e-05
1	PTGDS	1.8948699309946737e-05
1	CTSK	1.8714179894238277e-05
1	IL6	1.838454624811792e-05
1	HLA-A	1.7054748757411853e-05
1	SSPN	1.7030980020982848e-05
1	SIRT1	1.6924778630168234e-05
1	SPG11	1.6671675732874817e-05
1	UTRN	1.6638944080792596e-05
1	FTO	1.661494459743092e-05
1	MBD2	1.6477361789770165e-05
1	SPG7	1.6448805609142783e-05
1	TP53	1.640123806247997e-05
1	XPR1	1.6198434038462804e-05
1	CRYL1	2.682685054172138e-06
1	PIPOX	2.659783630093545e-06
1	HSD17B4	2.448373889136279e-06
1	AGL	1.1218865292891522e-06
1	GNAS	8.380125523822454e-07
1	LMNA	8.080407838210685e-07
1	PEX19	6.904058229694841e-07
1	DMPK	6.573441784882603e-07
1	CYP7A1	5.976029975133173e-07
1	AKR1D1	5.781391274630658e-07
1	ASPA	5.365414212457311e-07
1	AMACR	5.301071749384456e-07
1	PSEN1	5.080005182686674e-07
1	DCX	5.067277710725152e-07
1	ABCB4	4.991066506950363e-07
1	ABCB11	4.873185386917446e-07
1	CYP7B1	4.6731735293880606e-07
1	TBX1	4.572365283722081e-07
1	HBB	4.5522147599811326e-07
1	APOB	4.527224257518757e-07
1	AIRE	4.429594099345082e-07
1	PKLR	4.4186067607642437e-07
1	LDLRAP1	4.343299099312784e-07
1	TPI1	4.3430511464270566e-07
1	ASAH1	4.2534172615961196e-07
1	CTSD	4.2352309024725396e-07
1	PFKM	4.218996973612036e-07
1	ANK1	3.987627632636902e-07
1	ASPG	3.9500449364576063e-07
1	LDLR	3.8414072927977847e-07
1	PEX2	3.721518486941767e-07
1	PEX12	3.711029546977535e-07
1	IRF6	3.6776499345402915e-07
1	ABCC2	3.6501114254946797e-07
1	BPGM	3.630758022899246e-07
1	FECH	3.6183300572437024e-07
1	HK1	3.6155934359821873e-07
1	BMP4	3.607884990142124e-07
1	NPHP1	3.5832540811808706e-07
1	BLVRA	3.576022077154077e-07
1	PEX5	3.575804246763876e-07
1	UGT1A1	3.568696193790621e-07
1	GJB3	3.5621271049453624e-07
1	PEX6	3.538487559253462e-07
1	SLC6A19	3.524670973627013e-07
1	SLC6A8	3.512419850664085e-07
1	CYP2U1	3.4979232493237874e-07
1	UROS	3.496512365382229e-07
1	SEC23B	3.484930527167156e-07
1	PEX11B	3.472943235344621e-07
1	ALDOA	3.4642326949553884e-07
1	PEX1	3.4626519377954006e-07
1	GJB4	3.460771775265814e-07
1	PKHD1	3.4534959333374873e-07
1	TAT	3.450667706836562e-07
1	COQ2	3.4470070485982386e-07
1	HEXB	3.4366460591234673e-07
1	SOST	3.385521870885647e-07
1	PEX14	3.384141185454023e-07
1	ARG1	3.371814154228185e-07
1	MPL	3.364262324529997e-07
1	PEX13	3.3529894533468154e-07
1	ABCC6	3.3503288991694244e-07
1	SUMF1	3.3297532127479827e-07
1	PEX26	3.3287108980150807e-07
1	PEX3	3.2845169673161117e-07
1	PEX10	3.2754612771943466e-07
1	ARX	3.267975010706283e-07
1	JAK2	3.2505176558163255e-07
1	TSFM	3.229063046446207e-07
1	L1CAM	3.2220414501804123e-07
1	PEX16	3.1825711921183195e-07
1	LAMP2	3.174044628425177e-07
1	ACVR1	3.1518193787308925e-07
1	MCOLN1	3.148004088850324e-07
1	HNF1B	3.134740328228184e-07
1	GLA	3.118737998610396e-07
1	RFXAP	3.0671227024047525e-07
1	BBS4	3.0663647423732293e-07
1	BCOR	3.0633727339884265e-07
1	MVK	3.017375070039889e-07
1	CTSF	3.014125722227963e-07
1	STK11	3.0080219576132615e-07
1	APOE	2.988121709773661e-07
1	BBS1	2.981996158604303e-07
1	MMADHC	2.980368517044188e-07
1	CCDC78	2.9533874657153935e-07
1	ABCD3	2.950439122183222e-07
1	SDCCAG8	2.924332534297703e-07
1	DLD	2.9232192683500493e-07
1	C12orf65	2.916742448776539e-07
1	RFX5	2.916537528598855e-07
1	CIITA	2.8842920857657875e-07
1	TET2	2.8536176009970275e-07
1	ALG9	2.841811999843662e-07
1	RFXANK	2.8037282710860127e-07
1	CENPJ	2.8034989669816986e-07
1	AVP	2.7960955247430654e-07
1	MTFMT	2.794507333182187e-07
1	MTO1	2.764600605795132e-07
1	CYP8B1	2.7606294911707647e-07
1	HSD3B7	2.7283141162598194e-07
1	UMPS	2.725989613182858e-07
1	MKKS	2.677788017052635e-07
1	LIPC	2.666839214688155e-07
1	HTRA1	2.4960316463791894e-07
1	NPC2	2.3998326121999154e-07
1	CP	2.3903795722934217e-07
1	ZMPSTE24	2.3670104299062665e-07
1	PCCA	2.3547071362883442e-07
1	ABCA1	2.3170875852352777e-07
1	N4BP2L1	2.2925190520918569e-07
1	ESR1	2.2853396401749557e-07
1	TREX1	2.2472812143479616e-07
1	CLIP2	2.2212336723194546e-07
1	LIMK1	2.219059266764691e-07
1	PLP1	2.2164435974063825e-07
1	TTR	2.1977162629745755e-07
1	ELN	2.1793679466697227e-07
1	PCCB	2.151772760636817e-07
1	CYP46A1	2.1430801210385728e-07
1	SLC10A2	2.0184754992133862e-07
1	MECP2	2.0135212271058733e-07
1	GTF2IRD1	1.9641667107209815e-07
1	FTL	1.9476268934329937e-07
1	PON1	1.914309972112974e-07
1	ATP7B	1.9063447216589744e-07
1	GTF2I	1.898818669927273e-07
1	RFC2	1.883920988599227e-07
1	BAZ1B	1.866149337564328e-07
1	ATXN1	1.8596809090747722e-07
1	TBL2	1.8431993215174253e-07
1	ICAM1	1.8345017235881052e-07
1	MMACHC	1.8287246016383605e-07
1	TTPA	1.8227675026530282e-07
1	FLNB	1.752975371801573e-07
1	LPA	1.7508261755256956e-07
1	CYP39A1	1.71376397719812e-07
1	PAFAH1B1	1.693985755642841e-07
1	SCT	1.6915477103898453e-07
1	SERPINI1	1.6772237031208438e-07
1	NAGA	1.6754094487830883e-07
1	HBA1	1.6598145599866737e-07
1	VCAM1	1.6584828801891454e-07
1	HBA2	1.6539944588028437e-07
1	CLN6	1.64445180226732e-07
1	ATXN10	1.6412606219950112e-07
1	FBXO7	1.6246379091679177e-07
1	GM2A	1.6236548378660664e-07
1	FABP6	1.6216581912731625e-07
1	YPEL4	1.5994450269651992e-07
1	HEXA	1.555213439370737e-07
1	PRNP	1.5442730375409151e-07
1	TREM2	1.5017529517413228e-07
1	TCF4	1.4802513849334963e-07
1	FAXDC2	1.4769731668438752e-07
1	PLAAT4	1.475998250855281e-07
1	COL3A1	1.4732971174927854e-07
1	OCRL	1.4640642675531146e-07
1	GCDH	1.462551836946979e-07
1	APTX	1.4601781733447717e-07
1	MMP1	1.4319801898169117e-07
1	VWA5A	1.4271806359383048e-07
1	NPC1	1.409889664225388e-07
1	NOS2	1.3978122289222942e-07
1	ALAD	1.3877325871547783e-07
1	LPL	1.380781535732874e-07
1	TMEM256	1.358412591080556e-07
1	REN	1.3334870803338566e-07
1	SLC25A13	1.32300057393199e-07
1	MT-CO3	1.3177939488791839e-07
1	MT-ND5	1.316419625606603e-07
1	MT-ND1	1.3162460471511454e-07
1	CERCAM	1.315265638707497e-07
1	MT-ND6	1.3128401373137255e-07
1	RAI1	1.3047072094685143e-07
1	JAG1	1.2876474418089114e-07
1	ATM	1.2805980030828988e-07
1	MAPT	1.2786538403733944e-07
1	HP	1.2597787248824316e-07
