multiplex	node	score
1	GAST	6.236768128076919e-05
1	LGR5	5.8464647841158345e-05
1	MMP9	5.794406464719908e-05
1	PROM1	5.65096034597755e-05
1	PTGS2	5.524364595757438e-05
1	VEGFA	5.482098581686772e-05
1	TYMS	5.411423658219524e-05
1	MTHFR	5.3776729344400604e-05
1	ALOX5	5.2178178822272095e-05
1	CDKN1A	5.096455885246349e-05
1	TP53	5.0824136406263895e-05
1	MLH1	5.0789342322917684e-05
1	CTNNB1	5.051547573523768e-05
1	EGFR	5.047559958929991e-05
1	KRAS	5.015770573865206e-05
1	TCF7L2	5.015181686730904e-05
1	APC	5.00760059130708e-05
1	SRC	4.9282213919126824e-05
1	NFKB1	4.892061163617928e-05
1	BAX	4.89051821124875e-05
1	STAT3	4.884651955926024e-05
1	ERBB2	4.8746486373944257e-05
1	DNMT1	4.8682637586333765e-05
1	PRR5-ARHGAP8	4.2447752752519235e-05
1	IGFBP1	4.18349550147639e-05
1	CYP26A1	4.182702708002199e-05
1	TNFRSF9	4.1602727867044644e-05
1	ITIH4	4.138902004789518e-05
1	NOX1	4.131893934233065e-05
1	MMP12	4.113802186264682e-05
1	CXCL10	4.094076473697063e-05
1	DEFA5	4.091357679159726e-05
1	SLCO1B3	4.064561641696784e-05
1	GCG	4.041361081934861e-05
1	SLC22A1	4.029646006520588e-05
1	ASCL2	4.011407076657606e-05
1	IL1B	3.9950123719296007e-05
1	SLC5A8	3.991716324154344e-05
1	CCL20	3.990536603953871e-05
1	MEP1A	3.9851437969066635e-05
1	NOS2	3.983647501396971e-05
1	WT1	3.971634195904158e-05
1	MMP7	3.94129165144904e-05
1	NOX4	3.919311615999019e-05
1	DMBT1	3.8836705018556006e-05
1	FOLR1	3.855586060576388e-05
1	FZD2	3.801036114346076e-05
1	GAP43	3.7981705931343845e-05
1	LEP	3.797795550557075e-05
1	F5	3.7945825344923106e-05
1	HMGCS2	3.7902922461953974e-05
1	PCP4	3.7835849620239105e-05
1	MKI67	3.7820145240953406e-05
1	HES1	3.759320488984923e-05
1	SERPINB5	3.755296102845362e-05
1	ID3	3.754204613720845e-05
1	LEF1	3.748288096155091e-05
1	IL32	3.747602158162351e-05
1	IL1RN	3.744035829055571e-05
1	CP	3.7298176821696704e-05
1	LPL	3.717517823143572e-05
1	CKM	3.7164900025385964e-05
1	JUN	3.7058602631298694e-05
1	ACTG2	3.701600776547062e-05
1	S100A9	3.700974944230646e-05
1	CCND1	3.683857872294436e-05
1	AXIN2	3.6391990559024905e-05
1	SLC19A1	3.6246453385308644e-05
1	HSPB1	3.620037418660619e-05
1	LRG1	3.60434531579735e-05
1	PRKN	3.6036151690577266e-05
1	CRYAB	3.594420408628911e-05
1	IGF2	3.589042061915034e-05
