multiplex	node	score
1	IFNA2	7.020132362606105e-05
1	NEUROG3	7.016982287918974e-05
1	ABCB11	6.869238561864463e-05
1	LCT	6.854043380680189e-05
1	GUCY2C	6.846593841430904e-05
1	IL1A	6.751969602689907e-05
1	CTLA4	6.749503657877971e-05
1	SLC26A3	6.7414703037511e-05
1	SLC9A3	6.635658115943272e-05
1	PCSK1	6.613819269494799e-05
1	CSF3	6.425241802376592e-05
1	MYO5B	6.0370508000539705e-05
1	CD14	5.878150911763618e-05
1	ATP8B1	5.8359470901976146e-05
1	SKIV2L	5.6349710899106684e-05
1	NBN	5.565682924360087e-05
1	DGAT1	5.4462928231203586e-05
1	TSHR	4.951728359371243e-05
1	IGLL1	4.950386788931506e-05
1	RAG2	4.950282968893141e-05
1	RAG1	4.931713005595164e-05
1	HLA-B	4.913042746277194e-05
1	AIRE	4.901332656594803e-05
1	AVP	4.888456398262335e-05
1	SLC12A1	4.84589427364607e-05
1	AKR1D1	4.8384698095906504e-05
1	CYP7B1	4.835051961626343e-05
1	TTR	4.827356386876202e-05
1	KCNJ1	4.8255053787402644e-05
1	CD40LG	4.8242396650939805e-05
1	FOXP3	4.819960102066432e-05
1	TMPRSS15	4.808049138099622e-05
1	TREH	4.7948491644334757e-05
1	HNF1A	4.732152445066342e-05
1	TNFRSF13B	4.719057662807348e-05
1	ICOS	4.716645930671531e-05
1	ABCB4	4.6970603034258934e-05
1	CR2	4.6674523725630606e-05
1	SI	4.66558726168027e-05
1	DNMT3B	4.6519598093543204e-05
1	CD19	4.63231738592141e-05
1	RET	4.6042501020218407e-05
1	MEFV	4.60360717255044e-05
1	IGHM	4.594706227398363e-05
1	HNF4A	4.591451365913995e-05
1	DDC	4.5818326815147895e-05
1	SLC39A4	4.558213600137389e-05
1	ABCC8	4.545351386896471e-05
1	KCNJ11	4.520632752946457e-05
1	CD79A	4.491863355817317e-05
1	SCNN1G	4.462435325753751e-05
1	CD3D	4.440059021681073e-05
1	CD79B	4.4207869837341375e-05
1	IL7R	4.420755707548243e-05
1	UCP2	4.3803332994558245e-05
1	CPT1A	4.3746221134774606e-05
1	ZAP70	4.306689354899845e-05
1	BLM	4.293672403312991e-05
1	DES	4.288400671871978e-05
1	LCK	4.279567445552454e-05
1	CDKN2B	4.230279686646063e-05
1	BLNK	4.2287698917590615e-05
1	CDKN2C	4.211961180205318e-05
1	STAT1	4.1962688238832274e-05
1	ADA	4.1694204523246427e-05
1	SLC19A2	4.152309493193921e-05
1	AGA	4.138549938561093e-05
1	GLA	4.1378227652617646e-05
1	TCN2	4.106258350717419e-05
1	BTK	4.098200426114115e-05
1	PTPRC	4.094699730134315e-05
1	MCM6	4.0593712820180556e-05
1	NCF4	4.054918722313008e-05
1	IKZF1	4.0536172079376416e-05
1	CDKN1A	4.045010302195136e-05
1	SERPING1	4.040821732085363e-05
1	OPLAH	4.01826517317097e-05
1	SLC7A7	3.991406173861526e-05
1	TTC37	3.979650360231442e-05
1	GNS	3.976303550007756e-05
1	BTD	3.9691881394254494e-05
1	RECQL4	3.968861345612246e-05
1	PIK3R1	3.962456124055376e-05
1	HMBS	3.950878909432054e-05
1	NME1	3.949241996987847e-05
1	JAK3	3.9437286288960314e-05
1	MPV17	3.9408585861923115e-05
1	MVK	3.939568569411913e-05
1	SGSH	3.9379421598801175e-05
1	NAGLU	3.936935600184124e-05
1	PHKB	3.932552156341288e-05
1	CYP27A1	3.9324731540395824e-05
1	CPOX	3.930992080034043e-05
1	PMM2	3.92871030998817e-05
1	MPI	3.923453038830823e-05
1	PIGT	3.922846891491312e-05
1	TNFRSF1A	3.914398837870132e-05
1	ELP1	3.913838588370003e-05
1	MLYCD	3.897218801307682e-05
1	CDKN1B	3.8960063233574606e-05
1	IDS	3.8816593725111416e-05
1	GALT	3.860904400538151e-05
1	TCF3	3.8592879470699174e-05
1	AK2	3.858747535352787e-05
1	ALAD	3.8541538759377215e-05
1	AP1S1	3.8293137329499e-05
1	SAR1B	3.8222171688124696e-05
1	ALG3	3.787982112809172e-05
1	SLC12A3	2.0934569214437344e-05
1	DNASE1L3	2.0464835374269768e-05
1	PYY	2.044520543765498e-05
1	ARX	2.023034906770728e-05
1	NPHS1	2.023025208466614e-05
1	LTF	1.9773353069742895e-05
1	SPP1	1.891412801053651e-05
1	FUT2	1.8866035867405825e-05
1	IL1RN	1.8777100117990985e-05
1	IL6	1.8531904561174468e-05
1	CFH	1.7263042186979716e-05
1	EGFR	1.698449877344129e-05
1	ANTXR2	1.6846147891735582e-05
1	PTRF	1.1635110617522882e-06
1	SLC5A5	1.1455365433660847e-06
1	FSHR	1.1391681825327327e-06
1	MYH8	1.1313647801380782e-06
1	GBA	1.1086308759433158e-06
1	SNX10	1.0943885855653395e-06
1	NEB	1.0565554432833152e-06
1	DST	9.592856640005984e-07
1	FARS2	9.560827000904527e-07
1	RMND1	9.50076894648718e-07
1	LYRM4	9.379635449020339e-07
1	LRIG2	9.343740689134527e-07
1	MRPL3	9.248204735654545e-07
1	F2RL1	8.870614986724286e-07
1	IL10	8.656425713958662e-07
1	POMC	8.510692735622593e-07
1	SDHD	7.920178400343914e-07
1	ATXN3	7.678072432187499e-07
1	UNG	5.406314286352152e-07
1	NOS2	5.084053268392856e-07
1	TPSAB1	4.535226182102694e-07
1	NCF2	4.448456464358831e-07
1	CYBA	4.2765265383581054e-07
1	IGF1	4.046463312336529e-07
1	CYBB	3.881885661025363e-07
1	CFI	3.71785404105628e-07
1	PIM1	3.516483077651786e-07
1	BAAT	3.4979323342298447e-07
1	RELA	3.4458900777336013e-07
1	EPHX1	3.29688333382212e-07
1	IL1B	3.2799196984869653e-07
1	TNF	3.269298009824501e-07
1	XDH	3.16180327627546e-07
1	TYMP	3.135419277587879e-07
1	ALDOB	3.105040125625148e-07
1	NGF	3.0494363371868795e-07
1	TJP2	3.03216874420193e-07
1	GH1	3.028162001873421e-07
1	ABCB1	3.008353687484103e-07
1	NTRK1	2.986507557289313e-07
1	RAPSN	2.9330364475141314e-07
1	MUSK	2.9204240624835705e-07
1	PTPN22	2.9148961644728047e-07
1	DRD2	2.8233426784809257e-07
1	IL12B	2.761382769546293e-07
1	CHRNE	2.7539738712599116e-07
1	HLA-DRB1	2.7533143188156867e-07
1	COL7A1	2.6870498011753353e-07
1	POLG	2.6778444282139474e-07
1	CHRNB1	2.6354917583388146e-07
1	WAS	2.579460630205459e-07
1	MTHFR	2.5481862141038633e-07
1	IL10RA	2.5190079822152565e-07
1	TCIRG1	2.496862567353728e-07
1	WIPF1	2.439834911801404e-07
1	MTR	2.4338724953670637e-07
1	IL10RB	2.3346935181351078e-07
1	CBS	2.319757058859932e-07
1	STAT3	2.297031821797745e-07
1	AIP	2.2898984290927375e-07
1	IL2RG	2.2621914505037429e-07
1	PNP	2.2533999879507488e-07
1	AGTR1	2.2486537958002637e-07
1	TSC2	2.2387469516973203e-07
1	NLRC4	2.158558007115105e-07
1	VHL	2.1198587168609635e-07
1	FAS	2.015606136595157e-07
1	SCNN1B	1.9712463469655552e-07
1	DNMT1	1.9661786435959675e-07
1	TLR4	1.9459182503560426e-07
1	LRBA	1.923075327292724e-07
1	MIR222	1.9030065266781368e-07
1	MIR34B	1.8933475589304648e-07
1	MIR155	1.892215542960666e-07
1	MIR34C	1.891841067737077e-07
1	MLX	1.8721180793966117e-07
1	CIITA	1.8410863066000893e-07
1	LIMK1	1.8340473267257524e-07
1	COMT	1.7937329526766512e-07
1	TNFRSF1B	1.740185606325809e-07
1	PRKDC	1.7396158714343695e-07
1	CCR1	1.7352851057005846e-07
1	TP53	1.7303682634065425e-07
1	HPGD	1.7295914486642823e-07
1	CTNNB1	1.72735112290703e-07
1	SLCO2A1	1.725498316057305e-07
1	RFC2	1.6953744814528757e-07
1	KRAS	1.678120686009823e-07
1	STAT4	1.673951957896257e-07
1	PLG	1.6662354760324908e-07
1	TBX1	1.6317748534727283e-07
1	SEC24C	1.6263288084421446e-07
1	ATM	1.6083556814682405e-07
