multiplex	node	score
1	IL13	0.00014292182313405236
1	SCGB1A1	0.00014177128474253346
1	TNF	0.00014049131038381318
1	SFTPB	0.00013841357808688646
1	NKX2-1	0.00013804847489329406
1	MPO	0.00013652560321968964
1	FOXA2	0.0001347120633410547
1	ADRB2	0.0001314627182722493
1	ADRA2B	0.00013132129000701577
1	CCN2	0.00012925996294805753
1	PTGS2	0.00012466054199065647
1	VEGFA	0.00012437587404225977
1	SERPINA1	0.00012324479808581944
1	HARS	0.00012139504134454684
1	LDHC	0.00012055114704074
1	ACE	0.00012008093747366901
1	CLEC4D	0.00011807189593989764
1	MMP8	0.00011774636001317091
1	STRA6	0.00011711370868370364
1	PTHLH	0.00011653689741036115
1	IRX1	0.00011606638007182123
1	IGF1R	0.00011572119561367654
1	A2M	0.00011542498013703246
1	SOD2	0.0001147393933564605
1	TGFB1	0.00011449809422090179
1	KLF2	0.00011411682875936336
1	IRX2	0.00011172370347592312
1	GSTO1	0.00011156874099445124
1	HIF1A	0.00011043531300840839
1	CLEC4E	0.00011026304041008272
1	IRX3	0.00010964056423821029
1	KIT	0.00010777478506609017
1	PDGFA	0.00010462051466927558
1	PTH1R	0.00010370234840942153
1	BST1	0.00010359752564892949
1	SPRY2	0.00010186527843039891
1	PCSK5	0.00010158938898312332
1	CRISPLD2	0.00010111855225969855
1	PDGFRA	9.970445468787354e-05
1	INSR	9.932126299836024e-05
1	ADGRE5	9.870212354641236e-05
1	AFF4	9.731502957342573e-05
1	IGF2R	9.547637731990512e-05
1	PRKDC	9.52239776371438e-05
1	UCN3	2.1001287563257112e-05
1	TERT	2.050482647410542e-05
1	SCNN1G	1.9481177713284943e-05
1	SCNN1B	1.9195654172311917e-05
1	ELN	1.843429678740635e-05
1	SCNN1A	1.798589616359409e-05
1	ENG	1.718806825589233e-05
1	STAT3	1.653949029773305e-05
1	HPS1	1.652011040527947e-05
1	AP3B1	1.6395819746696523e-05
1	CFTR	9.79817927375943e-07
1	LRBA	7.902797842503183e-07
1	BLM	7.543195557307349e-07
1	PEPD	7.061276332280617e-07
1	SERPINH1	6.201073761960381e-07
1	HMOX1	5.544790804700795e-07
1	PRTN3	5.353780735662044e-07
1	TSC2	5.337458971615166e-07
1	LMNA	5.301855801197337e-07
1	FGFR3	5.090536069586742e-07
1	ARMC4	4.875252693292007e-07
1	DNMT3B	4.863265364306057e-07
1	ZMYND10	4.73976885172989e-07
1	NPY	4.7395923241814185e-07
1	LRRC6	4.7266630994261735e-07
1	MMP9	4.592285828217611e-07
1	KNG1	4.3975968054030984e-07
1	SPAG1	4.3871320135455423e-07
1	GBA	4.3520220471618555e-07
1	HLA-DPB1	4.253548714418967e-07
1	FBLN5	4.0605228087307124e-07
1	CDKN1B	3.968401382584433e-07
1	STK11	3.951425782453128e-07
1	MMP2	3.84941479267247e-07
1	HLA-DRB1	3.72632865179123e-07
1	DNAAF5	3.658853474631037e-07
1	FIP1L1	3.5524699004364527e-07
1	FBN1	3.534497488515273e-07
1	GLUL	3.500402423817087e-07
1	ICAM1	3.4887973999809687e-07
1	BCL10	3.4499077792317997e-07
1	DST	3.3919875352039766e-07
1	ZBTB24	3.3490452834941986e-07
1	IGHM	3.247359440776588e-07
1	CTLA4	3.159756568322625e-07
1	TGFBR2	3.1504117519432415e-07
1	TAPBP	3.13742055723327e-07
1	TAP1	3.1317370462406236e-07
1	TP53	3.006236731315705e-07
1	SPINK5	2.99949034313345e-07
1	PTPN22	2.988191268314039e-07
1	IL1B	2.915919641133972e-07
1	TAP2	2.898360452168164e-07
1	MARS	2.8450626313089454e-07
1	PIK3R1	2.811688605445142e-07
1	PGM3	2.76583897418918e-07
1	NFKB2	2.734671564849987e-07
1	IL6	2.702450967316488e-07
1	ALOX5	2.6797865218213016e-07
1	LIFR	2.6256988006631335e-07
1	PLAU	2.606840053449154e-07
1	GLA	2.560304177597041e-07
1	CDKN1A	2.521054778111486e-07
1	LTBP4	2.517173347991622e-07
1	EPHX1	2.5114529569859545e-07
1	CAT	2.4987627017102536e-07
1	NOS2	2.485604650433038e-07
1	IGLL1	2.4429009888016354e-07
1	CD79B	2.434377235952458e-07
1	EFEMP2	2.3595837557776658e-07
1	PEX5	2.3569940870038057e-07
1	IL12B	2.340158276024891e-07
1	TSPYL1	2.3340174441102076e-07
1	BLNK	2.314695328324425e-07
1	CD79A	2.3051165570491872e-07
1	ITGB6	2.2968823019793474e-07
1	TPSAB1	2.2934163257096977e-07
1	DLEC1	2.27707136067914e-07
1	TTF1	2.24885814067396e-07
1	TAC1	2.2346111451841305e-07
1	MMP12	2.213650314440825e-07
1	TCF3	2.2108853816115556e-07
