multiplex	node	score
1	IL10	0.0008724407267581002
1	NLRC4	0.0008503395693583954
1	STAT1	0.0007691176089497469
1	IL10RA	0.000736817784278198
1	OPLAH	0.0007352197435575831
1	IL10RB	0.0007209350968577278
1	IL17A	2.123547571928124e-05
1	SERPINA4	2.046945756328041e-05
1	IL1A	2.0467217613139675e-05
1	IL1B	2.045768876350229e-05
1	KLKB1	2.0218741681001624e-05
1	MEFV	1.9958236223655495e-05
1	CXCL8	1.922025179873645e-05
1	SLC22A4	1.911126474945897e-05
1	IGF1	1.907174065669959e-05
1	RET	1.9069380979870982e-05
1	NOD2	1.839161534615426e-05
1	VEGFA	1.821946162793547e-05
1	IL18	1.804532531862695e-05
1	ALOX5	1.801507869198758e-05
1	SPI1	1.7596517705782163e-05
1	ITGB2	1.7414410834385584e-05
1	STX2	1.7145573422103338e-05
1	TTC7A	1.7137077432702803e-05
1	TGFB1	1.6976385261848656e-05
1	RBM45	1.6961291528640986e-05
1	SMUG1	1.6544086311862547e-05
1	ATF4	1.6450161786053413e-05
1	RACK1	1.6440143629992843e-05
1	ACAD8	1.6383080690667e-05
1	IGHM	4.951988389430213e-06
1	ALB	1.1965672761220752e-06
1	OAS3	9.081113120196182e-07
1	MYD88	8.441546872394519e-07
1	BTK	6.790847144413853e-07
1	C9	6.637079088068464e-07
1	HLA-B	6.293441694513977e-07
1	HLA-DRB1	6.215520235504962e-07
1	SERPING1	6.093973953248646e-07
1	NLRP3	6.078278139974463e-07
1	C3	6.074483782710325e-07
1	PON1	5.804074197183403e-07
1	CST1	5.531705618299931e-07
1	TNF	5.504565039338907e-07
1	PRKAR1A	5.435961870239319e-07
1	PIK3CA	5.406763972075203e-07
1	TPSAB1	5.37280118752095e-07
1	IL6	5.356977236814365e-07
1	KIT	5.344173889632992e-07
1	CCR1	5.254411649126091e-07
1	STAT4	5.178039667059335e-07
1	HERC6	5.177223375266276e-07
1	F2RL1	4.999088857869567e-07
1	TLR4	4.904005930105585e-07
1	IL12A	4.669051254929336e-07
1	FAS	4.577140385915659e-07
1	PTEN	4.5424637490295577e-07
1	IFNG	4.2434079111006125e-07
1	IL2RA	4.226063638894578e-07
1	AKT1	4.1649836629577925e-07
1	IL12B	4.129990742923602e-07
1	WAS	4.0866508270035645e-07
1	PTPN22	4.078099473474331e-07
1	IFNL3	3.9023655181976914e-07
1	HGD	3.8848521021960345e-07
1	IRF5	3.777242919225768e-07
1	C4A	3.7760243448970446e-07
1	PTPN2	3.7461665998138837e-07
1	PTPRE	3.588327929972082e-07
1	NOS2	3.578944126221405e-07
1	NCF4	3.576491626338898e-07
1	IRF1	3.5218460051587597e-07
1	CORO1A	3.521107278399616e-07
1	IL13	3.512490563678989e-07
1	LAPTM5	3.4888134840001184e-07
1	TNFRSF1A	3.4527934728672816e-07
1	CASP1	3.3792178334710114e-07
1	C5AR1	3.3497455023911214e-07
1	FPR2	3.347592691554846e-07
1	ERAP1	3.3208279215662995e-07
1	KLRC4	3.3086975917894743e-07
1	DDIT3	3.3041391319719325e-07
1	POMC	3.301090409066189e-07
1	ISG15	3.2585533916841494e-07
1	IL23R	3.2231666078975875e-07
1	CTLA4	3.1815111720999493e-07
1	STAT3	3.1779974161624634e-07
1	IFIT1	3.1386396502134906e-07
1	TYK2	3.0933358514488505e-07
1	CMPK2	3.0748956135725537e-07
1	IL4	3.0540930521804994e-07
1	NFKB2	3.0265750667739283e-07
1	IRGM	2.9854344499921986e-07
1	UNC93B1	2.982785242455747e-07
1	FCGR2A	2.980665499269107e-07
1	HMOX1	2.968684264883686e-07
1	IKZF1	2.875750620037567e-07
1	HLA-DPB1	2.693542092382817e-07
1	MPV17	2.6742972096400634e-07
1	CRP	2.6272042863442845e-07
1	NLRC5	2.6251811169018455e-07
1	MTHFR	2.620477232298709e-07
1	PPIF	2.5824016792648415e-07
1	AFM	2.5752645865117153e-07
1	FOXF1	2.504385685583511e-07
1	CARD9	2.476893545624403e-07
1	IL7R	2.4482393255227275e-07
1	HGF	2.4335558573663226e-07
1	ICAM1	2.423992555281047e-07
1	TNFRSF1B	2.3806465510954293e-07
1	CCL2	2.3615597631152575e-07
1	CD163	2.3413857414695417e-07
1	IFI44	2.3378736451496577e-07
1	ITGAM	2.3376276664088244e-07
1	BAHD1	2.3284170152682907e-07
1	NKX2-3	2.3169995957372578e-07
1	JAK2	2.3125303920243722e-07
1	DOCK2	2.2776369761127794e-07
1	NFKB1	2.271898929750881e-07
1	PSTPIP1	2.2628575613153104e-07
1	HP	2.250713957180498e-07
1	TNFSF15	2.2493316124177989e-07
1	IFI35	2.2272069340615563e-07
1	BRAF	2.1750072838739343e-07
1	MRC1	2.1685839003904865e-07
1	WSB2	2.1670740275306934e-07
1	IL12RB1	2.116927090113246e-07
1	TLR3	2.1095435994906397e-07
1	TBK1	2.0895810846804426e-07
