multiplex	node	score
1	LGI1	0.002994794029154968
1	RELN	0.002727611116262899
1	KCNT1	0.0009434162401367662
1	MICAL1	0.000789490877276636
1	SCN1A	2.060015717149676e-06
1	TFF3	1.9602283559466105e-06
1	KCNQ2	1.748047491522125e-06
1	SCN3A	1.6067958680303016e-06
1	GAL	1.4291734005156022e-06
1	TSPAN11	1.2930411550357398e-06
1	CLN8	1.2346107179079702e-06
1	CACNA1D	1.2278822887845527e-06
1	FIG4	1.139293381167961e-06
1	PNPLA8	1.0685201504250181e-06
1	SCN3B	7.888505464548237e-07
1	PROX1	6.264025912561633e-07
1	TSPAN7	5.132184650282466e-07
1	CHL1	5.058795367225123e-07
1	GABRB3	4.93693414095236e-07
1	EGFLAM	4.702326094255997e-07
1	DNM1	4.643022823826478e-07
1	CHD2	4.5970791568094904e-07
1	POMC	4.51412216523019e-07
1	MAPK10	3.931945382194518e-07
1	MMRN1	3.9041266638919215e-07
1	TNF	3.775197807401795e-07
1	STXBP1	3.70889567166971e-07
1	SCN2A	3.632976950530508e-07
1	PLCB1	3.46676922131655e-07
1	SCN8A	3.44177566609022e-07
1	SCN1B	3.381416100993252e-07
1	TF	3.2438026808979673e-07
1	GDF2	3.187552688669465e-07
1	GABRA1	3.025426504409388e-07
1	TBX1	2.978012037413439e-07
1	PTPRD	2.7463345190394095e-07
1	EPB41L2	2.7032951610122484e-07
1	NTRK2	2.600819438799915e-07
1	MEIS1	2.39103983571737e-07
1	EFHC1	2.3428504127786802e-07
1	IL1B	2.336417531184968e-07
1	CYP2D6	2.3242457417860204e-07
1	B3GALT1	2.283572714648039e-07
1	BTBD9	2.2753840444579378e-07
1	FGFR1	2.2444219690377716e-07
1	APP	2.1773406685179942e-07
1	ASPA	2.1718556155305356e-07
1	CNTN2	2.1675628664309094e-07
1	BDNF	2.164045877443559e-07
1	NBN	2.1472685052107815e-07
1	ME2	2.1464945414903511e-07
1	SLC7A3	2.1257516338607676e-07
1	NTF3	2.0637391317653243e-07
1	IFNG	2.0556900659193278e-07
1	OXT	2.0462183768086754e-07
1	BCHE	2.0386180890423014e-07
1	PPARG	2.021727497882662e-07
1	ADRA2B	2.0046374373620875e-07
1	BMPER	1.992095544972376e-07
1	VEGFA	1.9697802561252962e-07
1	NGF	1.9234777872179713e-07
1	PTGS2	1.909941417857617e-07
1	GREM2	1.9050153827036544e-07
1	NTRK3	1.8891687049213784e-07
1	FOS	1.877599112981137e-07
1	CRH	1.8680724838968123e-07
1	LYVE1	1.853478816824552e-07
1	FGF2	1.7804200983247862e-07
1	GFAP	1.77641282740558e-07
1	GRIN2B	1.7447674408273938e-07
1	STAB2	1.740305351986654e-07
1	CRISPLD1	1.731090567964799e-07
1	GDNF	1.7144339668526508e-07
1	ATXN10	1.675533613005956e-07
1	ADAM22	1.665201183178634e-07
1	NHLRC1	1.6605668614252975e-07
1	P2RY14	1.656567774499575e-07
1	CDKN2A	1.6537093134429493e-07
1	EPM2A	1.6391470793863788e-07
1	ACE	1.6286511387289586e-07
1	GPM6A	1.609748114846819e-07
1	GRIN1	1.6084542041559216e-07
1	NRXN1	1.6049135821154484e-07
1	CALCA	1.6045110333830873e-07
1	ENTPD1	1.5994291532868116e-07
1	PRF1	1.5956377764799267e-07
1	CCL21	1.5596445558597566e-07
1	PRKCG	1.5381019562470122e-07
1	MT-CO3	1.5362332605445828e-07
1	SLC9A6	1.5269158748793117e-07
1	TERC	1.5252670824934254e-07
1	NES	1.5005495493852362e-07
1	NTRK1	1.482900523802416e-07
1	HPSE2	1.4821971780016796e-07
1	ESR1	1.4729883417953176e-07
1	GRM1	1.465449310237333e-07
1	HLA-B	1.4644314582832433e-07
1	HOXA11	1.4643519524397036e-07
1	XK	1.4215431811117496e-07
1	HLA-A	1.4202981380974552e-07
1	ATP1B2	1.4126228188565106e-07
1	STX1B	1.404280457536321e-07
1	A2M	1.392335904732327e-07
1	IMPA2	1.3880204503031386e-07
1	MAPK3	1.3863549311772025e-07
1	ERBB2	1.375973898324592e-07
1	FGFR3	1.3677700514244876e-07
1	XBP1	1.3564825371647085e-07
1	MSH2	1.3361083725342245e-07
1	MTHFR	1.33051978440975e-07
1	CAT	1.3220689244172267e-07
1	MAP4K2	1.3193010764673963e-07
1	GRM5	1.315102274599639e-07
1	APOD	1.3081632383559896e-07
1	QKI	1.307406179637745e-07
1	STMN1	1.303462719993148e-07
1	PHLDB1	1.3000113030730596e-07
1	BRCA2	1.299218829718129e-07
1	PTEN	1.292340083572745e-07
1	MAOB	1.2898080289216046e-07
1	CHRNB2	1.2767823376533271e-07
1	MYB	1.2632570017765615e-07
1	ANO3	1.2628448674625798e-07
1	PSD3	1.2620847701153659e-07
1	TINF2	1.2510395522691073e-07
1	DPYSL2	1.2492588051368205e-07
1	PLK1	1.2469159390657271e-07
1	IGF2	1.2413326749284393e-07
1	FTH1	1.235564056259051e-07
1	SCARB2	1.2342347713967554e-07
1	S100B	1.2230992692379074e-07
1	CACNA1C	1.216502604281716e-07
1	TP53	1.213835669686704e-07
1	CLCN2	1.2112328145584058e-07
1	INS	1.210118815647424e-07
1	NOP10	1.2084725141647631e-07
1	HBEGF	1.2034674551069262e-07
1	SRP72	1.2025528035672485e-07
1	KCNMA1	1.2016181861126878e-07
1	GSTP1	1.1998628993524544e-07
1	MDK	1.1887900413317115e-07
1	H3F3A	1.1877877708528587e-07
1	NHP2	1.1854598951318949e-07
1	CCDC26	1.1815612575339931e-07
1	RTEL1	1.179561336109119e-07
1	TSC2	1.1772202443425063e-07
1	SPTAN1	1.1764726651780929e-07
1	SCN10A	1.176411700838238e-07
1	ATRX	1.1739106711166826e-07
1	DLG4	1.1703743583256414e-07
1	NF1	1.1700569687420083e-07
1	UPB1	1.1656324806382079e-07
1	CCR4	1.1612385190751502e-07
1	ROS1	1.1567728690670748e-07
1	MAPK8	1.1537699005189685e-07
1	IGF1	1.1502864675826025e-07
1	SPP1	1.1364629948001598e-07
1	CHI3L1	1.1339343183794687e-07
1	DYRK1A	1.1290521183998839e-07
1	HLA-C	1.1246950710844326e-07
1	KBTBD11	1.1196637163267181e-07
1	P2RX7	1.1182916748853774e-07
1	CHEK2	1.114082056802223e-07
1	SLIT2	1.1118422213933901e-07
1	SOD2	1.109020127204495e-07
1	FBXW7	1.1077217601561138e-07
1	SLC12A5	1.1076921444294688e-07
1	MAPT	1.1065038845387623e-07
1	L1CAM	1.1061014154292868e-07
1	HTR2A	1.1040512109441518e-07
1	DMBT1	1.091889961863371e-07
1	SLC6A1	1.0880617760167818e-07
1	MYBL1	1.0856784780494156e-07
1	MYLK	1.082000257357057e-07
