multiplex	node	score
1	KIT	0.000691679373022103
1	PDGFRA	0.0006430829933895145
1	DMD	0.0006399081544535535
1	SDHC	0.0006180885202964974
1	SDHA	0.000612183169559454
1	SDHB	0.0006023498877076775
1	SDHD	0.0005929621856720113
1	IHH	1.9615516690496958e-05
1	GLI1	1.9422355295227363e-05
1	FOXF1	1.913728180145133e-05
1	PTCH1	1.755314089985525e-05
1	KRAS	1.735087615885198e-05
1	GLI3	1.7324065553695836e-05
1	B9D1	1.7320407738580695e-05
1	PTCH2	1.726209036103295e-05
1	IFT88	1.708823205822959e-05
1	SMO	1.698362013771762e-05
1	DYRK2	1.697360905533015e-05
1	TULP3	1.6969540024041414e-05
1	TGFBR2	1.6863320517908815e-05
1	ZBTB11	1.6726740896747093e-05
1	NPC1	1.6678600232378935e-05
1	ELP4	1.6678455208352216e-05
1	HIPK1	1.6620555034240726e-05
1	C2CD3	1.661494293802786e-05
1	RB1	1.653025557345602e-05
1	BRAF	1.6522734823711552e-05
1	NDST1	1.6509891378097525e-05
1	KIF3A	1.646059699308941e-05
1	RPL24	1.6399235634441812e-05
1	IFT172	1.619246250195411e-05
1	FIP1L1	4.025898878401949e-06
1	BMI1	3.156601014181107e-06
1	AICDA	1.9439770232526586e-06
1	PDGFB	1.8416464286787812e-06
1	HMOX1	1.7650067821345995e-06
1	COL1A1	1.72315606011751e-06
1	BCR	1.7139259076041036e-06
1	TPSAB1	1.379322895008787e-06
1	HDC	1.0967096841346041e-06
1	FGFR3	9.626825183963278e-07
1	STK11	9.332199753594671e-07
1	BCL10	7.45464616941559e-07
1	PIK3CA	5.001212611735652e-07
1	TP53	4.593652903995298e-07
1	PTEN	4.2359018712131485e-07
1	AKT1	4.0922722573390784e-07
1	LEF1	4.080278414090918e-07
1	MS4A2	3.5030538272440253e-07
1	HMGA2	3.453643458779358e-07
1	MLH3	3.25225754561255e-07
1	SLC18A2	3.110294506568506e-07
1	NRAS	3.0561744160198503e-07
1	CTNNB1	2.922353429306121e-07
1	TLR4	2.8368681038020793e-07
1	APC	2.7214268272422803e-07
1	FH	2.687287592596312e-07
1	MSH6	2.624487428211496e-07
1	EGFR	2.5095563645988343e-07
1	MLH1	2.5076114906201127e-07
1	SUCLG1	2.423275559012983e-07
1	NDUFS3	2.4197002486513645e-07
1	EP300	2.4181981804174777e-07
1	SUCLA2	2.391268927046491e-07
1	SEC23B	2.1988128840856472e-07
1	RET	2.1949983006799924e-07
1	NDUFA2	2.1907072318010379e-07
1	VHL	2.1859863529481335e-07
1	CCND1	2.1440003312669826e-07
1	PDGFRB	2.1167265553901845e-07
1	JAK2	2.07715420527946e-07
1	PMS2	2.0527039177311762e-07
1	NDUFA9	2.041629409236632e-07
1	CDH1	2.0339196524069482e-07
1	CPA3	2.0252486780587227e-07
1	NF1	2.0006517984253764e-07
1	FLT3	1.961743148504386e-07
1	IL7R	1.9531903253639265e-07
1	NDUFS1	1.9412633052893222e-07
1	MYH11	1.9147341630456876e-07
1	ATP5F1A	1.9046763024060685e-07
1	CBFB	1.9023637960940223e-07
1	ERBB2	1.9000966952986547e-07
1	KMT2A	1.8972233683657213e-07
1	TNF	1.868323034390439e-07
1	MSH3	1.8603407050329406e-07
1	GSG1L	1.8173436756670312e-07
1	PHF5A	1.8028374368979287e-07
1	DCC	1.7974260322490576e-07
1	NDUFA10	1.7694021883717917e-07
1	MSH2	1.7631241988758397e-07
1	AXIN2	1.7595049956861117e-07
1	NDUFS4	1.7521896166261018e-07
1	NDUFS8	1.7391772940776672e-07
1	BUB1B	1.7355433182148914e-07
1	PTGS2	1.7324391331703627e-07
1	CDKN2A	1.7280328459663504e-07
1	PRKAR1A	1.7149329918660955e-07
1	ACO2	1.7119246435148646e-07
1	CHEK2	1.7068965459978603e-07
1	FAS	1.7047870785077098e-07
1	TCF21	1.7023295768505795e-07
1	STAU2	1.6939886626322902e-07
1	COX10	1.667075464389866e-07
1	NAPA	1.662202835916721e-07
1	RANBP1	1.657402852169121e-07
1	COX15	1.6500206768244229e-07
1	GSTP1	1.6379227603126733e-07
1	PDHB	1.6226447803771471e-07
1	HADHA	1.6197416753136456e-07
1	ABL1	1.5961625905789505e-07
1	DLD	1.5520346759477268e-07
1	SNAI2	1.5482392485985133e-07
1	EWSR1	1.5479581744314398e-07
1	SUCLG2	1.5451373623332827e-07
1	SOD2	1.5450099001249305e-07
1	TLR2	1.5359973522674097e-07
1	TPM1	1.5341523603383657e-07
1	RBFA	1.527742561418145e-07
1	NDUFA12	1.5229899329765358e-07
1	DCTN1	1.5216429150762865e-07
1	USP36	1.521315898621113e-07
1	NDUFS7	1.5057157301965706e-07
1	PLOD1	1.4729964696039533e-07
1	PDHA1	1.4688068061850863e-07
1	OGDH	1.461363226745241e-07
1	FGFR2	1.4610955936042755e-07
1	PTPRJ	1.461064778160491e-07
1	FLCN	1.4582373441359715e-07
1	POLR2H	1.4400513392461868e-07
1	FGFR1	1.4250981635966508e-07
1	NDN	1.4245268880244555e-07
1	HADHB	1.419674270139101e-07
1	IL12A	1.419170652839603e-07
1	BAX	1.4154939570928003e-07
1	LMNA	1.3935248805071587e-07
1	PIGT	1.3898135592047945e-07
1	SNRPN	1.3824587947446563e-07
1	CPT2	1.3815394818273484e-07
1	MPL	1.3655343837845895e-07
1	PRAME	1.3633845898213214e-07
1	WT1	1.3598302173192295e-07
1	PRKN	1.3564140709572667e-07
1	MCC	1.354332333918515e-07
1	AURKA	1.3479881162464044e-07
1	PTPN12	1.3467803833827758e-07
1	COL6A2	1.3288851776786312e-07
1	TSHR	1.314134652135026e-07
1	THRB	1.2952622193644971e-07
1	TGFB1	1.2949081398734077e-07
1	PSEN1	1.292371425985784e-07
1	KIF13A	1.2910591177991785e-07
1	NDUFV1	1.2777078725303527e-07
1	PDGFRL	1.2776689210819656e-07
1	COQ4	1.2663200753668293e-07
1	NDUFB9	1.2613562787120699e-07
1	KIF1B	1.2559435979002825e-07
1	PTPN11	1.255163400788676e-07
1	GLB1	1.251607636003898e-07
1	COX6B1	1.2500311733512983e-07
1	LDHB	1.2491087976758982e-07
1	HRAS	1.2480349858067072e-07
1	BCL2	1.2440470674775695e-07
1	ECHS1	1.223010353723606e-07
1	FERMT1	1.2132073387777745e-07
1	COL14A1	1.2106998729949922e-07
1	PHB	1.2070816718442998e-07
1	ETFA	1.1981051896232952e-07
1	CLPTM1	1.194565496846126e-07
1	PLA2G2A	1.1944365432761375e-07
1	PRDX2	1.1815907688077898e-07
1	APOD	1.1758016590341841e-07
1	PEBP1	1.1699340634856347e-07
1	PAX8	1.1690939959074653e-07
1	CRYAB	1.1684678688113875e-07
1	RAB44	1.1684396800282898e-07
1	ABCB7	1.1667951334456802e-07
1	PHYH	1.1621732404950847e-07
1	TUFM	1.1488793888734889e-07
1	DLST	1.1440932984796213e-07
1	MVK	1.1372013317110686e-07
1	LAMP2	1.1355162367779924e-07
1	KEAP1	1.1346875229427441e-07
1	RAD54B	1.1283248932114037e-07
1	ATP2A2	1.1267478602929593e-07
1	CEP85L	1.1220853110944059e-07
1	FZD1	1.121241719880656e-07
1	NCOA4	1.1165337937353179e-07
1	EDNRB	1.1155931392019078e-07
1	HLA-B	1.1151249639033208e-07
1	ZMPSTE24	1.1132783055412573e-07
1	UQCRC2	1.1125122984786519e-07
1	ODC1	1.1120797794126059e-07
1	IL10	1.111424363478517e-07
1	SH2B3	1.1086935917861243e-07
1	LBR	1.1083672847737076e-07
1	TPM3	1.1071376031571988e-07
1	TPRG1L	1.1043472305763981e-07
1	TET2	1.0979057068207023e-07
1	PAX3	1.0957028418500047e-07
1	MDH1	1.0954635740807037e-07
1	NDUFAF1	1.0947080703757906e-07
1	BMPR1B	1.0936750688281796e-07
1	PPIA	1.0936295695430439e-07
1	SURF1	1.0894261979385711e-07
1	AARS1	1.0773190401630559e-07
1	SEC23A	1.0766350801516242e-07
1	ALAD	1.0765111707458034e-07
1	HERC2	1.0711202267605041e-07
1	NDUFB3	1.0668907166007106e-07
1	PRDM5	1.0659557914613316e-07
1	RHOA	1.0640367742077826e-07
1	RPS6KB1	1.0595481467493409e-07
1	SMARCA4	1.0589097972684167e-07
1	IL1B	1.0547207892314264e-07
1	MAGEL2	1.0536399264719131e-07
1	DUOX2	1.0482262700311205e-07
1	MEFV	1.047556095116068e-07
1	ALDH2	1.0445672503133698e-07
1	IDH2	1.0395542750382864e-07
1	FOXRED1	1.0381497964206283e-07
1	GSTM1	1.036603360681974e-07
1	AGGF1	1.0338881320656781e-07
1	PCCA	1.0288173396135851e-07
1	IL6	1.0285338692314922e-07
1	BRCA1	1.0263181043570928e-07
1	TSG101	1.0242065505786893e-07
1	SOX2	1.0212691347580038e-07
1	PGAM1	1.0184147643609844e-07
1	EPOR	1.015708103083312e-07
1	HADH	1.0152790415930558e-07
