multiplex	node	score
1	MMP9	0.008922809557387605
1	CD40LG	0.0008905112951268674
1	PLG	0.0008781322654262089
1	IL1RN	0.0008146768795856041
1	S100A8	7.1750679173440806e-06
1	MMP7	4.818004715638073e-06
1	S100A12	2.4271511764146694e-06
1	S100A9	1.7469410467294154e-06
1	MMP2	1.5004582493070824e-06
1	ADGRG3	1.460077721768588e-06
1	BCL2A1	1.381104987073004e-06
1	AQP9	1.3544322231542504e-06
1	IL1B	1.2617898016070462e-06
1	CD177	1.1903327251595802e-06
1	NOS2	1.050800974224377e-06
1	PRKAR1A	9.851630963079283e-07
1	PTGS2	8.542993891878316e-07
1	MEFV	8.24482727884617e-07
1	FCGR3B	7.971563610120552e-07
1	POMC	7.917935720876942e-07
1	TNF	7.866740547990065e-07
1	MMP13	7.830618661634134e-07
1	C9	6.670348709935505e-07
1	CFP	6.179538315621641e-07
1	CTLA4	6.080984031445223e-07
1	TNFRSF1A	6.009022694904942e-07
1	ATP6V0D2	5.881646074107333e-07
1	BTK	5.754598997632337e-07
1	MMP25	5.641444013931991e-07
1	ITGB2	5.493606712469143e-07
1	TGFB1	5.45475429297596e-07
1	MMP12	5.28606445237699e-07
1	MMP1	5.182653691025257e-07
1	CXCL8	5.075620994624445e-07
1	CSF3R	4.968496383482587e-07
1	SERPING1	4.728355063293199e-07
1	RGL4	4.5717022085017376e-07
1	CTSL	4.52987016852105e-07
1	CXCR1	4.4899266680707256e-07
1	SELL	4.483910123947119e-07
1	MCEMP1	4.2953670819339535e-07
1	SPP1	4.158684200963517e-07
1	IL6	4.1582240991282425e-07
1	APOE	4.0486663931511387e-07
1	CCL20	3.9183835225677227e-07
1	VEGFA	3.8903714717847574e-07
1	FERMT1	3.88049315164946e-07
1	KRAS	3.8758336879927196e-07
1	PLAU	3.805651722828212e-07
1	TLR4	3.767943441863953e-07
1	CRP	3.756409052439684e-07
1	IGLL1	3.733720864320335e-07
1	MMP3	3.714743973443994e-07
1	RNASE1	3.698373423793913e-07
1	LYZ	3.5978149299155214e-07
1	C1QC	3.597109289842431e-07
1	LYST	3.59191723435197e-07
1	C1QB	3.5593521596849165e-07
1	ELANE	3.558406267816282e-07
1	SLC11A1	3.5523591649314126e-07
1	C1QA	3.454950000523746e-07
1	GPR84	3.401797345771606e-07
1	IL10	3.385483290381757e-07
1	IGHM	3.3495218668105256e-07
1	TP53	3.3167116156254484e-07
1	DKC1	3.3116839504770185e-07
1	ADAMDEC1	3.250150047311011e-07
1	RTEL1	3.246914782836945e-07
1	BLNK	3.2408829244697636e-07
1	TERC	3.2279761626335164e-07
1	SERPINA1	3.1990080303399794e-07
1	COL3A1	3.18363615851678e-07
1	SOD2	3.176776501983897e-07
1	AIRE	3.175369031023916e-07
1	IFNA2	3.1489803860742127e-07
1	CD79B	3.127232445668363e-07
1	NOS3	3.106253788842823e-07
1	NOTCH2	3.1045274405578557e-07
1	NCOA3	3.096324170817983e-07
1	CDH1	3.02348725918917e-07
1	STAT3	2.9814743434195373e-07
1	NBN	2.970407803162534e-07
1	CSF3	2.949717854816213e-07
1	CD79A	2.9110436878371085e-07
1	C1R	2.864853974066628e-07
