multiplex	node	score
1	ABCA12	0.000130123305154845
1	GJB2	0.00012598524197942796
1	TGM1	0.00012575501970751694
1	TP63	0.00012479363054757663
1	ENPP1	0.00012177820244381282
1	EXPH5	0.00011800530656158533
1	DDX58	0.00011798078507478841
1	NEU1	0.00011674950796608887
1	ALOX12B	0.00011242590090448367
1	LOR	0.00011242552681949408
1	IKBKG	0.00011044153944471491
1	PDGFRB	0.00011032083476363536
1	TRAF3IP2	0.00011004033110683983
1	XPC	0.00011001797008840461
1	XPA	0.0001097781752495234
1	MPDU1	0.00010950940964420904
1	ERCC2	0.00010912003314072209
1	BRAF	0.00010882865027106374
1	PMVK	0.00010827692928896364
1	RIT1	0.00010805202229161846
1	HRAS	0.00010787817435479109
1	IL1RN	0.00010542106114191584
1	STS	0.00010225838580859294
1	GLA	9.905107946051781e-05
1	KITLG	9.838877277364521e-05
1	ALDH3A2	9.824330935915086e-05
1	GBA	9.796117547935958e-05
1	LMNA	9.793586000205812e-05
1	ECM1	9.692657907191508e-05
1	INSR	9.610355543151774e-05
1	DDB2	9.57812624839403e-05
1	ATP2A2	9.554132176307748e-05
1	MVK	9.483572071367783e-05
1	ERCC5	9.461013503811042e-05
1	WRN	9.459062695404697e-05
1	IL17RA	9.446559834996667e-05
1	ERCC4	9.43670619663314e-05
1	ERCC3	9.42519029326155e-05
1	NSDHL	9.418779259912934e-05
1	ATP2C1	9.37173899328867e-05
1	ATL3	9.298059882709184e-05
1	AKT1	9.270242542136279e-05
1	NAGA	9.253752674569948e-05
1	NRAS	9.206697314578201e-05
1	AP1S1	9.194127659772304e-05
1	TYR	2.055830814275205e-05
1	SULT2B1	1.911045682999622e-05
1	VEGFC	1.8117597942029958e-05
1	ST14	1.735167565195777e-05
1	PIGL	1.7052544966693038e-05
1	TNFRSF1B	1.702124880126385e-05
1	SERPINB8	1.685923045322984e-05
1	NLRP1	1.665694242326364e-05
1	ADAM10	1.657136091025239e-05
1	POLA1	1.652519077912129e-05
1	COG6	1.652350155690033e-05
1	HDAC6	1.636188116192973e-05
1	KRT1	4.579945333455442e-06
1	KRT16	4.523041446306663e-06
1	FLG	1.3143275672934436e-06
1	CARD14	1.226215216068668e-06
1	KRAS	6.880037382738292e-07
1	GJB6	6.876483803946308e-07
1	MAP2K1	6.079601239127438e-07
1	TP53	5.178851985231025e-07
1	GJB3	5.166881389348055e-07
1	PIK3CA	4.974381606753837e-07
1	DSG1	4.2412667914459027e-07
1	FERMT1	3.763032898254995e-07
1	MAP2K2	3.672986576081878e-07
1	PTEN	3.6466626078789e-07
1	FGFR2	3.525287093615493e-07
1	PTPN11	3.522016112370084e-07
1	HLA-B	3.3299151231676496e-07
1	HPGD	3.257361197347924e-07
1	PGM3	3.2141904769121024e-07
1	FGFR3	3.205742678515209e-07
1	NFE2L2	3.039078394668141e-07
1	RAF1	2.98297546672441e-07
1	CAT	2.979469919265669e-07
1	IL13	2.94684790333231e-07
1	CTSC	2.944836909220974e-07
1	PARP1	2.900457256379735e-07
1	CTLA4	2.878049863268642e-07
1	VCP	2.875624234618893e-07
1	KEAP1	2.872731030988821e-07
1	KRT6B	2.8155757734367423e-07
1	MBTPS2	2.803440607866833e-07
1	KRT17	2.6978281966717517e-07
1	CSTA	2.679375006346511e-07
1	IL36RN	2.672311379782944e-07
1	PRKAR1A	2.6377210069844286e-07
1	EGFR	2.6371820813790924e-07
1	PLCG2	2.624359201141959e-07
1	KRT5	2.619691578032768e-07
1	MPO	2.5397926019754054e-07
1	DSP	2.5223175462092596e-07
1	ZMPSTE24	2.486295214876836e-07
1	COMT	2.4833440359764325e-07
1	HRH1	2.4725773740924667e-07
1	STK11	2.4685071842390757e-07
1	LPIN2	2.4469350636298376e-07
1	KRT10	2.420029478196278e-07
1	JUP	2.3714620030758263e-07
1	KRT6A	2.362561564479766e-07
1	FOXJ1	2.3621989607710522e-07
1	CD28	2.3528006831573773e-07
1	ADAM17	2.3399200159729693e-07
1	UFD1	2.3395326647392096e-07
1	SDHB	2.3322048033212941e-07
1	KRT14	2.2791089104890422e-07
1	PKP1	2.2746170461063276e-07
1	SDHC	2.233206111369048e-07
1	PRKCSH	2.2302925572571674e-07
1	SAT1	2.2108052148340067e-07
1	IL1B	2.172463164644359e-07
1	STAT3	2.1485842666499645e-07
1	SNAP29	2.1259649801398694e-07
1	POMP	2.1189354450855344e-07
1	SEC63	2.116338721615821e-07
1	KIT	2.0920971600193455e-07
1	PEPD	2.0919435581226415e-07
1	COG2	2.0305855631072967e-07
1	SEC23B	2.0148858062000892e-07
1	ATP7B	2.007399359390727e-07
1	RREB1	1.9590147925331462e-07
1	RECQL4	1.9566748350725188e-07
1	GJA1	1.955496883628531e-07
1	MLH1	1.9400707247115543e-07
1	PLEC	1.9025423324139018e-07
1	HGD	1.8858258180220484e-07
1	MSH6	1.8826164143270267e-07
1	SLC39A4	1.8678219421614012e-07
1	ITGB2	1.8605584716454863e-07
1	SLURP1	1.8468317815912972e-07
1	ERBB2	1.8274458630200853e-07
1	SHARPIN	1.8110536360022576e-07
1	IL6	1.8037652562410298e-07
1	SDHD	1.7909091635951756e-07
1	HIRA	1.7793883901943103e-07
1	AAAS	1.7718883763179868e-07
1	PSTPIP1	1.7718043607115127e-07
1	PLA2G4A	1.7699949040188223e-07
1	MSH2	1.7586473723893957e-07
1	PMS2	1.754605319453961e-07
1	IL12A	1.7474402830608056e-07
1	MITF	1.741911759759844e-07
1	TBX1	1.7378785078263195e-07
1	SEC24C	1.7214082534676018e-07
1	GMPPA	1.7096180156714175e-07
1	DSC2	1.7064721733749887e-07
1	KRT9	1.694797736525002e-07
1	SLCO2A1	1.6932704496772073e-07
1	FHL1	1.6870985869043894e-07
1	ZFP36	1.674585766355359e-07
1	CAST	1.6743125135788325e-07
1	BAP1	1.663217494851695e-07
1	SCARB2	1.6444491962666357e-07
1	PLAT	1.632367637209788e-07
1	NECTIN1	1.617943196096194e-07
1	HLA-DRB1	1.604527762959429e-07
1	DKC1	1.5950908601606665e-07
1	GP1BB	1.5782939403958347e-07
1	AP1G1	1.5742089536507732e-07
1	ERCC1	1.5691836821590262e-07
1	BTD	1.5535581974518016e-07
1	ESR1	1.5511684930302668e-07
1	TGFBR2	1.5394247714830393e-07
1	HLA-DQA1	1.5340918373496138e-07
1	TGFB1	1.5298454608111173e-07
1	PLG	1.5149416195430188e-07
1	SLC27A4	1.5105044720533683e-07
1	SERPINB7	1.5031835783071659e-07
1	POLH	1.4896360171237058e-07
1	IRF5	1.4842130954078796e-07
1	APOE	1.4604840725260805e-07
1	AAGAB	1.4508940681918576e-07
1	CD40LG	1.4448438197982354e-07
1	ARVCF	1.4438541908267422e-07
1	PSMB8	1.442713501647565e-07
1	NHP2	1.437360712372746e-07
1	NOP10	1.4195399687261434e-07
1	RBM8A	1.402485421676056e-07
1	TINF2	1.392381222139828e-07
1	ALOXE3	1.3862095593146898e-07
1	KANK2	1.3703971783366676e-07
1	PMS1	1.3528412168481078e-07
1	IFI44L	1.3472991287887232e-07
1	ERAP1	1.339970503708661e-07
1	DOLK	1.3396794250370654e-07
1	ATP6V0D1	1.3382070092782513e-07
1	TLR4	1.332799531316803e-07
1	TNF	1.327184370510515e-07
1	PRKACA	1.3185458175837983e-07
1	AIP	1.3145803978940397e-07
1	BMP2	1.3119958793983554e-07
