multiplex	node	score
1	FLG	0.004822331341747962
1	TGM5	0.00020673265965699211
1	KRT10	0.0002020920847196322
1	TGM3	0.00019952947285619338
1	TGM1	0.00019445652069161853
1	JUN	0.00019069900641355115
1	STS	0.00018607068813650208
1	COL7A1	0.0001834106488754111
1	LBR	0.0001700937572535996
1	NR3C1	1.9194597857090993e-06
1	FLG2	1.8714276917905288e-06
1	KRT1	1.5214407393548874e-06
1	CSTA	1.2599651606269355e-06
1	KRT16	1.118643453840832e-06
1	KRTAP3-2	1.1175857987301973e-06
1	ALOX12B	8.599708050545484e-07
1	ABCA12	8.294634042655748e-07
1	GJB2	7.784732251401493e-07
1	FERMT1	7.620240193584552e-07
1	CLDN1	7.380427455875983e-07
1	SPINK5	7.148477168196284e-07
1	BRAF	7.133234992239708e-07
1	SBDS	6.688283096280258e-07
1	GJB6	6.632786964464533e-07
1	KRT6A	6.188366098323881e-07
1	KRT2	6.129835412976259e-07
1	KRAS	6.104449039227621e-07
1	KRT6B	6.051055290786159e-07
1	KRT17	5.982688498816414e-07
1	CASP8	5.703897236465547e-07
1	CAT	5.608083644309732e-07
1	PNPLA1	5.587204144118295e-07
1	HLA-DRB1	5.206908455218784e-07
1	ST14	5.169131013642816e-07
1	HPGD	5.150281105415768e-07
1	CXCR3	4.933683586465023e-07
1	S100A8	4.866896271936567e-07
1	IL13	4.824988510810486e-07
1	ARSE	4.779228797523835e-07
1	MPO	4.725980126601375e-07
1	TP63	4.7093239560073223e-07
1	HLA-DQB1	4.6907324178110483e-07
1	IL1B	4.65759693047876e-07
1	ALDH3A2	4.605268580428044e-07
1	POMP	4.605118167775202e-07
1	DKK1	4.5811113969684127e-07
1	NRAS	4.535047922451082e-07
1	HRAS	4.5290353113427334e-07
1	TP53	4.5254091895266753e-07
1	CTLA4	4.3704553945243336e-07
1	ITGB6	4.349890040724423e-07
1	IFNL3	4.3433244689537394e-07
1	AP1S1	4.2855070658491095e-07
1	SLC27A4	4.2595287373551854e-07
1	PSAT1	4.2511291562443117e-07
1	TSLP	4.240539931504548e-07
1	NFE2L2	4.218603814218144e-07
1	GLB1	4.2050309764020444e-07
1	COL4A5	4.189089678252194e-07
1	MAP2K1	4.1646369862875164e-07
1	PEX7	4.143119808636845e-07
1	HDAC4	4.125636409915392e-07
1	IL6	4.110941576548315e-07
1	CD28	4.093638610933853e-07
1	KRT9	4.0328011901688375e-07
1	STIM1	4.0276393814220543e-07
1	DOLK	4.019245586262679e-07
1	SNAP29	4.0131918669433827e-07
1	VPS33B	3.971804203690556e-07
1	CHKB	3.9501274552195874e-07
1	MAP2K2	3.8885093669922813e-07
1	SUPV3L1	3.8818125235917497e-07
1	PHYH	3.864464959996741e-07
1	KEAP1	3.843225615471404e-07
1	OVOL1	3.8231543380094705e-07
1	CCL5	3.8153743901039695e-07
1	IL4	3.7240132713740227e-07
1	IL33	3.6671591068299885e-07
1	STAT3	3.6590134870105834e-07
1	TNFRSF1B	3.6488788448346045e-07
1	CD14	3.5364009845909484e-07
1	ZNF365	3.47850347531235e-07
1	VNN2	3.31735990918049e-07
1	IFNG	3.2818232930590954e-07
1	CXCL10	3.2342962083970995e-07
1	PGM3	3.23180340496711e-07
1	CCR3	3.2060481544061976e-07
1	CCL11	3.2060131427474954e-07
1	VEGFA	3.203926550506605e-07
1	IL5	3.201333459729189e-07
1	CCL17	3.199371481841796e-07
1	IL10	3.1924289282602235e-07
1	CCL22	3.166090954160432e-07
1	CCL24	3.1544281271567143e-07
1	TRPM1	3.1293548398506016e-07
1	SELE	3.107454874315724e-07
1	SLC30A2	3.0753260187533355e-07
1	PAH	3.007640753732059e-07
1	SCEL	2.989924549706873e-07
1	IL2RA	2.9602025198611463e-07
1	IL7R	2.9522320061650343e-07
1	FOXP3	2.940059954251668e-07
1	CCR5	2.929712493233997e-07
1	GSTP1	2.9188017568977974e-07
1	NQO1	2.8910944152757935e-07
1	MMP10	2.885187142900133e-07
1	DSP	2.878782539868866e-07
1	CD3G	2.852700404067406e-07
1	LIG4	2.8107894384241244e-07
1	CARD11	2.8064060401843157e-07
1	PI3	2.780225818883609e-07
1	HMOX1	2.7689666750558796e-07
1	EMSY	2.756848342969972e-07
1	CCDC80	2.721946389447775e-07
1	MAPK8	2.6936739635163695e-07
1	CXCL14	2.6922188991253045e-07
1	NCF2	2.691560138049765e-07
1	ZAP70	2.671706872955353e-07
1	DHCR7	2.6364265160038815e-07
1	EDA	2.634338324725311e-07
1	STAT1	2.619759190622934e-07
1	PTPRC	2.611892313825623e-07
1	WIPF1	2.6002113646714636e-07
1	CYBB	2.579774327054511e-07
1	PPARA	2.5772474864297114e-07
1	FOSB	2.5717490957978753e-07
1	WAS	2.5437047156781005e-07
1	CYBA	2.523906811006066e-07
1	BCL2	2.5205534282679795e-07
1	FECH	2.509639457310365e-07
1	NSUN2	2.4754066738343174e-07
1	PCCB	2.442927369734722e-07
1	KPRP	2.435726050960173e-07
1	PCCA	2.4070640311840024e-07
1	SUOX	2.4017864133056834e-07
1	SOD1	2.39444029058329e-07
1	SERPINB3	2.3779638685804143e-07
1	SERPINB4	2.3657852992061764e-07
1	IL18	2.3192591411177784e-07
1	IL1RN	2.317852494904728e-07
1	LOR	2.294026221332543e-07
1	BTD	2.2652902450881111e-07
1	GP1BB	2.0689136371151804e-07
1	DUSP1	2.0675530002368868e-07
1	CYP1A1	2.0384210528311834e-07
1	TNFSF9	2.03143304645085e-07
1	KRT5	1.9906281549416916e-07
1	HSPB1	1.9762537938455256e-07
1	PDE4D	1.9711345559753067e-07
1	AKR1B10	1.9577702818260828e-07
1	TBX1	1.9454408975317752e-07
1	CASP14	1.9365953109437733e-07
1	LCN2	1.9270588190330952e-07
1	KRT4	1.9196260914342043e-07
1	CYP1B1	1.9042909214576818e-07
1	CALML5	1.8941164638748405e-07
1	TNF	1.8815092683848755e-07
1	PIR	1.8713702590317575e-07
1	UGT1A1	1.86985766992042e-07
1	MLANA	1.852551668985944e-07
1	DDIT3	1.8492208320863057e-07
1	SLCO2A1	1.8454940881662843e-07
1	HLA-DMA	1.8443875377058902e-07
1	CCL27	1.8441729706726418e-07
1	MMP8	1.8420323976774348e-07
1	OSM	1.8386254175137115e-07
1	TLR4	1.8285019745071306e-07
1	CRHR1	1.821866821316138e-07
1	FTH1	1.8201607814028152e-07
1	CCN2	1.8182287555663802e-07
1	UGT1A6	1.812003281720467e-07
1	NRG1	1.7887359277464468e-07
1	HLA-DPB1	1.7863019291182622e-07
1	ARVCF	1.7782807476582234e-07
1	DEFB1	1.774102101827318e-07
1	AKR1C2	1.7574877532630412e-07
