multiplex	node	score
1	F2	0.0006689470465500996
1	F5	0.0006236020654908556
1	NOS3	0.000559807305837061
1	COL4A1	0.0005550849353652343
1	ENG	0.0005468597248320396
1	ALOX5AP	0.0005441496935864081
1	ACVRL1	0.0005387426543424434
1	PRKCH	0.0005348757005210818
1	CDKN2B-AS1	2.1341198636060587e-05
1	SLCO1B1	2.0148339803574873e-05
1	PIK3CG	1.9179553029878677e-05
1	ABO	1.913671102034025e-05
1	PROCR	1.8401594312081894e-05
1	LDLR	1.822044308133717e-05
1	LOX	1.8180819092291876e-05
1	COL3A1	1.81552486594823e-05
1	TGFB3	1.7887042634811998e-05
1	NOTCH3	1.768948029574476e-05
1	GLA	1.765827422518783e-05
1	ACTA2	1.7640399092114242e-05
1	PDE3A	1.734868575515798e-05
1	TGFBR2	1.732086685273695e-05
1	ZFHX3	1.7313694470173153e-05
1	SMAD3	1.7288062904356364e-05
1	ABCC1	1.7286647511076035e-05
1	SLC2A10	1.710727547779808e-05
1	APP	1.6904343063899858e-05
1	HDAC9	1.6903736157287588e-05
1	PRKG1	1.686611998964345e-05
1	ADAMTS13	1.6844969770518124e-05
1	ITM2B	1.662588944623318e-05
1	COX7A2L	1.6520070974621675e-05
1	ALDH2	1.6399551140018724e-05
1	PIK3CD	1.6365723348578904e-05
1	MYLK	1.633981089924893e-05
1	TBX1	1.650155296000118e-06
1	TEK	1.3231974282397051e-06
1	PROS1	1.2567777346953627e-06
1	PROC	1.2508494299442749e-06
1	FSCN2	9.901873184931155e-07
1	EPHX1	9.64383737286874e-07
1	HOXA1	9.608090192030113e-07
1	C2orf71	9.453337967122503e-07
1	EYS	9.422773370427615e-07
1	RPE65	9.389565547707418e-07
1	CLRN1	9.322084438815513e-07
1	CLCNKB	9.193739323495091e-07
1	PRCD	8.575134284948392e-07
1	JAK2	8.55327287807867e-07
1	F7	8.459747500970716e-07
1	CERKL	8.45176071443905e-07
1	LOXL1	8.436728030237196e-07
1	SELL	8.381790303617641e-07
1	NKX2-5	8.010756596474233e-07
1	NKX2-6	7.883090876434668e-07
1	GDF1	7.849039242882001e-07
1	CFC1	7.749633096258078e-07
1	SNRNP200	7.666517728099669e-07
1	TOPORS	7.644024166435475e-07
1	IDH3B	7.57681411349029e-07
1	GATA6	7.564722077053546e-07
1	NMNAT1	7.491277411200428e-07
1	CBS	7.436550739242342e-07
1	LPA	7.234232328151175e-07
1	VWF	7.041816047382202e-07
1	GAS6	6.462530131574503e-07
1	FGA	6.454278821613366e-07
1	THBD	6.252253093810184e-07
1	SERPINA1	6.151913706271267e-07
1	SH2B3	5.534331524064645e-07
1	F9	5.258463214579463e-07
1	F12	5.130470946372436e-07
1	F8	5.122756391778121e-07
1	PIGA	4.911295488305385e-07
1	F13A1	4.814236141180827e-07
1	MMACHC	4.791934453544559e-07
1	F3	4.73624990692441e-07
1	NOS2	4.5742942669249594e-07
1	ALOX5	4.42582618760588e-07
1	TNF	4.4125299904300575e-07
1	EDN1	4.0950689936484795e-07
1	FZD6	4.0036104276984076e-07
1	SCN1B	3.9798224210021697e-07
1	PTGS2	3.965183469235874e-07
1	HBA1	3.9264597278345715e-07
1	DKK2	3.869926259460942e-07
1	EPO	3.821061064474994e-07
1	F10	3.7145873254033965e-07
1	SERPINC1	3.701295926188055e-07
1	ACE	3.6826802687707e-07
1	THBS2	3.641637436155309e-07
1	ADH1B	3.605694095914262e-07
1	EDNRB	3.600758010909043e-07
1	MPL	3.572245189275781e-07
1	LMNA	3.5676391676339775e-07
1	TGFB1	3.5175784925091525e-07
1	TP53	3.486480894888392e-07
1	AGT	3.483306125976157e-07
1	NPY	3.466811206262607e-07
1	CAV1	3.405620892307129e-07
1	LTC4S	3.3537863183427604e-07
1	PLAU	3.2649519095487293e-07
1	MTHFR	3.2525638159797523e-07
1	CALR	3.2422271817485554e-07
1	PODXL	3.200990553246474e-07
1	SERPINE1	3.077836569037276e-07
1	KCNQ1	3.0531680243922674e-07
1	HLA-B	3.046439918795998e-07
1	TET2	2.95256664847762e-07
1	IL10	2.889580751442848e-07
1	COL4A2	2.835549632247189e-07
1	SERPIND1	2.831248396605896e-07
1	IL1R2	2.7810259712335026e-07
1	TLR4	2.7219960525782276e-07
1	ATG9B	2.5829835484726476e-07
1	FCGR2A	2.574676825683248e-07
1	SNAI2	2.538260534843139e-07
1	ANXA1	2.530378853035601e-07
1	CRP	2.4644930845618136e-07
1	THPO	2.4056353244318657e-07
1	MYH9	2.384312438070993e-07
1	IFITM1	2.36371607525652e-07
1	GP1BA	2.3513379460954223e-07
1	HTR1B	2.3463592691977876e-07
1	CASP3	2.337254454973125e-07
1	PDGFRA	2.3315984421224602e-07
1	ITGB3	2.2793355254533106e-07
1	FLT4	2.2787432492531264e-07
1	SOD2	2.2643245746446423e-07
1	CCR1	2.2408127167582952e-07
1	MEFV	2.2347669901080333e-07
1	SELE	2.229823669087898e-07
1	GJA5	2.1990834964997474e-07
1	MYH7	2.1781982713092743e-07
1	PRRX1	2.1529038637663973e-07
1	SERPINA10	2.13833525171593e-07
1	CACNA1C	2.128194626648586e-07
1	FGG	2.1159664292922115e-07
1	SELP	2.1146997537116646e-07
1	CAV2	2.1138982723348352e-07
1	BDKRB2	2.1098620232396887e-07
1	CYP3A5	2.1027711715165137e-07
1	IL6	2.0927260799894728e-07
1	IL12A	2.0923102646430174e-07
1	FAS	2.0919941872456543e-07
1	SEMA6A	2.0650909660297111e-07
1	WAS	2.0329685749508322e-07
1	A2M	2.0317129815158076e-07
1	HGF	2.0264870292878696e-07
1	GUCY1A1	2.0137551589114534e-07
1	FLT1	2.000364578377604e-07
1	FGB	1.983525732346816e-07
1	PF4	1.9788098024916427e-07
1	FBN1	1.964578545489267e-07
1	F13B	1.9628042867631483e-07
1	MMP2	1.9307247127745696e-07
1	EVI2A	1.92571744474206e-07
1	KDR	1.9224413009109551e-07
1	STAT4	1.9200599434116384e-07
1	ADAMTSL2	1.8990179460400177e-07
1	PLAT	1.898971434481584e-07
1	APOE	1.8958280234444744e-07
1	CD2	1.869040222162999e-07
1	KLKB1	1.8529478706963676e-07
1	SCN5A	1.8331418132249913e-07
1	MAFB	1.8150785065046468e-07
1	ADORA1	1.8027399593740866e-07
1	PRKAG2	1.7994803000054032e-07
1	SERPING1	1.7941597652262186e-07
1	COL1A2	1.7865780510764951e-07
1	C4A	1.7766838181705323e-07
1	CYP2C19	1.7751667049728887e-07
1	KLRC4	1.7655370231853895e-07
1	AKT1	1.7627997047862964e-07
1	MMP9	1.7595665412506818e-07
1	PLN	1.75840078554037e-07
1	NPPB	1.7548860799876817e-07
1	GDF2	1.751071681640569e-07
1	PPARG	1.7330014886197633e-07
1	TNFRSF1B	1.717956775139482e-07
1	MERTK	1.7154286528119038e-07
1	CYBA	1.7137089145531942e-07
1	CSF2	1.691217253730095e-07
1	DES	1.6831490526441892e-07
1	NPPA	1.6771453800266435e-07
1	SPP1	1.6601098001508282e-07
1	TYRO3	1.6564746967341958e-07
1	ICAM1	1.6538562137383243e-07
1	DTNA	1.6473516540305712e-07
1	MGP	1.6447205479920727e-07
1	CACNB2	1.6440312329094294e-07
1	PTGER3	1.6354324734740354e-07
1	ADAM15	1.6327459994118295e-07
1	NLRP3	1.6253691246278097e-07
1	CYP27A1	1.6212217912969751e-07
1	EGFR	1.6033982400143057e-07
1	ESR1	1.6010016846034317e-07
1	KCNN3	1.5989613710280662e-07
1	IL1B	1.5985163834795235e-07
1	ANK2	1.5940774670914313e-07
1	SPARC	1.5842377827119195e-07
1	P2RY1	1.5793051880473658e-07
1	ERAP1	1.5755194225386153e-07
1	SCN10A	1.5730534095386305e-07
1	WNT8A	1.5604469933105474e-07
1	FLT3	1.5492679777693584e-07
1	MYD88	1.5481511632090102e-07
1	GGCX	1.544925350877637e-07
1	TNNI3K	1.537631464449472e-07
1	KCNA5	1.5364244266377404e-07
1	FUT4	1.530933097178936e-07
1	EPOR	1.5296012743180413e-07
1	KCNE2	1.528583403865509e-07
1	SOX5	1.5232198083632601e-07
1	HTRA1	1.517778385086693e-07
1	ARPC1B	1.5133113842638e-07
1	ELMO1	1.5029040279779022e-07
1	HK1	1.4989676343873066e-07
1	HCN4	1.4881493166119046e-07
1	SYNE2	1.4867796441835643e-07
1	HABP2	1.4867489932438517e-07
1	SPNS2	1.476947114904816e-07
1	APOB	1.475457683576665e-07
1	VEGFA	1.4620312451862192e-07
1	EPAS1	1.455242221373644e-07
1	ECE1	1.4468869874058245e-07
1	LDLRAP1	1.4422191013134588e-07
1	IDH2	1.4347201957945237e-07
1	COL1A1	1.4318172827262447e-07
1	TAB2	1.4300647146964818e-07
1	LPL	1.4232291359097324e-07
1	HP	1.4196709840896802e-07
1	ABCA1	1.4172480400007624e-07
1	AGGF1	1.406201992161473e-07
1	PLVAP	1.385708717249121e-07
1	IL12B	1.377238584397336e-07
1	STAT3	1.3766898112776015e-07
1	SMAD4	1.373018253258141e-07
1	B2M	1.3563985161942644e-07
1	COL6A2	1.3545963788245084e-07
1	LYZ	1.3398841242993278e-07
1	MPO	1.3381149207685222e-07
1	REN	1.331875582743107e-07
1	TIMP2	1.3305224788778626e-07
1	RGS5	1.317307354265986e-07
1	ALB	1.3085705997532955e-07
1	CCL2	1.3079693234180606e-07
1	HFE	1.2889691541561403e-07
1	OXT	1.2836387000587976e-07
1	ABCC6	1.2796958495949772e-07
1	LDHA	1.272523020961514e-07
1	ABCB4	1.2694069348006362e-07
1	NUP155	1.2575739798508364e-07
1	IDH1	1.2547022360622644e-07
1	VTN	1.250362097635953e-07
1	SMARCAL1	1.2365237648506656e-07
1	PIGM	1.2199950596006514e-07
1	NOTCH1	1.2049651788143968e-07
1	MLX	1.1918272342532606e-07
1	CFI	1.1897687071927621e-07
1	PDGFB	1.1894302138846909e-07
1	ADAMTS9	1.1867955954572677e-07
1	HSD11B2	1.1863146301175623e-07
1	APOA1	1.1832132111032955e-07
1	BCL2	1.1775912161970748e-07
1	AK1	1.1765153073297266e-07
1	TGM2	1.1757870095447623e-07
1	APBB2	1.1750628945327748e-07
1	FLI1	1.1709726187155058e-07
1	TGFBR1	1.1707423535144576e-07
1	CLEC4E	1.1658578185855714e-07
1	JAG1	1.1554416363733953e-07
1	LRG1	1.140219235237412e-07
1	HCLS1	1.1380853013087075e-07
1	WT1	1.1375303308932356e-07
1	SERPINF2	1.1356081634922511e-07
1	ARSA	1.1244308797311122e-07
1	TPI1	1.1216825421711598e-07
1	APC	1.1186164410767875e-07
1	VDAC1	1.1040995201196957e-07
1	SORL1	1.0966458714967747e-07
1	GPI	1.0956988381626423e-07
1	EMB	1.0899227640279734e-07
1	HLA-H	1.0828635138589713e-07
1	AGTR1	1.0792935186646403e-07
1	FN1	1.0750996629359846e-07
1	OLR1	1.0750811705645633e-07
1	ALMS1	1.0704405707771722e-07
1	PKN3	1.0636413295441912e-07
1	CHST3	1.0607876300457684e-07
1	C3	1.0579684634491877e-07
1	DDIT3	1.051298591421139e-07
1	MCC	1.0492449375709402e-07
1	GPR176	1.0487287721654591e-07
1	ITGA2B	1.0466084406564725e-07
1	PTGIS	1.0373613654437521e-07
1	JAK1	1.0330360363379522e-07
1	TNFRSF1A	1.0311570738616064e-07
1	LAMB1	1.0304086651915482e-07
1	VCAM1	1.0288883086207214e-07
1	ELN	1.0139905844777984e-07
1	IFNA2	1.0127239683296146e-07
1	PDGFRB	1.0117360246164315e-07
1	AXL	1.0032314492085139e-07
1	AHR	9.965344296639417e-08
1	TGFBI	9.941859818537166e-08
1	PTGR1	9.906034643988517e-08
1	CFP	9.848399005192094e-08
1	ALDOA	9.798737338697061e-08
1	ENPP1	9.787063085879807e-08
1	PKLR	9.754332794796202e-08
1	FERMT3	9.748674703124323e-08
1	GPX1	9.72206827544817e-08
1	RRBP1	9.696474416788677e-08
1	LIMK1	9.672254501459521e-08
1	ESAM	9.668473692235264e-08
1	CHST2	9.611325107989528e-08
1	BLMH	9.566540844346341e-08
1	NOTCH4	9.546014843940948e-08
1	DAB2IP	9.53567409289945e-08
1	BPGM	9.518071413942144e-08
1	FBLN5	9.451604497518572e-08
1	PYGL	9.44823645117163e-08
1	RPGR	9.438653006919789e-08
1	IRF5	9.405040192093225e-08
1	LRCH1	9.40322124707275e-08
1	KRAS	9.389744488615328e-08
1	SASH1	9.323257366828017e-08
1	CMTM8	9.268290992148948e-08
1	TBX2	9.228902364173922e-08
1	PPARGC1A	9.223711030892641e-08
1	SCARB2	9.216670963492009e-08
1	CASKIN2	9.215034271154678e-08
1	GBE1	9.208051514004948e-08
1	IFNG	9.19808077330563e-08
1	ETS1	9.158514710888043e-08
1	HLA-DRB1	9.130306115968652e-08
1	AOC3	9.109176730886933e-08
1	PECAM1	9.102778288200028e-08
1	SOD1	9.098271130624504e-08
1	ATM	9.039630818809116e-08
1	CCND1	9.003468265524945e-08
1	GBA	8.995212249330073e-08
1	HRG	8.98824432062856e-08
1	ERG	8.947471395295138e-08
1	ZAN	8.945838392232006e-08
1	GTF2IRD1	8.929276591954186e-08
1	ABI3	8.919139758808153e-08
1	TAGLN2	8.911830181282855e-08
1	FOLR2	8.889613989409855e-08
1	ACTN1	8.863741968481494e-08
1	SLC7A7	8.862316099566573e-08
1	SLC37A4	8.799356367695048e-08
1	MARCKSL1	8.774523734495414e-08
1	RELA	8.768207513985541e-08
1	DCN	8.713736294095423e-08
1	PIK3R5	8.701775512666329e-08
1	CLIP2	8.690646411019815e-08
1	COL4A5	8.684136988027053e-08
1	CASP10	8.646703379186007e-08
1	TBXAS1	8.627061605734547e-08
1	THBS1	8.621783997108744e-08
1	GALNT2	8.603384316025309e-08
1	FAH	8.577998544497563e-08
1	PPT1	8.553713021518688e-08
1	CP	8.529655446960723e-08
1	IGF2	8.490906173532466e-08
1	HSPA5	8.474881861963532e-08
1	BAX	8.419281895200732e-08
1	AKAP11	8.382080413545399e-08
1	GJA1	8.322389354051772e-08
1	FKBP10	8.300122462321736e-08
1	BMPR2	8.268743352435547e-08
1	PRKCE	8.26304263241464e-08
1	TPM4	8.262948250737544e-08
1	MLKL	8.257467269490004e-08
1	SLC43A3	8.225875200751994e-08
1	FCER1G	8.172300965853429e-08
1	PLEKHO2	8.171914916826537e-08
1	CNDP2	8.165210247394105e-08
1	GNB3	8.163798690449564e-08
1	LEPR	8.144723426493004e-08
1	RNF175	8.12383481458921e-08
1	PAPPA	8.091954058839529e-08
1	CREM	8.076782135926274e-08
1	ITPR3	8.064213958500196e-08
1	TNNI3	8.040188641211915e-08
1	NEIL1	8.033536601506619e-08
1	HHIP	8.028898907809057e-08
1	IGSF21	7.979807141087786e-08
1	PTEN	7.963936682382159e-08
1	NPR1	7.922446404951697e-08
1	GIMAP6	7.897050999958954e-08
1	NRIP1	7.869209989872008e-08
1	TLR2	7.868565648925738e-08
1	FXYD5	7.86829124424286e-08
1	PROM1	7.859984316493271e-08
1	PHACTR1	7.829917408661539e-08
1	TIE1	7.82120520147666e-08
1	PALM	7.818098003119716e-08
1	CDH5	7.807740691231896e-08
1	PEAR1	7.80145135109536e-08
1	CD93	7.794502175432896e-08
1	PREX1	7.780917217521315e-08
1	UCP2	7.767498877469265e-08
1	NCF2	7.72635321457981e-08
1	BCL2L1	7.72299322408422e-08
1	CKM	7.682641111842543e-08
1	EGFL7	7.679394999422928e-08
1	CYP26A1	7.664238652840087e-08
1	ITGA5	7.656084313824501e-08
1	CHST1	7.648612295868372e-08
1	RAB27A	7.644117287023399e-08
1	RCSD1	7.635919098286337e-08
1	LTA	7.607811224067986e-08
1	CKB	7.568815454443215e-08
1	AGER	7.549878601475096e-08
1	PCTP	7.545683837816305e-08
1	FAM20C	7.538598475664227e-08
1	GTF2I	7.520247251546936e-08
1	GSN	7.497633116853948e-08
1	ANTXR1	7.476607728527933e-08
1	CREB1	7.444579599231956e-08
1	ARHGEF15	7.442499404770574e-08
1	HMOX1	7.432954457261266e-08
1	PTPN14	7.407768714697054e-08
1	WIPF1	7.404481735501641e-08
1	STARD8	7.404269626101365e-08
1	VIM	7.397826433882434e-08
1	TNFAIP8L3	7.386828075531277e-08
1	PIK3CA	7.382682096206641e-08
1	S100B	7.381068402612594e-08
1	AACS	7.37545338520306e-08
1	EMCN	7.366058320185325e-08
1	ADGRG1	7.328975558493229e-08
1	ANPEP	7.32079035742644e-08
1	ITIH4	7.319492220222122e-08
1	FGF2	7.316152354832341e-08
1	HCK	7.305254546199808e-08
1	WRN	7.298948273977285e-08
1	LAMB2	7.295280064910572e-08
1	IFITM2	7.226816440672682e-08
1	GCLC	7.208068243908766e-08
1	MUTYH	7.185147155129959e-08
1	PTGES	7.174494677310346e-08
1	TBL2	7.157939648724933e-08
1	ATP7B	7.155782982636299e-08
1	NPHP1	7.153572982747196e-08
1	CTNNB1	7.099959841171194e-08
1	RFC2	7.077485010865852e-08
1	VKORC1	7.072373021240496e-08
1	LRP1	7.071803785430478e-08
1	SCNN1G	7.060319089434485e-08
1	LGALS2	7.059167660942553e-08
1	TIMP1	7.040143850384923e-08
1	ROBO4	7.031913356056348e-08
1	ZNF423	7.017978036634546e-08
1	C1R	6.98464373383245e-08
1	ADD1	6.944818008543451e-08
1	BAZ1B	6.94182849292407e-08
1	TNFSF4	6.927098079229637e-08
1	EIF2AK3	6.92290674526536e-08
1	COL6A3	6.918673045499413e-08
1	BANF1	6.91466119799266e-08
1	GGT1	6.911376446628225e-08
1	PSMA6	6.909110722357923e-08
1	MIA3	6.891648224398786e-08
1	F2R	6.887087369889345e-08
1	GAB3	6.88370537932344e-08
1	GREM1	6.872207474235426e-08
1	TYROBP	6.866606925174158e-08
1	C1QTNF1	6.855517105841841e-08
1	GALNT18	6.850336213410159e-08
1	C3AR1	6.827706163169783e-08
1	KIF6	6.817859640592244e-08
1	NPHS1	6.807332243913088e-08
1	ITGB2	6.784824564235515e-08
1	RUNX2	6.784639425572086e-08
1	MECOM	6.756530866808183e-08
1	LRP8	6.748497183060277e-08
1	ABCC8	6.743851331807227e-08
1	APBB1IP	6.738542280179829e-08
1	PRKCB	6.738528096138802e-08
1	VHL	6.737116577033391e-08
1	CLIC2	6.733460993559716e-08
1	AFAP1L1	6.724827599472035e-08
1	C1QA	6.721090833558401e-08
1	MMRN2	6.718861894408386e-08
1	PTPN22	6.710146210286055e-08
1	TMC4	6.698207800028189e-08
1	GCLM	6.691170109261078e-08
1	SEMA6B	6.669462144230782e-08
1	PLXND1	6.655715481847126e-08
1	RPGRIP1L	6.650136122463406e-08
1	PTH	6.64847899350411e-08
1	ABCA4	6.641257272029872e-08
1	PARP1	6.637293654473277e-08
1	PPP1R3A	6.603769604387635e-08
1	PRKCD	6.57659870841992e-08
1	MFNG	6.540202213611097e-08
1	PRPH2	6.536901985550125e-08
1	BGN	6.515581172558734e-08
1	SLFN11	6.514315963308554e-08
1	PROZ	6.50997073670091e-08
1	ZMPSTE24	6.506068640150872e-08
1	ARHGDIB	6.496406420793283e-08
1	TOR4A	6.484191181774268e-08
1	SIGLEC10	6.479727150912067e-08
1	IL1R1	6.453845158656822e-08
1	MMP14	6.451656625221521e-08
1	TNFRSF8	6.449578402686432e-08
1	ATP1B1	6.44446669544275e-08
1	BMP2	6.43167382433647e-08
1	ABCB1	6.428598135005323e-08
1	STAB1	6.422528346306345e-08
1	ICAM2	6.414862611379883e-08
1	VAMP5	6.402605784908678e-08
1	RLBP1	6.402480080798742e-08
1	WDR12	6.401265112747595e-08
1	CDH3	6.392757898673497e-08
1	SEMA3F	6.366110146071546e-08
1	WFS1	6.343248499271256e-08
1	FASLG	6.335234509168481e-08
1	MYO1E	6.318683398104298e-08
1	GP9	6.30579974544815e-08
1	LBR	6.304672760419209e-08
1	LAPTM5	6.300211605150623e-08
1	STK10	6.291541398573186e-08
1	CTTNBP2NL	6.280854412157992e-08
1	FGD5	6.276690356419434e-08
1	CLEC14A	6.275819210015452e-08
1	CORO2B	6.275213127589375e-08
1	TREM1	6.246048389625028e-08
1	VDR	6.22833411914933e-08
1	FCGBP	6.204482110603681e-08
1	HSPG2	6.201671181501397e-08
1	FGFR1	6.198036230466148e-08
1	S1PR1	6.164141144085469e-08
1	LIFR	6.15792583969757e-08
1	CYBB	6.151119445638129e-08
1	CYP7B1	6.148383810219e-08
1	ADIPOQ	6.13783230977499e-08
1	BRAP	6.134617153374602e-08
1	MEX3C	6.13307812501813e-08
1	HNF1A	6.124399140319272e-08
1	PIGR	6.100558660921317e-08
1	LMX1B	6.09953446949632e-08
1	TFPI	6.08659849052987e-08
1	MYCT1	6.074277235192866e-08
1	PRKX	6.071931904732523e-08
1	CLN3	6.067327893325005e-08
1	CCL3	6.051866895018326e-08
1	NFIX	6.046313129766136e-08
1	ADGRL4	6.039531415280859e-08
1	GFPT2	6.020442891636023e-08
1	SLCO2B1	6.019854234628631e-08
1	TGFB1I1	6.018893127853561e-08
1	ACTN4	6.016092731205574e-08
1	C1QB	6.011926700835605e-08
1	FES	6.008206691204697e-08
1	FBN2	6.007899245746794e-08
1	SH3BP1	5.999097981502847e-08
1	HHEX	5.994728782309275e-08
1	SOCS3	5.993967097648457e-08
1	SERPINF1	5.991566165539769e-08
1	IFT140	5.978865598154116e-08
1	QSOX1	5.966008846629342e-08
1	ITGAM	5.957227402037329e-08
1	UMOD	5.9411744928966385e-08
1	ALDH3A2	5.9374661613955826e-08
1	COL5A2	5.929711258189238e-08
1	SH2D3C	5.925142199301996e-08
1	TRAF3IP1	5.9169138824525796e-08
1	NIBAN2	5.914146923805527e-08
1	TCF4	5.912878348693998e-08
1	NOTCH2	5.9052476270268505e-08
1	GNAQ	5.90384923697177e-08
1	GSTM1	5.889005893626305e-08
1	PLCG2	5.8865587987223276e-08
1	MDK	5.8859750797076935e-08
1	FBLIM1	5.88128253654995e-08
1	CARD6	5.8782779819543694e-08
1	TNFAIP1	5.858680262526427e-08
1	ADCY3	5.856313989448529e-08
1	SEMA4C	5.8262828675977153e-08
1	ELOVL4	5.8197537130801975e-08
1	IL12RB1	5.809226401197095e-08
1	PALD1	5.8081135112762554e-08
1	CCN2	5.80512672725726e-08
1	MARCO	5.798822390464588e-08
1	SEC14L1	5.790468866397305e-08
1	CHRM3	5.783054407395894e-08
1	NTHL1	5.765132521742968e-08
1	SERPINH1	5.755594992047002e-08
1	RASIP1	5.754883511805237e-08
1	ATXN7	5.740349752252831e-08
1	PRSS23	5.7350395809149125e-08
1	LMO2	5.7285045932039815e-08
1	KCNQ3	5.7227330234957245e-08
1	IRS1	5.714423226922584e-08
1	KNG1	5.6999134301783336e-08
1	FGR	5.699859539989732e-08
1	CCL4	5.6905175962842566e-08
1	SLC15A3	5.6835858010057856e-08
1	SDC3	5.682157899687313e-08
1	PXN	5.681148276776026e-08
1	HRH1	5.681026495536688e-08
1	CTSB	5.6680714196372814e-08
1	PGK1	5.6653224217939205e-08
1	KCNJ11	5.646656473230101e-08
1	B4GALT1	5.643529325917339e-08
1	CNGB3	5.637024106251715e-08
1	CSF2RA	5.631140928641463e-08
