multiplex	node	score
1	FSCN2	0.00033048861699003847
1	ABCA4	0.00032547474766143674
1	PRPH2	0.0003243665414534517
1	CNGB3	0.0003151527494830577
1	RLBP1	0.000306393651866413
1	FBN2	0.00030426089115437386
1	ELOVL4	0.00030205223420317457
1	ABCC6	0.00029102878076227496
1	CDH3	0.00028257585443535176
1	PROM1	0.0002818422959314985
1	RPGR	0.0002688310035844517
1	ATXN7	0.00026778172006407133
1	ALDH3A2	0.00025925814872461113
1	TRAF3IP1	0.00025091015467026067
1	PPT1	0.00025051874318104733
1	ZFYVE26	0.00024896193758002747
1	CLN3	0.0002470435704556978
1	MFRP	2.1498386889506146e-05
1	CNGA3	2.1093474207531156e-05
1	LRRTM4	2.109314945088748e-05
1	RS1	2.1053393633703097e-05
1	C1QTNF5	2.0907996104020477e-05
1	CRP	2.0253809559997805e-05
1	CX3CR1	2.01855418122775e-05
1	CDHR1	1.889858937791448e-05
1	CP	1.85553300499275e-05
1	VEGFA	1.8328497573460188e-05
1	CRYAB	1.7805297117219808e-05
1	CD36	1.7709117657794968e-05
1	BEST1	1.751046274648377e-05
1	SERPINF1	1.7449535080923866e-05
1	CFH	1.7321661668239414e-05
1	COL18A1	1.726246699723391e-05
1	DYRK1A	1.6989820918797315e-05
1	EFEMP1	1.6861502089420394e-05
1	TUBB6	1.673651734880476e-05
1	PRPF31	1.673583874240307e-05
1	BBS10	1.6684016631148642e-05
1	RPE	1.6546026607880484e-05
1	TST	1.6443690865370048e-05
1	AFG3L2	1.6197417131049233e-05
1	TBX1	1.6319445169014249e-06
1	PRPH	1.5161181534425502e-06
1	APOE	1.1570830729695123e-06
1	RPE65	1.0706172393760931e-06
1	BCL2	1.055757128270224e-06
1	C2orf71	1.0554308231401075e-06
1	SDHD	1.0440738710508178e-06
1	CLRN1	9.904944567599648e-07
1	EYS	9.875311318321908e-07
1	HOXA1	9.545576024207398e-07
1	CLCNKB	9.184415182573753e-07
1	NMNAT1	8.942501609321765e-07
1	CERKL	8.911479534194272e-07
1	SNRNP200	8.766054696501186e-07
1	PRCD	8.695607834802871e-07
1	TOPORS	8.677162658498305e-07
1	IDH3B	8.557063318280768e-07
1	ROM1	8.551133871275407e-07
1	TEK	8.161941170279956e-07
1	HP	7.963699036175442e-07
1	LOXL1	7.943221264189453e-07
1	NKX2-6	7.872654820142057e-07
1	GDF1	7.839888304976283e-07
1	CFC1	7.752615852050969e-07
1	NKX2-5	7.661143524657616e-07
1	GATA6	6.98651226748862e-07
1	ITGB6	5.401313959541139e-07
1	PDGFRA	5.388558739335645e-07
1	FIP1L1	4.921719426302053e-07
1	GSTM1	4.6827176658495703e-07
1	GSTT1	4.5409412037000043e-07
1	TET2	4.011436337456481e-07
1	IFNA2	3.927231121005051e-07
1	CDH15	3.906029485877518e-07
1	MPL	3.8409816472586294e-07
1	RDH5	3.7158546772174066e-07
1	XYLT1	3.6813333984416123e-07
1	JAK2	3.6799000097941673e-07
1	XYLT2	3.6720019854688855e-07
1	RHO	3.55367190559839e-07
1	KRAS	2.6428566589425174e-07
1	CNGB1	2.564954041375235e-07
1	HLA-DPB1	2.564767849610331e-07
1	LMNA	2.497674174745848e-07
1	HBB	2.348360726747302e-07
1	PDGFB	2.3451565523863989e-07
1	HBA1	2.3255086295639706e-07
1	TP53	2.317255234581788e-07
1	CYBA	2.2803137978665677e-07
1	PTEN	2.2532221705056956e-07
1	CYBB	2.141215290893295e-07
1	CCN2	2.1188591588980497e-07
1	BRAF	2.1172388174293595e-07
1	NCF2	2.039101505711722e-07
1	NCF4	1.938341776615829e-07
1	HLA-DPA1	1.9138736248669614e-07
1	FH	1.9043472437746994e-07
1	TNF	1.8343633210646803e-07
1	NCF1	1.8254609859762588e-07
1	TGFB1	1.8022396944570808e-07
1	IL6	1.7882367414299266e-07
1	HLA-C	1.7855961270441862e-07
1	PTGS2	1.7766939090090756e-07
1	G6PD	1.7390365501864334e-07
1	UBE2L3	1.6684142332031359e-07
1	F5	1.629976164940855e-07
1	CALCOCO2	1.6110111447474166e-07
1	LRAT	1.5973320133851246e-07
1	CCND1	1.5950580704667058e-07
1	ALMS1	1.5394920961847054e-07
1	HLA-DRB1	1.5329149129337817e-07
1	ACVRL1	1.5208551911102382e-07
1	F2	1.5172116855241132e-07
1	NQO1	1.5018128458931347e-07
1	KIAA2013	1.4867965224760783e-07
1	PERP	1.468959681805961e-07
1	ATXN1	1.45088590539188e-07
