multiplex	node	score
1	FOXF1	0.0024095672617312426
1	KIT	0.002361304897878804
1	TPSAB1	2.7093042513815642e-05
1	IL31	2.184848108405735e-05
1	IGHE	2.162451942494453e-05
1	TPSD1	2.1345714463064763e-05
1	IL9	2.1143405683231543e-05
1	TNFRSF8	2.032134149741127e-05
1	TACR1	2.0186253558541025e-05
1	TAC1	2.0101960543336273e-05
1	IL2RA	2.0100667632036766e-05
1	NGF	1.985364419367707e-05
1	NTRK1	1.9755880696722326e-05
1	CD274	1.942073435347305e-05
1	RASGRP4	1.850845891974414e-05
1	ISG20	1.8357547532146427e-05
1	PDGFRA	1.829740491915138e-05
1	IL6	1.8258536784826007e-05
1	TLR2	1.7449341069983263e-05
1	JAK2	1.7266299671487857e-05
1	TLR4	1.7105655776086e-05
1	CD34	1.6868382614484392e-05
1	FIP1L1	1.685130584532383e-05
1	STAT5B	1.6813267356914253e-05
1	TPM3	1.6620523167056372e-05
1	ASXL1	1.6562636520571574e-05
1	TET2	1.650748966279014e-05
1	SRSF2	1.6449857194800284e-05
1	STAT5A	1.631602872355799e-05
1	STAT3	1.6220223564626275e-05
1	HDC	3.7940909373427513e-06
1	ALB	2.8317974023524494e-06
1	CPS1	1.8805632225701472e-06
1	FGFR3	1.8527421141124681e-06
1	STK11	1.8412966166555894e-06
1	BCL10	1.6591527330623104e-06
1	HMOX1	1.4703917337031787e-06
1	IFNL3	1.4475685549156521e-06
1	LEF1	1.441163173646374e-06
1	IL10	1.3989685920846259e-06
1	NLRP3	1.26574503371598e-06
1	MS4A2	1.2220712350272898e-06
1	BTK	1.077539960729334e-06
1	SLC18A2	1.0633085905388492e-06
1	SNAI2	8.042102941584738e-07
1	PIP5K1C	8.001488810181652e-07
1	HGD	7.935330371409568e-07
1	SOX7	7.865091750145356e-07
1	CPA3	7.193109911139402e-07
1	PLCG2	6.396675994339606e-07
1	IL13	6.194287149946383e-07
1	HLA-B	5.636161964674294e-07
1	IL7R	5.620105803539575e-07
1	FOXJ1	5.415118361021845e-07
1	APOLD1	5.384464690885394e-07
1	HRH1	5.353166576801811e-07
1	TCF21	5.180120015439108e-07
1	GRASP	4.917917589393643e-07
1	PGM3	4.770364239054172e-07
1	FLT3	4.7558677687075743e-07
1	SDHC	4.6881348988632615e-07
1	SDHB	4.6055785172094423e-07
1	NLRC4	4.512810028205166e-07
1	STAT1	4.421586612478779e-07
1	RAB44	4.2691678365554955e-07
1	IL10RA	4.067693302794629e-07
1	MYH11	3.9257924268356145e-07
1	IL10RB	3.9197663788282313e-07
1	HLA-DQA1	3.869445907760697e-07
1	OPLAH	3.824102492629305e-07
1	CHRM3	3.811706699261728e-07
1	SMO	3.8028929890955925e-07
1	DSG1	3.74498685651142e-07
1	ITGB2	3.5119865880137996e-07
1	PLA2G4A	3.3241605932557147e-07
1	CBFB	3.281461987354671e-07
1	PARP1	3.2451641067056904e-07
1	ZFP36	3.1959104350708103e-07
1	KMT2A	3.0721117552643737e-07
1	ZIC3	2.9975667517271874e-07
1	SDHA	2.909028105472724e-07
1	ANO1	2.81152724616865e-07
1	SHARPIN	2.7863243870074184e-07
1	HPGDS	2.564083927457144e-07
1	TP63	2.5387208761859556e-07
1	ERCC2	2.5243478600204054e-07
1	RPS6KB1	2.416224333372128e-07
1	DMD	2.3697066227691522e-07
1	TNF	2.298762710530184e-07
1	PIK3CA	2.2830756312929144e-07
1	ICAM1	2.2772722019171811e-07
1	SPINK5	2.2688623934211852e-07
1	TBX2	2.2123067706035247e-07
1	MBTPS2	2.1833560757419184e-07
1	GCSAML	2.1787629484105974e-07
1	ACTA2	2.173070642913336e-07
1	CXCL8	2.171681974967758e-07
1	ALOX5	2.1593341898109e-07
1	SDHD	2.1349127858278378e-07
1	FBN1	2.0922803114891374e-07
1	TGFB1	2.086798552298735e-07
1	HLA-DPB1	2.0726129000714598e-07
1	IL1B	2.0609194447713284e-07
1	SAT1	2.0559589647795777e-07
1	FAS	2.0448984350343468e-07
1	TP53	1.978004651982158e-07
1	IL12B	1.972211759379793e-07
1	GJB6	1.9552073816852684e-07
1	HLA-DRB1	1.9288317949386953e-07
1	GSTM1	1.8999936006733098e-07
1	ERCC6	1.889277454842851e-07
1	XPC	1.8855712854578052e-07
1	TBX4	1.865694423690893e-07
1	ABCA12	1.859713593316204e-07
1	ALOX12B	1.8515725169077186e-07
1	HLA-DQB1	1.8308380206687513e-07
1	ACVRL1	1.8231484194564805e-07
1	DDB2	1.7869162762604612e-07
1	XPA	1.7813686193976143e-07
1	TGM1	1.7796273976665955e-07
1	GJB2	1.7740071734316713e-07
1	NF1	1.7609223411335933e-07
1	LIFR	1.7553002551009917e-07
1	NFIX	1.7551351911636882e-07
1	RGS13	1.7017772488193733e-07
1	FASLG	1.6953297176504727e-07
1	FCER1A	1.6732222805032135e-07
1	CAV1	1.6632391575124497e-07
1	ETV6	1.6523223385245486e-07
1	POLH	1.6440108610246376e-07
1	PIGT	1.6377451128095339e-07
1	CHST3	1.6309214650979992e-07
1	ALMS1	1.6304908981300713e-07
1	TPSB2	1.6291118064057599e-07
1	SMAD9	1.6195901691154028e-07
1	FGL2	1.6179672237476917e-07
1	MPO	1.6119806883895005e-07
1	MGP	1.6116403789779198e-07
1	WT1	1.600723019209579e-07
1	BMPR2	1.597660444658116e-07
1	HNMT	1.594637611080849e-07
1	CASP10	1.5852951692319486e-07
1	SPECC1L	1.5837939096939763e-07
1	COL1A2	1.5801997083773663e-07
1	MVK	1.5778093638610537e-07
1	SFTPB	1.5708082838345e-07
1	SELE	1.566557507323243e-07
1	RAG1	1.5642626889192262e-07
1	RAG2	1.5594813126183036e-07
1	FGFR1	1.5538781915352032e-07
1	ARHGAP20	1.5486760397576768e-07
1	SOX2	1.5415221103319595e-07
1	NOTCH1	1.5163379175647293e-07
1	GBA	1.4899104690345312e-07
1	CACNA1D	1.4878103814368762e-07
1	FGFR2	1.4771991242525665e-07
1	VCAM1	1.472135471367317e-07
1	SFTPC	1.4675715114975475e-07
1	FERMT1	1.463278863005614e-07
1	IL18	1.4535252102794383e-07
1	KCNK3	1.4219136507456916e-07
1	LRRC32	1.4194369910502977e-07
1	ELOVL4	1.403867866435415e-07
1	MLX	1.3889369646278845e-07
1	COL1A1	1.3675729636403446e-07
1	PDSS1	1.362216245982636e-07
1	RUNX1	1.3539275506389525e-07
1	TGFBR2	1.353672688285715e-07
1	GJA1	1.3384281522841456e-07
1	SARS2	1.3360501629289766e-07
1	FOXC2	1.3320132521386628e-07
1	KITLG	1.327813124872577e-07
1	SLC37A4	1.3260753328668777e-07
1	FIG4	1.323073281585488e-07
1	IDUA	1.3105293646585214e-07
1	EDNRB	1.3046505095000078e-07
1	GATA2	1.302250188565346e-07
1	NPM1	1.293205387203534e-07
1	PAX6	1.2915870269140862e-07
1	LIPT1	1.2806688378185435e-07
1	GSTP1	1.2763532972404902e-07
1	AKT1	1.2643623289134087e-07
1	DDIT3	1.2457230159784747e-07
1	SF3B4	1.2359407736556222e-07
1	TNFRSF1B	1.2317006614788596e-07
1	ATP5F1A	1.2213820094065602e-07
1	PTPN11	1.218775726560991e-07
1	ERCC4	1.2155540985838415e-07
1	PAM16	1.2123770922778761e-07
1	VSX1	1.208278529481661e-07
1	LPP	1.2060422828317126e-07
1	PIK3R1	1.1989911764609877e-07
1	PDGFRB	1.196111590882842e-07
1	NFU1	1.1891136109356826e-07
1	DKC1	1.1829299207178502e-07
1	ABL1	1.1747655550781548e-07
1	BANF1	1.1730520118885407e-07
1	ERCC5	1.1615251874182394e-07
1	EGFR	1.1470582423494795e-07
1	ERCC3	1.1442124672726473e-07
1	KRAS	1.1265034747104821e-07
1	CDKN2A	1.1021119815335338e-07
1	IKBKG	1.0884124608751179e-07
1	PRKG1	1.0853829283854093e-07
1	CTLA4	1.0828517013137641e-07
1	PLEC	1.0532177471564892e-07
1	CEBPA	1.0517528531953973e-07
1	RHEX	1.0475265789827051e-07
1	CHD7	1.0453670818330883e-07
1	SMARCA4	1.0438288186922875e-07
1	ADA	1.0149653227469848e-07
1	CREBBP	1.0050217596498957e-07
1	SOD2	1.0022022376941888e-07
1	LRBA	9.968554204763143e-08
1	COL7A1	9.966600226617565e-08
1	EP300	9.833369551893801e-08
1	BMPR1B	9.754964785773754e-08
1	IGLL1	9.725871134899804e-08
1	DUSP1	9.572003848027397e-08
1	TERT	9.550051217431576e-08
1	IGHM	9.507123026400113e-08
1	ARHGAP26	9.469871154245778e-08
1	BRAF	9.439849086457075e-08
1	PSMB8	9.422612541812327e-08
1	PKP2	9.360298988283394e-08
1	BLNK	9.309925882262936e-08
1	PLG	9.309283344984268e-08
1	CD79A	9.282334695862842e-08
1	CD79B	9.135160711454789e-08
1	EDN1	9.059408134956704e-08
1	MLF1	9.007778158918102e-08
1	PRAME	8.999832398887919e-08
1	NRAS	8.946555859188577e-08
1	CHEK2	8.889641644680675e-08
1	SH3GL1	8.880038473404488e-08
1	CCL2	8.860361491412172e-08
1	PICALM	8.797636352750638e-08
1	ECE1	8.694499929509929e-08
1	NSD3	8.675164199987408e-08
1	TGFA	8.628365142508061e-08
1	BCL2	8.608013500231686e-08
1	ICOS	8.564885250468614e-08
1	ARHGEF12	8.536264593514104e-08
1	MCL1	8.534817047623862e-08
1	LMNA	8.439504885986687e-08
1	PTEN	8.409203255761855e-08
1	CHIC2	8.38812723300988e-08
1	CD19	8.385529640812821e-08
1	NUP214	8.373847505376935e-08
1	PAX3	8.350637393530861e-08
1	IL2RG	8.294054904949755e-08
1	TCF3	8.252893465287641e-08
1	CD28	8.234848861419541e-08
1	SAMD9	8.183904146008674e-08
1	TNFRSF13B	8.10441946809298e-08
1	CR2	7.970623376265048e-08
1	EWSR1	7.896732810012842e-08
1	IL12A	7.848209947127247e-08
1	GDF5	7.83386783751919e-08
1	ARG2	7.829652207947544e-08
1	NSD1	7.802793440909022e-08
1	GMPS	7.728579092562596e-08
1	MEFV	7.71217617562852e-08
1	RMRP	7.692349025391264e-08
1	ACE	7.680356427350144e-08
1	GPC4	7.670876847599929e-08
1	MSH6	7.652478337625766e-08
1	CTSG	7.555246582609077e-08
1	SLC39A4	7.52163625304093e-08
1	UROS	7.501107214462768e-08
1	VEGFA	7.464819953917623e-08
1	NOS3	7.431409352385281e-08
1	RARA	7.424531494813909e-08
1	GLI2	7.401547225877339e-08
1	SLIT2	7.356767454300787e-08
1	PRKAR1A	7.335803823956836e-08
1	ERF	7.185595290269928e-08
1	GLI3	7.185530892203407e-08
1	EPCAM	7.130756309101484e-08
1	ERBB2	7.123450571279029e-08
1	MMP9	7.087678927679506e-08
1	LBR	7.046285094488563e-08
1	MYC	7.039457997672299e-08
1	HIF1A	6.99713342996235e-08
1	RUNX1T1	6.917125841475998e-08
1	PTHLH	6.886811517924596e-08
1	MLH1	6.812445523754382e-08
1	MAML3	6.770568933186679e-08
1	LIG4	6.767883977062517e-08
1	NFKB2	6.674056157815773e-08
1	BTD	6.666029599290065e-08
1	DIP2C	6.635255010975402e-08
1	FBLN5	6.61841591595688e-08
1	NOTCH3	6.569275011859292e-08
1	DAPK1	6.566144310940595e-08
1	HTR2B	6.520723297704743e-08
1	THBD	6.467828163471e-08
1	PML	6.465816543188456e-08
1	NDRG1	6.464431447470087e-08
1	ZEB2	6.462637244994943e-08
1	RB1	6.399730030551113e-08
1	KCNMB2	6.374433004324271e-08
1	COL4A2	6.336287944409086e-08
1	MSH2	6.321809865400689e-08
1	CASP8	6.302491860690963e-08
1	ADAM17	6.286183105095691e-08
1	AGTR1	6.276654579697625e-08
1	KRT1	6.255206272996032e-08
1	IFNG	6.253651408749658e-08
1	PLAT	6.226791476812343e-08
1	CCR1	6.145973356983566e-08
1	PIK3R6	6.067308147274909e-08
1	ITGAM	6.054347443849928e-08
1	ADRB2	6.043836051836554e-08
1	KRT10	6.026174445038968e-08
1	NABP1	6.022741072787552e-08
1	ACTB	6.007782587198105e-08
1	RET	5.990317659616112e-08
1	HRAS	5.988581754734214e-08
1	ASCL1	5.987824286593504e-08
1	CTTNBP2	5.98258538611082e-08
1	EDN3	5.982213465692199e-08
1	LOX	5.970486249539276e-08
1	MMP2	5.964809120314765e-08
1	HOXD13	5.952264165705399e-08
1	VWF	5.93140595371621e-08
1	ITGAX	5.931261174841566e-08
