multiplex	node	score
1	SLC45A2	4.9994048130740864e-05
1	CDKN2A	4.9617453832534313e-05
1	TYR	4.955465054804921e-05
1	ERBB4	4.459746477771935e-05
1	MITF	4.098491683861449e-05
1	TP53	4.069176776941418e-05
1	PTEN	4.059821528759851e-05
1	NF1	4.0518768840931486e-05
1	TRRAP	4.004025669967505e-05
1	GNAQ	3.986542700924891e-05
1	GNA11	3.9708929737965354e-05
1	XPC	3.968789560518882e-05
1	BAP1	3.956306173400253e-05
1	MDM2	3.9471339119652975e-05
1	PPP6C	3.944975459719448e-05
1	BRAF	3.939568709384641e-05
1	ATM	3.924446126183111e-05
1	RAC1	3.918299673578825e-05
1	NRAS	3.906767441143474e-05
1	CDK4	3.899445686618329e-05
1	MAP2K2	3.8454869740527545e-05
1	MAP2K1	3.8395776005382776e-05
1	EPO	2.9695267087775917e-05
1	PCDHB8	2.9519577401413283e-05
1	PAX4	2.9482911695805764e-05
1	COL2A1	2.9462463263877536e-05
1	RAX	2.945735512021812e-05
1	MAGEC1	2.9420606353207972e-05
1	IL1RAPL1	2.939604328296768e-05
1	MAGEA1	2.930390369791049e-05
1	HOXD12	2.9204792554506253e-05
1	PRAME	2.9149163298405778e-05
1	TAS2R60	2.911063328096411e-05
1	MLANA	2.9109970478673005e-05
1	UGT2B10	2.9096946656142324e-05
1	PAX6	2.9049806201059893e-05
1	ASIP	2.9027330599428054e-05
1	VGLL2	2.88790520452485e-05
1	SLC39A12	2.8796468863358467e-05
1	GPHA2	2.8777720738740427e-05
1	RFX6	2.8747558574570963e-05
1	HS3ST5	2.8691348074575063e-05
1	HOXB13	2.8618194998420693e-05
1	KHDRBS2	2.8615347615558327e-05
1	PMEL	2.8480685755163204e-05
1	GRM3	2.8368162910146768e-05
1	ROS1	2.8350179187074346e-05
1	ABCB5	2.8279107352320706e-05
1	LRP1B	2.8093117173476624e-05
1	JAKMIP2	2.8026841650497213e-05
1	TYRP1	2.797894138658828e-05
1	DCC	2.789501649885941e-05
1	GDF15	2.787637273656641e-05
1	DSC1	2.7837570333895516e-05
1	KLRK1	2.774349718612908e-05
1	TFPI2	2.7612315159128323e-05
1	ZNF831	2.755346432796518e-05
1	CNNM1	2.7522343104930157e-05
1	TMEM132B	2.7502043319474064e-05
1	HOXA9	2.7453033054098605e-05
1	PTPRO	2.7309945227455276e-05
1	KLRB1	2.7193931307203873e-05
1	DDIT4L	2.7074029106275277e-05
1	BATF2	2.687938025317493e-05
1	SYT4	2.680427546987761e-05
1	MC1R	2.674916633871338e-05
1	HSPA1A	2.6718118734543564e-05
1	AKR1B10	2.656690447021417e-05
1	HPSE	2.637254936136004e-05
1	QPCT	2.6230914157058883e-05
1	CP	2.6161385303148473e-05
1	F2RL1	2.6000682775638997e-05
1	TNC	2.592262595224396e-05
1	TNFRSF19	2.5909378655404675e-05
1	PTGS2	2.5824047592476776e-05
1	PHGDH	2.579249976085992e-05
1	DNAJC15	2.569425406654706e-05
1	CYP1B1	2.5540094402538717e-05
1	WFDC1	2.5495483356646628e-05
1	MGMT	2.548711478892222e-05
1	PKMYT1	2.546765652513605e-05
1	VEGFC	2.544682228532547e-05
1	AURKA	2.5327387700149206e-05
1	LXN	2.53049794793707e-05
1	DLG2	2.5275000255405666e-05
1	MYO7A	2.5216671915231516e-05
1	EDA	2.5210204126757327e-05
1	CDKN1C	2.5187503801662228e-05
1	TMEM30B	2.5162662697868634e-05
1	CDKN2B	2.5119466380606614e-05
1	NDRG1	2.506437911384922e-05
1	MX2	2.499062039217917e-05
1	CDKN2D	2.4980647926920963e-05
1	RAP1GAP	2.4782468729451606e-05
1	MAP3K5	2.4767701774787677e-05
1	PPARG	2.4698359031090604e-05
1	LGALS3	2.4660157881455405e-05
1	REC8	2.4551698266382767e-05
1	SLC35G2	2.445022499979229e-05
1	SLC15A2	2.4449881333436176e-05
1	CASP8	2.4441339436715513e-05
1	DCBLD1	2.4387724264611625e-05
1	GPAM	2.4360562295469095e-05
1	PRSS23	2.429321499838149e-05
1	ERCC3	2.4288360464414138e-05
1	PLCB4	2.423451604843106e-05
1	GAB2	2.417216481142237e-05
1	FLT1	2.4151613371314033e-05
1	TSPYL4	2.4114534592887197e-05
1	PTER	2.4098108505540255e-05
1	FASN	2.4005787385043157e-05
1	MAP3K9	2.3981749484172617e-05
1	NFKBIE	2.38925346284725e-05
1	PTPRK	2.385829218472308e-05
1	RAC2	2.3841234781006913e-05
1	TLR4	2.3837390036004015e-05
1	DDB2	2.3803860092382934e-05
1	SF1	2.3802537645677595e-05
1	ERCC4	2.37790071142677e-05
1	SAC3D1	2.3764264638700024e-05
1	PTK2B	2.3737416953615626e-05
1	CASP10	2.3649253265172526e-05
1	CUBN	2.36354977597147e-05
1	EPB41	2.3618493517526812e-05
1	FAT4	2.3595129369297756e-05
1	FAM160B1	2.3584294924966417e-05
1	SLC17A5	2.3583686810598327e-05
1	ARL5B	2.3563054437886763e-05
1	ERCC5	2.3554398991880678e-05
1	CPT1C	2.3553138516384326e-05
1	EPOR	2.35181134201813e-05
1	GOPC	2.34619515896569e-05
1	SYK	2.3446184778143424e-05
1	MTAP	2.341087580399094e-05
1	SETDB1	2.3391967203971177e-05
1	MLLT10	2.3377101610840256e-05
1	STIP1	2.3373988783516044e-05
1	INCENP	2.3344948902799688e-05
1	RPP38	2.3337507288780742e-05
1	SUZ12	2.332211068009426e-05
1	RAI1	2.3319642696387193e-05
1	EIF1AD	2.3313683256032287e-05
1	GLO1	2.3307065681509177e-05
1	TERF2IP	2.3302223995226797e-05
1	STX17	2.3285910704419234e-05
1	DNAJC1	2.328388508570942e-05
1	POLH	2.3271926763753933e-05
1	FTO	2.325351465666017e-05
1	ERCC1	2.3245635603282543e-05
1	C11orf68	2.3243621114414462e-05
1	MRPL49	2.324108611379761e-05
1	XPA	2.3237162419678673e-05
1	SDHD	2.323211210679377e-05
1	RIN1	2.3219068336879167e-05
1	CLNS1A	2.321467994764977e-05
1	CAPN1	2.321176976455293e-05
1	ARNT	2.318211152134138e-05
1	RASA2	2.3179912191010257e-05
1	HDAC2	2.317347283867809e-05
1	ECHDC1	2.312079581899884e-05
1	SIPA1	2.311559986454375e-05
1	NUS1	2.3095611960699913e-05
1	USP6NL	2.3081784558218845e-05
1	POT1	2.307275378220349e-05
1	EP300	2.3050441586762024e-05
1	ASF1A	2.3040895044994425e-05
1	PIP4K2A	2.299752086785636e-05
1	WDR74	2.29920970750094e-05
1	CUL3	2.297501692402893e-05
1	NT5DC1	2.297165576310331e-05
1	DRAP1	2.296602372932299e-05
1	ERCC2	2.2961648110575383e-05
1	MTPAP	2.293959554163184e-05
1	APEX1	2.292158974032191e-05
1	PPP1R14B	2.2896551812041633e-05
1	ACER3	2.2862982882919424e-05
1	CDK2	2.278350881506358e-05
1	HDAC6	2.2752408116640023e-05
1	PRDX2	2.273470973676671e-05
1	RPS3	2.2722477975048433e-05
1	XRCC3	2.2717780732567957e-05
1	BZW1	2.265783609590483e-05
1	ARL2	2.25673378800414e-05
1	TERT	2.0588129260749887e-05
1	CTNNB1	1.6995409162180932e-05
1	RAF1	1.6862093188529497e-05
1	PIK3CA	1.6758465614610295e-05
1	AKT1	1.65991228890568e-05
1	HRAS	1.649948942996072e-05
1	PARP1	1.6439123665251165e-05
1	STK11	1.6426922132783992e-05
1	IL6	1.8145404432500911e-06
1	KIT	1.2876031109571678e-06
1	RECQL4	1.0591165513832775e-06
1	RET	7.104171891936835e-07
1	POU5F1	6.364891898372725e-07
1	IDH2	6.035633080408919e-07
