multiplex	node	score
1	IGLL1	0.00021735029315101174
1	HLA-B	0.00021636650986163437
1	C8B	0.0002155761524263276
1	C8A	0.0002155730950294343
1	IL12A	0.00021500346678344
1	CRP	0.00021075982612964763
1	IL10	0.0002095551119792248
1	SH2D1A	0.00020665994176524873
1	ICOS	0.0002066554181325989
1	C4A	0.00019858985176632066
1	PRF1	0.0001982876190543918
1	KLRC4	0.00019765993087756038
1	RAG2	0.0001974209749280257
1	RAG1	0.00019684324865622586
1	TNFRSF13B	0.00018826745389544493
1	CR2	0.00018570661469432886
1	CD19	0.00018421186149023618
1	C4B	0.0001841170737546487
1	MEFV	0.00018343144085486592
1	ERAP1	0.00017941961619235089
1	BTK	0.00017869931992649254
1	TLR4	0.0001783409430819982
1	JAK3	0.00017409064607733525
1	CCR1	0.00016878781641024187
1	STAT4	0.0001641105054942035
1	FAS	0.00016186810819818738
1	XIAP	0.0001571175485017654
1	HLA-DPB1	2.1561370778105293e-05
1	IGH	2.1273102185118583e-05
1	HLA-DPA1	2.0634557219254044e-05
1	FOXP3	2.056025737673893e-05
1	HCN2	2.020928164614282e-05
1	IGHM	1.9924968682299563e-05
1	PTPN22	1.9834223708875758e-05
1	HCN1	1.967313024255813e-05
1	HLA-DRB1	1.9293111907562962e-05
1	LAMC2	1.8439527333442007e-05
1	BLNK	1.8346506771143153e-05
1	CXCR4	1.8325476895284488e-05
1	CYBB	1.7614707276005972e-05
1	WIPF1	1.6897406287367604e-05
1	NDE1	1.6676245446442905e-05
1	TBK1	1.653172632153004e-05
1	ACVRL1	8.040338691627855e-06
1	ENG	2.7860199632888588e-06
1	FASLG	8.517095794876386e-07
1	CIITA	8.264892481851685e-07
1	CTLA4	8.137426101291609e-07
1	TNFRSF1A	7.955057896442961e-07
1	SERPING1	7.641653475092208e-07
1	FCER2	7.284600823933415e-07
1	MASP2	7.240535770935107e-07
1	RFX5	6.496083784520272e-07
1	BCL10	6.267353255479202e-07
1	RFXAP	6.242563230227165e-07
1	F2RL1	6.045857450380603e-07
1	RFXANK	5.946951255658839e-07
1	PRKAR1A	5.653444997265103e-07
1	CD28	5.411769668660138e-07
1	RAPGEF3	5.35355229803133e-07
1	TMEM70	5.344551475402042e-07
1	TNFRSF1B	4.748597023737205e-07
1	IFNG	4.669565302242009e-07
1	NOS2	4.512970829037739e-07
1	CFB	4.4738193825208623e-07
1	POMC	4.395414170092554e-07
1	ORM1	4.392245981623182e-07
1	IL12B	4.316168275957272e-07
1	CFI	4.2517063030951124e-07
1	CASP10	4.223966020882763e-07
1	CD247	4.131512401975687e-07
1	IL6	3.8487246095897995e-07
1	HP	3.7827211026735985e-07
1	TNF	3.6568890550485073e-07
1	CD40LG	3.640420079441387e-07
1	CYBA	3.6241526317618694e-07
1	NCF2	3.615670072577466e-07
1	C2	3.570617174264454e-07
1	IL2RA	3.545066155447196e-07
1	NBN	3.524050835542979e-07
1	CD79A	3.513238155161684e-07
1	PTPRC	3.394699716825572e-07
1	IL2RG	3.3660969796865603e-07
1	IL2RB	3.339846136135156e-07
1	WAS	3.32674295021506e-07
1	CD79B	3.303105670415557e-07
1	PLG	3.2128506700152645e-07
1	ITK	3.1756694186952503e-07
1	CORO1A	3.160416845298104e-07
1	RAC2	3.15271415796391e-07
1	ALB	3.1460752576296716e-07
1	NCF4	3.1345199709698997e-07
1	C3	2.9746711544261394e-07
1	PTPN2	2.9739334234523574e-07
1	IRF5	2.9719671855565456e-07
1	IL10RA	2.9553026428132066e-07
1	IKZF1	2.860479185249672e-07
1	CXCL8	2.8477722238419865e-07
1	GNLY	2.8468838380804884e-07
1	MTHFR	2.817800569752338e-07
1	IL7R	2.797531459691515e-07
1	MYO1G	2.783421982074529e-07
1	ITGB2	2.6976369809218267e-07
1	TYK2	2.6792674512368565e-07
1	IL13	2.612279387753246e-07
1	PNP	2.594297482952754e-07
1	PIK3CD	2.5922090552296377e-07
1	TIRAP	2.5884544425410666e-07
1	MYD88	2.577194293752663e-07
1	PLCG2	2.5535282405338345e-07
1	STAT3	2.5466857541406677e-07
1	HLA-DQB1	2.5084275194443625e-07
1	FCER1G	2.50802142573444e-07
1	NFKB2	2.4858069933208807e-07
1	MUSK	2.4700891415906793e-07
1	HLA-C	2.4624888845486645e-07
1	MVK	2.411613547256592e-07
1	FCGR2A	2.38297454884021e-07
1	CR1	2.3519846508534085e-07
1	CCR5	2.31497761162226e-07
1	DOCK8	2.2888264190830394e-07
1	PIM1	2.2793416977138913e-07
1	IL1RN	2.2745527132137486e-07
1	C1R	2.255562533333179e-07
1	ADA	2.2486042256891139e-07
1	CARD11	2.2411557535833735e-07
1	IL17A	2.231697865031691e-07
1	ABCB1	2.2233064172219819e-07
1	STAT1	2.1950780683298596e-07
1	ELANE	2.191338810762686e-07
1	SOD2	2.187284933776208e-07
1	HCK	2.1559609398882024e-07
1	ACP5	2.105637247625643e-07
1	PRG4	2.0897986502051206e-07
1	XDH	2.057388891794828e-07
1	MS4A1	1.9972115740202077e-07
1	PRKDC	1.9442815083456437e-07
1	NOD2	1.9384912361979394e-07
1	LPIN2	1.9019037198619308e-07
1	RAD54B	1.8637461302630837e-07
1	TGFB1	1.8628026682986826e-07
1	PIK3R1	1.849299913281322e-07
1	CAT	1.772605160720225e-07
1	RAD54L	1.7636451740545702e-07
1	B2M	1.755109873814972e-07
1	RUNX2	1.6733990149593652e-07
1	SPI1	1.6700933278219112e-07
1	NLRC4	1.6660933528195925e-07
1	LTA	1.6249530368506922e-07
1	ITGB4	1.6247644180526982e-07
1	IL21R	1.6225074992108962e-07
1	LRBA	1.621533865447689e-07
1	TREX1	1.6113379535056805e-07
1	LCK	1.6046634329712463e-07
1	PSTPIP1	1.604639267058638e-07
1	PGM3	1.6041838221641185e-07
1	JAK2	1.5962642723736475e-07
1	UGT2B17	1.577789538150089e-07
1	BANK1	1.5744032713618165e-07
1	FYB1	1.5710758963677422e-07
1	TCF3	1.5688474178321733e-07
1	KIR3DS1	1.565801089492588e-07
1	BRAF	1.5491320682646732e-07
1	FCGR2B	1.5461433550413295e-07
1	RMRP	1.5341991256817417e-07
1	TNFAIP3	1.532138730743938e-07
1	HRH1	1.508531617680927e-07
1	C5	1.5044625747499054e-07
1	FGA	1.5033718028595768e-07
1	HMOX1	1.4886486887061503e-07
1	KIT	1.487803226761182e-07
1	BCL2	1.476574381614267e-07
1	SPINK5	1.451835333049538e-07
1	PRTN3	1.4503950905010682e-07
1	COL2A1	1.4436393243210608e-07
1	KRAS	1.440186172648794e-07
1	AK2	1.4146896213410845e-07
1	CCN2	1.380083644910566e-07
1	IL10RB	1.3773121379629867e-07
1	DEFB4A	1.3668517658204728e-07
1	ALOX5	1.362247492133379e-07
1	NFKB1	1.35690116072883e-07
1	PRDM1	1.3559800743349105e-07
1	TNFSF13B	1.3510828202005333e-07
1	POU2AF1	1.3404525899426005e-07
1	IL12RB1	1.3371397317013367e-07
1	ALPL	1.3270652251090808e-07
1	HLA-DQA1	1.3250336317655917e-07
1	TERC	1.319669921006456e-07
1	IL1B	1.303126334031977e-07
1	COL1A1	1.301479782373681e-07
1	PTH	1.2993373880273972e-07
1	AICDA	1.2919289336977305e-07
1	TNFRSF13C	1.29020837794223e-07
1	TP53	1.2900525069136554e-07
1	SIRT1	1.2894214792275673e-07
1	TNFSF15	1.278816438935222e-07
1	LIG4	1.2728342369067166e-07
1	DSG1	1.2726846719784056e-07
1	PDGFRA	1.2722910562381183e-07
1	TRAF3IP2	1.2713198733126824e-07
1	ATM	1.2668076868515185e-07
1	BRCA1	1.266319506572771e-07
1	TMC8	1.2646750169455548e-07
1	MAPK1	1.2538644403578892e-07
1	IL23R	1.2520900085849983e-07
1	TINF2	1.24486284651204e-07
1	LAPTM5	1.2373723239852925e-07
1	PIK3CA	1.23349704362442e-07
1	FOXJ1	1.233171579693042e-07
1	CD4	1.2288994707917146e-07
1	LYST	1.2215065395361304e-07
1	ABCB4	1.21467861532286e-07
1	DOCK2	1.2143093537505965e-07
1	LBR	1.2084592959227837e-07
1	TNIP1	1.2034659098871637e-07
1	PRKCD	1.1971181028927817e-07
1	MAPK3	1.1967582864030111e-07
1	PTEN	1.1868282662240597e-07
1	ITGAX	1.1846620691987269e-07
1	KIF21B	1.1827276118372881e-07
1	C1S	1.1813880320068768e-07
1	MYO1F	1.179205871709158e-07
1	PARP1	1.1773118615607146e-07
1	CD22	1.1750107398203227e-07
1	FPR2	1.1717575752698074e-07
1	C5AR1	1.1635223351697653e-07
1	CD3D	1.1633183344189087e-07
1	FCGR3A	1.1596468215862994e-07
1	CAMK4	1.1569903804175268e-07
1	CCR6	1.1539539586399182e-07
1	PLEC	1.1498290145616113e-07
1	MYH9	1.1388943290854893e-07
1	MLX	1.1383466811950584e-07
1	CDKN2A	1.1311419334335772e-07
1	ITGA4	1.1305529519400149e-07
1	RUNX1	1.1298857844269838e-07
1	ZAP70	1.124650072770324e-07
1	ALMS1	1.1190726770739057e-07
1	OPLAH	1.1133558946529139e-07
1	TGFBR2	1.1122446421177997e-07
1	MRC1	1.1109055963812495e-07
1	GSK3B	1.106200419769562e-07
1	RORC	1.0997233351081386e-07
1	SNX10	1.0982089257235943e-07
1	MALT1	1.0897818172674142e-07
1	LYL1	1.0821249242998169e-07
1	PTPN11	1.0807913634941562e-07
1	DKC1	1.0743682877605721e-07
1	CHD7	1.0723090769669701e-07
1	IL4	1.0537670441708363e-07
1	NOP10	1.0532864486297908e-07
1	FGG	1.0494167597731115e-07
1	MBTPS2	1.0429351589866272e-07
1	TGFB2	1.0396738991671525e-07
1	TIMP1	1.0346192346995204e-07
1	VAV1	1.0308507113047398e-07
1	GLA	1.0305199570287671e-07
1	NHP2	1.0290438934112608e-07
1	ICAM1	1.0277617206347892e-07
1	POT1	1.0274777573730222e-07
1	MSH6	1.0265152582090297e-07
1	MAP2K1	1.0223225184557014e-07
1	MMP9	1.0115982957810073e-07
1	CD300A	1.006731164485831e-07
1	BMP4	1.0040229332205755e-07
1	FGB	1.0034001824560619e-07
1	CD68	9.981073435528818e-08
1	CFTR	9.941481556126896e-08
1	C9	9.940335119476684e-08
1	TNFRSF11A	9.895078889493133e-08
1	SPIB	9.869206625844151e-08
1	MECOM	9.835997380372756e-08
1	ERCC2	9.834272734520548e-08
1	CASP3	9.822795984515815e-08
1	TCIRG1	9.800316150272189e-08
1	CD53	9.730656874996148e-08
1	PSMB8	9.727460974184804e-08
1	CPA3	9.691058288299968e-08
1	PTGS2	9.636020683530281e-08
1	PMS2	9.631922141363455e-08
1	IPCEF1	9.566312335469929e-08
1	NR5A1	9.540981553333031e-08
1	PEX5	9.511204635523614e-08
1	MLH1	9.489734599760547e-08
1	IKBKG	9.461912857149945e-08
1	GATA1	9.424995594187342e-08
1	MSH2	9.4039787119139e-08
1	LAMA2	9.372253709617568e-08
1	BCR	9.263212406360551e-08
1	OPRM1	9.216665066133694e-08
1	SLC35C1	9.181465832644536e-08
1	GP1BB	9.180692215589696e-08
1	TPP2	9.173955157575157e-08
1	OSCAR	9.17030714410249e-08
1	MIF	9.165802363476897e-08
1	FLT3	9.162793040997879e-08
1	BCL6	9.154124868685557e-08
1	ITGAL	9.140711230378988e-08
1	IL18RAP	9.138068993138844e-08
1	DNMT3B	9.100924539552191e-08
1	CAV1	9.08773200014675e-08
1	CARD9	9.084382753217926e-08
1	CSF2	9.042972324147926e-08
1	CCL5	9.00031300784233e-08
1	CASP1	8.9838407904034e-08
1	TAL1	8.904617985116451e-08
1	FGFR2	8.895944832440735e-08
1	PIK3CG	8.845279550234348e-08
1	SH2B3	8.801918557383565e-08
1	DNASE1	8.795269509111573e-08
1	KMT2A	8.755466925897586e-08
1	PON1	8.737483987249613e-08
1	ATP7B	8.731143256241319e-08
1	FBXL19	8.714774252580428e-08
1	NIBAN3	8.670802141184732e-08
1	STIM1	8.656587182032693e-08
1	BLM	8.638145444177623e-08
1	GLUL	8.612943812387231e-08
1	CD81	8.602561564971522e-08
1	ITGAM	8.561109284027447e-08
1	ITGB6	8.55535398741985e-08
1	ZFP36	8.539229987309868e-08
1	GNB1	8.532916035990634e-08
1	GC	8.475146768052591e-08
1	EGR1	8.469602018648678e-08
1	CD163	8.438694166833387e-08
1	C1QA	8.431636298683137e-08
1	APOA1	8.424712332037824e-08
1	ITGB3	8.409858170615565e-08
1	HLA-A	8.40051217282902e-08
1	FMN1	8.376445135539964e-08
1	LCP2	8.356059149570807e-08
1	IL18	8.32942334739027e-08
1	CRYAA	8.278514521569677e-08
1	CTNNB1	8.27548879268692e-08
1	RB1	8.272257734806034e-08
1	CASP8	8.236927301213324e-08
1	GJB2	8.224504112447571e-08
1	IFNA2	8.223603816031525e-08
1	BCL11B	8.209569991642438e-08
1	ARHGAP45	8.170414715450535e-08
1	LYZ	8.16885964029517e-08
1	TMC6	8.1478355579792e-08
1	TAL2	8.115909353285792e-08
1	KRT19	8.112800823933157e-08
1	AKNA	8.110398177841032e-08
1	BLK	8.09002246597131e-08
1	HOXA11	8.072924155897293e-08
1	MMP2	8.069346423772207e-08
1	CXCL13	8.067318831214026e-08
1	RBP3	8.041176647049553e-08
1	CLPTM1L	8.034360360947743e-08
1	APOE	8.017912528916298e-08
1	IRF4	7.98488961475077e-08
1	CRYBB2	7.959934131423536e-08
1	C11orf74	7.944964278977201e-08
1	TBXAS1	7.912549418295453e-08
1	SLC7A7	7.844536950849954e-08
1	TNFSF12	7.833383288178625e-08
1	GTF2I	7.830037325813911e-08
1	SERPINA1	7.813445889755053e-08
1	MPL	7.79941862472146e-08
1	COL6A2	7.793046889584563e-08
1	HPGD	7.76992183460776e-08
1	NRAS	7.752619090295913e-08
1	CXCR3	7.7322928613513e-08
1	PROP1	7.716488661471235e-08
1	CD40	7.705563488191774e-08
1	SRP72	7.647275686466457e-08
1	GK	7.623538858302154e-08
1	XPNPEP2	7.613344344778593e-08
1	CYP11A1	7.604308410145345e-08
1	PLAT	7.587742896226127e-08
1	IL1R2	7.494977648223697e-08
1	COL6A3	7.473373595737482e-08
1	RTEL1	7.455522266204525e-08
1	PAPSS2	7.44287904794564e-08
1	IKZF3	7.436987583972724e-08
1	CD5	7.394438728075367e-08
1	NUP214	7.384955397892589e-08
1	HSPA9	7.344074198176388e-08
1	EPCAM	7.340181528984807e-08
1	ESR1	7.325760181762602e-08
1	HLA-DRA	7.306459890823081e-08
1	TCF7	7.27416194946876e-08
1	BTD	7.26580278632975e-08
1	PLA2G4A	7.247489311074288e-08
1	CD3E	7.242717844531988e-08
1	ARHGAP9	7.221554843017226e-08
1	MLH3	7.191221109630041e-08
1	APC	7.16189744465223e-08
1	SLCO2A1	7.13931548250542e-08
1	LEPR	7.130492179848189e-08
1	F12	7.127652321096444e-08
1	SLC39A4	7.119185600551174e-08
1	ADAM17	7.06081542853418e-08
1	PTTG1	7.028290226988681e-08
1	RUNX3	6.942849800399177e-08
1	PIGL	6.910041087880487e-08
1	TNPO3	6.891007255458394e-08
1	COL1A2	6.888390347572326e-08
1	TLR2	6.880283620877059e-08
1	ABCA12	6.858108618544007e-08
