multiplex	node	score
1	PDX1	9.812460354308722e-05
1	CDKN2A	9.811488363145071e-05
1	WT1	9.355718996419142e-05
1	SPINK1	9.123892669900574e-05
1	MMP9	9.122707409312855e-05
1	BRCA2	9.08893333295037e-05
1	CXCL8	9.076111011368646e-05
1	PTGS2	8.738013571088034e-05
1	CDH1	8.311672567455732e-05
1	BRCA1	8.225097048765035e-05
1	TP53	8.032947076068915e-05
1	CD44	8.012852347245317e-05
1	PALB2	8.007406174414813e-05
1	CTNNB1	7.996018025149763e-05
1	TGFB1	7.989014616525049e-05
1	PTEN	7.977396480790448e-05
1	NRP1	7.937820800800718e-05
1	SMAD4	7.887754942886214e-05
1	ZNRF3	7.840673112080987e-05
1	GAGE1	7.836943008062397e-05
1	STK11	7.798336202513879e-05
1	TSC2	7.79418815145024e-05
1	BAP1	7.783496936892987e-05
1	KRAS	7.782819585408143e-05
1	HIF1A	7.72477885729179e-05
1	SYCP1	7.705076099042313e-05
1	STAT3	7.702554559532157e-05
1	CNR2	7.541693164259209e-05
1	PTHLH	7.520365155586418e-05
1	TFPI2	7.418804605785084e-05
1	SUGCT	7.298013512670928e-05
1	MSLN	7.278191247269737e-05
1	ABO	7.16503111599917e-05
1	NR5A2	7.061606316508554e-05
1	TP63	7.036920545816565e-05
1	EPCAM	6.912076970148209e-05
1	FXYD3	6.794851617981874e-05
1	PLAU	6.790396601599927e-05
1	FGF13	6.789265845003803e-05
1	TYMS	6.70053013204194e-05
1	CNR1	6.657354027966764e-05
1	RAP1GAP	6.65189030645459e-05
1	MYC	6.629607268350813e-05
1	KLF5	6.600456806218452e-05
1	PTCH1	6.597910467504406e-05
1	TYMP	6.51738561706284e-05
1	SLC29A1	6.465686142146739e-05
1	CHEK2	6.432130916069613e-05
1	LY6E	6.41761143830235e-05
1	COL14A1	6.374405503368339e-05
1	SOD2	6.360548211233592e-05
1	DPYD	6.357728470129389e-05
1	BCL2L1	6.335963501074372e-05
1	FOXP1	6.311357606725533e-05
1	EFEMP1	6.276409168658015e-05
1	PALLD	6.266387434280907e-05
1	ATRX	6.253330191277803e-05
1	ETAA1	6.2487755678365e-05
1	VHL	6.245964638405963e-05
1	MANF	6.240516114403511e-05
1	DAXX	6.2273425727188e-05
1	BCAR1	6.20357292926161e-05
1	MDM2	6.195978013853421e-05
1	CLPTM1	6.184845987087335e-05
1	VEGFB	6.175987741205465e-05
1	RB1	6.173842750998214e-05
1	CFLAR	6.153537941338247e-05
1	ATM	6.129164625236981e-05
1	TERT	2.057022864751265e-05
1	SSTR2	1.940714100028323e-05
1	MMP2	1.7409366022877943e-05
1	EGFR	1.731178260170273e-05
1	APC	1.668027716031264e-05
1	MEN1	1.6372500259160453e-05
1	FGFR3	8.656239134987313e-07
1	SDHD	7.336184683235609e-07
1	PIK3CA	7.264879910520276e-07
1	BMP4	6.72972867140695e-07
1	SLC26A2	6.353121090879595e-07
1	TSEN54	6.005636639944407e-07
1	FGFR2	5.596870133487793e-07
1	ERBB2	5.374358015957316e-07
1	CDKN1B	4.697081121849699e-07
1	AKT1	4.627900044508704e-07
1	FOXE1	4.59475623672e-07
1	AR	4.589863002837195e-07
1	NS	4.3930493619091544e-07
1	HABP2	4.2842547198517705e-07
1	CFI	4.2473124941220784e-07
1	PITX3	4.1158125805062435e-07
1	BMPR2	4.1105864314395524e-07
1	FLNB	3.967610827793474e-07
1	BCL10	3.9586817544301274e-07
1	KIT	3.938685106689545e-07
1	PAX3	3.905073929983874e-07
1	CYP7B1	3.8568907174159384e-07
1	PDE4D	3.8147018990065266e-07
1	CCNO	3.6813236513216547e-07
1	BMPR1A	3.6518728157715595e-07
1	WNT1	3.6477127250748657e-07
1	SP7	3.6427318104260434e-07
1	GLI2	3.6321007496058013e-07
1	RAB18	3.627109914035142e-07
1	RAX	3.621545753343897e-07
1	SCT	3.6074608215847735e-07
1	SERPINH1	3.584045094336073e-07
1	NRL	3.5722156579538033e-07
1	SIX3	3.567931035311999e-07
1	ELOVL4	3.565071051265859e-07
1	ABCA3	3.542861690311741e-07
1	CCDC8	3.528106807841408e-07
1	RD3	3.492796794724802e-07
1	PTCH2	3.489502381238641e-07
1	DRC1	3.436027090319186e-07
1	SLC25A13	3.423513656683618e-07
1	GLB1	3.4023060199197165e-07
1	RSPH1	3.3771671453051556e-07
1	EXOSC3	3.3737590298286445e-07
1	GJA1	3.3449303168305744e-07
1	PRPF8	3.289631441829326e-07
1	FYCO1	3.285080713797519e-07
1	PRPF31	3.2710985628517246e-07
1	TDRD7	3.248802768211111e-07
1	VARS2	3.223155549864152e-07
1	RASA1	3.222869176374222e-07
1	FGFR1	3.2043424337617226e-07
1	ZFYVE27	3.1317330200183574e-07
1	CCND1	3.1279592747751307e-07
1	RP9	3.123898868661149e-07
1	MSH2	3.121438806796278e-07
1	HRAS	3.119463251760971e-07
1	HLCS	3.072130045311014e-07
1	ICAM1	2.895301107897582e-07
1	CCL2	2.861797057107525e-07
1	MLH1	2.833189990989154e-07
1	IGF1	2.830400478966825e-07
1	MSH6	2.756878733579728e-07
1	IL6	2.752144765695473e-07
1	BRAF	2.66430074919201e-07
1	TGFBR2	2.6004486938832334e-07
1	BCL2	2.5046780034513523e-07
1	IDH1	2.50203962545782e-07
1	KITLG	2.4938896670290367e-07
1	NRAS	2.4815426707881433e-07
1	CAV1	2.4518006525615536e-07
1	PMS2	2.444329577192669e-07
1	VEGFA	2.387463741546249e-07
1	MUTYH	2.3418863803965003e-07
1	ATF7IP	2.290108318993867e-07
1	FAAH	2.263382139484184e-07
1	MAPK3	2.2614140368417714e-07
1	MAPK1	2.2597259520954422e-07
1	ERCC4	2.255372199348946e-07
1	AGTR1	2.2237518842112027e-07
1	PRKN	2.2197668246089626e-07
1	ESR1	2.198697039691364e-07
1	LMNA	2.1904190791830494e-07
1	ERCC1	2.1288371932646895e-07
1	GSTP1	2.126089194719065e-07
1	IFNG	2.1076002662657473e-07
1	MLH3	2.1059999150267585e-07
1	GH1	2.089820192797293e-07
1	TACC3	2.0822985683883162e-07
1	IER3	2.0650616680861164e-07
1	MIR222	2.0423103519832699e-07
1	DRD2	2.0327338970411637e-07
1	FA2H	1.9890736568808088e-07
1	OPN1LW	1.8587253095574643e-07
1	CASP8	1.832966531943639e-07
1	OPN1MW	1.8239739246068095e-07
1	GNAS	1.8201652164331384e-07
1	DMRT1	1.796441020619596e-07
1	CASP10	1.7936951035054214e-07
1	AIP	1.792491630387658e-07
1	RELA	1.7685910462875612e-07
1	PRKAR1A	1.7515251978965066e-07
1	EP300	1.7264955370827912e-07
1	NCOA3	1.7216832074006916e-07
1	MIR34B	1.697775660417693e-07
1	MIR155	1.6962819448631868e-07
1	MIR34C	1.6949184549807566e-07
1	PTPN11	1.6845114450526264e-07
1	NFE2L2	1.6672661747057627e-07
1	PMS1	1.6642016165527793e-07
1	CDKN1A	1.6611659024297765e-07
1	PARK2	1.6462894630092643e-07
1	SERPINB5	1.6339753709935417e-07
1	FAS	1.6333129547959843e-07
1	KLF6	1.6100262894733497e-07
1	NBN	1.5994223126437466e-07
1	OPCML	1.5957831345480224e-07
1	MTHFR	1.589938050824186e-07
1	IRF1	1.5730040564510717e-07
1	TNF	1.557616440016419e-07
1	DKC1	1.5573161377367257e-07
1	TNFRSF1A	1.548237826082405e-07
1	RUNX1	1.5450099328387747e-07
1	NF1	1.5385415745296499e-07
1	FAN1	1.5189634175551307e-07
1	CDKN2B	1.514679172541617e-07
1	SPARC	1.502815082252408e-07
1	SDHB	1.4964323991754847e-07
1	PTPN1	1.4873833663342206e-07
1	XRCC3	1.4840278316669814e-07
1	CDS1	1.4388351002511036e-07
1	SMARCA4	1.433600550433775e-07
1	RUNX2	1.4237812441401722e-07
1	ITPKC	1.4174453706345613e-07
1	PRAME	1.416637308631374e-07
1	BACH1	1.4120506333884533e-07
1	CD40	1.4023256175233395e-07
1	ABCB1	1.396371630563211e-07
1	FGG	1.3944903748797626e-07
1	RB1CC1	1.3936806573590885e-07
1	PPM1D	1.3840256391343763e-07
1	PPARG	1.3782419101021782e-07
1	CLDN4	1.3655198460845094e-07
1	FGA	1.3585772774348212e-07
1	CAT	1.3502173802163609e-07
1	FGB	1.3487561426440274e-07
1	PIK3R1	1.347750866551415e-07
1	INSR	1.345438558462482e-07
1	IL6ST	1.3443887593437443e-07
1	YAP1	1.3382630001873354e-07
1	GATA6	1.336553696516114e-07
1	BRD4	1.327262202589765e-07
1	NOS2	1.325667152581624e-07
1	FOS	1.3214670102231238e-07
1	SDHC	1.3144314086972165e-07
1	TLR4	1.28681808210754e-07
1	BARD1	1.2845446619424855e-07
1	MAP2K1	1.2834152147967895e-07
1	SUFU	1.2681445959464822e-07
1	CCL20	1.2578157555306828e-07
1	PML	1.2478868912619052e-07
1	NFKB1	1.2440882154236875e-07
1	PDGFRA	1.244033406361467e-07
1	STK10	1.2398905444485794e-07
1	RPS19	1.2349455023517459e-07
1	KEAP1	1.2343947160747666e-07
1	SMAD3	1.230139138339029e-07
1	CELA3B	1.2274834310760636e-07
1	FCGR2A	1.2239465407348354e-07
1	ATF4	1.2211375343585405e-07
1	RAD51	1.2201740396641544e-07
1	INS	1.219537181106051e-07
1	CTSK	1.2172719616660673e-07
1	TNFRSF10B	1.2162521604282413e-07
1	BAG1	1.2136476966060363e-07
1	RAF1	1.2079257311309912e-07
1	NDRG1	1.1911887819196877e-07
1	KMT2A	1.1882980700669291e-07
1	DUSP5	1.1838990688232385e-07
1	HNF1B	1.1836791141746985e-07
1	GPX1	1.1653193073729431e-07
1	NFKBIA	1.1568818203919056e-07
1	VIM	1.1528868418024779e-07
1	MCC	1.1489835917538618e-07
1	SIRT1	1.144520313793719e-07
1	TCF3	1.1402830615075751e-07
1	ABCC8	1.1370295887224105e-07
1	MYD88	1.1298796952242338e-07
1	FYN	1.1241695075200899e-07
1	AGPAT2	1.123306406147545e-07
1	IL1B	1.1081277160703141e-07
1	TSG101	1.1048614617433783e-07
1	BAX	1.104842994591653e-07
1	CDKN1C	1.099520886565581e-07
1	SLC22A18	1.0992225754224583e-07
1	BUB1B	1.0925005301764928e-07
1	ENO1	1.087868658464244e-07
1	DICER1	1.0852383257889761e-07
1	MAD1L1	1.0814734217951746e-07
1	VDR	1.0807601186152515e-07
1	TINF2	1.0802653235119626e-07
1	OGG1	1.0799570361722141e-07
1	PRL	1.078566994856561e-07
1	MTHFD2	1.0736322001360296e-07
1	HES1	1.0710912686690793e-07
1	SETD2	1.0671875898291769e-07
1	BLM	1.0661392019954104e-07
1	PLAUR	1.0623096295831536e-07
1	BLK	1.0605138630991981e-07
1	CYP1B1	1.0577273681647757e-07
1	MAOA	1.0493235714355608e-07
1	BRIP1	1.041083938624761e-07
1	ERCC2	1.0410250420010049e-07
1	TRAF3IP2	1.040302397092417e-07
1	CXCL2	1.039109196961476e-07
1	EZH2	1.038165581180926e-07
1	ITGB1	1.0378505455863061e-07
1	CTNND1	1.0378496715662855e-07
1	LHB	1.032125358024422e-07
1	ZFP36L1	1.0297599726132332e-07
1	CALCOCO2	1.0291466940411428e-07
1	SPP1	1.0256230392099502e-07
1	MAP2K2	1.0254880190293116e-07
1	JAK2	1.024840163115573e-07
1	TET2	1.0241627718702233e-07
1	EMP3	1.0218098777388785e-07
1	POLG	1.0180045539704641e-07
1	IGF2	1.0170954421267024e-07
1	RFWD3	1.0119855974433975e-07
1	ARID1A	1.0092152495414528e-07
1	SAT1	1.0024491580212616e-07
1	WIPF1	9.987620457710983e-08
1	S100A8	9.977191080707998e-08
1	RECQL4	9.942682794787495e-08
1	MPO	9.862254435677345e-08
1	FANCG	9.829883011230129e-08
1	OCRL	9.824947818261363e-08
1	HLA-DRB1	9.79452577059898e-08
1	RHOA	9.75520500338718e-08
1	KCNJ11	9.729297215555408e-08
1	PLG	9.692576268875178e-08
1	RAD54L	9.674872571204374e-08
1	TOP2A	9.663988701391097e-08
1	LBR	9.652138191519123e-08
1	CDKN2C	9.620352806125777e-08
1	TWIST1	9.588961918170732e-08
1	PGR	9.549827121866438e-08
1	JAG2	9.54095915607192e-08
1	RNF139	9.50193108766274e-08
1	TAP1	9.467496166144768e-08
1	ALOX5	9.43045298069053e-08
1	SOX2	9.406184212672254e-08
1	NOTCH1	9.389363560643323e-08
1	RRM2	9.381275292269363e-08
1	UGT1A1	9.341693097842084e-08
1	IFI16	9.320043828688372e-08
1	EWSR1	9.250006782663185e-08
1	GNRH1	9.231911541625604e-08
1	RET	9.222016548720811e-08
1	NOS3	9.219589253572356e-08
1	IGF1R	9.198541581732432e-08
1	STAT6	9.162006312819812e-08
1	DHFR	9.157467999935295e-08
1	SPHK1	9.142740317536135e-08
1	TSHR	9.134657691961495e-08
1	MCL1	9.09451980920007e-08
1	SLC2A3	9.091396896108264e-08
1	RELB	9.070014565056845e-08
1	MYH9	9.068521847457425e-08
1	LETM1	9.061097848969091e-08
1	SEC23B	9.053233611507122e-08
1	ATF3	9.030115701235436e-08
1	CREBBP	9.02991614009672e-08
1	REL	9.01192636790821e-08
1	NOTCH3	9.008370798677618e-08
1	ACE	8.998384899412956e-08
1	GCK	8.974197984564043e-08
1	SRC	8.963381567555226e-08
