multiplex	node	score
1	HLA-B	0.00045938403333316757
1	ALB	0.0004339269962851599
1	CCR5	0.0004240012306439503
1	COL4A3	0.00040449863298915045
1	COL4A4	0.000398305319615416
1	FAS	0.0003781987849538757
1	COL4A5	0.00037785929714496724
1	MYH9	0.0003656433990474575
1	CASP10	0.00035749074167544845
1	CD151	0.00035363633217055864
1	C1R	0.0003533590091802312
1	ALMS1	0.00034823626703507247
1	CCL3	2.1325242858496436e-05
1	IL4	2.117235333069839e-05
1	EDN1	2.020257911829183e-05
1	SERPINB7	1.9962907367417042e-05
1	CXCR2	1.9379315304858027e-05
1	SMAD6	1.905892939844589e-05
1	SMAD7	1.8556480350229804e-05
1	PLAU	1.8422764892388926e-05
1	ITGA4	1.8406779750048485e-05
1	LEPR	1.804588357983774e-05
1	CASP8	1.7906246105830906e-05
1	AGTR1	1.7845259938280565e-05
1	CYP2J2	1.777851420531378e-05
1	LGALS3	1.7746931806563186e-05
1	LGALS9	1.769105674385095e-05
1	ITGAL	1.7541156524952806e-05
1	ITGB2	1.7440987604387324e-05
1	FCGR2A	1.7404913893466472e-05
1	CCND2	1.735558676241422e-05
1	ICAM1	1.7352863322360106e-05
1	PTK2B	1.7151284870196126e-05
1	LGALS1	1.6711213682760617e-05
1	PTK2	1.6600436127727435e-05
1	SNRPD1	1.6354446362191552e-05
1	FXYD2	2.8903051985699974e-06
1	IL6	1.428449122456162e-06
1	CCL2	1.3198725451880543e-06
1	FGB	8.194327532901434e-07
1	INF2	7.879718350780971e-07
1	BTK	7.454995668259074e-07
1	FASLG	7.012658330078201e-07
1	PLG	5.888303266715536e-07
1	APOC3	5.869862477600099e-07
1	SCN5A	5.8179261354518e-07
1	CASR	5.52444981751337e-07
1	KCNE1	5.46864140969146e-07
1	KCNH2	5.424391627440214e-07
1	KCNE2	5.418358256050258e-07
1	C1S	5.327389812117955e-07
1	IL12B	5.170188728908361e-07
1	LMNA	5.104013060297941e-07
1	IL1RN	5.028703129692878e-07
1	ABCC6	4.980643009243634e-07
1	IL10	4.958492918162968e-07
1	SNTA1	4.951396518600987e-07
1	KCNQ1	4.944028043096298e-07
1	CD40LG	4.787217457772247e-07
1	CLDN16	4.7498450814844197e-07
1	SLC12A1	4.6057794042857925e-07
1	AGT	4.600828035081688e-07
1	CYBA	4.46257196109533e-07
1	TBCE	4.2892028970370396e-07
1	AGXT	4.258775557780506e-07
1	CNNM2	4.112957709526792e-07
1	CYP3A4	4.0185542613758653e-07
1	HLA-DRB1	3.800348403253726e-07
1	HP	3.7992861764899463e-07
1	TCIRG1	3.7931974817727306e-07
1	NCF2	3.7537860486508e-07
1	MLX	3.702413831730685e-07
1	CYBB	3.499150001602167e-07
1	PIK3CA	3.4613976267452387e-07
1	KIR3DS1	3.338349877991366e-07
1	PPARG	3.304735918173911e-07
1	STAT4	3.258665530029334e-07
1	CCR1	3.2048338464078494e-07
1	UNG	3.152171764540371e-07
1	MYL6	3.102273396036275e-07
1	NAA10	3.036320116832476e-07
1	CXCR4	3.0276526525758577e-07
1	MEFV	3.0020090186869686e-07
1	PTPN22	2.962621215141571e-07
1	STAT1	2.9584658081439653e-07
1	NPPA	2.938296397984135e-07
1	RELA	2.897990256366832e-07
1	FN1	2.832462182891551e-07
1	PPP1R3A	2.8160629296209304e-07
1	CACNA1S	2.815388360300284e-07
1	CP	2.8125364701823456e-07
1	SARS2	2.7792411214750685e-07
1	GABRA3	2.776220439379952e-07
1	TLR4	2.7336238852105204e-07
1	GNA11	2.726685990515548e-07
1	FERMT1	2.710174102710106e-07
1	TGFB1	2.667550029796236e-07
1	POMC	2.6649117311847304e-07
1	B2M	2.6489815138390705e-07
1	FGA	2.643817960197158e-07
1	HGD	2.6292996646499273e-07
1	NGF	2.6030010555887406e-07
1	KCNJ10	2.575531223797783e-07
1	COL4A1	2.569534240089065e-07
1	GLA	2.5543732381358673e-07
1	XYLT1	2.550385803622155e-07
1	SERPINE1	2.533923569129021e-07
1	ORM1	2.5061437296038895e-07
1	LAMB2	2.4982172452474644e-07
1	PTEN	2.4827067036953356e-07
1	ACE	2.475004190067893e-07
1	APOA1	2.467047623480335e-07
1	TNF	2.4535540677482623e-07
1	PRF1	2.45315146492497e-07
1	DSP	2.436089951018306e-07
1	IL1B	2.433897631101865e-07
1	HLA-DPB1	2.417516965565574e-07
1	WT1	2.411415337089226e-07
1	SCN1B	2.3858578989184246e-07
1	ERAP1	2.376792396302971e-07
1	COL1A1	2.3723475621795186e-07
1	GP1BB	2.361818631676995e-07
1	SCN10A	2.3527157124951417e-07
1	LYST	2.3425163254161676e-07
1	AKT1	2.3398404214922884e-07
1	ARVCF	2.302829891260819e-07
1	TNFRSF1A	2.287848483911826e-07
1	NBN	2.2870787369452985e-07
1	KCNJ8	2.2821322031351629e-07
1	IL2RG	2.276763460832327e-07
1	APOH	2.2699592231313502e-07
1	HLA-DQA1	2.2591324131131179e-07
1	ZMPSTE24	2.24529461213714e-07
1	COMT	2.237613423592665e-07
1	KCNE3	2.2359924717797487e-07
1	TBX1	2.2270646598634292e-07
1	SLC7A7	2.2229089573995634e-07
1	NOS3	2.2159540095384763e-07
1	XYLT2	2.2121657013685238e-07
1	HMBS	2.2098070477826247e-07
1	NPHP1	2.192608496468793e-07
1	KCNJ1	2.119626059575993e-07
1	F5	2.0898694960256748e-07
1	SOD2	2.082155923237651e-07
1	NCF4	2.07449729782676e-07
1	ZFP36	2.046469227111315e-07
1	IL12A	2.0435107748632973e-07
1	PAX2	2.0429999914787162e-07
1	PTH	2.0378927982067877e-07
1	C4A	2.0355086023363542e-07
1	CRP	2.0273103321914236e-07
1	RREB1	1.9916685475857788e-07
1	LIMK1	1.9799356997048357e-07
1	KLRC4	1.9734934912646466e-07
1	GCM2	1.96724200649308e-07
1	HMOX1	1.9571983305702375e-07
1	COL3A1	1.928406833045161e-07
1	NDUFB11	1.9221860514802854e-07
1	ELN	1.913229649956169e-07
1	EPHX1	1.9116342188506565e-07
1	PARP1	1.898269200747895e-07
1	WFS1	1.888905202908359e-07
1	CTLA4	1.885214075099666e-07
1	UFD1	1.883400807386227e-07
1	SLC35C1	1.8831394762658142e-07
1	PNP	1.882959060640411e-07
1	LBR	1.8744965115197196e-07
1	BRAF	1.8740636092857232e-07
1	DSG1	1.8617433706545343e-07
1	SEC24C	1.8364819178917423e-07
1	FGFR2	1.8341947241103587e-07
1	NOTCH2	1.8138083440330818e-07
1	PLA2G4A	1.812753584805242e-07
1	GPD1L	1.8031607234859115e-07
1	GREB1L	1.7999263356307784e-07
1	TERC	1.794666509371993e-07
1	CFI	1.7916111410070202e-07
1	HIRA	1.7782716253711182e-07
1	C2	1.7712122679343584e-07
1	ERBB2	1.7705831414698735e-07
1	TINF2	1.770364380119606e-07
1	FLT1	1.756581425850777e-07
1	EYA4	1.7534451629033383e-07
1	CD79B	1.7465029490653974e-07
1	C3	1.745144959680323e-07
1	HBA1	1.7415068975010127e-07
1	CD247	1.7356579293996265e-07
1	RAG1	1.7347562507648154e-07
1	HLA-E	1.7325403732702317e-07
1	IGLL1	1.7247529729539968e-07
1	IFT140	1.722534937310397e-07
1	HBA2	1.7165187466340642e-07
1	TCF4	1.7115499187650164e-07
1	CLIP2	1.7054466268570116e-07
1	RTEL1	1.6816301542701514e-07
1	ANLN	1.6631670209885544e-07
1	BLNK	1.6421873398783132e-07
1	PLCE1	1.6420280063966183e-07
1	NPHS2	1.6374118678024651e-07
1	CTSC	1.6357169643076108e-07
1	GRK2	1.632539452239765e-07
1	TIMP1	1.6317470721508393e-07
1	APOE	1.6311803486478595e-07
1	LAMA2	1.6289012036040655e-07
1	APC	1.621951515765427e-07
1	MYO1E	1.6167563182248179e-07
1	INHBA	1.6032444585611624e-07
1	GTF2I	1.592778635117672e-07
1	ITGA3	1.5908096266620884e-07
1	DDAH2	1.586085060418609e-07
1	RAG2	1.5810424978136092e-07
1	CD79A	1.5768077069408472e-07
1	PLCG2	1.5699532138328567e-07
1	SHARPIN	1.551984380754269e-07
1	FAN1	1.551867263186075e-07
1	KRAS	1.5456689677749051e-07
1	KLF6	1.5426026430431364e-07
1	IGHM	1.5425828412081027e-07
1	AVP	1.5413400937090644e-07
1	GTF2IRD1	1.5395208268369747e-07
1	PTPRC	1.5390638893159704e-07
1	ELANE	1.5376760322356886e-07
1	DKC1	1.5222262873407433e-07
1	UMOD	1.517118166787518e-07
1	RFC2	1.5094793848290314e-07
1	PTPN2	1.50494908697569e-07
1	MVK	1.5008301241537185e-07
1	STOX1	1.5004610817889917e-07
1	SCNN1G	1.4997494305060992e-07
1	TBL2	1.4888267051311558e-07
1	PIK3R1	1.4876961960331306e-07
1	STAT3	1.4716926302857403e-07
1	IL2RB	1.4661945806445578e-07
1	NOP10	1.4537057494284132e-07
1	NHP2	1.4506948119818616e-07
1	BAZ1B	1.4501281121783584e-07
1	IL2RA	1.4479125177743087e-07
1	PARN	1.418978978099427e-07
1	IFNA2	1.41600679058933e-07
1	IRF1	1.4133915824860762e-07
1	WIPF1	1.407522870396371e-07
1	C9	1.4035742156940557e-07
1	PARVA	1.3995761792211366e-07
1	SCARB2	1.3960947762128562e-07
1	LYZ	1.3945153918878106e-07
1	ASPA	1.3943200315922773e-07
1	WRAP53	1.3939525982053333e-07
1	CCND1	1.393215025557336e-07
1	PDE7B	1.3782412946402397e-07
1	TCF3	1.378145366163688e-07
1	HLA-A	1.3749424879317928e-07
1	NFKB2	1.3663692384095506e-07
1	SDCCAG8	1.3573406336214143e-07
1	TNFRSF13B	1.3566411692759024e-07
1	CAV1	1.3513292732685495e-07
1	IL1A	1.3501102404726708e-07
1	FIBIN	1.3418249092750847e-07
1	TNFRSF1B	1.3377149854260014e-07
1	COL4A2	1.3360509178311764e-07
1	CD19	1.329271443641141e-07
1	PDPN	1.3205461725066697e-07
1	IL7R	1.3190204028260314e-07
1	GBP4	1.316484953728163e-07
1	CR2	1.314844364747496e-07
1	NPHP3	1.3133646046788647e-07
1	ABCA1	1.3054261704503234e-07
1	CSF3	1.302829169815076e-07
1	NPHS1	1.29917594159886e-07
1	NTRK1	1.2948658922251502e-07
1	PRKCD	1.2941633107504737e-07
1	TENM1	1.2908321707007124e-07
1	RUNX3	1.275518318802169e-07
1	FLI1	1.2669540591159814e-07
1	ATM	1.264070739706439e-07
1	PLSCR4	1.2631011526147697e-07
1	ICOS	1.2599861619549348e-07
1	ADA	1.259586874479334e-07
1	HESX1	1.2579603834128342e-07
1	MUTYH	1.257762816917283e-07
1	ITGB1	1.2526161955472224e-07
1	CEP164	1.243025005917529e-07
1	CD81	1.2411538955640465e-07
1	SLCO2A1	1.2397243101193437e-07
1	INHBC	1.238996228341788e-07
1	AVPR2	1.236061904339663e-07
1	TYK2	1.2348891077803022e-07
1	ABCB4	1.2306377873618904e-07
1	TGFBR2	1.229012379060875e-07
1	ELK3	1.225399185485725e-07
1	SERPING1	1.223869862244428e-07
1	A2M	1.2229970705143562e-07
1	TF	1.2213442332812172e-07
1	MYD88	1.220764755465613e-07
1	MAFB	1.2186508454068178e-07
1	ITGB6	1.2184007777284308e-07
1	HPGD	1.2168265602349306e-07
1	MUT	1.215418613313617e-07
1	ITK	1.212767080665545e-07
1	RIN3	1.2110843602899224e-07
1	ALDOB	1.1903096982889831e-07
1	TRAF3IP1	1.1902402938572548e-07
1	INVS	1.1826472932262932e-07
1	AP3B1	1.1740592868978991e-07
1	EGFR	1.1711596682433925e-07
1	GSN	1.1692947713903107e-07
1	CARD11	1.1626484840530248e-07
1	MMP9	1.1482802216407376e-07
1	LCAT	1.1450105985270376e-07
1	WAS	1.1373018045394086e-07
1	ATL3	1.132538931650546e-07
1	HBB	1.1320147253848186e-07
1	PTGS2	1.1304920054395096e-07
1	PDGFRA	1.1273926635325043e-07
1	TGFB2	1.1256274132488998e-07
1	ANTXR2	1.122822247795431e-07
1	IGKC	1.1202946903705114e-07
1	HLA-C	1.1192343967278037e-07
1	TNXB	1.1156613499879876e-07
1	SAMD9	1.1129281366267554e-07
1	SIX3	1.1076469050196694e-07
1	IGHG1	1.1057929621304001e-07
1	SLC25A13	1.1036576497830179e-07
1	MUC1	1.1013683654767218e-07
1	IQCB1	1.0984146633818287e-07
1	IFNG	1.0972439793289143e-07
1	ANO6	1.0946429008582605e-07
1	LZTFL1	1.0896271881303957e-07
1	GNL1	1.0853791322759409e-07
1	EP300	1.0751265755783523e-07
1	NRAS	1.0706639544187113e-07
1	ALOX5	1.068440255347948e-07
1	IGHG2	1.0684148416742884e-07
1	RPGRIP1L	1.0614135134204718e-07
1	TARS	1.0479775253660788e-07
1	SNX10	1.0390322802226902e-07
1	IKBKG	1.0371665104027436e-07
1	KRT6A	1.034162481872245e-07
1	KLHL3	1.0340343010096974e-07
1	IL33	1.0309157296604906e-07
1	COL1A2	1.0218534518947741e-07
1	ACTN4	1.0207747961694118e-07
1	XRCC1	1.0202508421760152e-07
1	IL21R	1.0169369579687247e-07
1	PAPSS2	1.0158196175719569e-07
1	SPTLC2	1.0156162116799316e-07
1	COL4A6	1.0145491425051719e-07
1	HNF1B	1.0069314776338724e-07
1	CEP83	1.0027603267992076e-07
1	ARNT2	9.982448673880103e-08
1	STK38L	9.968783026409621e-08
1	FOXP1	9.948700927503347e-08
1	FGFR3	9.943183660534185e-08
1	SH2B3	9.878894467842318e-08
1	CCR6	9.80148753729822e-08
1	TP53	9.801257538206287e-08
1	AHI1	9.798030071316824e-08
1	DNMT1	9.79317355005862e-08
1	WASF1	9.792352695299706e-08
1	FBN1	9.792276976222678e-08
1	HNRNPA2B1	9.768589251724354e-08
1	CYP27A1	9.724178136720413e-08
1	S100A8	9.697253290514109e-08
1	PLEC	9.69642361322163e-08
1	IL13	9.613958878512966e-08
1	TNFRSF10A	9.585802087786106e-08
1	DCDC2	9.585302772787713e-08
1	ACP5	9.538181163594372e-08
1	PDE8B	9.516932478878447e-08
1	FGF2	9.485055869381065e-08
1	CD44	9.440503459379917e-08
1	DOCK10	9.393434077327569e-08
1	JAK2	9.35725527883365e-08
1	HPSE2	9.347382614966189e-08
1	INPP5D	9.334258244583648e-08
1	NOTCH3	9.330245693356738e-08
1	LDHA	9.313082576794564e-08
1	JAK3	9.29799949643985e-08
1	LMX1B	9.296972532158291e-08
1	AMBP	9.233176832243171e-08
1	SLC37A4	9.215735574728864e-08
1	CREBBP	9.206913758578695e-08
1	BCL2	9.199374328760484e-08
1	ARHGDIA	9.18343367733536e-08
1	PTGER4	9.164101820179982e-08
1	ITGB4	9.121718030043128e-08
1	EMSY	9.11691101732498e-08
1	SELE	9.113446955290203e-08
1	GNAS	9.11236765827228e-08
1	RAD51C	9.108827473229068e-08
1	NFKB1	9.087219615078606e-08
1	PIGT	9.00399212166934e-08
1	RETREG1	8.995103470406632e-08
1	MT-ND5	8.983968938105494e-08
1	MT-ND1	8.974478711770856e-08
1	MT-CO3	8.973519206737783e-08
1	PSMB8	8.971453774681826e-08
1	OCRL	8.969388213717796e-08
1	MT-ND6	8.961347262937417e-08
1	C1QB	8.959541903989794e-08
1	COL6A2	8.941943894253161e-08
1	BMP4	8.92403714999264e-08
1	CLDN1	8.879862479242696e-08
1	DMD	8.876831646324784e-08
1	SMPD1	8.854535333492483e-08
1	TMC8	8.828441971489383e-08
1	DES	8.827722429820329e-08
1	EIF2AK3	8.754479535929862e-08
1	TPM1	8.735746438073872e-08
1	CLCN7	8.72989747001861e-08
1	C1RL	8.691635728553918e-08
1	PARVB	8.682510969653794e-08
1	REN	8.66479562235762e-08
1	RAB27A	8.664208904048149e-08
1	IKZF1	8.650861345217878e-08
1	ERCC6	8.609822516473747e-08
1	ACVRL1	8.592656920248459e-08
1	MMACHC	8.590946237602098e-08
1	COLCA2	8.543994386717134e-08
1	CACNA1C	8.488326125456293e-08
1	GLB1	8.48748021140914e-08
1	FGFR1	8.465930514284689e-08
1	JUP	8.419025564857625e-08
1	PSTPIP1	8.267264620035724e-08
1	PCCA	8.262651938512225e-08
1	CRYAA	8.238768703126197e-08
1	ECE1	8.223481473300612e-08
1	IRF5	8.213224737849755e-08
1	CAPN5	8.188206117988594e-08
1	ZNF423	8.17196135939794e-08
1	AHR	8.144140071810829e-08
1	ERCC8	8.1431301751765e-08
1	PCCB	8.139322800083741e-08
1	SIX6	8.122006340179357e-08
1	IL18	8.11392717802874e-08
1	CD2AP	8.08022550967195e-08
1	IL23R	8.052881069675066e-08
1	PLOD1	8.048014663142903e-08
1	ZNF592	8.038735112256053e-08
1	MYLK	8.032528673007325e-08
1	BCS1L	8.015495700268013e-08
1	RBP3	7.996763483215722e-08
1	SLC39A14	7.97745976411118e-08
1	CHEK2	7.974705701692405e-08
1	MEIS3	7.947722809540584e-08
1	MTHFR	7.945526932276651e-08
1	HFE	7.93300599945093e-08
1	SLFN11	7.926283811421494e-08
1	GGT1	7.899923638857443e-08
1	COL12A1	7.895464230609372e-08
1	CARD9	7.884391673410985e-08
1	HRAS	7.875181227704451e-08
1	PHLDB2	7.865809490633395e-08
1	SMARCAL1	7.853362743497236e-08
1	TYROBP	7.810117241692744e-08
1	PLA2G2A	7.803954434168255e-08
1	CCL5	7.798200772324725e-08
1	CXCR3	7.79007781253993e-08
1	RPGR	7.790007343435179e-08
1	VCAM1	7.776312715578751e-08
1	EGR1	7.769580432901487e-08
1	KRT19	7.734093173521621e-08
1	DGKE	7.725550647775764e-08
1	RAI14	7.722038796493043e-08
1	AIRE	7.71669990185119e-08
1	SLA	7.667635438295269e-08
1	CRYBB2	7.658712114544596e-08
1	MYC	7.639172544380027e-08
1	HSPA9	7.629887063115394e-08
1	CCL11	7.604639728797796e-08
1	EVC	7.597569878013284e-08
1	MS4A1	7.578795581786469e-08
1	PMM2	7.553122678790129e-08
