multiplex	node	score
1	MNX1	0.001050149410552752
1	ARNT2	0.0009209220943019497
1	GJA1	0.0008970903806596757
1	WFS1	0.0008880665502938374
1	GBE1	0.0008834979934363586
1	AMBP	2.1813161946405084e-05
1	NGF	2.1562987493338922e-05
1	CHRM2	2.0391443769304983e-05
1	FA2H	2.0112082393975618e-05
1	EEF1A2	1.9603574806668624e-05
1	SNCA	1.937671576052454e-05
1	EBF3	1.927726841105518e-05
1	VANGL1	1.908663691343671e-05
1	VPS11	1.8079121361724694e-05
1	CISD2	1.7969953585790162e-05
1	MTFMT	1.7954613788873e-05
1	PEX3	1.7933056183793646e-05
1	COL6A1	1.787361615050447e-05
1	TBCD	1.785016246240502e-05
1	COG5	1.784832500132972e-05
1	EHMT1	1.779063032190304e-05
1	ATP13A2	1.7737138134319463e-05
1	FBXO7	1.772737094079087e-05
1	ATXN3	1.7714393943706378e-05
1	COG7	1.7698356299336855e-05
1	FARS2	1.7581643805349032e-05
1	ACER3	1.7526163263352342e-05
1	ALG1	1.7490617352991316e-05
1	ELOVL1	1.706000113816971e-05
1	TMC1	1.8269909344280945e-06
1	TECTA	1.7573475899119938e-06
1	HMBS	1.6860338589922284e-06
1	MYO6	1.6774845855821777e-06
1	COL11A2	1.634310190193327e-06
1	EDN1	1.6256461098230558e-06
1	LRBA	1.111090741912364e-06
1	GJB6	9.500392828769501e-07
1	GJB2	9.375194057415246e-07
1	ESRRB	9.348101124023258e-07
1	OTOA	9.331756566163229e-07
1	LHFPL5	9.300238383237798e-07
1	MYO1A	9.201543923195362e-07
1	SLC17A8	9.112715169204013e-07
1	DBH	9.057242618498322e-07
1	USH1C	9.05188041293038e-07
1	STRC	9.032006465015108e-07
1	SIX1	8.856701550209618e-07
1	EYA4	8.813200839060612e-07
1	WHRN	8.228066300192774e-07
1	CCDC50	7.863357886140769e-07
1	FMR1	7.697367342096568e-07
1	HARS2	7.68155727490313e-07
1	IL10	6.667670771522638e-07
1	OTP	6.38085505388628e-07
1	TPSAB1	5.956273007896687e-07
1	NBN	5.953174009236045e-07
1	NF1	5.708605560916121e-07
1	NF2	5.623255708417033e-07
1	POMC	4.890612056942267e-07
1	DFNB59	4.7453034163933075e-07
1	PRNP	4.6445818877739885e-07
1	PCDH15	4.642291956321752e-07
1	CXCL10	4.32630997610479e-07
1	CXCL11	4.3040288326707994e-07
1	CXCL9	4.285576515552266e-07
1	CDH23	4.27877595329275e-07
1	SLC9A6	4.235691670396257e-07
1	PJVK	4.184871977905321e-07
1	RELA	4.095797275929087e-07
1	ALDH18A1	3.986683377736853e-07
1	GCH1	3.912851464622744e-07
1	GABRA3	3.78287027747643e-07
1	CACNA1S	3.7498272985698033e-07
1	PRKAG2	3.656214327935178e-07
1	PSAP	3.62350082583312e-07
1	ANK2	3.518620437426457e-07
1	AGA	3.203464294835298e-07
1	FLNB	3.194247670516696e-07
1	HCN4	3.161211958522156e-07
1	SCN5A	3.1443660131464564e-07
1	TNF	3.115450886401973e-07
1	RUNX2	2.9220631001575773e-07
1	IL1B	2.857026701203921e-07
1	ATP7B	2.8185737545915593e-07
1	CTSK	2.7575374031167835e-07
