multiplex	node	score
1	TRPV1	0.0001568348475147118
1	CCK	0.00015340974665460728
1	CLDN2	0.0001525545155469296
1	PRSS1	0.0001511902844404368
1	CASR	0.0001508125639140442
1	CNR2	0.0001500747999325005
1	MPO	0.00014966678987505483
1	HLA-DQA1	0.00014946008635595786
1	SPINK1	0.0001433341475046657
1	CFTR	0.00014027962265119193
1	LPL	0.00013899527242252287
1	HLA-DRB1	0.0001375948300131446
1	PTGS2	0.00013704417336352027
1	NUPR1	0.00013078321929385967
1	MT-CO1	0.00012783650684616813
1	MT-CO2	0.00012782919537361926
1	MT-ND5	0.00012695398943961218
1	MT-ND6	0.00012693695908657073
1	MT-ND1	0.00012692098236009085
1	MT-CO3	0.00012690449525211647
1	MT-ND4	0.00012688299641518662
1	MUT	0.000126391110373373
1	BCKDHA	0.0001259892748234371
1	G6PC	0.00012496937964893732
1	INS	0.00012473468877568977
1	APOC2	0.00012430993318560194
1	ABCB4	0.00011948204811226847
1	CBS	0.00011885411420754885
1	ALB	0.00011865686420807981
1	CNR1	0.00010708099794364478
1	ATP8B1	0.00010472985261899593
1	SLC7A7	0.00010127064532202905
1	SLC37A4	0.00010125600068769818
1	PPP3CA	0.00010051349760047134
1	CAV1	0.00010040154463169837
1	BCKDHB	0.00010039746319690474
1	DBT	9.9644172463675e-05
1	PCCA	9.925736079659666e-05
1	SLC25A13	9.89938961969465e-05
1	PCCB	9.868689685110195e-05
1	IFT172	9.737592031142292e-05
1	AP2S1	9.599873894451082e-05
1	MIR200B	3.1127909047076053e-05
1	MIR100	3.0519980196460054e-05
1	MIR155	3.041625788901327e-05
1	MIR429	3.0399686227798762e-05
1	MIR214	3.0399349555226857e-05
1	MIR200C	3.0281584793302155e-05
1	IL10	2.8998417729843117e-05
1	SST	2.750986544706652e-05
1	PPARG	2.5434799882639657e-05
1	TLR4	2.4450709616541656e-05
1	HGF	2.4134235609981127e-05
1	APOA5	1.5909532924424829e-06
1	LRBA	1.4249306669183433e-06
1	WFS1	1.0017811957467588e-06
1	POMC	9.37670779522704e-07
1	PRPS1	9.296150437663193e-07
1	KCNJ5	8.749757690803465e-07
1	NGF	8.288621322163012e-07
1	RP1	8.050974218303383e-07
1	DDIT3	7.619698895249031e-07
1	HMBS	7.518518389848364e-07
1	PPIF	7.129247936285097e-07
1	RELA	6.798636315360201e-07
1	HLA-DQB1	6.717496417981619e-07
1	BTK	6.660541670541429e-07
1	CREB3L3	6.657852028152738e-07
1	CXCL9	5.792551103784657e-07
1	CXCL10	5.518539578500936e-07
1	CXCL11	5.406621931791304e-07
1	IL1RN	5.20612728205413e-07
1	PLG	4.785970088334177e-07
1	HLA-B	4.299305180095148e-07
1	APOC3	4.1337219541042687e-07
1	SCN5A	4.1180354965300446e-07
1	CD40LG	4.010823740664205e-07
1	IL1B	3.968424947720152e-07
1	HCN4	3.932228163676342e-07
1	PRKAG2	3.906555910444569e-07
1	MNX1	3.7764707290729507e-07
1	CDKN1B	3.737179182220288e-07
1	ANK2	3.7057042455995566e-07
1	CDKN2B	3.6489777311536865e-07
1	UNG	3.622745184834143e-07
1	GJA1	3.5539762032348677e-07
1	CDKN1A	3.5394937069162205e-07
1	GBE1	3.330193495005956e-07
1	CDKN2C	3.302771451060728e-07
1	APOE	3.1431537569920635e-07
1	APOB	3.0876238654298205e-07
1	PTEN	3.048151657604124e-07
1	ARNT2	2.9981587986803886e-07
1	TNF	2.821122966304584e-07
1	IL6	2.7895511177276e-07
1	GAST	2.7676385526412044e-07
1	PRTN3	2.7410468758347055e-07
1	HGD	2.7259856799390347e-07
1	LDLR	2.684715014282353e-07
1	LMNA	2.5175206555031687e-07
1	FGB	2.5110443274950886e-07
1	CTRB2	2.479770973036531e-07
1	CTRB1	2.4415932260770957e-07
1	MTHFR	2.2552234862935066e-07
1	CELA3B	2.230188562365055e-07
1	PIK3CA	2.1918157257642166e-07
1	PON1	2.1215972876134297e-07
1	ITGB2	2.1208980113808687e-07
1	CAT	2.1092038120894346e-07
1	NBN	2.1091172984370183e-07
1	AKT1	2.1070416885036976e-07
1	SLC25A12	2.090300146583051e-07
1	TP53	2.085281519196432e-07
1	SCNN1B	2.0754223126340325e-07
1	PIK3R1	2.0107675774061587e-07
1	PARP1	2.0080123365167665e-07
1	C1R	2.00663194649936e-07
1	LPA	1.9944406838892341e-07
1	ACE	1.9703778650303668e-07
1	HFE	1.9585614907953381e-07
1	STAT1	1.9153900830590466e-07
1	HLA-DPB1	1.8960510619746273e-07
1	MAOA	1.8849416792411447e-07
1	ELANE	1.8301725325763904e-07
1	ATP7B	1.8138630471744916e-07
1	EGR1	1.782347955237177e-07
1	MMACHC	1.755418004881398e-07
1	FASLG	1.7442888283415897e-07
1	FAS	1.7425996409460509e-07
1	LAMA2	1.7335897382709733e-07
1	ZFP36	1.7325729152850274e-07
1	TCIRG1	1.6963030511660696e-07
1	C1S	1.6953801819136621e-07
1	PCK1	1.618314233375735e-07
1	NOS3	1.6078087120111384e-07
1	CETP	1.6054016540356204e-07
1	BLNK	1.6041467723190766e-07
1	CD79B	1.5923871835287723e-07
1	ALMS1	1.5820783782539163e-07
1	TGFB1	1.5777716974194512e-07
1	IFNA2	1.5768128004143183e-07
1	CPB1	1.553315963641228e-07
1	LDLRAP1	1.540437485719579e-07
1	COL3A1	1.5297698246925103e-07
1	IGLL1	1.490929129591784e-07
1	SOD2	1.4831357354311472e-07
1	PDCD1	1.4678444634577743e-07
1	OCRL	1.456575447353458e-07
1	IGHM	1.4542993899785993e-07
1	CD79A	1.4391799650539538e-07
1	GLA	1.4318212021832222e-07
1	DUSP5	1.4188056590198297e-07
1	ABCG5	1.4186472388971367e-07
1	COL1A1	1.416217046735026e-07
1	CD36	1.4147086153180485e-07
1	IRF5	1.4107928338975372e-07
1	MMADHC	1.4079315476978392e-07
1	DGAT1	1.403601357461944e-07
1	LBR	1.3923924457326042e-07
1	RETREG1	1.3594015175148705e-07
1	HNF1B	1.3438452828451538e-07
1	HBB	1.343236831156335e-07
1	CSF3	1.3322303158075338e-07
1	HP	1.329497855591386e-07
1	IL12A	1.3284375576956253e-07
1	FERMT1	1.313910471251138e-07
1	CYP27A1	1.3098389343309908e-07
1	FBP1	1.3091270453296289e-07
1	ESR2	1.308672886742597e-07
1	USF1	1.3023002494625693e-07
1	CYBA	1.2990222226504485e-07
1	DNAH11	1.2989813753431848e-07
1	TCF3	1.2949473999242897e-07
1	CTLA4	1.288680627616696e-07
1	CYP11A1	1.2862078026822002e-07
1	LYST	1.2715679839572446e-07
1	SLC16A2	1.2687382599451983e-07
1	KRAS	1.258067593511015e-07
1	MACO1	1.256928068516231e-07
1	SLC35C1	1.2476629991678065e-07
1	GMPPA	1.2464216608903868e-07
1	TIMP1	1.2449910543858833e-07
1	CYP19A1	1.2391893820953634e-07
1	CP	1.223573132384291e-07
1	INSR	1.2232843431174203e-07
1	NTRK1	1.2205587551145542e-07
1	FASN	1.220454034643556e-07
1	SPTLC2	1.2172936621238027e-07
1	QDPR	1.2106602712063867e-07
1	VHL	1.2103484946304153e-07
1	PEX5	1.204692708603552e-07
1	EDN1	1.2026493156511567e-07
1	DNMT1	1.2014680350050208e-07
1	XRCC1	1.1908892807385089e-07
1	CXCL8	1.1889155882579043e-07
1	SHARPIN	1.1889088182082095e-07
1	JAK2	1.1835653563050378e-07
1	PLA2G4A	1.1822069234086484e-07
1	ICAM1	1.1797000245213672e-07
1	NEIL1	1.1779098639464717e-07
1	NR5A1	1.1709669848698269e-07
1	IGKC	1.163947700544491e-07
1	AAAS	1.1620427807068818e-07
1	TAC1	1.1618781413818398e-07
1	ZMPSTE24	1.1617137640127462e-07
1	AGL	1.1606902289473564e-07
1	GNAS	1.1599553954024658e-07
1	CXCL2	1.1595365245058169e-07
1	CYBB	1.1589954930613698e-07
1	LEPR	1.1588778523914351e-07
1	ELN	1.1576365959223425e-07
1	PLA2G7	1.1570287824287097e-07
1	PROP1	1.1567193298772559e-07
1	PARN	1.1557365862273121e-07
1	BCS1L	1.1554828755186745e-07
1	LEP	1.153433852769332e-07
1	GCDH	1.1488887975343642e-07
1	DSG1	1.1477261741050008e-07
1	SARS2	1.1465258490398816e-07
1	PHKA2	1.142317652527421e-07
1	CLDN16	1.1416721746588329e-07
1	AIP	1.1411882199472958e-07
1	PFKM	1.1335665366479598e-07
1	MYH9	1.1278042735861768e-07
1	IKZF1	1.1228907636369944e-07
1	GK	1.1209714979636263e-07
1	COL4A3	1.1191670186069998e-07
1	TARS	1.1145667765428495e-07
1	HPGD	1.1111099725082527e-07
1	MTR	1.1093423204803591e-07
1	IGHG1	1.0982053400280824e-07
1	VKORC1	1.0953476733721112e-07
1	PRKAR1A	1.0938150034723743e-07
1	MYLK	1.0791415338386753e-07
1	ABCB1	1.0775325569707693e-07
1	HLA-DRA	1.0733058741925655e-07
1	TNFRSF1A	1.072909715069884e-07
1	COL4A5	1.0727491443747263e-07
1	MMP9	1.0722964664159179e-07
1	MECP2	1.0713214284355191e-07
1	SLC9A6	1.0708716092508035e-07
1	COL4A4	1.0702192840666346e-07
1	IGHG2	1.0671212619826432e-07
1	VCAM1	1.0620963023614911e-07
1	CX3CR1	1.0613368068780369e-07
1	APP	1.0577863017047374e-07
1	MCM4	1.0522190828117145e-07
1	IRS1	1.0493251756395301e-07
1	IL21R	1.0482162025245781e-07
1	IER3	1.0470917512944367e-07
1	CPM	1.041375956426447e-07
1	GBA	1.0389227876055874e-07
1	CELA2A	1.0364902771278619e-07
1	HNRNPA2B1	1.0327915390806343e-07
1	ABCD4	1.0287184112409835e-07
1	NPHS1	1.0277047298112203e-07
1	PTPN22	1.0276372844890708e-07
1	IL7R	1.0275329847372541e-07
1	ATF3	1.026502306650635e-07
1	ABCA1	1.0201062253504993e-07
1	STAT3	1.0174362059397447e-07
1	SLC12A1	1.0164352062382842e-07
1	ZFP36L1	1.0163954754298403e-07
1	MAOB	1.0134109544975357e-07
1	PTH	1.011190302723738e-07
1	TERC	1.007971338426683e-07
1	LIPC	1.0060352547333079e-07
1	IL2RG	1.0059373727748171e-07
1	APC	1.0015249246965635e-07
1	NOTCH3	9.989093081244149e-08
1	TNFSF15	9.976349279449622e-08
1	MCCC1	9.960882138890378e-08
1	PYGL	9.96054610510693e-08
1	TTR	9.958498393904616e-08
1	ATM	9.946764787317821e-08
1	NOTCH2	9.944189701444735e-08
1	TGFB2	9.942572772385274e-08
1	CASP10	9.912114005343905e-08
1	NFE2L2	9.888821845224753e-08
1	HNF4A	9.874099623639506e-08
1	MUC1	9.857860284237871e-08
1	PDGFB	9.844710320204061e-08
1	RTEL1	9.825722945539754e-08
1	ADRB2	9.801581250147375e-08
1	PNLIPRP1	9.78183199447137e-08
1	ATL3	9.776027521623653e-08
1	GNA11	9.701097310082437e-08
1	NHP2	9.67039680407541e-08
1	NPHS2	9.658420262859411e-08
