multiplex	node	score
1	BMP15	0.00025299570534221367
1	FOXL2	0.00025054733554169745
1	FSHR	0.0002497945125523087
1	NR5A1	0.00024444349326657223
1	PSMC3IP	0.00023630524419655498
1	DIAPH2	0.00020286377806637816
1	FMR1	0.00020269325713566657
1	EIF2B2	0.00020221230812765976
1	POLG	0.00020125751111659527
1	STAG3	0.0002010100824095322
1	GALT	0.00019762997715607128
1	LMNA	0.0001903385441479264
1	IQCB1	0.0001878456327712721
1	NPHP1	0.0001878391667574941
1	EIF2B1	0.00018689373739258304
1	TRAF3IP1	0.00018574284961986936
1	NPHP3	0.00018474574095169564
1	SDCCAG8	0.00018417175608926225
1	EIF2B5	0.0001824780004879176
1	EIF2B3	0.00018147007704576672
1	INVS	0.00018115833125168578
1	CEP164	0.0001809006074285345
1	LARS2	0.00018003645099754585
1	CIDEB	2.306550656598569e-05
1	NOBOX	2.2857881284459127e-05
1	FIGLA	2.275592181227582e-05
1	DACH2	2.2214282090337327e-05
1	CYP8B1	2.211831999166508e-05
1	HFM1	2.1632531312390547e-05
1	NR1H4	2.1130873734516944e-05
1	BMPR1B	1.992736470140441e-05
1	POF1B	1.9771066809224993e-05
1	DGAT2	1.938595441821428e-05
1	MCM8	1.9068727784452943e-05
1	ACAT2	1.8967269071827566e-05
1	HMGCR	1.8346240808526477e-05
1	NR1H3	1.8272335305791898e-05
1	MRPS22	1.798207383441731e-05
1	FOXO4	1.7801085684082423e-05
1	NUP107	1.7784427085276098e-05
1	PGRMC1	1.7614901306781e-05
1	HGD	1.054597607658023e-06
1	SF1	7.48390820726207e-07
1	NBN	5.730332371040487e-07
1	WT1	5.113007246068253e-07
1	CYP2C19	4.759327385120371e-07
1	FOXL2NB	4.6572645744897795e-07
1	NFE2L2	4.2337425253577945e-07
1	PMM2	4.097653420707115e-07
1	XPNPEP2	4.036355220277841e-07
1	ATM	3.728778969658634e-07
1	GNRHR	3.2130026806483303e-07
1	TP53	3.2035890763653255e-07
1	FGFR1	3.066354803386766e-07
1	TAC3	3.040841098855815e-07
1	TACR3	3.0232758875093766e-07
1	F2	2.9575111059718114e-07
1	KISS1	2.903096230508611e-07
1	PTEN	2.872230126258075e-07
1	ESR1	2.837287697169009e-07
1	FGF17	2.813335991746981e-07
1	GP1BB	2.7787313909479785e-07
1	FGF8	2.768750915691688e-07
1	GNRH1	2.758686279968794e-07
1	CHD7	2.7245097838972016e-07
1	AIP	2.723847009914441e-07
1	USP8	2.655329426301345e-07
1	LBR	2.5885334299724674e-07
1	NSMF	2.587420330117272e-07
1	AKT1	2.5756646656654825e-07
1	CDH1	2.54799989190717e-07
1	CDKN1B	2.5443778704200364e-07
1	DUSP6	2.538639350293096e-07
1	ANOS1	2.517949428873523e-07
1	F7	2.4901088054271317e-07
1	BRCA2	2.456089781843034e-07
1	HS6ST1	2.4376236219614334e-07
1	TSC2	2.426855433610318e-07
1	MYH9	2.419361622529252e-07
1	CHEK2	2.387487922880852e-07
1	PLAU	2.361084837349496e-07
1	CYP17A1	2.3161960243137664e-07
1	ZMPSTE24	2.3022521888522654e-07
1	PIK3CA	2.258524511586247e-07
