multiplex	node	score
1	PRKAG2	0.004405648492469019
1	IL17A	3.00981639150585e-05
1	GHRH	2.9785126360157293e-05
1	TNF	2.9712682506116713e-05
1	FSHR	2.958244848922778e-05
1	CYP11B2	2.9098163428473826e-05
1	NOS2	2.857646433366366e-05
1	MYBPC3	2.810414559798581e-05
1	ADIPOQ	2.8074431283681717e-05
1	ADRB2	2.764582477397429e-05
1	HSPA1A	2.7355025309815568e-05
1	VEGFA	2.6072953381945768e-05
1	CCL2	2.584625996461702e-05
1	SCNN1A	2.542162718488594e-05
1	ACE	2.541646274412705e-05
1	NOS3	2.5105300600763757e-05
1	TGFA	2.510144516140585e-05
1	ADA	2.5022159213745288e-05
1	ALOX5	2.483798478926549e-05
1	CFH	2.477673558135446e-05
1	CAT	2.462121646638786e-05
1	CFI	2.4451179133014056e-05
1	EPHB4	2.417066807065462e-05
1	SGMS1	2.4143503392995412e-05
1	CD46	2.371236976768885e-05
1	SCN5A	1.7405463929452033e-06
1	HCN4	9.936683014294461e-07
1	ANK2	8.605304587413213e-07
1	KCNJ5	7.638529611987786e-07
1	SENP2	6.072898009002743e-07
1	GLA	4.863260610876303e-07
1	KCNA5	4.768993793986889e-07
1	MT-CO1	4.6842751694648405e-07
1	SLC17A5	4.5283765068830503e-07
1	MT-CO2	4.3132587969628535e-07
1	MT-ND1	4.2958838109975e-07
1	MT-ND5	4.290489663689979e-07
1	MT-CYB	4.290261498745914e-07
1	MT-CO3	4.289353780362911e-07
1	MT-ND6	4.2853950359699607e-07
1	CSRP3	4.1576998639126545e-07
1	SLC25A20	4.065836159902366e-07
1	GAA	4.062421921358127e-07
1	HFE	3.926432966186786e-07
1	IL6	3.7849006760588127e-07
1	ADCY2	3.6939450963060925e-07
1	DTNA	3.6901563934849393e-07
1	SERPING1	3.666750006656105e-07
1	TBX5	3.650343183785814e-07
1	ABCC9	3.5492174717871473e-07
1	KCNJ2	3.489617226007063e-07
1	SCN1B	3.44800858600687e-07
1	AGXT	3.443016988025682e-07
1	GBE1	3.32988369442928e-07
1	PTGS2	3.1406815013008644e-07
1	ALB	3.1398518848789705e-07
1	SCN4B	3.052548153286416e-07
1	GNAI2	3.045645322822328e-07
1	PAX2	3.001103432623569e-07
1	JAK2	2.8809579378705876e-07
1	PRKAA1	2.845846075163792e-07
1	LAMP2	2.7978600258254463e-07
1	GPX4	2.7846899576040857e-07
1	F5	2.737054453113375e-07
1	PDE6G	2.724317412289844e-07
1	MYH7	2.7217932808962185e-07
1	MTM1	2.708726625126451e-07
1	EMD	2.6717407949067e-07
1	CHRM3	2.6330776489901836e-07
1	BMP2	2.622796815337524e-07
1	STX2	2.580878826248466e-07
1	ACAD9	2.5738629695623483e-07
1	FAH	2.5511561658228957e-07
1	CAV1	2.5465924375061724e-07
1	MYO1C	2.5348267960808553e-07
1	LMNA	2.5322901694951046e-07
1	NPPA	2.52541365968838e-07
1	EDN1	2.5224257977688626e-07
1	FLT4	2.5165347681677366e-07
1	TGFB1	2.4994521568112835e-07
1	ABCC6	2.497699985896984e-07
1	TNNT2	2.4823985468773777e-07
1	TSC2	2.4308402941587045e-07
1	PPARGC1A	2.4071734401735555e-07
1	VHL	2.377038773818817e-07
1	DHDDS	2.3541180964895311e-07
1	LPP	2.3519336172155695e-07
