multiplex	node	score
1	MUC2	0.0003159974683689672
1	EPCAM	0.0002815031247730531
1	TYMS	0.0002719214149703207
1	PMS2	0.00026173418568491917
1	MCC	0.00025751396724615466
1	MLH1	0.00025565298717034936
1	PMS1	0.0002543994991677023
1	TGFBR2	0.00025351484786427346
1	FAN1	0.0002532301156906265
1	MSH6	0.00025226232226738856
1	MLH3	0.00025218429395999856
1	EGFR	0.00025189167633466055
1	MSH2	0.00025095999178890315
1	APC	0.00025009604242455156
1	CDKN1B	0.00024893240272625197
1	KRAS	0.00024851214812003565
1	PIK3CA	0.00024770624281789626
1	NRAS	0.0002468386016923222
1	IQCM	2.491462792759782e-05
1	TP53	2.0443708546124022e-05
1	PDGFRA	1.9839362228623226e-05
1	SEMA4A	1.958532189846931e-05
1	STK11	1.9380439593491204e-05
1	SDHC	1.926654497573121e-05
1	SDHA	1.8938435943162924e-05
1	SDHB	1.8878601511575986e-05
1	NTHL1	1.872182491844968e-05
1	RPS20	1.8416342638854607e-05
1	CDKN2A	2.0078886699473388e-06
1	NS	7.780426339106741e-07
1	SMAD4	7.483763047209037e-07
1	PTEN	7.366948929805246e-07
1	ERBB2	5.485094697944206e-07
1	CTNNB1	5.259208716108364e-07
1	VHL	5.200455459781875e-07
1	CDKN1A	5.1178501816659e-07
1	COL14A1	5.058525050135012e-07
1	BRCA1	5.045107654637369e-07
1	CHEK2	5.008111187358754e-07
1	CDKN2C	4.914143329213626e-07
1	MDM2	4.820022020414669e-07
1	BAP1	4.7115720397537004e-07
1	HRAS	4.5436858155486015e-07
1	CDKN2B	4.518579281267944e-07
1	CDH1	4.486636828406914e-07
1	BRAF	4.3608588634970707e-07
1	SOD2	4.357619221687674e-07
1	AKT1	4.193716148870534e-07
1	RB1	4.1702718896742686e-07
1	MIR222	4.087226792558604e-07
1	MIR34B	4.017932825573264e-07
1	MIR155	4.0166185566039174e-07
1	MIR34C	4.0163841186843614e-07
1	ATM	3.9900550199172905e-07
1	PIK3CB	3.874487048622309e-07
1	MSH3	3.465272353054169e-07
1	FGFR3	3.436028663412854e-07
1	PRKAR1A	3.3597792198131017e-07
1	PTPN11	3.358647523715086e-07
1	FGFR2	3.18996499255464e-07
1	NBN	3.066864978255677e-07
1	SPINK1	2.9694238499200627e-07
1	GNAS	2.9098423019981583e-07
1	SMAD3	2.8602281216404026e-07
1	EP300	2.763897659512153e-07
1	PROM1	2.7480064420224056e-07
1	PPM1D	2.7471343222982477e-07
1	GSK3B	2.6705251981891715e-07
1	RB1CC1	2.667601095974855e-07
1	BMPR1A	2.657323106003248e-07
1	SDHD	2.623924133704573e-07
1	PRKN	2.6106500326723765e-07
1	RAF1	2.5668879098854564e-07
1	CASP8	2.4999916707056243e-07
1	BRCA2	2.491618638476616e-07
1	USP8	2.3869803664368274e-07
1	PTGS2	2.32075964048423e-07
1	AIP	2.3200213530932368e-07
1	DLC1	2.3154431254503782e-07
1	CREBBP	2.3127608703909707e-07
1	BCL2	2.311737079824206e-07
1	RPS19	2.295433576709949e-07
1	RRM2	2.2908487596182956e-07
1	CSNK1A1	2.277040280674252e-07
1	TSC2	2.257674135097042e-07
1	ATXN7L1	2.2538476565401068e-07
1	ESR1	2.2535341289354978e-07
1	HMGA1	2.2347734304883135e-07
1	MAPK1	2.2224112359455644e-07
1	XRCC3	2.1933660550746482e-07
1	TSG101	2.1786151295340464e-07
1	NF1	2.1746763829431664e-07
1	IGF1	2.164362199085053e-07
1	MEFV	2.143795879443886e-07
1	FERMT1	2.1311684308941518e-07
1	CCND1	2.126563456763342e-07
1	INHBA	2.1083703104220657e-07
1	MUTYH	2.0931298315012207e-07
1	DICER1	2.0868777578402738e-07
1	DLEC1	2.059948398283992e-07
1	BRIP1	2.0126951453750134e-07
1	BUB1B	1.995109385991879e-07
1	RASA1	1.9890083088358484e-07
1	PALB2	1.9872038181291443e-07
1	VEGFA	1.9864232624506593e-07
1	POLH	1.9677661044044123e-07
1	DPYD	1.9670887846745332e-07
1	RNF6	1.929006536263855e-07
1	SOS1	1.9275937395561015e-07
1	KMT2A	1.9273852655056524e-07
1	PBRM1	1.910250647762178e-07
1	SOS2	1.8872777208254502e-07
1	KATNAL1	1.874007505420157e-07
1	RAD51	1.865056558709669e-07
1	SHOC2	1.8603025376995618e-07
1	PRAME	1.8601223793391822e-07
1	ATRX	1.806188218952867e-07
1	WT1	1.7877407381862495e-07
1	STAT3	1.767419519710305e-07
1	PTCH1	1.7650384658358318e-07
1	FOXE1	1.7597250679249617e-07
1	IRF1	1.7487134863859214e-07
1	TGFBR1	1.748221698700097e-07
1	IFNG	1.745939711873929e-07
1	HABP2	1.7413636162033533e-07
1	ERCC4	1.7363206049826497e-07
1	ERCC6	1.6955293286138952e-07
1	NCOA3	1.6912921485013297e-07
1	PARK2	1.6433260833713984e-07
1	GOLT1B	1.6340638057951366e-07
1	FAM161B	1.633735352957135e-07
1	CFB	1.6217103089164472e-07
1	AGTR1	1.5927877639012227e-07
1	GH1	1.589244650053933e-07
1	NOTCH2	1.5837286134269668e-07
1	TLR4	1.5632889839222639e-07
1	KAT6B	1.5602830729179822e-07
1	PTPN14	1.546618429774912e-07
1	FGFR1	1.5436050926969956e-07
1	LMNA	1.5370975545406461e-07
1	SRSF10	1.536336957542992e-07
1	CASP10	1.534762979574211e-07
1	SLC22A18	1.5325354127985427e-07
1	TWIST1	1.522274757914321e-07
1	C5	1.518771049243007e-07
1	MED12	1.5174663824998613e-07
1	MAP2K1	1.513703423092879e-07
1	BAZ1B	1.5136176188537771e-07
1	IPO11	1.5121997472048854e-07
1	DRD2	1.511335428982556e-07
1	ATF7IP	1.4772103227391726e-07
1	POLA1	1.4741949131117617e-07
1	XPC	1.4686066726088206e-07
1	MYC	1.4606129668884315e-07
1	MAPK3	1.444530931601481e-07
1	WWOX	1.4440981409026115e-07
1	KIT	1.444004154434003e-07
1	LZTR1	1.4384366283178113e-07
1	ARID1A	1.4110275270175691e-07
1	GOLGA7	1.401529893307728e-07
1	IL6	1.401309502804373e-07
1	BCL2L1	1.4007476060322973e-07
1	SEC23B	1.3978871322550648e-07
1	PHB	1.3881449389899265e-07
1	SETD2	1.3866118604313615e-07
1	ERCC2	1.3727527454602005e-07
1	HEATR5B	1.3713924712929658e-07
1	THRB	1.365631934216806e-07
1	OTUD6B	1.353688217457471e-07
1	NFKB1	1.3535342929781933e-07
1	METTL14	1.35076453957281e-07
1	SUFU	1.3464970688073996e-07
1	ABRAXAS1	1.3447416914896604e-07
1	LYRM7	1.3437706259475575e-07
1	YAP1	1.343651656322805e-07
1	CHTOP	1.343216150782335e-07
1	MTOR	1.3427314121200574e-07
1	JAK2	1.3374268764840199e-07
1	MINPP1	1.32555060832735e-07
1	TOP2A	1.3232136443723963e-07
1	CNOT4	1.3181096103300687e-07
1	BACH1	1.310233994952868e-07
1	ABCB1	1.3063788365573768e-07
1	RAD21	1.2986784556888618e-07
1	FANCG	1.2949071342986445e-07
1	FAS	1.2878850965653274e-07
1	ZHX1	1.2792972704961432e-07
1	LATS1	1.2785467807751344e-07
1	RIT1	1.2725119508701493e-07
1	GNAQ	1.268207844831508e-07
1	MFSD6	1.267916484185114e-07
1	DDB2	1.2640777923430238e-07
1	FOXP1	1.263627699362834e-07
1	C2orf69	1.2614167909939642e-07
1	EDNRB	1.24540287678587e-07
1	PCNA	1.2443603283247862e-07
1	BARD1	1.2406711345522275e-07
1	RASSF1	1.2345813219995912e-07
1	BICRAL	1.2313489791112798e-07
1	FMR1	1.2303447075877931e-07
1	TMEM242	1.226833725119428e-07
1	TP63	1.223808792868455e-07
1	ZNF22	1.2208274692785757e-07
1	GABPA	1.2121522089019406e-07
1	CPOX	1.2101700958710605e-07
1	SLC25A40	1.2095550653187353e-07
1	SMC3	1.20928150636516e-07
1	UMPS	1.2024921483204474e-07
1	RRM1	1.199275622885562e-07
1	IGF2	1.1990684154329103e-07
1	BIRC2	1.1938372805942412e-07
1	KMT2D	1.1938262768900776e-07
1	TGFBR3	1.1932720951923917e-07
1	RAD54L	1.1906423717435346e-07
1	FASLG	1.1877611110882765e-07
1	ATP7A	1.185180414543817e-07
1	ERCC5	1.1847118662732807e-07
1	PRKG1	1.1700921319792631e-07
1	ZEB1	1.169059418989642e-07
1	BCLAF1	1.1614506267709494e-07
1	RASA2	1.1613700135277963e-07
1	TET2	1.1595395849016328e-07
1	NDRG1	1.1590460830230059e-07
1	TCF12	1.1564855241025065e-07
1	FANCD2	1.1552567550869442e-07
1	UROD	1.1536808015586751e-07
1	DNMT1	1.1526946501889655e-07
1	RBM4	1.1517185450657542e-07
1	AXIN1	1.1485299787247536e-07
1	RAD51C	1.144923923522948e-07
1	XPA	1.1438575530247687e-07
1	MMP9	1.1426528052609867e-07
1	STK24	1.1389236832813374e-07
1	LBR	1.1369307465404205e-07
1	CFLAR	1.1336292941600055e-07
1	PPP2R1B	1.1335622051593297e-07
1	HIF1A	1.1322878134739923e-07
1	SMARCA4	1.1312461776452085e-07
1	ORC5	1.1267283903304805e-07
1	MYD88	1.1264996952465107e-07
1	BLM	1.1263819061494684e-07
1	IGF1R	1.1237050631906436e-07
1	TPM3	1.1171668936572223e-07
1	LYST	1.1157073192984761e-07
1	CDYL	1.1143850166634578e-07
1	CAV1	1.107262704213464e-07
1	KLF6	1.1053703931780985e-07
1	ERCC3	1.1017043445143926e-07
1	CEP57	1.0990575716713132e-07
1	CAMSAP1	1.0891035477736127e-07
1	DNAJC10	1.0887985919451841e-07
1	RFC2	1.0883948583394584e-07
1	AGPS	1.079285343050996e-07
1	HMMR	1.0747466941700207e-07
1	FEZ1	1.0656099334538982e-07
1	RAB10	1.0648177799862868e-07
1	NCOA2	1.0577886917638016e-07
1	CXCL8	1.0573779794802693e-07
1	MTHFR	1.0563319923547991e-07
1	IL1B	1.0559825391017185e-07
1	FAT1	1.0550296997817582e-07
1	KMT2E	1.0547552264109151e-07
1	CBL	1.0546298973587293e-07
1	TRPV1	1.0520086613550045e-07
1	CYP2A6	1.0513594370030254e-07
1	RFC1	1.0486555610908764e-07
1	STAT6	1.0465176944802515e-07
1	OCRL	1.0464067163764014e-07
1	RELA	1.0461725696723333e-07
1	AR	1.0452354292125806e-07
1	SUZ12	1.0449344820444115e-07
1	SMC1A	1.0421231070401282e-07
1	TMPO	1.0419509221130923e-07
1	GPX1	1.0417508503622337e-07
1	SPARC	1.040102872248598e-07
1	BCL10	1.0366697095513786e-07
1	ENSA	1.0348413681425265e-07
1	ARID1B	1.0344505269603867e-07
1	COX11	1.033153656896598e-07
1	XIAP	1.0267511486387165e-07
1	MGA	1.0255311482913173e-07
1	CTLA4	1.0244954619219302e-07
1	BIRC3	1.0217758338903194e-07
1	TGFA	1.0189832823276263e-07
1	CFL2	1.0186143323353274e-07
1	CDS1	1.0180085969910471e-07
1	LZTS1	1.0138211305788883e-07
1	ETAA1	1.0133132249976458e-07
1	RNF139	1.0084535610928666e-07
1	RARB	1.0032001314007148e-07
1	TBC1D12	9.960881299382456e-08
1	POLK	9.939505649773046e-08
1	PLSCR4	9.938757685656998e-08
1	DHFR	9.932085661390871e-08
1	FANCA	9.871876509028473e-08
1	MALT1	9.845731897443616e-08
1	ADAM17	9.83945684120003e-08
1	SP1	9.812795863573801e-08
1	KDM6A	9.745742815346262e-08
1	FAM149B1	9.728875968936526e-08
1	ZMPSTE24	9.698811978491783e-08
1	GTF2I	9.681943619266393e-08
1	PICALM	9.659519872207015e-08
1	PSEN1	9.641312216025053e-08
1	FBXO11	9.606118270706617e-08
1	SGPP1	9.586376919413266e-08
1	BRD4	9.586245002481863e-08
1	NDUFS1	9.580798091491824e-08
1	MAP3K2	9.576260441278437e-08
1	IRF2	9.573856409000109e-08
1	TMEM260	9.56175009136066e-08
1	THUMPD1	9.543630797028338e-08
1	RNF38	9.525212404292836e-08
1	SKP2	9.515800568300356e-08
1	GSTM1	9.494207980411111e-08
1	DEC1	9.49034612792828e-08
1	APOBEC3B	9.481243054575877e-08
1	FANCC	9.479978864028519e-08
1	NCOA1	9.471778382519596e-08
1	MED1	9.460794153290353e-08
1	NCOR1	9.409985714116683e-08
1	COX15	9.38999513528208e-08
1	USP32	9.388305558505635e-08
1	PPP6C	9.346426217339875e-08
1	FBXL4	9.336325081524712e-08
1	MAP3K8	9.335654927649907e-08
1	CNR1	9.320453821628837e-08
1	TYMP	9.285016333131573e-08
1	FAM120C	9.274861676887825e-08
1	TRIP11	9.268163321767908e-08
1	PIK3R1	9.25150991114781e-08
1	F5	9.244688634042284e-08
1	AGGF1	9.227247116675259e-08
1	CLCN3	9.183729574301738e-08
1	BMI1	9.165231941234555e-08
1	TRPM7	9.138371307137559e-08
1	SRC	9.127344202989363e-08
1	OPCML	9.124379507815356e-08
1	FANCE	9.115339686334891e-08
1	CPD	9.093515641124893e-08
1	RECQL4	9.09165546472511e-08
1	JAG1	9.076640822768307e-08
1	RNF13	9.067839488586664e-08
1	GBA	9.046420452338863e-08
1	ATR	9.012200938259454e-08
1	MAP2K2	8.985746778687931e-08
1	KMT2C	8.980814852715564e-08
1	NIPBL	8.960600928069508e-08
1	C16orf72	8.95716936571957e-08
1	NQO2	8.925880733153654e-08
1	RPGRIP1L	8.925388956139646e-08
1	TAB2	8.92464523104343e-08
1	AP5M1	8.90785768512437e-08
1	GUF1	8.907292903654949e-08
1	PTPN12	8.906020307089429e-08
1	IQGAP1	8.878558243371246e-08
1	SMARCB1	8.825470874204097e-08
1	AFTPH	8.794646402517013e-08
1	SPAST	8.787779913963064e-08
1	AURKA	8.781127947758677e-08
1	WIPF1	8.756496904209096e-08
1	RUNX1T1	8.732253618196735e-08
1	CREB1	8.657703719203232e-08
1	SYNE1	8.650671771572316e-08
1	ADD3	8.640301513256306e-08
1	PARN	8.635000180581935e-08
1	PRNP	8.604558113175667e-08
1	STPG1	8.603532387597789e-08
1	FBN1	8.594334380454828e-08
1	BPTF	8.593540820592829e-08
1	ACTA2	8.589045398237486e-08
1	ADAM10	8.555463714369997e-08
1	TGFB1	8.549553915584118e-08
1	AREG	8.5360937304717e-08
1	RAP1A	8.526015007698095e-08
1	KHSRP	8.51821301338022e-08
1	SPIRE1	8.515538373927516e-08
1	MAL	8.514836030294538e-08
1	RAC1	8.513878072415373e-08
1	BUB3	8.492928302415117e-08
1	ZNF655	8.483310956692769e-08
1	DOLK	8.481845008354886e-08
1	HELQ	8.413067419795805e-08
1	PRDM2	8.4122513587585e-08
1	AXIN2	8.409134036690246e-08
1	SMARCA2	8.407943009820677e-08
1	XRN2	8.388094557524609e-08
1	TCF7L2	8.375919543104322e-08
1	FN1	8.37574824538948e-08
1	MYCN	8.364499767901652e-08
1	XRCC2	8.358527405080278e-08
1	FIG4	8.355221609414964e-08
1	TBL2	8.337345796987788e-08
1	GJB1	8.32863997080498e-08
1	SOX2	8.317140158496606e-08
1	ZDBF2	8.30583470461415e-08
1	MDM1	8.292482826037209e-08
1	RECK	8.289721365692868e-08
1	RASSF8	8.26697212319798e-08
1	PAK2	8.25134847969515e-08
1	FBXW7	8.241051489583061e-08
1	AGL	8.22188115056368e-08
1	CEBPA	8.212569020834982e-08
1	ALMS1	8.21169438537575e-08
1	IGH	8.211420892160637e-08
1	MYLK	8.200554751807775e-08
1	DCC	8.198270119505435e-08
1	FBXL3	8.174695932924383e-08
1	LARS1	8.172192002694475e-08
1	RAP1B	8.147335489191823e-08
1	PRKDC	8.134642875375487e-08
1	ATP2C1	8.120490612874937e-08
1	RPS6KA3	8.108295924470664e-08
1	ZNF106	8.10593009164321e-08
1	INSR	8.098550050943823e-08
1	RNF144A	8.082531249930885e-08
1	ANKFY1	8.058090714668341e-08
1	RET	8.052472737600422e-08
1	RAP2A	8.043876707950611e-08
1	ITGB1	8.041232745752407e-08
1	PREPL	8.038988959354563e-08
1	UBE3A	8.030433535777064e-08
1	NOTCH1	8.017957471160513e-08
1	CYP26A1	7.986957000133266e-08
1	ABCC9	7.9757914205087e-08
1	SLAIN2	7.967224128597922e-08
1	MLLT10	7.958418781985864e-08
1	PARP1	7.940778482187876e-08
1	EFEMP1	7.937496834915141e-08
1	PEX1	7.923361946463243e-08
1	SBF2	7.896944357969319e-08
1	FLI1	7.891991718752931e-08
1	CLPTM1L	7.88263698708646e-08
1	IL6ST	7.877520166145255e-08
1	PARP4	7.87180596657472e-08
1	GRP	7.864073474114403e-08
1	OGG1	7.846942888906487e-08
1	COL4A2	7.84223252852375e-08
1	ERG	7.830080833120889e-08
1	MT-CO2	7.824755779067264e-08
1	LPIN2	7.81485023607591e-08
1	DAXX	7.812657449717591e-08
1	DKC1	7.812445902391689e-08
1	CEP290	7.798829976736106e-08
1	CASP2	7.79549469715242e-08
1	L1CAM	7.794422027675692e-08
1	PIAS1	7.788086374901824e-08
1	FKTN	7.783701116759349e-08
1	ACVR1	7.767015541490392e-08
1	CDK19	7.753001569949903e-08
1	SDCCAG8	7.752970211970142e-08
1	MKS1	7.752331614886707e-08
1	PTMA	7.750581628098182e-08
1	USP15	7.732231570497697e-08
1	GJA1	7.729474540031721e-08
1	PDGFRB	7.721828960864823e-08
1	HAX1	7.682512729054958e-08
1	ATL3	7.67078956028944e-08
1	TNF	7.648692478284176e-08
1	MTR	7.638227581395118e-08
1	PEX3	7.633247085417801e-08
1	PTK2	7.617314941643928e-08
1	MAN1A2	7.582129369746526e-08
1	BECN1	7.574832463543985e-08
1	BAX	7.563416749540589e-08
1	ECM1	7.541516552936761e-08
1	TINF2	7.535962476129007e-08
1	EMSY	7.535107308339717e-08
1	GLI2	7.535031318244926e-08
1	STIM1	7.531969453126737e-08
1	NCOA4	7.530311027886034e-08
1	MTRR	7.528599200505712e-08
1	CDC73	7.524436824229409e-08
1	HMG20A	7.51852281397497e-08
1	MUC4	7.509949273350844e-08
1	ZNF322	7.508655911224745e-08
1	FTO	7.488608287058834e-08
1	SLC39A4	7.483002825639924e-08
1	APP	7.477562818634824e-08
1	UBQLN2	7.466166415356616e-08
1	RHOA	7.461818617244393e-08
1	TRIM44	7.45224758418249e-08
1	AFG3L2	7.441938038964719e-08
1	SUCLA2	7.41799563968106e-08
1	ZSCAN21	7.390746096620841e-08
1	CYP1B1	7.380152581171681e-08
1	DLD	7.378006258585941e-08
1	CTSC	7.36481360582034e-08
1	RAD51D	7.343064787857519e-08
1	MCM4	7.332913602369733e-08
1	TSC1	7.329124469994563e-08
1	EFR3A	7.326117959891235e-08
1	XPO4	7.32234317514822e-08
1	CEP68	7.322249329758447e-08
1	GALC	7.320550571816839e-08
1	CUL4B	7.315107314965196e-08
1	ZFYVE9	7.311785074643606e-08
1	DLG1	7.311537306533277e-08
1	TOPORS	7.306424118376859e-08
1	TBK1	7.283896744517298e-08
1	TPP2	7.280322140590602e-08
1	TARDBP	7.268088807223468e-08
1	ADA	7.261873104718973e-08
1	KDM4A	7.22880331752121e-08
1	IDH1	7.2216886736127e-08
1	BROX	7.190892717656881e-08
1	CHD6	7.176932246478767e-08
1	TMF1	7.1756920381307e-08
1	KRT17	7.174146259954546e-08
1	MCM9	7.172276217821868e-08
1	PTCH2	7.166504181961182e-08
1	TFDP2	7.14528595531792e-08
1	MMGT1	7.132178159365508e-08
1	VCP	7.128789169942031e-08
1	POT1	7.12696418782932e-08
1	ERAP1	7.110304805875169e-08
1	SLC2A1	7.105691652965466e-08
1	MPP5	7.104603658153597e-08
1	FOXM1	7.104537354910561e-08
1	KIF1B	7.097767910899389e-08
1	DNAJC16	7.089261532497963e-08
1	LZTFL1	7.084194689880787e-08
1	TRAF3IP1	7.054156690988464e-08
1	KEAP1	7.051885994928355e-08
1	RERE	7.02074469740509e-08
1	OXR1	7.011691430680256e-08
1	TRMT1L	7.010527612144094e-08
1	PRF1	6.988393145679078e-08
1	KLF5	6.970165875494947e-08
1	PTPN22	6.965245517064482e-08
1	DIP2C	6.964272383778243e-08
1	LRG1	6.958708732414602e-08
1	SATB2	6.953438301481649e-08
1	LRRK2	6.94865507563887e-08
1	NRP1	6.921916180807336e-08
1	ATP1A1	6.918397679926503e-08
1	INVS	6.906768946921609e-08
1	DYNC2H1	6.883386712775625e-08
1	TCF4	6.879615789412527e-08
1	SYNJ1	6.876784862618654e-08
1	LUZP1	6.866862844558993e-08
1	ZNF770	6.850996258696981e-08
1	IFNGR1	6.847803437690022e-08
1	TPR	6.829918053170503e-08
1	CUL3	6.794356418953639e-08
1	CD2AP	6.790909517979188e-08
1	MBD5	6.789861522525901e-08
1	CSNK2A1	6.784882812373449e-08
1	KDM1A	6.780089932725063e-08
1	KAT6A	6.767796929026441e-08
1	LTN1	6.764241225292108e-08
1	TMEM245	6.751978915366762e-08
1	HLA-B	6.748092684543512e-08
1	ALOX5	6.740641605501244e-08
