multiplex	node	score
1	IL4	0.00040519699927261016
1	NPY	0.0003792038031490416
1	VIP	0.0003759672905246642
1	ARMC4	0.00036546179004175725
1	CFTR	0.0003609509230846546
1	LRRC6	0.0003596301450607853
1	HYDIN	0.00035650325948065206
1	ZMYND10	0.00035524567239922074
1	HRH1	0.00034917198679796713
1	TBXA2R	0.00034485252879454714
1	SPAG1	0.00032842461832834123
1	HNMT	0.00032273662856179653
1	DNAAF5	0.0003055928613940327
1	IDUA	0.00029926749156798573
1	IL13	2.2146508538706694e-05
1	CCDC103	2.190795671623394e-05
1	TTC25	2.1252753156090753e-05
1	CCL11	2.120246466517968e-05
1	TNF	2.1155831155268403e-05
1	DNAI2	2.1126770550866543e-05
1	RSPH4A	2.107158465997193e-05
1	CCDC65	2.1014658429073517e-05
1	CCR3	2.1006033131303936e-05
1	MUC5AC	2.078557792710775e-05
1	BDNF	2.026672249380006e-05
1	IL1B	2.0111158715693563e-05
1	DNAH11	2.004353807368375e-05
1	DNAH5	1.998358364274809e-05
1	HDC	1.9529664003899728e-05
1	RSPH3	1.7400998109789974e-05
1	C3	1.722402324641356e-05
1	DNAL1	1.7116742451197134e-05
1	STK36	1.6699536862310254e-05
1	MFN1	1.651461937406918e-05
1	RFXANK	1.6497359430309285e-05
1	OPA1	1.6446077472236683e-05
1	FIS1	1.6327172088427806e-05
1	PRKAG2	8.009795246676101e-07
1	ACTA2	7.807467172549198e-07
1	CST1	7.376353620221848e-07
1	HBB	7.317728265656159e-07
1	PITX3	6.846280940320172e-07
1	DNAI1	6.209527882540976e-07
1	NAA10	6.070336482962913e-07
1	SLC26A2	6.038633731713103e-07
1	BMP4	6.032905380425461e-07
1	TSEN54	5.717186037223233e-07
1	DRC1	5.525240987025625e-07
1	AR	5.445288814979732e-07
1	SERPINH1	5.052069291249055e-07
1	WFS1	4.7638250290876434e-07
1	KIF1A	4.707034414251763e-07
1	RSPH1	4.660806438570767e-07
1	FOXJ1	4.639681678686063e-07
