multiplex	node	score
1	POMC	0.001736184013586626
1	NGF	0.0016988133480475304
1	RELA	0.001385912666682494
1	TNF	2.1595994908909075e-05
1	IL4	2.116879038636012e-05
1	LTA	2.1110209345695255e-05
1	ADCYAP1	2.095937962653283e-05
1	IL2	2.0925888389334587e-05
1	BDNF	2.0605849044520935e-05
1	IL11	2.0556049904696235e-05
1	IL1B	2.0320433374021804e-05
1	CX3CR1	2.0190238352117958e-05
1	MPO	2.014062074784052e-05
1	NGFR	2.0056975696185063e-05
1	ESR2	1.9832656054984057e-05
1	COX2	1.9830532984804273e-05
1	TACR1	1.953988894637603e-05
1	CSF3	1.927709155261643e-05
1	ADCYAP1R1	1.8946905747373043e-05
1	PTGS2	1.8609747075675422e-05
1	PTGER4	1.8145304361898945e-05
1	CX3CL1	1.8086762799378966e-05
1	ITGA6	1.7956517661607907e-05
1	IL18	1.7655024736127795e-05
1	KDR	1.7519103540837186e-05
1	CAT	1.7214255301424642e-05
1	SOD2	1.7095842459577934e-05
1	ITGB4	1.687011096757881e-05
1	MIF	1.6646025851593055e-05
1	SOD1	1.631420546455948e-05
1	BTK	1.6102037893574798e-06
1	IL10	1.1950471101908198e-06
1	DBH	1.0307287054564766e-06
1	NOS2	9.934827454867338e-07
1	IL1RN	8.634603442209534e-07
1	NTRK1	8.390799314527231e-07
1	UNG	8.088657807267824e-07
1	WFS1	6.655475016783511e-07
1	PLG	6.411272090199891e-07
1	LZTS2	6.376281891982014e-07
1	HGD	6.264800116445687e-07
1	NBN	6.262230143862059e-07
1	PRKAR1A	6.127431356448855e-07
1	CRH	6.114094383355252e-07
1	TPSAB1	5.716743046397486e-07
1	CD40LG	5.241866737261855e-07
1	HMBS	5.073159010052024e-07
1	FMR1	4.6849829524725045e-07
1	ABCB1	4.3133626266609765e-07
1	CYBB	4.260408124349176e-07
1	FOXC2	4.1564772607326925e-07
1	CYBA	4.1331052693814123e-07
1	PIM1	3.9557748520746985e-07
1	AKT1	3.947677347878068e-07
1	CXCL9	3.8981904220483025e-07
1	IFNG	3.8055022761070496e-07
1	BCHE	3.776458112457904e-07
1	GJA4	3.762276831640912e-07
1	RETREG1	3.722623515487863e-07
1	CXCL10	3.664393944038978e-07
1	NCF2	3.4761607187916326e-07
1	CXCL11	3.468832165125988e-07
1	IL6	3.4344082692444873e-07
1	XDH	3.428670871462473e-07
1	CYP2D6	3.3585216936011634e-07
1	HBEGF	3.3532579487142386e-07
1	CFI	3.304051970769294e-07
1	IGLL1	3.3040500733870333e-07
1	HBB	3.1483236040674623e-07
1	PTEN	3.146118912782409e-07
1	CD79B	3.122418830510231e-07
1	BLNK	3.114526428264213e-07
1	IGHM	3.0942142868474717e-07
1	MAP3K7	3.078845615646334e-07
1	CYP19A1	3.076714279766416e-07
1	PIK3R1	3.010649735066857e-07
1	ALB	3.009034166227542e-07
1	OXT	2.9984004933198655e-07
1	NTF3	2.974748130872064e-07
1	HLA-B	2.9530872022256847e-07
1	ABCB4	2.934996833452743e-07
1	VEGFA	2.89784036198508e-07
1	SPTLC2	2.810446842964832e-07
1	GSTM1	2.7410003444496003e-07
1	IFNA2	2.733083845995094e-07
1	TCF3	2.7304043509043597e-07
1	TRAF6	2.7201847100351803e-07
1	CD79A	2.7104127014975354e-07
1	TCIRG1	2.678176832421529e-07
1	CXCL8	2.6712420669454874e-07
1	MYH9	2.6709582764986756e-07
1	CCL2	2.665098112548306e-07
1	AR	2.661208728255012e-07
1	CDKN1A	2.6059725242392567e-07
1	NES	2.574277602679109e-07
1	SQSTM1	2.558453193962187e-07
1	SCN5A	2.552638756273305e-07
1	GJA1	2.551147012132691e-07
1	TP53	2.5457685081278026e-07
1	NQO1	2.541122333571456e-07
1	HCN4	2.5319945159792044e-07
1	LEP	2.5231139819270895e-07
1	PIK3CA	2.5106781466413375e-07
1	FGF2	2.501485930859548e-07
1	FOS	2.4981037874783483e-07
1	PRKAG2	2.481460346120457e-07
1	SLCO2A1	2.472664500711621e-07
1	BCAR1	2.463208714688572e-07
1	CCK	2.415245621654159e-07
1	ITGB2	2.4105493927571354e-07
1	SIRT1	2.397802188636349e-07
1	OPRM1	2.3781269069809936e-07
1	STAT1	2.3552533481843127e-07
1	HPGD	2.320843878829056e-07
1	CYP11A1	2.296407477799353e-07
1	ANK2	2.2931828752438698e-07
1	PEX5	2.2350463954132404e-07
1	MTHFR	2.2322478747519404e-07
1	JUN	2.222714109574733e-07
1	DNMT1	2.2187223534005095e-07
1	NPPB	2.213090325629993e-07
1	MNX1	2.209715739078609e-07
1	PNP	2.1740063070787429e-07
1	MAFG	2.153233700362607e-07
1	LAMA2	2.1510785602866844e-07
1	CFB	2.1449000264621548e-07
1	NFKB1	2.1253381929094173e-07
1	CBS	2.123254662003928e-07
1	MEFV	2.1061876379654132e-07
1	PROP1	2.0944643485923482e-07
1	ATL3	2.0755702505829958e-07
1	TGFB1	2.0451417921037888e-07
1	LPL	2.0263155899978308e-07
1	IL13	2.004519338989837e-07
1	DNMT3B	1.999441853017036e-07
1	GAD2	1.992551194534488e-07
1	NR5A1	1.991561409119985e-07
1	GBE1	1.9805519018190468e-07
1	ICAM1	1.9578664026587763e-07
1	MAPK3	1.9514922985806913e-07
1	ARNT2	1.9259000808037856e-07
1	GAST	1.9165167162648052e-07
1	MALAT1	1.8813802591195744e-07
1	INS	1.8788013339441617e-07
1	GLUL	1.8724999445805278e-07
1	BRCA1	1.8705633893460788e-07
1	C1R	1.8401671810572277e-07
1	PTGS1	1.8191535495410883e-07
1	MAPK1	1.812204001594963e-07
1	CXCL1	1.7943227620309895e-07
1	MC2R	1.791441098169934e-07
1	CDKN2C	1.7911519084569294e-07
1	LMNA	1.7550686504923778e-07
1	SLC35C1	1.7521881028442406e-07
1	ADRB2	1.751377564244095e-07
1	CDKN1B	1.7404703397214356e-07
1	ADIPOQ	1.733267823113729e-07
1	TAC1	1.7240856684266327e-07
1	SCNN1G	1.7164401574694436e-07
1	NOS3	1.7151446295111002e-07
1	RMRP	1.7083172737054806e-07
1	DEFB4A	1.707388996912153e-07
1	TNFRSF1A	1.698624259781423e-07
1	KDM4C	1.697162135463705e-07
1	MASP2	1.6947538984548289e-07
1	MPDZ	1.6934657362003304e-07
1	HLA-DQA1	1.680497291722041e-07
1	CDKN2B	1.6793474258742454e-07
1	MTRR	1.6723978020355928e-07
1	PARP1	1.665830402435711e-07
1	HK1	1.629415711855937e-07
1	NFKB2	1.622994075736595e-07
1	ZFP36	1.6224221383804903e-07
1	TPI1	1.6183582741771425e-07
1	GSK3B	1.6029494328331412e-07
1	IL1A	1.5936835844555167e-07
1	GK	1.5921131318581897e-07
1	GMPPA	1.5824833309872129e-07
1	ALDOA	1.5696346696366395e-07
1	CAV1	1.5658971035130054e-07
1	ALMS1	1.5590332054520963e-07
1	RHEB	1.5407299163883754e-07
1	COL1A1	1.5269981348433812e-07
1	ABCD4	1.5190897129037546e-07
1	SMAD4	1.4991458567950286e-07
1	IL2RG	1.4857984381616062e-07
1	ELANE	1.4828607868575274e-07
1	C5	1.466598128988923e-07
1	PKLR	1.4543075985516478e-07
1	MCM4	1.4474655872604205e-07
1	COL3A1	1.4435471358557827e-07
1	AAAS	1.4413701354952656e-07
1	TARS	1.4162274631669953e-07
1	IGKC	1.4107987712994792e-07
1	LYST	1.4097460279109594e-07
1	MTR	1.4068943475495844e-07
1	CYP27A1	1.402269996273341e-07
1	FAS	1.3969594941514258e-07
1	SRC	1.396316207042957e-07
1	IL21R	1.3958240412001157e-07
1	SNCA	1.3894865323015592e-07
1	GLA	1.388773344571947e-07
1	CRP	1.3651708049524444e-07
1	RAG1	1.3632444878795797e-07
1	MMACHC	1.3591166389294904e-07
1	IL7R	1.3510805366939346e-07
1	PLA2G4A	1.3497568546861992e-07
1	ZMYND10	1.3313845536496555e-07
1	TNFRSF10A	1.3279950866386174e-07
1	IGHG1	1.3227943340188534e-07
1	RAG2	1.3202953171485032e-07
1	IGHG2	1.3173911728966882e-07
1	SLC7A7	1.3171286384916473e-07
1	AIP	1.309482533167476e-07
1	HNRNPA2B1	1.3008147172664725e-07
1	MMP9	1.2978534998909815e-07
1	MYD88	1.2935062918064e-07
1	BPGM	1.2892148367801824e-07
1	XRCC1	1.2838281462504e-07
1	RNF31	1.2821175573947037e-07
1	NPY	1.2814640832962497e-07
1	TNFRSF1B	1.2792956520388103e-07
1	CHD7	1.2608340250567857e-07
1	MMADHC	1.260081917893663e-07
1	ARMC4	1.2590564177332757e-07
1	EGR1	1.258184134004572e-07
1	FGFR3	1.2553795661771137e-07
1	HSPD1	1.2552579723450937e-07
1	ZBTB24	1.2480828641294327e-07
1	HMOX1	1.244609356803217e-07
1	APOE	1.238277893834297e-07
1	SPAG1	1.2365396543219253e-07
1	CASP8	1.2336346368398954e-07
1	HLA-DRB1	1.2169465264590022e-07
1	CPT1A	1.2048113951114701e-07
1	CTLA4	1.2039330087403423e-07
1	FERMT1	1.1987994826256802e-07
1	KIF1A	1.1919071545435615e-07
1	TGFBR2	1.1842586208095165e-07
1	VIP	1.1754820602456971e-07
1	CFTR	1.172368966079239e-07
1	GNAS	1.169960665836719e-07
1	C1S	1.1695079751142493e-07
1	CALCA	1.1685141081509714e-07
1	TINF2	1.1675227266766274e-07
1	CASP10	1.1609768603659475e-07
1	RFXANK	1.157243094759342e-07
1	DSG1	1.1473946073972209e-07
1	IGF2	1.1446977552535143e-07
1	STAT3	1.143605579887487e-07
1	DKC1	1.1349413546074656e-07
1	MT-ND1	1.1327410778059793e-07
1	TBX1	1.1277496922534824e-07
1	CIITA	1.1270547375607561e-07
1	CASR	1.1226800299640357e-07
1	PDE4D	1.1202113565430731e-07
1	AOC3	1.1152692738296352e-07
1	ADA	1.113815286450015e-07
1	PRKCE	1.1136886857939435e-07
1	TCF25	1.1063173273751446e-07
1	BRD4	1.1048030545576123e-07
1	MT-CO3	1.104571229439524e-07
1	MT-ND5	1.0996017445003986e-07
1	TIMP1	1.0996001487687525e-07
1	MT-CO1	1.0992997532119768e-07
1	MT-ND6	1.0972283549804372e-07
