multiplex	node	score
1	IL12B	0.0002541483192950341
1	KLRC4	0.00025319240151837883
1	HLA-B	0.00025217558111685217
1	HLA-DPB1	0.0002494833792948159
1	PRTN3	0.0002468886816773078
1	IL10	0.0002428801321113411
1	CTLA4	0.00024184239725502023
1	MEFV	0.00023439155605377564
1	C4A	0.00023261376695331174
1	FASLG	0.00023030032495665922
1	IL12A	0.00022891721848115225
1	PTPN22	0.00022538471837543514
1	SERPINA1	0.0002175873506202992
1	CFI	0.0002072598008824506
1	FAS	0.00020712539070626528
1	TLR4	0.00020711100308186086
1	CCR1	0.0001983277143464262
1	CBL	0.00019786078525632452
1	STAT4	0.00019257991786292725
1	ERAP1	0.00019078471485440958
1	CASP10	0.00018676587172950009
1	MVK	0.00018574588524846453
1	MLX	0.00018480578460322851
1	SCN11A	2.052149980963161e-05
1	TNFRSF13C	1.9418121696657444e-05
1	ADA2	1.9329688148246676e-05
1	MS4A1	1.9256109731005955e-05
1	NLRP3	1.8930793247525036e-05
1	MOCOS	1.8551533952344805e-05
1	SCN9A	1.8294269114196e-05
1	RASGRP1	1.822666356714439e-05
1	IL18	1.784967793742872e-05
1	WAS	1.7510574868498646e-05
1	MYD88	1.701248966449391e-05
1	PRKCD	1.6954072139983868e-05
1	WIPF1	1.680065815038875e-05
1	NFKB1	1.6684795191701672e-05
1	TNFSF12	1.664270607769385e-05
1	ARPC1B	1.640553888052586e-05
1	AGXT	2.423255348528655e-06
1	LMNA	1.5948362434127973e-06
1	CYP1A1	1.081389592119985e-06
1	JAK2	9.41547102744007e-07
1	DAB2IP	9.102751046781476e-07
1	MPL	8.809526376148152e-07
1	ABCC6	8.661134499428211e-07
1	THPO	7.830356094649505e-07
1	ZMPSTE24	6.472595611236309e-07
1	TNFRSF1A	6.185661103979195e-07
1	CASP3	5.41342523720167e-07
1	F5	4.789885141717823e-07
1	TGFB1	4.516154247910625e-07
1	TNF	4.4599766842357133e-07
1	BTK	4.4566205556031777e-07
1	HLA-DRB1	4.45166151590072e-07
1	ALB	4.300904120734105e-07
1	HP	4.233851367786809e-07
1	TNFRSF1B	4.165494484612059e-07
1	CAT	3.9258176819544443e-07
1	MTHFR	3.8498342340129126e-07
1	MMP9	3.7787994948161946e-07
1	CD28	3.753265113920226e-07
1	MPO	3.7091003743895646e-07
