multiplex	node	score
1	BAAT	0.0016995389454456963
1	TJP2	0.0014567260885988559
1	EPHX1	0.0014002178028823277
1	ARSL	5.288237149256661e-05
1	AFP	5.0612922423411846e-05
1	F2	5.032997936151346e-05
1	F7	4.987856110459066e-05
1	F11	4.919392555729083e-05
1	BGLAP	4.873729630458739e-05
1	CYP2C9	4.803522039211249e-05
1	CFTR	4.595837145813071e-05
1	F8	4.3525229765524296e-05
1	F10	4.344785993153917e-05
1	LHPP	4.3259941452535634e-05
1	PC	4.27954610299484e-05
1	GLA	4.2688294249495275e-05
1	MGP	4.183052685116226e-05
1	GGCX	4.0639103695643437e-05
1	MCFD2	4.050787766966436e-05
1	LMAN1	4.048931140505532e-05
1	VKORC1	4.041243644579657e-05
1	COX8A	3.977693726072777e-05
1	GATM	2.9677159258180077e-06
1	NOS3	2.87577987428832e-06
1	ACTN4	2.83795936958999e-06
1	VDR	1.4452899944452008e-06
1	OCRL	1.3309469094027759e-06
1	SERPINA1	1.185094123263563e-06
1	LRP2	1.011974267587024e-06
1	TMEM86B	8.881188590989855e-07
1	SIM1	7.907666527485339e-07
1	ABCC8	7.696149548191554e-07
1	KCNJ11	7.641864763619752e-07
1	GPX4	7.528044384451779e-07
1	PTH	6.148428939212688e-07
1	HNF4A	5.94998606554958e-07
1	SLC4A1	5.914904341456148e-07
1	TJP1	5.706991950184835e-07
1	PTH1R	5.566217134573399e-07
1	SLC34A1	5.561387009020362e-07
1	DMP1	5.323717876060013e-07
1	PHEX	5.294200197914726e-07
1	EHHADH	5.018015139802731e-07
1	ALPL	4.916025947312129e-07
1	NQO1	4.841211639162818e-07
1	CLCN5	4.600515308915926e-07
1	ABCB11	4.1531190335160316e-07
1	CYP7B1	3.488230221823289e-07
1	ADD3	3.450765585788546e-07
1	POMC	3.380669643668966e-07
1	SOD2	3.1575436703731224e-07
1	COL1A1	3.0956698872759285e-07
1	STAT3	3.0077778397981603e-07
1	BCL2	2.9905476686163987e-07
1	BRAF	2.9088092020013024e-07
1	VHL	2.889609206745669e-07
1	CTLA4	2.828214545891989e-07
1	IRF5	2.795845546918754e-07
1	LBR	2.7507098146045177e-07
1	NOTCH3	2.7023918131787385e-07
1	RMRP	2.6992346175568143e-07
1	FOS	2.673721694479269e-07
1	TNF	2.670522874097256e-07
1	MMP9	2.653042151422932e-07
1	HLA-DRB1	2.61250316616326e-07
1	JAK2	2.592636779324382e-07
1	MMP1	2.581795618530502e-07
1	CAVIN1	2.558326626318528e-07
1	IL6	2.5487756869670946e-07
1	CAV1	2.5101069888984497e-07
1	PLAU	2.5087515014664614e-07
1	CHD7	2.5081833050310877e-07
1	TNFSF15	2.458753351173827e-07
1	REN	2.43161107031686e-07
1	TP53	2.429241397731742e-07
1	SUCLG2	2.4257068054669816e-07
1	MUT	2.3741850512854084e-07
1	LMNA	2.3594079235212104e-07
1	TGFB1	2.3551272055281374e-07
1	MTHFR	2.352521252060538e-07
1	SEPT11	2.3313652715970307e-07
1	HMOX1	2.3078802642381694e-07
1	MPL	2.2679078371702677e-07
1	ATP8B1	2.2597473261044197e-07
1	CYP2E1	2.2528718378407608e-07
1	COL3A1	2.251155962644212e-07
1	GPD2	2.243814677006356e-07
1	DPT	2.23758504806591e-07
1	LIG4	2.2232559277963568e-07
1	PLAT	2.2050470447217313e-07
1	MVK	2.2036793940155865e-07
1	COL5A1	2.1979402857831356e-07
1	BDKRB2	2.1819820635912501e-07
1	PEPD	2.18004530497459e-07
1	CCND1	2.175910807936023e-07
1	A2M	2.1735213884735037e-07
1	TNC	2.1704243968385562e-07
1	THPO	2.1650414209360943e-07
1	FOXC2	2.1613278870839122e-07
1	COL5A2	2.155356795486162e-07
