multiplex	node	score
1	TNF	0.023923960235939325
1	LTBR	0.02383771286544552
1	ALAD	0.023778749230172324
1	HMBS	0.023677227568267865
1	TP53	0.02357866122983415
1	PTX3	0.023543904152389952
1	IFNA1	0.023536221009985533
1	LTA	0.02352182881393414
1	SPINK1	0.023504689675993676
1	CFTR	0.023466074285774866
1	SKI	0.023461863484975108
1	IL33	0.02343568650567179
1	ALAS1	0.023434445697808115
1	TLR4	0.02342955031432183
1	CALCA	0.023416402213475303
1	FOXP3	0.023416085269311875
1	AMY2A	0.023406457987310243
1	TFPI2	0.023405558257172776
1	HLA-DRB1	0.023402214245138102
1	AIP	0.02339934104280314
1	SCT	0.023393866172870155
1	CELA1	0.023393628809187376
1	IFNA13	0.023392327045289076
1	CXCR5	0.02338573014335203
1	UROD	0.023384754302467864
1	KRAS	0.02338064562681102
1	PRSS1	0.023379360681792003
1	DEGS1	0.023372149773634956
1	PPOX	0.023363989337149976
1	PPIG	0.023354974701195488
1	IFNAR2	0.0038977688673413023
1	UBQLN2	0.0035872411850030525
1	SMURF2	0.0014778399981682118
1	SKIL	0.0014765305303823678
1	PLG	0.0014642496441529629
1	KLKB1	0.0014148858570323013
1	F11	0.0014111265147702123
1	PCLAF	0.0013846877126007478
1	ASPH	0.0013750644941910501
1	HGS	0.001117370432997151
1	GRB2	0.0010970088690118549
1	UBE3A	0.0010596353243696713
1	CEBPB	0.0010398433766317912
1	CHD4	0.0010251931513991053
1	ELN	0.0010234190606517911
1	CTRC	0.0010121155748389215
1	NRSN1	0.0010105521010684642
1	TMPRSS15	0.0010091587898763315
1	VIPR1	0.0009216132545949241
1	MEP1A	0.0009019622836435332
1	HOXA1	0.0008986830686754081
1	USHBP1	0.000895405131721868
1	MEP1B	0.0008953077861276918
1	APP	0.0008897644758425411
1	MEIS2	0.000883409883682072
1	SCTR	0.0008799547753892073
1	IGF1R	0.0008361578924797681
1	EGFR	0.0008341386140023221
1	CDK6	0.0008054022360374447
1	TRIAP1	0.0007902223484370387
1	BCL2L12	0.0007873634117393589
1	SI	0.0007858852702108508
1	GP2	0.0007830403797021583
1	A2M	0.0007189107105384617
1	UROS	0.0006777507749044145
1	ZDHHC17	0.0006039281715786337
1	GNAQ	0.000599216317994857
1	RAMP1	0.0005989869269229561
1	RAMP2	0.0005905125028400883
1	GNA13	0.0005886980184633679
1	CALCRL	0.0005737966160426794
1	CALCR	0.0005571241059811754
1	ATP2B4	0.0005556379191188427
1	ATP2B2	0.0005556203278188714
1	NRDC	0.0005549678576985267
1	RBM3	0.000554314921599712
1	HSPA8	0.0005509120764455217
1	ANKRD11	0.0005508138849453766
1	NEDD8	0.0005501422652672492
1	BBS1	0.0005483901293398803
1	BBS4	0.0005474586688452377
1	ECE1	0.0005443120217059148
1	SERPINA1	0.0005368804480852747
1	CHD3	0.0005316278785076333
1	GNAI2	0.0005289087746728634
1	UBD	0.0005271587629576324
1	FCN1	0.0005242710227227962
1	CCL5	0.0005216896132350761
1	XPO1	0.000495852089874458
1	IRF7	0.0004952066021197041
1	CXCR4	0.0004938684689102931
1	GNA11	0.00048708323391409363
1	CCL3	0.00048683790388629285
1	BIRC2	0.0004848567046886881
1	CCL16	0.00048445130903416593
1	GNB3	0.000484445098990919
1	GNAO1	0.00048400870607266975
1	CXCL13	0.0004797858316151135
1	IFNA5	0.0004785605757295956
1	CCL4L1	0.0004783191553915167
1	CTR9	0.0004769727130224758
1	TUBA1A	0.0004769384249245044
