multiplex	node	score
1	NGFR	0.02392245901121583
1	PRKCD	0.02374430556241672
1	MECP2	0.02370557894837015
1	HCN1	0.023618605062169378
1	OPRM1	0.023600509722506394
1	NGF	0.02350500879247885
1	NOS2	0.02347115553851081
1	NOS1	0.023442860852353017
1	POMC	0.023438586062624507
1	REST	0.023437192990332423
1	LEP	0.0234312261730688
1	CDKL5	0.02341503865225824
1	PIGM	0.02341478946603051
1	GAMT	0.023408142225893318
1	PDYN	0.02340602128841115
1	PAM	0.02339878222465953
1	ABAT	0.02339507030486179
1	OPRK1	0.02338941859562503
1	KCNQ2	0.023386017481463302
1	SLC1A1	0.02338183085679183
1	PTGS2	0.02338081297872235
1	POLG	0.023374371337756324
1	PNKP	0.02337236443176328
1	SLC2A1	0.02337229289748658
1	ACAT1	0.02336739984149366
1	OXT	0.023362587298166287
1	PVALB	0.02335675482620159
1	LETM1	0.023356044247024116
1	SLC6A1	0.02335232139215567
1	MT3	0.023350900555954276
1	SREBF1	0.00702644786044462
1	TERF2IP	0.0028298806350863185
1	EEF1G	0.002439409061979093
1	TTR	0.0024270387725426157
1	RNF123	0.0019400953405930908
1	HSF2BP	0.001938524698076804
1	HCN4	0.0016335600417581068
1	APP	0.0015637825526477495
1	HCN2	0.0014882606774173736
1	HCN3	0.0014872730045154122
1	TRIM25	0.0014748640260686793
1	NEDD4L	0.0014426335196870404
1	HTT	0.001379916024771367
1	PRKCA	0.001246154850557059
1	CALM1	0.0012270037333820397
1	DRD2	0.0011927403074374304
1	STX1A	0.001189172597294205
1	HTR6	0.0011782962955674233
1	DNAJC5	0.0011761831002306742
1	A2M	0.001070547341605457
1	ESR2	0.0010581253073764342
1	NTRK1	0.0010438520515528684
1	NRDC	0.0009952718311263202
1	ELAVL1	0.000928942242293932
1	VHL	0.0008447745030758084
1	CALM2	0.0008105424338352719
1	SHC1	0.0007773936385719812
1	CALM3	0.0007547468783737005
1	PENK	0.0007530314396298201
1	GNPTAB	0.0007205771041776378
1	TIMM13	0.0007191852584120539
1	S100A10	0.0007187870333398496
1	P4HB	0.0007175257268146168
1	GNPTG	0.0007155629958170734
1	TIMM8B	0.0007099804958477369
1	GOLM1	0.0007096985404929622
1	ARIH2	0.0007088082500923149
1	KCNQ3	0.0007086070681442788
1	ACAD11	0.0007085071344216233
1	KCNQ1	0.0007081559297122148
1	LCN1	0.0007051311039190248
1	HNRNPL	0.0006986266305023374
1	CUL2	0.0006692189772626284
1	NCK1	0.0006647576956492254
1	NIF3L1	0.0006514826507859768
1	STAT3	0.0006464757798278283
1	NFS1	0.0006462119946756044
1	KMT2A	0.0006461341965852076
1	OXTR	0.0006452085806051441
1	PREP	0.0006422941770203447
1	TXNDC17	0.0006415593977895271
1	HSPD1	0.0006241537295211331
1	SORT1	0.0005977793807286383
1	GRB2	0.0005945991627076395
1	SORCS2	0.0005892918378186509
1	LTB4R2	0.0005886253345582626
1	HK3	0.000580513746486587
1	PRKAA2	0.0005772135262336194
1	CLU	0.0005708460744322269
1	SUMO1	0.0005605455811984593
1	PTPN11	0.000560268239292852
1	OPRD1	0.0005592058942262738
1	FYN	0.0005563752041852229
1	GHRL	0.0005477561275926003
1	CRP	0.000547138273241507
1	LEPR	0.0005467701733007594
1	MGST3	0.0005465078841520267
1	CD33	0.0005455702286846876
1	SIGLEC5	0.0005451505734917376
1	FOS	0.0005447520677115965
1	UCN	0.0005442281369716631
