multiplex	node	score
1	NFKB1	0.024930841654548435
1	RELA	0.024798851245839033
1	IL12A	0.024202969983264253
1	IL12B	0.024003999287648195
1	CCL5	0.023985335699054994
1	TGFB1	0.023508371929937766
1	CXCR5	0.023494184201880108
1	ABCB4	0.023488600034877412
1	ALB	0.023482711883439904
1	STAT4	0.023452620148769695
1	TYK2	0.023452555395019958
1	NOS2	0.023449055708925567
1	CXCL10	0.023441833099576103
1	CXCL9	0.02343966625855466
1	IL7R	0.023424828098886227
1	HIF1A	0.023411712193136498
1	NOS3	0.02341020573919813
1	ENTPD2	0.02340065604857523
1	TNFRSF1A	0.02339923174379035
1	IGFBP1	0.02339843176218339
1	ICAM3	0.02339767912592047
1	SLC4A2	0.023394538306159188
1	SLC51B	0.02338941820862754
1	CD3D	0.023386754107251436
1	ABCC2	0.023375488459444007
1	SLC51A	0.023373850461854917
1	SPIB	0.023371088365902046
1	CLEC16A	0.02335951743184395
1	DENND1B	0.02334892269538222
1	MMEL1	0.023347383319908755
1	NUMA1	0.0070249932879707525
1	HNRNPL	0.003422093626464717
1	HAX1	0.002406493223849278
1	PIGY	0.002354293760070248
1	TESK1	0.002352077021324225
1	LAT	0.0021176729873971104
1	XPO1	0.0018836179388678578
1	LNX1	0.001847028107546934
1	ASPH	0.0018334411787323999
1	SERPINA12	0.0017684089808601613
1	ETNK1	0.0017597138766049303
1	CYB5R1	0.0017588413981402273
1	IL12RB1	0.001645729529297789
1	IL12RB2	0.0014614468215181666
1	UBE2M	0.0014507022790248437
1	RNF41	0.0014422890346038454
1	WRAP73	0.0014231512845551797
1	RAB39B	0.0014120408129343904
1	IRF5	0.0013305729076112597
1	ATXN1	0.0012856759149591861
1	UBB	0.001075356502016316
1	TMEM63A	0.0010149089233066862
1	FAM8A1	0.0010088339218026804
1	ANO6	0.001008756196480982
1	DNAJC30	0.0010075598336801623
1	LNPK	0.0010068900890773849
1	CXCR4	0.0009308908631260824
1	CCL16	0.0009060825081835684
1	FOS	0.0008578137962159286
1	JUN	0.0008386077498999751
1	CXCL13	0.0008120626150337265
1	IL23A	0.000776561604349668
1	IL23R	0.000767674445223294
1	ERP44	0.000751452965417737
1	STAT1	0.0007080019922249799
1	CXCL8	0.0006880797354465409
1	CREBBP	0.0006862975736496178
1	APP	0.0006276657161922119
1	ENTPD3	0.0006029188740448258
1	ENTPD6	0.0006004377186272355
1	NT5E	0.0005967989693079142
1	ENTPD5	0.0005963090754007692
1	CCR3	0.0005929948560902178
1	ENTPD1	0.0005929282613195177
1	ACP2	0.0005883809425899981
1	NT5C3A	0.0005876261915411947
1	UBQLN1	0.0005870944221265364
1	NT5C2	0.0005860252887454868
1	NT5C1B	0.0005843719702340902
1	NT5C	0.0005841923127547415
1	NT5M	0.0005836441931716217
1	CANX	0.0005737252863040704
1	NR3C1	0.0005660434591594576
1	STX7	0.000551054775853157
1	CCL3	0.0005503878096072342
1	HMBOX1	0.0005484624233193884
1	SPDL1	0.0005373980364050638
1	NEDD8	0.0005371597232760042
1	CXCR3	0.0005221256966995079
1	DPP4	0.0005190097361622193
1	FSTL1	0.000512287424376001
1	GNAI2	0.0005106018245729006
1	GNAQ	0.0005069716191941543
1	CEBPB	0.0005051747833295197
1	JAK2	0.0005048100310026991
1	BDKRB2	0.0005045319524982372
1	F11R	0.000494589062038126
1	WASF1	0.0004928737351474772
1	CCL4L1	0.000492208710348947
1	CD28	0.000491789712458173
1	CCR1	0.0004917435497462508
1	GNAO1	0.0004914866883911315
1	MAPK3	0.0004906516016275177
1	GNA11	0.0004892208915743958
1	RAB3B	0.0004882777482334465
1	COL14A1	0.0004878984045491835
1	EBI3	0.0004874111074691548
1	GNB3	0.00048723588335929053
1	GNA13	0.00048272971350819295
1	CXCR6	0.0004807738927751383
1	CTR9	0.0004789972050713145
1	ACTB	0.0004764991949787469
1	GNG8	0.0004750596245813876
1	EP300	0.0004668682558253626
1	CCL21	0.0004662783112192947
1	CCR4	0.00046527071934613517
1	VCP	0.00045836514957033666
1	STAT3	0.0004565308215275132
1	CCR2	0.00045614101800830375
1	DRD2	0.0004468187876524587
1	CCL25	0.00043474765426971905
1	CSNK2A1	0.00043456933633354526
1	JAK1	0.00042917978271157255
1	CCL22	0.00042164475053524354
1	SFTPC	0.0004202815030784943
1	VCAN	0.0004158586799908667
1	SSB	0.00041507669653068383
1	CX3CL1	0.0004120291422232047
1	JAK3	0.00041168364622028473
1	E2F3	0.00041037472884389954
1	RB1	0.00040327293662909274
1	MAPK8	0.00040288904896288103
1	CSNK2A2	0.0003971282240442897
1	HSP90AA1	0.00039512110046046976
1	IGFBP7	0.0003913613953241387
1	TBP	0.0003867822087925905
1	IRF1	0.000386352511230803
1	E2F1	0.0003852845709338101
1	NXF1	0.0003836456660271593
1	UBA52	0.0003828821889213339
1	MOV10	0.0003824904492027637
1	SPI1	0.00038123766708902067
1	SGTB	0.00037802949529118024
1	HSP90AB1	0.0003674227968317331
1	ELAVL1	0.0003649814793101197
1	WDR20	0.000364568450003089
1	PRDM1	0.00036419644925548596
1	GATA1	0.0003633292303561655
1	E2F4	0.0003585273976362259
1	IRF4	0.00035732758231089265
1	E2F2	0.00035380343098382044
1	TMEM37	0.00035250943209232365
1	CD247	0.0003497804083843798
1	DERL1	0.000348099709646168
1	TRIM28	0.00034656627806280393
1	MAPK14	0.0003465294902777171
1	CREB1	0.00033996700888488316
1	EZR	0.0003377212404252526
1	AP2M1	0.00033506316130086457
1	TRIP6	0.00033503895577730687
1	CXCL3	0.0003345680935780149
1	CD8A	0.00033340386273535605
1	CD3E	0.00033143623803688074
1	AMFR	0.00033001212983107094
1	CARD11	0.00032943256980040835
1	MSN	0.00032805336316314807
1	CD3G	0.0003276885418267758
1	ITGB2	0.0003269504084552272
1	PRKCQ	0.00032630334648544283
1	CCL17	0.00032293890891732475
1	TRA	0.000322252219163467
1	CCL13	0.0003188611158019124
1	ERLIN2	0.00031778559266894306
1	CLDN19	0.00031729215856995946
1	NINJ2	0.0003171991345231557
1	TRB	0.00031567854158225095
1	SEC22A	0.00031545340906645317
1	THY1	0.0003144378256305121
1	KCNA3	0.00031378133108900605
1	CCL8	0.0003124533828385168
1	CXCL12	0.00031070137916369033
1	ZBTB16	0.00030964831964581723
1	PDIA2	0.0003080445151644888
1	CD8B	0.0003078465862100125
1	CRK	0.00030726709941639364
1	ITGAL	0.0003064413893376453
1	LAMTOR5	0.0003043064823573437
1	BRICD5	0.00030293046181634014
1	CD209	0.0003025820115954362
1	TMEM192	0.00030238502559522447
1	SMCO4	0.00030100514630962644
1	EDDM3B	0.00029964766889255544
1	SMIM1	0.0002986737474770397
1	ITGAD	0.00029842799978625534
1	CLEC4M	0.00029832374155797
1	FUT8	0.00029579189851070974
1	TSPO	0.00029577110418040737
1	CLDN4	0.00029465156600446996
1	ZNF431	0.0002933139974035616
1	DPP8	0.00029064922275301517
1	LGALS8	0.0002882812271345197
1	LGALS3	0.00028242254157627065
1	PDLIM2	0.0002823732756954971
1	PTGIR	0.00028203810579228625
1	PIM1	0.0002816119785508339
1	ADRB2	0.0002814326278366227
1	XPR1	0.00027789787943503016
1	IL2RA	0.00027604483145573003
1	SLC39A4	0.00027584584329715215
1	FBXO7	0.0002755557004808477
1	GRB2	0.00027142504577797044
1	ATP2B2	0.0002700419280644656
1	RETREG3	0.0002700132019748234
1	GPR21	0.00026873277320961107
1	NMI	0.00026631885495135855
1	APLNR	0.0002657370122889261
1	FHL1	0.0002645450417688233
1	SLC4A8	0.00026441568328915583
1	HSPA4	0.0002642578507043676
1	IFNGR1	0.00026424703916479836
1	LGALS9C	0.00026356435505535164
1	PIAS2	0.00026325361793632247
1	SRC	0.0002631245909881415
1	MAP2K6	0.0002626833489228441
1	ATL3	0.00026119479827621127
1	THOC2	0.00025789403099326963
1	LIN54	0.00025745684847622595
1	GABRE	0.00025669905361314836
1	FAM20C	0.0002564303359355134
1	KCNA6	0.00025616716206054447
1	TKT	0.00025592896110510825
1	CA2	0.000255571402254796
1	PTH1R	0.0002555435567467971
1	HMGA1	0.0002538189480422074
1	GPR52	0.0002530903676836401
1	ELL2	0.00025302350943538044
1	IKZF1	0.00025292208276361247
1	SLC39A8	0.0002528058578402498
1	KDELR3	0.00025266498767266245
1	EPB42	0.0002523379589585544
1	SPDEF	0.0002521009427109535
1	TF	0.00025130888035988135
1	SRARP	0.00025106458679990343
1	HNF1A	0.00024619838660074435
1	TUB	0.000245581111083684
1	SH2D1B	0.00024509778261564113
1	ZNF467	0.00024399621392814816
1	PRF1	0.00024358044103840566
1	PIK3R1	0.00024227828726117558
1	CTBP1	0.00023893807647159748
1	GNB2	0.00023870917407414923
1	EEF1A1	0.00023440467522835716
1	ESR1	0.00022820109362387415
1	FOXO3	0.0002275190210729445
1	IFNB1	0.00022312338077861888
1	FOXA1	0.00021874949197633553
1	PRKCA	0.0002185183563622746
1	CALM1	0.00021797501275107697
1	IGF1	0.00021741068233779176
1	RACK1	0.00021627227388391134
1	SUSD5	0.00021590550856612976
1	IGF2	0.00021551653065473536
1	CBL	0.00021483368937518183
1	GTPBP2	0.00021176362591306632
1	HNRNPDL	0.00021057967135517815
1	FOXO1	0.00021043988795462604
1	CTBP2	0.00021038856921955977
1	USP46	0.0002089055342006621
1	FYN	0.00020792657463970232
1	ADAMTS1	0.00020740848544953885
1	CD59	0.00020697928971273043
1	PLAT	0.00020662456964289357
1	NHERF1	0.00020646087730834462
1	PTPN3	0.00020597531865118338
1	IGFBP4	0.00020581248996739504
1	LMF2	0.0002049664085372123
1	FOXO4	0.00020445086378137884
1	HSPA8	0.00020418213652491184
1	RPS3	0.00020397916527801498
1	PLXDC2	0.00020376478947635362
1	TIMP3	0.00020371142210228582
1	FOXA2	0.00020351299748291708
1	CTNNB1	0.0002034642449760031
1	SP1	0.0002034229675195375
1	TIMP1	0.00020301779934780615
1	ZNF696	0.00020300551233346732
1	SMOC1	0.00020283401924757588
1	MMP26	0.00020214060949860324
1	NDST2	0.0002017139872049875
1	ZNF664	0.00020130445270543962
1	BAG2	0.00020123022385693591
1	CCR8	0.000200250602246909
1	TRIM25	0.000199148555508383
1	TUBB3	0.00019914144205644623
1	NPM1	0.00019906377607350773
1	HSPA5	0.00019621383500386563
1	RUVBL2	0.00019190186006328734
1	MUC1	0.00019182534307972857
1	AKT1	0.00019162550320039992
1	SOCS3	0.00018733593874250797
1	YWHAE	0.00018710755525897345
1	ESR2	0.00018710385483757815
1	PTPN1	0.00018683888296528876
1	CAV1	0.00018231878179964528
1	TOMM22	0.0001822812657870583
1	PRKCD	0.00018023345193939356
1	RUVBL1	0.00017939757151088335
1	ATP6V1E1	0.00017770965934409648
1	YWHAG	0.00017677254857449974
1	CCR7	0.0001751386212798422
1	DDX3X	0.00017435288808856692
1	EGFR	0.00017266941620782428
1	PPBP	0.00017244490650951584
1	APC	0.00017207109300270822
1	TGFBR2	0.00017103141737896912
1	PRKACA	0.0001703490812894822
1	CDH1	0.00016726178730550755
1	NDUFA10	0.00016514544820491183
1	EIF4A1	0.0001641162846527827
1	SOCS1	0.00016403431916114575
1	PRKDC	0.00016393520009168834
1	SSR1	0.0001637035070198702
1	AQP6	0.0001621039542948646
1	SDC4	0.0001620730514621773
1	SUMO1	0.00016160536305392972
1	FN1	0.00016119854461601302
1	CXCL1	0.0001607880439267415
1	NTRK1	0.00015937464745727632
1	RPL7	0.00015908744562101486
1	HSPA9	0.00015896888943163013
1	DDX5	0.00015861701807637227
1	JUP	0.00015818944724649197
1	CCR5	0.00015814066726585696
1	CCT2	0.00015754297494757806
1	YBX1	0.0001558960229980404
1	HNRNPU	0.0001558931412866303
1	MCPH1	0.00015550086023012632
1	ATP6V1B1	0.00015540068321726261
1	PTK2B	0.0001547076170207665
1	SUMO2	0.000153734720442998
1	TOMM20	0.00015360017950761599
1	MMGT1	0.00015339617017539567
1	SIRT1	0.0001533684717412403
1	UQCRFS1	0.0001532202472985425
1	IMMT	0.00015279610163140527
1	RDX	0.00015264986642248327
1	CHCHD2	0.00015253076556727473
1	VAMP2	0.00015223723519767316
1	RAB11B	0.00015220555794245898
1	HDAC3	0.0001517418728067702
1	RAB14	0.00015138863123021919
1	CXCL6	0.0001510349103452531
1	DNAJA1	0.0001509741972658178
1	RPL31	0.00015053615525858723
1	NDUFA2	0.00015026212084662396
1	MRPL23	0.00015025723278606234
1	PICALM	0.0001502302910576613
1	NDUFA9	0.00015022358018556558
1	SLC30A5	0.000150154284126506
1	MRPS28	0.00014952072056674109
1	SYNJ2BP	0.00014945769181801707
1	PDZK1	0.0001492826565789566
1	MRPS35	0.00014927752618461445
1	NDUFS8	0.00014908152177221294
1	CCT8	0.00014887191248859547
1	MRPL10	0.0001488308166954379
1	MRPL37	0.00014874354182158573
1	MRPS26	0.00014851832475603485
1	NDUFB9	0.00014845304943531288
1	HSPB1	0.00014844602293814321
1	MRPL24	0.00014838262576846115
1	TOMM70	0.0001480240653744035
1	OXA1L	0.00014783221386764257
1	PTRH2	0.00014745269918047454
1	TCP1	0.00014738079514930278
1	TCIRG1	0.000146755943833787
1	NHERF4	0.00014642538777841132
1	SYNE4	0.0001463108781020705
1	SLC25A5	0.00014625835759985117
1	SHANK3	0.00014623736898481074
1	PRR3	0.0001459818682291864
1	RAB31	0.00014593981860286384
1	MRPL57	0.00014593261963243866
1	TMEM237	0.0001456329995794492
1	ACKR2	0.00014516014999340555
1	FNDC9	0.00014438464528166613
1	COPS5	0.00014424240736949745
1	AZIN1	0.00014403074058373693
1	SLC39A1	0.00014342604259116358
1	STUB1	0.00014338458402401348
1	FFAR2	0.0001433188306857701
1	PF4	0.0001431426771584933
1	SOCS2	0.00014277331499074777
1	IFNGR2	0.00014195865840280282
1	PTPRC	0.00014163536194034045
1	BAG4	0.00014093748160453056
1	CLEC2D	0.00014029865728513706
1	IRF3	0.0001399481992413166
1	PHB1	0.0001395790624541681
1	CCL2	0.00013954299898801857
1	BDKRB1	0.00013943950292988615
1	KASH5	0.00013886830907134631
1	ACTN4	0.00013873454880538019
1	HSPD1	0.00013866298963846342
1	SOCS7	0.00013861758972742315
1	TMEM31	0.00013857725549238625
1	TNFSF8	0.0001381930675955259
1	MTIF3	0.00013805413854242572
1	SNRPD3	0.00013776615240854384
1	LEUTX	0.00013719057439601866
1	CCT6A	0.0001369954094198667
1	LRRC25	0.00013675081669800365
1	PDK1	0.000135882825402505
1	CAD	0.00013555677372441508
1	TMPRSS2	0.0001354646765781123
1	BRCA1	0.00013516354689046192
1	NOS1	0.00013501207047963653
1	SOCS5	0.00013496972200424158
1	FUS	0.0001346887063678796
1	CLDN7	0.00013462298285723287
1	C4A	0.00013457146816226966
1	TGFBR1	0.0001344777654301967
1	KIR2DL3	0.00013446946627012862
1	XRCC5	0.00013441345429571918
1	ATF2	0.00013431943026687753
1	YWHAQ	0.00013429737352964858
1	CDC37	0.00013421193572155793
1	LYN	0.00013368019703262614
1	RANGAP1	0.00013330806601736438
1	BSCL2	0.00013308085774411837
1	PALB2	0.00013301527203230025
1	PRKAA1	0.0001329810101332746
1	ACKR4	0.00013289011590517753
1	FZR1	0.00013263146551430055
1	GPR42	0.0001324239744744167
1	PTBP1	0.00013194262903562
1	ASS1	0.0001316621452222594
1	PTPN6	0.00013063772741237
1	GJB1	0.00013024471314025386
1	CHEK2	0.00013011103854648496
1	PLCG1	0.00013008044982368966
1	CCT3	0.00012989858185303725
1	AK4	0.00012973868851847778
1	AMIGO1	0.00012965319220256016
1	RAC2	0.0001291831854778438
1	TK1	0.00012902200284400158
1	RNF4	0.00012881012405939533
1	TMEM106C	0.00012876736507394954
1	SUSD3	0.00012860228032287224
1	RNF31	0.0001285854194297214
1	PPP2R1A	0.00012835693258823669
1	SSMEM1	0.00012833169912619953
1	CLDN5	0.00012831612270484467
1	PRKACG	0.00012822660052517457
1	PCBP1	0.00012817634663905706
1	SLC10A1	0.00012807467727627298
1	CLEC7A	0.00012799300125549096
1	PTPN5	0.00012767456050836217
1	TM4SF18	0.00012757496307267232
1	CCT4	0.00012746598508535557
1	CLDN2	0.0001270369624701648
1	FCGR2A	0.00012675541376530212
1	EIF2AK2	0.00012672733583610936
1	IL2RG	0.00012651641994036627
1	LGALS3BP	0.00012635678056971132
1	TIMM50	0.00012617595657262134
1	SNRPB	0.0001261705692412894
1	MYC	0.0001258820688790695
1	EFTUD2	0.00012584221209974535
1	DNAJA3	0.0001247020445860984
1	TUBA4A	0.0001246444902252333
1	AKT3	0.00012407684364691533
1	NEMP1	0.0001232617985277557
1	FBXO6	0.00012323130785371562
1	LSMEM2	0.0001231475306327264
1	TNFSF14	0.00012292427444147736
1	GORAB	0.00012291279195634534
1	GOLGA2	0.00012264437842330014
1	YWHAZ	0.0001226222095973887
1	PRKACB	0.00012234432828873656
1	CEBPD	0.000121921138909159
1	LDLRAD1	0.00012157222408915974
1	ATP1B4	0.00012153149114412667
1	TNFAIP6	0.00012143183592215174
1	SYNCRIP	0.00012110514629032806
1	HSPA1A	0.00012095969623570283
1	TMEM234	0.00012089087301038286
1	KRAS	0.00012073081098684023
1	CD33	0.00012039666120916949
1	APOE	0.00012038099194832042
1	BTNL9	0.00012034553557330597
1	SGTA	0.00012033411313455824
1	PIK3CA	0.00011995945691058654
1	CLEC17A	0.00011981766578960862
1	MR1	0.00011978834481640041
1	ALYREF	0.00011970790898069965
1	HNRNPA1	0.0001196524874756936
1	EGLN3	0.0001194856859891858
1	CHODL	0.00011933012264125391
1	C16orf92	0.00011921758245339608
1	NOTCH1	0.00011914871897718011
1	PTPN11	0.00011904963824045833
1	PAX8	0.00011888930363633733
1	EREG	0.00011887368576154754
1	ITM2C	0.0001187632090758394
1	ST13	0.00011872249612691184
1	BMF	0.00011864218185170659
1	ACKR1	0.00011859139832277493
1	TMED5	0.00011843625165793072
1	TSPAN18	0.00011804400129518597
1	RHCG	0.00011801617140615407
1	EPGN	0.00011791273261547013
1	HBA1	0.00011785230665501113
1	CLEC4E	0.00011763927003290386
1	FUT7	0.00011754951838779684
1	NCL	0.00011742684415060674
1	FBXW7	0.00011683134926257845
1	EXOC6	0.00011595110352170564
1	HNRNPK	0.00011571572902846031
1	AKT2	0.00011545649634088442
1	TP53	0.00011477265631820659
1	TRAF6	0.00011463546213712219
1	SDC1	0.00011423203498196611
1	PSMC3	0.00011417349742042894
1	SF1	0.00011387742381004208
1	CCT5	0.00011340012624987688
1	CYSRT1	0.00011302849440011186
1	PSMD2	0.0001128321940260055
1	EFEMP1	0.00011257725033229668
1	AIFM1	0.00011248783788319305
1	IKBKG	0.00011199922280075767
1	BCAR3	0.00011198682800802449
1	RPL6	0.00011165397058255688
1	ERG28	0.00011146026577797213
1	IRF7	0.00011057453620113926
1	CCT7	0.00011037781030716385
1	HDAC1	0.0001096666065079444
1	NMT1	0.00010960510236351859
1	WT1	0.00010944724000640738
1	SMAD3	0.00010916363430341251
1	SPATA20	0.00010870322327090997
1	CDK1	0.00010863919843127991
1	RPL23	0.00010860032852940976
1	PRKAA2	0.00010859588401977031
1	H1-2	0.00010851828590449488
1	HSP90AA2P	0.00010834972305761152
1	FHL3	0.00010830723556189
1	HUWE1	0.00010744923535305319
1	LOC100290337	0.00010704168050738538
1	PIGR	0.00010695958443573264
1	PLCG2	0.00010673632533153106
1	STAT5A	0.00010612028164823136
1	SLC25A3	0.00010574775842116897
1	PSMD4	0.00010559334603562355
1	HSPA6	0.00010515920323224829
1	UBAC1	0.00010496970607237443
1	HNRNPD	0.00010492249775826672
1	TUBB	0.00010445081909493958
1	RPS4X	0.00010413246885532041
1	EDC4	0.00010408619986575806
1	COQ6	0.00010407530819282195
1	RPS3A	0.00010407516622755797
1	ERG	0.00010394670059859492
1	NONO	0.00010382588319459293
1	SPRYD4	0.00010355449617854547
1	TUBA1A	0.00010334194833046873
1	PRKN	0.00010290805784119769
1	TMEM72	0.00010287607809522398
1	U2AF2	0.00010286870751276615
1	PIGA	0.00010286782354060244
1	C1QBP	0.00010263573327801458
1	HEXIM1	0.00010258694219216212
1	TECR	0.00010234920947427151
1	RPS18	0.00010233201281073784
1	NTMT1	0.00010205295498781938
1	UMPS	0.00010189670656673261
1	SLC2A5	0.00010179603736945559
1	GPD1L	0.00010138507062872904
1	LMNA	0.00010134817311919901
1	S100A13	0.00010131454748681002
1	KLF13	0.0001011836525336432
1	CDK2	0.00010080660954904025
1	CDK5	0.00010070054268132651
1	MDM2	0.00010065170187311072
1	RPL30	0.00010046670589740782
1	CAMK2A	0.00010045293279986692
1	CDK9	0.00010039332265288743
1	AURKA	0.00010037020427667285
1	KPNB1	0.00010007072988983718
1	GCN1	9.994639080475602e-05
1	CYLD	9.99125746291797e-05
1	CUL3	9.94795602074562e-05
1	IKBKB	9.863183220471734e-05
1	HNRNPF	9.815681019421399e-05
1	A2M	9.81235444876206e-05
1	DHX9	9.808839759115957e-05
1	PFKL	9.792274790899864e-05
1	DDX21	9.790709404757036e-05
1	PSEN1	9.780803819524742e-05
1	DNAJA2	9.770421685440887e-05
1	ATP5F1A	9.757393553370593e-05
1	PAXIP1	9.710712786264041e-05
1	MAPK1	9.671173725134646e-05
1	PRMT5	9.658459265633026e-05
1	H3-3A	9.61870199288757e-05
1	PSMA3	9.59482964774996e-05
1	ILF2	9.579779643922812e-05
1	DDX39B	9.558825233399848e-05
1	RAC1	9.524789546210612e-05
1	VAV1	9.493448691060424e-05
1	YY1	9.455510792639837e-05
1	AGTR1	9.449824264451134e-05
1	GHR	9.39580513630037e-05
1	CUL1	9.375360032764089e-05
1	HSPH1	9.371899008160545e-05
1	UBC	9.327204918136017e-05
1	CUL5	9.310495554880354e-05
1	DNM1	9.302877953150322e-05
1	ACTG1	9.274475200547381e-05
1	RPL18	9.253700545177374e-05
1	CHD3	9.17998713464995e-05
1	IL2	9.151558341715596e-05
1	IKZF3	9.132309699573681e-05
1	AGTRAP	9.10027437887085e-05
1	MAGEA11	9.070683574774788e-05
1	PIH1D1	9.062811332924009e-05
1	UBE2I	9.039602291032466e-05
1	SKP1	9.03924289851421e-05
1	PSMA1	9.03716004892531e-05
1	PCBP2	9.021143986201622e-05
1	MEOX2	8.965128546247649e-05
1	EFEMP2	8.953026772957441e-05
1	DAG1	8.946008132259143e-05
1	ACTN2	8.939682884774669e-05
1	KANK2	8.939560532923205e-05
1	ELK1	8.913941229760956e-05
1	HNRNPH1	8.911328785348248e-05
1	GAPDH	8.910114724421817e-05
1	PSEN2	8.847723624148902e-05
1	VCAM1	8.84089763410672e-05
1	EMD	8.826559348996813e-05
1	MAST1	8.820840994412e-05
1	RNF32	8.806786028070595e-05
1	ROCK1	8.804252196189563e-05
1	RPS13	8.800808559101762e-05
1	ELOB	8.781187543804672e-05
1	PSMA4	8.778298233343699e-05
1	DICER1	8.775099293418521e-05
1	H2BC21	8.761438543380174e-05
1	CEP55	8.75847482755011e-05
1	ILF3	8.741130821297347e-05
1	EXOSC1	8.709158043396784e-05
1	AR	8.705208260225017e-05
1	PSMC2	8.696686785642557e-05
1	TUBB6	8.696260440602607e-05
1	CBLB	8.685776947753769e-05
1	EDNRB	8.680640600058501e-05
1	CALML3	8.668028272934791e-05
1	STAT5B	8.644477378658528e-05
1	UTRN	8.639393400451466e-05
1	PSMC5	8.601031851283889e-05
1	SNRNP70	8.588571918753173e-05
1	ROCK2	8.564427079710168e-05
1	PCLAF	8.563412156754288e-05
1	MPRIP	8.562912510896884e-05
1	SQSTM1	8.544399409610809e-05
1	CHUK	8.544176596065087e-05
1	GCDH	8.526351853012076e-05
1	FIS1	8.520481785404189e-05
1	LRP8	8.505707268790764e-05
1	BDNF	8.505305258697e-05
1	RAD21	8.484762574434228e-05
1	TXNDC11	8.454432194075115e-05
1	PPP2R5A	8.43942039801084e-05
1	RBMX	8.421489411759584e-05
1	NAP1L1	8.415326194013838e-05
1	CBLC	8.368411013167705e-05
1	SHMT2	8.364763684389905e-05
1	NOSIP	8.358149618485697e-05
1	G3BP1	8.353934408258793e-05
1	HSPA1L	8.318615783652521e-05
1	RAN	8.317867559372275e-05
1	GUCY1B1	8.284721737297879e-05
1	HTRA1	8.270101872159939e-05
1	ELAVL3	8.24823436580263e-05
1	MZF1	8.232057364020553e-05
1	PI4K2A	8.201623784098329e-05
1	ATM	8.196496598237984e-05
1	RNF123	8.190336559544163e-05
1	NOSTRIN	8.173702423353654e-05
1	CD79A	8.171979076776143e-05
1	SLC2A1	8.167972578656777e-05
1	PRKG2	8.150128090420915e-05
1	IL20RA	8.134141770555675e-05
1	YWHAB	8.124959072296584e-05
1	HSPA2	8.118155556779203e-05
1	CCDC8	8.114408344747653e-05
1	MATR3	8.101556629342275e-05
1	HDAC2	8.088078782327061e-05
1	DAXX	8.079618632148637e-05
1	H4C16	8.074277981179433e-05
1	PMEL	8.06852675592051e-05
1	CLTC	8.059905629021597e-05
1	CASP8	8.05737798675635e-05
1	SSR4	8.052065026342729e-05
1	ICAM1	8.047441398477446e-05
1	ATP2A2	8.037955934092191e-05
1	PABPC1	8.036701483012371e-05
1	RIPK4	8.02065970124822e-05
1	CFTR	8.013346554525682e-05
1	KIT	7.946224032313386e-05
1	TNIP2	7.934772240294216e-05
1	FASN	7.923187784439645e-05
1	HNRNPC	7.89529517829608e-05
1	KRT18	7.882105413802956e-05
1	CPSF1	7.867281832440116e-05
1	KRT31	7.81863158500701e-05
1	OBSL1	7.817755033569697e-05
1	CLNS1A	7.802583909446223e-05
1	ELOC	7.7949740689744e-05
1	TUBB4A	7.773860113415063e-05
1	SIN3A	7.765065839261657e-05
1	IMPDH2	7.759375443223816e-05
1	CDIPT	7.754091256764547e-05
1	IRS1	7.75376164821847e-05
1	SPRY2	7.750755877881693e-05
1	CHD4	7.750698238696983e-05
1	PKM	7.743700497308253e-05
1	TUFM	7.738445439462755e-05
1	RPL8	7.723760483750115e-05
1	CRKL	7.666654523163568e-05
1	MAP1LC3A	7.630396247150614e-05
1	PIK3CD	7.625020427260103e-05
1	CCL11	7.62120072737598e-05
