multiplex	node	score
1	ESR1	0.024828692280245496
1	BRCA1	0.024190828203396634
1	TP53	0.024023420847502072
1	SRC	0.02379393294450882
1	RELA	0.023694382213694347
1	PALB2	0.02369138213097812
1	BARD1	0.02367518841652527
1	MMP1	0.02365095519912144
1	BRCA2	0.023644319153354517
1	FBXW7	0.023634871734867145
1	PTEN	0.023630473451321184
1	HRAS	0.023618450869540623
1	ETV4	0.023585921009338838
1	AURKA	0.02357443724157106
1	ERBB2	0.023556253850861377
1	CDKN2A	0.023553355806107797
1	ATM	0.02354968360023473
1	BRIP1	0.023548137022113433
1	SERPINB5	0.023542324079156563
1	ERBB3	0.023535926034399707
1	AR	0.02352973897430123
1	CAV1	0.023527844351298517
1	PIK3CA	0.023515237324635913
1	MTOR	0.02350256936251613
1	CHEK2	0.023501923641873444
1	TERT	0.023480228631010163
1	MAP3K1	0.023461597397295097
1	FGFR2	0.02344622460988764
1	MED12	0.023444688757236588
1	ZNF366	0.023384482605372098
1	AKAP8L	0.0009256230538438793
1	CEP70	0.000922391703184528
1	NRIP1	0.00092038176560624
1	CTBP1	0.0009200474606342066
1	PSMA3	0.0009079977508774888
1	CARD10	0.0008878524055398263
1	JUN	0.000883660425673245
1	DCLK3	0.0008805265593852469
1	SMAD4	0.0007446958606528432
1	APP	0.0007001995631291667
1	STK11	0.0006597356184255241
1	HIF1A	0.0006500059496493192
1	TRIM25	0.0006057293533086564
1	AKT1	0.0005939600791570246
1	SUMO2	0.000585388261211548
1	SUMO1	0.0005694540755058666
1	MYC	0.0005574008280925172
1	HSP90AA1	0.0005177297391111908
1	EP300	0.00047976645232740634
1	LMNA	0.0004637668313889248
1	SMAD2	0.00046263941545271833
1	MDM2	0.00046016561389361884
1	GRB2	0.0004533160032811094
1	HNRNPC	0.0004522635842993022
1	SMAD3	0.0004462971633178763
1	SHC1	0.0004459036780784904
1	TP63	0.00043985573674325143
1	MOV10	0.00043300423611094993
1	XPO1	0.00042435026430310657
1	NEK4	0.00042271180541687554
1	HSP90AB1	0.0004205072549507425
1	EGFR	0.00042029595824965313
1	H3C1	0.0004179578864755081
1	CD44	0.00039899887921161857
1	NTRK1	0.00039515166223685834
1	POLN	0.0003891848712146435
1	ESR2	0.00038419014951951604
1	HDAC1	0.00037182744453423503
1	ABL1	0.00037128221246391307
1	HSPA8	0.00036988176577537607
1	CTNNB1	0.00035985450427704785
1	ETS1	0.0003559433551511723
1	HTT	0.0003527996269969406
1	IL24	0.00035045848361754016
1	FN1	0.0003494738624969582
1	BSG	0.0003441123294472189
1	RPA1	0.00034406445675109944
1	FOS	0.0003433826560109479
1	PCNA	0.0003428320652858235
1	EPAS1	0.000342047400947473
1	PIK3R1	0.00034157402380623073
1	SP1	0.00034104603597992706
1	MEOX2	0.0003354466251654384
1	HSPA5	0.00033470386549163436
1	CDK8	0.0003284349323497717
1	RAD51	0.0003283910776883516
1	H2AX	0.00032522961479966654
1	CARM1	0.00032424867992666626
1	NBN	0.0003202950692363345
1	IGFBP3	0.00031962728881603696
1	XRCC3	0.0003146092482462622
1	COP1	0.0003120283618699546
1	YWHAZ	0.0003103145263949706
