multiplex	node	score
1	STAT3	0.026504292795790738
1	EGFR	0.026431454132027368
1	MYC	0.02629579944048065
1	CTNNB1	0.026237986887970972
1	STK11	0.026125446892404494
1	NOTCH1	0.026125313203572746
1	MTOR	0.02608604293923432
1	TERT	0.026080066822559686
1	CCND1	0.026058100777962667
1	FGFR3	0.026047354321875434
1	TP63	0.026046574117447607
1	WNT5A	0.0260441605114402
1	JAK2	0.026029977275234397
1	WNT2	0.026018137652523195
1	YY1	0.026016340593136525
1	MTHFR	0.026013824173762794
1	HLA-DPB1	0.02600758258573202
1	VEGFA	0.026003841341927514
1	CASP8	0.025999609953635146
1	PIAS3	0.02598849903113869
1	ERCC1	0.025982030587218798
1	RARB	0.025977816633349107
1	POU4F1	0.025966116407567175
1	HOTAIR	0.02595734180212826
1	CLPTM1L	0.025954245234811973
1	APOBEC3B	0.025952088589226468
1	ZNF667-AS1	0.025935274951829325
1	ZDHHC17	0.007853181758910047
1	ESR1	0.0025582184101448553
1	EWSR1	0.0020350062687457594
1	MAPRE3	0.0019590961938229005
1	RIT2	0.001954844304625511
1	ELAVL1	0.0012981206611806673
1	SFRP1	0.0010972099382299616
1	FZD1	0.0010861466812718754
1	AR	0.0010710330309055955
1	HSPA5	0.0010062897078293484
1	ESR2	0.0009887732799440168
1	AGO2	0.0009574821747338636
1	EZH2	0.0009458954995502871
1	RUNX3	0.0008924138163158013
1	WNT3A	0.0008799424747124963
1	DDX5	0.0008693007697534155
1	HCK	0.000833784228316917
1	RRAGC	0.0008282810037651253
1	FZD9	0.0008175659672437482
1	ATXN1	0.0008102214560269079
1	DZIP3	0.0007947562131722881
1	SNUPN	0.0007935082260486695
1	MEX3B	0.0007931853808791287
1	NME7	0.0007901068532944726
1	UQCR11	0.0007845771533709149
1	AQP5	0.0007813840144286311
1	RNF4	0.0007424431277912471
1	TCTN2	0.0006515706990450911
1	MDM2	0.0005783980365318085
1	BRCA1	0.0005517907435327969
1	NTRK1	0.0005422656954838503
1	APP	0.0005367743636312845
1	HNRNPL	0.0005269742971827303
1	SRC	0.0005194603482652191
1	HSP90AA1	0.0005118117102248384
1	RELA	0.0004745899546324887
1	JUN	0.0004715637972782647
1	AKT1	0.00045892195144851724
1	MEOX2	0.00045779983580413445
1	SMAD2	0.0004567428132009318
1	GRB2	0.00044695154720516395
1	EP300	0.0004403997525142745
1	HIF1A	0.00043656626004200073
1	TRIM25	0.0004296063770154274
1	HSCB	0.000424225698555232
1	TP53	0.00041864950194268663
1	SP1	0.00041234636160111197
1	ADRB2	0.0004061148245579243
1	SUMO1	0.0004001008849703824
1	HSPA4	0.0003992344781040977
1	PIK3C3	0.0003971200949305092
1	SPTAN1	0.0003952313132608336
1	TUBG1	0.0003942052311589322
1	HSP90AB1	0.0003923033485330296
1	RASSF1	0.000383372426613084
1	STING1	0.00038235057856426724
1	ISG15	0.0003814677209875375
1	TCTN3	0.0003808583535439313
1	ZBTB33	0.0003719922118874473
1	NCSTN	0.000369101463368156
1	KCNF1	0.00036744626399608915
1	TP53BP1	0.0003670006484346397
1	HDAC1	0.00036579323490692193
1	UQCRQ	0.0003646433067175703
1	SHMT2	0.0003638067627941707
1	NCDN	0.0003629912554453109
1	EMC7	0.0003598918305874972
1	NDE1	0.00035954566751381057
1	UNC93B1	0.00035867933402552576
1	GK	0.00035858188952962977
1	MRPL47	0.000357025230927452
1	CEBPB	0.0003343015483818383
1	LOC100290337	0.0003331487544590267
1	SUMO2	0.0003282811096097646
1	SOS1	0.00032499413675487413
1	SFRP2	0.0003200814453277291
1	TBP	0.00031244575366430903
1	LRP6	0.00031198685786678953
1	RANBP9	0.00031056698634080766
1	ERBB2	0.0003086443552865941
1	WNT7A	0.00030858000673565346
1	WNT4	0.00030799959374365303
1	PIK3R1	0.0003071383802511925
1	MET	0.0003069860173388478
1	HSPA8	0.0003069592355882536
1	PTPRK	0.0003054975980898014
1	FZD7	0.0003052261943584331
1	HSPA1A	0.000305225112097706
1	SDF2L1	0.00030176384860545536
1	FZD2	0.00030110808127934146
1	SMAD3	0.00030073249617875065
1	TRAF6	0.0002998899036572349
1	NFKB1	0.0002995503503260616
1	LGALS3BP	0.0002949232722081525
1	PDGFRA	0.00029408939448988036
1	XPO1	0.00029068601735633405
1	DEFA1	0.00028894306534767286
1	RARA	0.0002878374651233021
1	NCOA1	0.0002877522507248698
1	HSPA9	0.0002863768933939339
1	ROR2	0.0002862285813784332
1	NPTX1	0.0002859052073620862
1	CDKN2A	0.00028578355278840583
1	RFX1	0.0002857184263588877
1	WLS	0.00028553107095692024
1	GLI2	0.0002852279329991305
1	MTHFD1	0.0002835548718193791
1	UBC	0.0002833197982527561
1	PLA2G10	0.0002825726817723597
1	FSTL1	0.0002810720283475635
1	EPHA7	0.0002808026827458606
1	ROR1	0.00027788102823021174
1	ABL1	0.000276750069035737
1	POTEF	0.0002766875407240764
1	FZD5	0.0002764128659818226
1	ANTXR1	0.0002761104843582668
1	MTHFD1L	0.000275836742662171
1	WIF1	0.0002755435290986353
1	SMARCE1	0.0002745716257950595
1	GNAI1	0.0002745288869037979
1	FGFR1	0.0002744011088135303
1	WNT16	0.0002740020324882103
1	LYPD1	0.00027379504863256934
1	SMAD4	0.000271785201139654
1	PROC	0.0002711731648135409
1	WNT5B	0.0002706782787361375
1	SHMT1	0.0002703050974320549
1	ARMC8	0.00026943951137319976
1	SIRT1	0.0002690554816979838
1	STAT1	0.00026842588428324665
1	PRPF31	0.00026842266245903325
1	TYMS	0.00026753131381823203
1	MTHFD2	0.0002672963140599014
1	NCOA3	0.00026432183516352095
1	KCNV2	0.0002611764314099967
1	EPHA1	0.0002611311172067109
1	GNAZ	0.00026077597384766487
1	POLR2A	0.00026049148131378414
1	PANK2	0.0002601309041967761
1	LOC285216	0.0002593924479442196
1	HNRNPK	0.0002591417972520739
1	ZNF263	0.00025881995009072834
1	BCL2L11	0.0002582560851318773
1	SMURF2	0.00025780946933948737
1	PCDHB16	0.0002567489926200719
1	SMPD2	0.0002564052247187652
1	MAPK1	0.0002563312505726472
1	CDCA8	0.0002561627068806243
1	LSM8	0.00025585406487209854
1	DCLRE1C	0.00025581136251259844
1	MTR	0.00025465348211567933
1	CCNH	0.0002544414097694287
1	CBL	0.00025391892964177296
1	HSD3B2	0.00025382413883632117
1	CREBBP	0.00025324730945216215
1	TMEM223	0.0002532336695374367
1	ZNF556	0.00025321707950294695
1	NOX5	0.00025315970698805694
1	TIGD6	0.00025313359739059137
1	GDF10	0.00025261017004207407
1	SPATA19	0.0002523183918328991
1	CDC5L	0.00025182744311630617
1	DCAF1	0.0002508350554319872
1	GSK3B	0.0002504045578694124
1	YWHAZ	0.0002492605465906776
1	RXRA	0.0002485569899848058
1	RPA2	0.0002481501942095924
1	CCNDBP1	0.00024785111801367923
1	PPP1CC	0.0002478136104376955
1	CRYAB	0.0002463038194330419
1	PML	0.0002460246803036491
1	RANBP10	0.0002457654450149038
1	YBX1	0.0002446741950260801
1	MUS81	0.00023993208270980384
1	IGF1R	0.00023776877250127878
1	IDE	0.00023746219659088642
1	PSMC5	0.0002369524750624241
1	IKBKB	0.00023672969319820655
1	MDC1	0.00023545603636204932
1	LZTS2	0.00023538167555637086
1	UBE2I	0.00023369788658485997
1	PDGFRB	0.0002322985717578353
1	CALM1	0.00023215717808763593
1	RPA1	0.00023051031462247278
1	RTN4	0.0002288969277627696
1	CBLC	0.00022856051616735982
1	GAS8	0.00022793607736257518
1	MKLN1	0.000227876792715783
1	CEBPA	0.00022764690541605403
1	NRG1	0.00022680550631310462
1	RMND5A	0.0002263298814332035
1	MAPK14	0.0002259936419643509
1	FOS	0.00022598816699099635
1	NCOR2	0.00022565361494890013
1	GID8	0.00022470849177619104
1	TRIP6	0.00022399355840971945
1	CHUK	0.00022210173871838965
1	RB1	0.00022172757121128193
1	LGR4	0.00022148615593493704
1	RARG	0.00022116837597661388
1	CDC37	0.00022043366169436675
1	MSH2	0.0002201065597952216
1	MAPK3	0.00021996680771638712
1	FANCG	0.00021808302965937082
1	ASXL1	0.0002179047247888771
1	XPA	0.0002175903960341757
1	SMARCA4	0.0002175004736861133
1	TAF7	0.0002170074012799465
1	RPS6KB1	0.00021655715125628192
1	HLA-DPA1	0.00021647406285060788
1	MAP3K5	0.0002156075652721566
1	ROBO2	0.00021553642959662458
1	COPB1	0.00021534625411653854
1	CCN2	0.0002151891799119538
1	NXF1	0.00021456286540745103
1	EIF3I	0.00021450040480873233
1	KNG1	0.00021304786738198826
1	VWCE	0.0002130389047426782
1	YPEL5	0.00021290927948074492
1	CTSV	0.00021282167554869487
1	CREB1	0.0002126289313381851
1	KAT2B	0.00021205695679081204
1	GID4	0.00021119862363732942
1	ERP29	0.00021109343368250384
1	FGFR4	0.00021098061431206808
1	PPARGC1A	0.00021073310420559224
1	NFS1	0.0002103578553753399
1	CD74	0.00021021760916728176
1	CDK4	0.0002100512825635425
1	CUL3	0.00021004459455953442
1	CEACAM21	0.00021000524921976788
1	HLA-E	0.00020960418790042084
1	SOST	0.0002095334486013858
1	MAP1LC3A	0.000209312182944526
1	LYRM4	0.0002092624819383094
1	PSG8	0.0002092140344308221
1	CHST10	0.00020909407489637228
1	TNFSF13B	0.00020905388067128948
1	NR2F1	0.00020854859086595187
1	RPA3	0.00020821134066639378
1	ATP1B4	0.00020810228586825105
1	EXT2	0.0002080178658192903
1	BCAR1	0.00020796173099432692
1	ARID1A	0.00020794429875590738
1	ST3GAL5	0.00020687248126839613
1	CLPSL1	0.0002066083322938181
1	RUVBL2	0.0002065858726533495
1	SERPINA6	0.00020610712083123846
1	VSTM2A	0.0002059956475078919
1	GCNT2	0.00020596677564155874
1	NCL	0.0002059584728895197
1	PPP1CB	0.0002040641939264438
1	SQSTM1	0.00020391634130046844
1	CDH15	0.00020364546984493427
1	CDK6	0.00020360160981142264
1	RXRB	0.00020332283018466082
1	ILF3	0.00020322218587334674
1	NR4A1	0.0002031553221819189
1	ARNT	0.00020301426439909263
1	SMARCD3	0.00020292406049954114
1	RXRG	0.00020217615613955754
1	GATA3	0.00020056546611647047
1	SERBP1	0.00020020337177939238
1	STUB1	0.00019960765336891
1	APOA1	0.00019957124591196766
1	RORA	0.00019950819301588568
1	RAF1	0.00019898255374644009
1	CDK2	0.00019867630373638493
1	PKM	0.0001984727852168869
1	RUVBL1	0.0001983952704378804
1	HNRNPD	0.00019742213511314086
1	PRKD2	0.00019710733965677696
1	NR4A2	0.00019671878307052305
1	CDH1	0.00019645033629199548
1	FBXW7	0.0001964351079413644
1	PNRC1	0.00019584300868434002
1	NR2C1	0.00019583632314886827
1	VCP	0.00019505475380116359
1	ERCC4	0.00019500274832678257
1	SUGP1	0.0001941986816279784
1	HR	0.0001941736167610568
1	ZNF423	0.00019417191700655192
1	ITGB1BP2	0.00019322353293579545
1	HACE1	0.00019315659286218788
1	ILK	0.0001929432458145583
1	MAP6	0.00019269121815786307
1	ADH1C	0.00019268782124017136
1	HGS	0.00019237226373661117
1	SLX4	0.0001914681911992588
1	XRCC6	0.000191004465544602
1	FZR1	0.0001907684629083971
1	SOCS3	0.00019017180050941683
1	KIT	0.00019012673839671296
1	PRKCD	0.0001896528358923549
1	USF2	0.00018940756010209887
1	SPDL1	0.00018940564926438238
1	TAF10	0.0001892284317660719
1	PPP1CA	0.00018713934059034904
1	SUMO3	0.00018706251889871059
1	USHBP1	0.00018682767872525875
1	TAF12	0.000186619710267467
1	BECN1	0.00018616758406795163
1	WWP1	0.000186057014916735
1	MKRN3	0.00018572938666706594
1	HDAC2	0.00018555818436254823
1	ZFC3H1	0.0001854422254454429
1	FGFR2	0.00018541232290641762
1	SMAD1	0.00018468375194473092
1	DAXX	0.00018460839863521236
1	IKBKG	0.00018449418919582402
1	YWHAQ	0.00018407781708857737
1	PRKN	0.00018267220350561206
1	GTF2H1	0.0001823140401347738
1	PLCG1	0.00018213992666169876
1	UHRF1	0.00018166526586171566
1	MKI67	0.00018124865088972334
1	RNF8	0.00018082403273154052
1	SLX1A	0.0001789805444563508
1	TAF6	0.00017897788196413769
1	MATR3	0.00017880229002081136
1	HNRNPA1	0.00017860934089588014
1	SPTA1	0.00017859498885113202
1	TOPBP1	0.00017830075347825995
