multiplex	node	score
1	PIK3R1	0.025209887551288137
1	IL17RC	0.02510651787349407
1	KNG1	0.025101058287026294
1	TRPV1	0.025098886541177694
1	STN1	0.02508971071823618
1	HLA-DRB1	0.025073721294578518
1	PANK2	0.025065524467187607
1	DPP9	0.025065111042460356
1	IL17RA	0.025057026779571563
1	PRTN3	0.025055773612684695
1	MIPEP	0.025055527641759508
1	BLNK	0.025050900499643914
1	RSPH3	0.02504034652629952
1	ACE	0.025036700302485122
1	RSPH1	0.0250336930882147
1	DNAL1	0.025033517050535227
1	DLEC1	0.02503304226889917
1	DRC1	0.02503286399422674
1	PARN	0.025028633594695614
1	FAM13A	0.025027024979104587
1	NME8	0.02502439252139756
1	OAS1	0.025022878765351857
1	TRPA1	0.025021498340574228
1	FARSB	0.0250198046650152
1	CCDC65	0.02501922698913009
1	LPIN2	0.025015961130994132
1	CCNO	0.025012728027871335
1	CFAP300	0.02501163414273564
1	MORN3	0.007524789701130501
1	H1-1	0.003997230940216234
1	BOD1L1	0.003765250036273461
1	AKAP5	0.003134798112677321
1	HUWE1	0.0025518370249484885
1	CYLD	0.00255134386648557
1	RHOA	0.0025343986765628116
1	MRE11	0.002527232794144621
1	ALDOA	0.0025219032399860894
1	RAP1GDS1	0.0025171676227060793
1	ZNFX1	0.002512906884538014
1	LRRC40	0.002511026157281595
1	APP	0.002257595681332367
1	PPP1CA	0.001932609463188723
1	TPR	0.0019138681492434223
1	FBXW11	0.0019129380600785171
1	LPIN3	0.0018854237525272315
1	HSPB1	0.0015437067018315021
1	PCNA	0.001366346799410483
1	SMAD3	0.0012026076027022757
1	IFT57	0.001095771581706527
1	TRIM23	0.0010906333196166389
1	TRAF3IP1	0.0010884062302644213
1	IFT20	0.0010860355009814772
1	NCL	0.0010845612673450388
1	BACH1	0.0010838310723437865
1	REPIN1	0.0010782755490908878
1	CUL3	0.0010522311959327273
1	HNRNPL	0.0010006449157204135
1	HERC2	0.0009774506746078786
1	PCM1	0.0009722033187891119
1	NEURL4	0.0009586497669307249
1	MRPL12	0.0009582743312083205
1	MYCBP2	0.0009497480232091328
1	HERC1	0.0009454505559882091
1	SLTM	0.0009436859524056137
1	AGT	0.000856257655165346
1	BDKRB2	0.0008404337699678183
1	VAV2	0.0008185256018670502
1	MLH1	0.0008173568072356939
1	ACTB	0.0008021140189996993
1	RPA2	0.0008005635897126006
1	JUN	0.0007992072678622024
1	PRKAR1A	0.0007851574753774283
1	LOC100290337	0.0007830827763246392
1	ITSN1	0.0007800572138874513
1	GNAO1	0.0007792699060562111
1	RSPH14	0.0007790897406385257
1	ROPN1L	0.0007779281854099436
1	CDKN1A	0.0007747382039215384
1	TLE5	0.0007742260409652992
1	CSNK2A1	0.0007636733901841223
1	GOLGA2	0.0007634627049168163
1	DCAF1	0.000762105987035277
1	DPY30	0.0007617348857620241
1	XRCC1	0.0007583990229195508
1	LMNA	0.0007567652470479656
1	FAM124B	0.0007566382326126257
1	SRC	0.0007498600758393146
1	COPS5	0.0007399227034142048
1	EWSR1	0.0007349669167806474
1	CD247	0.0007286068146319283
1	FUS	0.0007241221156616401
1	HSPA8	0.0007234620410231963
1	MYH9	0.0007215601161251752
1	H4C16	0.0007203816630502612
1	CUL2	0.0007154932689778437
1	FBXO7	0.0007150880069431964
1	EGFR	0.0007131610626545967
1	CBL	0.0007131218700208922
1	CCT3	0.000712073955245237
1	TAB1	0.0007026798844282666
1	TPM2	0.0006985901164511464
1	CCT6B	0.0006933937358554282
1	EGR1	0.0006929711594866493
1	AGTR2	0.000692783688306007
1	H2AC12	0.000692692021414284
1	COMT	0.0006878561203112539
1	OS9	0.0006859029459636494
1	ESR2	0.0006777574583685578
1	PLEKHA7	0.0006665088070230015
1	PRPF8	0.0006223976645775359
1	HOOK2	0.0006208305885695823
1	PPP2R1A	0.0006205696334659881
1	TRIM27	0.0006169225978332627
1	ATF2	0.0006139853234546772
1	PRKACA	0.0006129528587730363
1	PRKCA	0.000601492035343314
1	CALM1	0.0005999254564069391
1	ACTN1	0.000598461002595389
1	RPL30	0.0005975771904848341
1	COG6	0.0005947377728763293
1	RAPGEF2	0.0005906298725272524
1	UNC119	0.0005906026105130996
1	EXOC5	0.0005874278383636805
1	STK38L	0.000586941455944868
1	MEF2C	0.0005853097006243616
1	RTEL1	0.0005844886600280115
1	PRMT6	0.0005844444667382965
1	ERP44	0.0005835652564399088
1	RUFY1	0.0005826676191439118
1	MPP1	0.0005825870144954374
1	BBS4	0.0005823225597795369
1	TBCCD1	0.0005799897763834368
1	BUD23	0.0005794100875248321
1	ITGB2	0.0005790959554333129
1	PRKCE	0.0005669171135654368
1	TRPV2	0.0005590529367972251
1	ITCH	0.0005563107738819234
1	SNAPIN	0.0005501580603163173
1	CALM2	0.0005490558921876288
1	SUMO2	0.0005465173108639212
1	SYT9	0.0005394049688057822
1	TRIM25	0.0005110564412981727
1	RELA	0.0004761686437939395
1	SLC25A5	0.00046085532072570254
1	TNF	0.00045123920814094554
1	A2M	0.0004380590387939129
1	SERPINA1	0.00043177458594296483
1	F2RL1	0.00043048597930867396
1	ATP6V1B2	0.00043020985733494276
1	F2R	0.00042875070622696795
1	SERPINB13	0.00042870083910146795
1	ITGAM	0.00042783898652421
1	HTT	0.00042574595961211004
1	IL1B	0.000424417057185085
1	ELN	0.00042194872840388615
1	CAMP	0.00042125811014669367
1	SERPINB1	0.0004207621386658041
1	IL32	0.00041979548608948983
1	SYK	0.0004190244537482785
1	YWHAZ	0.0004103846496115791
1	NTRK1	0.00040497273888806816
1	TP53BP1	0.00035768051022783495
1	HSCB	0.0003519921622802322
1	MYC	0.0003369056350364606
1	PDE3B	0.0003356944594074205
1	HSP90AA1	0.0003149614870895036
1	ZDHHC17	0.00031417321744872634
1	HSP90AB1	0.0003113005684800487
1	MAPK6	0.0002998270402740199
1	MAP3K7	0.0002946235534264614
1	ILK	0.00028379176843438723
1	VDAC1	0.00027920686344046154
1	SHMT2	0.00027803170059840317
1	HNRNPF	0.0002780071768289066
1	SIRT7	0.00027727448317179705
1	TRAF3IP2	0.00027571738419586943
1	MME	0.00027551053897927004
1	PPP2R2C	0.00027518618964797654
1	DCTN1	0.00027386328473798395
1	NEDD8	0.0002716012710163506
1	PAK5	0.00026646998823416526
1	DOK3	0.00026396630044857414
1	NME4	0.0002608791483101351
1	MRM1	0.00025952637125531083
1	CISD3	0.0002586026876963435
1	PHYHIPL	0.0002583708981108747
1	GRPR	0.0002581628038861881
1	SIRT4	0.0002579347278740663
1	HSDL2	0.00025744072660522114
1	WDTC1	0.0002570008190187958
1	OCIAD1	0.0002567351689998419
1	EXOC3L2	0.0002565460453505947
1	YWHAG	0.0002563429515678498
1	FOXRED2	0.0002563034067465786
1	FOXS1	0.0002556510302645862
1	TMEM70	0.0002551019983007966
1	INA	0.0002543473496707498
1	COQ10A	0.0002540886383185024
1	ADPGK	0.0002537904743633898
1	NCBP1	0.00025359814403017565
1	LOC554223	0.0002525595445059325
1	DEFA6	0.0002524919904251043
1	TRIM43	0.00025184764091589574
1	MGME1	0.00025184242322650186
1	SPINK2	0.0002518268434984753
1	MDC1	0.0002514153098327914
1	CDC42SE1	0.0002511391100177033
1	GRB2	0.00025085124580159985
1	FOXA1	0.0002455150369120274
1	RPS6	0.00024535326856572524
1	YWHAQ	0.0002444442117934885
1	KSR1	0.0002443544341441422
1	SUMO1	0.00024312468999416947
1	PABPC1	0.0002410514544603798
1	BARD1	0.0002397960146035817
1	KCTD3	0.0002396342361319972
1	UPF1	0.00023934364799489493
1	DLD	0.00023844317872636636
1	XPO1	0.0002368429892596212
1	LCK	0.00023496330322102504
1	UBB	0.00023334071700428468
1	TACC3	0.00023164615381233444
1	MTHFD1	0.00023161311834323577
1	VCP	0.00023104333667902123
1	MTHFD1L	0.0002301908382364381
1	ZC3HAV1	0.0002300806263374192
1	XRN1	0.0002296368873486948
1	YWHAE	0.0002291143363610011
1	MTHFD2	0.0002269651627077152
1	PKM	0.00022680219710694057
1	BCAR1	0.00022601713224342806
1	EXOSC4	0.00022595360361513895
1	EXOSC2	0.0002253593680915297
1	XRN2	0.0002248623585172844
1	EXOSC10	0.00022473257747955476
1	BYSL	0.00022444088049379873
1	HSPA9	0.00022224934154723417
1	DCP2	0.00022142839286861876
1	UPF2	0.00022129161774310895
1	FYN	0.00022103767090953205
1	GIGYF1	0.0002205722227858009
1	KHSRP	0.00022031424780418217
1	BRCA1	0.00021969648724275896
1	CSTF2	0.00021959654845302254
1	UPF3B	0.00021946923284625486
1	CGN	0.00021914403383926597
1	UPF3A	0.00021768996196387273
1	MPHOSPH6	0.00021732152983850085
1	CBY1	0.00021706065669761188
1	PDP1	0.0002169950369734924
1	EXOSC3	0.00021661623480100518
1	TULP3	0.00021652441521700173
1	PALS2	0.00021594619258140187
1	TSR1	0.00021577099680419846
1	KIF13B	0.00021537582888621058
1	CARNMT1	0.00021482924721477246
1	SHMT1	0.00021451559626708286
1	MAPKAPK2	0.00021398745153131053
1	ZBTB21	0.0002137218991158579
1	PSG1	0.0002136916614437957
1	AARS1	0.00021343278104202825
1	LRFN1	0.00021317682527515755
1	TEAD4	0.000212944079707929
1	CSTF1	0.00021274387692470423
1	SPATC1L	0.00021223067144971245
1	GLDC	0.0002098781698445921
1	GCSH	0.0002073211395337894
1	TYMS	0.00020664267808836854
1	SARDH	0.0002063221263677627
1	AMT	0.00020610198420131003
1	FLNA	0.00020423199842144784
1	DHX36	0.00020289985419221304
1	FTCD	0.00020221137905183342
1	HLA-DRA	0.00020103521835957162
1	MTHFR	0.00020069210142625738
1	MTHFS	0.00020064923882449583
1	USP47	0.00019968678290425664
1	RNF4	0.00019951275943509345
1	AMZ2	0.0001994437510669344
1	FPGS	0.00019813232889431392
1	CSNK2A2	0.00019764610807123143
1	NECTIN2	0.0001972120529396587
1	SREBF2	0.00019629697124382112
1	ZNF526	0.0001957841651027933
1	LXN	0.00019543125529876724
1	PPCS	0.000195114744739371
1	QRICH2	0.00019390577252001822
1	SAT2	0.0001936176600389131
1	RASGRF2	0.00019311854032120874
1	TMBIM6	0.00019286414869966248
1	C1QBP	0.00019274516195259828
1	BAG6	0.0001925368132454485
1	PPP2CA	0.00019150273220939286
1	CTSG	0.0001910604894462638
1	HSPH1	0.00019058324071437053
1	ELANE	0.00018913551681906974
1	VHL	0.00018683873019698444
1	TAB2	0.0001861696900869678
1	PLCG1	0.00018554402203689043
1	NXF1	0.00018171709170164104
1	CRK	0.00017981082597495244
1	HLA-DMB	0.00017966200740845723
1	EFTUD2	0.00017923216926523473
1	ATP1B1	0.00017891079726900096
1	TRIM21	0.0001781766959490687
1	TRA	0.00017794205252563269
1	MS4A1	0.00017739848425050064
1	ANXA11	0.00017727371176598134
1	CTAG1B	0.0001772195305454266
1	FABP5	0.00017665652399685792
1	HLA-DRB3	0.00017631149826939277
1	CD9	0.00017618351584595046
1	GMCL1	0.00017594344317821767
1	MBP	0.00017569254249408698
1	TOM1L1	0.00017503837309047155
1	PHOSPHO1	0.000174055287340112
1	GET4	0.00017386952033831285
1	ITGA6	0.00017347177433908566
1	NCK1	0.00017346619505535416
1	CAPN1	0.0001725487467152959
1	HLA-DRB5	0.00017253230203043436
1	HLA-DMA	0.00017234739792580976
1	TRB	0.00017193086953606095
1	ITGA7	0.0001717659425671597
1	INS	0.00017176378387861516
1	LRP12	0.0001711452989961317
1	CTDNEP1	0.00017113390244560375
1	SEMA4F	0.00017093513135556116
1	EPHB4	0.00017088993070485826
1	EIF2AK3	0.00017078086044323244
1	MAGEA3	0.00017055155441725358
1	RNF149	0.00017018923299467478
1	BTN2A2	0.00017003343738789106
1	ARL8B	0.00016997749961515662
1	PLG	0.0001699761229819802
1	SQLE	0.0001699674450940077
1	HERC3	0.00016986186306078158
1	MARCHF1	0.00016984589793029282
1	BPNT2	0.00016967785212944242
1	ACVR2B	0.00016954585702506716
1	COPS6	0.0001694508711427178
1	C1orf43	0.00016937546806923445
1	SHC1	0.00016936746280619175
1	ATP2A3	0.0001691838683020401
1	NAALADL2	0.0001689958532409011
1	KIAA0319L	0.00016885974668175334
1	CNDP1	0.00016871600724084206
1	CNNM1	0.00016861426337403594
1	ADCY3	0.00016859784645256457
1	OGN	0.00016847286207785932
1	TRAC	0.00016842261738053162
1	EMC6	0.00016817415663640813
1	FNDC4	0.00016803337175565786
1	MAN2A2	0.00016792300776099237
1	EPHA7	0.00016791344279461356
1	TKT	0.00016753724600973056
1	PDZD8	0.00016751383059711205
1	PLAUR	0.00016747856983984432
1	FADS1	0.00016679984956491413
1	MYO6	0.00016673257427405634
1	CIAO1	0.00016658217525336024
1	PLXNB2	0.00016645582902305857
1	TYW1	0.00016639823381359132
1	ALG9	0.0001662041634709073
1	C2CD2L	0.00016617067486539712
1	KCNJ11	0.00016612664321964422
1	SLC12A4	0.00016587860601331887
1	MANEAL	0.00016578086761747957
1	ABCA3	0.00016576880716576592
1	DIPK1A	0.00016574635448221873
1	TMEM39A	0.00016542908468833854
1	ADCK2	0.00016537629006109107
1	LARGE2	0.00016505278296825775
1	PIGQ	0.00016495447950613028
1	MR1	0.00016481269879371012
1	EEF2K	0.00016474733502117332
1	ERBB2	0.00016472286503936475
1	ENPP4	0.00016471816475969209
1	NIF3L1	0.00016462517582015057
1	NPC1	0.0001645213290136499
