multiplex	node	score
1	LRP2	0.025404231695451595
1	FGF23	0.025299232608204113
1	CYP27A1	0.025223448941747547
1	RETN	0.02514101195020939
1	GC	0.02513998271238973
1	CYP24A1	0.025100872838934595
1	REN	0.025099478930254
1	CRP	0.025081496020781975
1	BGLAP	0.025078491800194818
1	HLA-DRB1	0.025076719312734832
1	TNF	0.025070152140226037
1	PTH	0.02506550197210407
1	RPS6KA3	0.025065357782408447
1	TGFB1	0.02506362791468891
1	IL6	0.02506025072451902
1	IGF1	0.025058630402501166
1	AFG3L2	0.025051466447090075
1	VDR	0.025048769430731286
1	NADSYN1	0.02504308040641056
1	IGHMBP2	0.025038230076375272
1	GATAD2B	0.025036052264203527
1	TMEM94	0.025034719944969773
1	GH1	0.02503403790865949
1	TUBB6	0.025027792271598324
1	APOL1	0.02502481444840186
1	CASR	0.025021132762951048
1	DHCR7	0.02502087030762645
1	SLC25A42	0.025007397964291602
1	FGFR2	0.002001272683841667
1	FGFR1	0.0020003695465924502
1	FGFR3	0.0019894719277137245
1	ASPH	0.0019360117816575883
1	FAM20C	0.0019336473271440997
1	PHEX	0.00189967900498882
1	ECSIT	0.0018994979247965566
1	CTSB	0.001893027496339983
1	ZNF785	0.001892879887289354
1	ZNF764	0.0018899769416721752
1	ZNF254	0.001887464433123065
1	HNRNPL	0.0018263456145313336
1	RPL31	0.0015910060488236357
1	APOA1	0.0015353183200593936
1	IGHM	0.001522061780382649
1	CDC23	0.0015172987852597793
1	KRTAP10-8	0.0013122834669007453
1	MTUS2	0.0012923808110668928
1	KRT31	0.0012817174292020803
1	KRT34	0.0012743641978617613
1	HDAC11	0.0012599984102950326
1	HSPA5	0.001202300407232843
1	CBX5	0.0011976690155696924
1	CTSD	0.0011011233311249713
1	CTSH	0.0010794341506716776
1	CTSS	0.0010793839251815182
1	GGCX	0.0010771329846694993
1	SQSTM1	0.0010606364604779657
1	A2M	0.000975949634612389
1	SF3A2	0.0009593103733913245
1	GPR25	0.0009487673955965095
1	ZNF664	0.0009465502280160516
1	APEX2	0.0009460196410024335
1	GLI4	0.0009431481256792229
1	CREB1	0.0009377561819459609
1	BAG6	0.000875166892829029
1	ESR2	0.0008667987220714485
1	PTH1R	0.0008530416463394606
1	FEZ1	0.0008527092157704665
1	MEP1A	0.0008512044992364358
1	APEX1	0.0008450199586785208
1	PTH2R	0.0008413178932659034
1	ARFGEF3	0.0008373649671404058
1	SP1	0.0008110649640012819
1	UQCRC2	0.0007887031062791307
1	HNF4A	0.0007614475256315176
1	RXRG	0.0007540301044550987
1	CCT3	0.0007272042390890512
1	M6PR	0.0007182229953284263
1	FASN	0.0007057394901128409
1	SP3	0.000703124797206289
1	CCT6B	0.0007009756619069346
1	PC	0.0006969323881574957
1	PRDX4	0.0006953275194333501
